Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 231_JA2_100m_0.3um_SKQ17_P2,Area 231_JA2_100m_0.3um_SKQ17_P2,#Peptides,#Unique,#Spec 231_JA2_100m_0.3um_SKQ17_P2,PTM,Avg. Mass,Description
104,392211,ETNP_100m_particle_PROKKA_112482,89.37,38,38,1.3E6,7,4,7,Oxidation (M),17863,C-phycoerythrin class 1 subunit alpha
104,392212,ETNP_140m_PROKKA_48972,89.37,38,38,1.3E6,7,4,7,Oxidation (M),17863,C-phycoerythrin class 1 subunit alpha
104,392213,ETNP_120m_PROKKA_239032,89.37,38,38,1.3E6,7,4,7,Oxidation (M),17863,C-phycoerythrin class 1 subunit alpha
253,392878,ETNP_120m_PROKKA_213547,89.22,28,28,4.67E6,2,2,3,,12564,hypothetical protein
117,180,WP_011819053,87.99,17,17,1.79E6,7,6,7,Oxidation (M),52183,ATP synthase subunit beta Prochlorococcus
117,358190,WP_011377074.1,87.99,17,17,1.79E6,7,6,7,Oxidation (M),52199,ATP synthase subunit beta [Prochlorococcus marinus]
117,358191,WP_011133067.1,87.99,17,17,1.79E6,7,6,7,Oxidation (M),51980,ATP synthase subunit beta [Prochlorococcus marinus]
148,392304,ETNP_120m_PROKKA_51380,87.80,12,12,1.06E6,4,2,6,Carbamidomethylation; Oxidation (M),47218,Aliphatic amidase expression-regulating protein
148,392305,ETNP_90m_PROKKA_63045,87.80,12,12,1.06E6,4,2,6,Carbamidomethylation; Oxidation (M),47219,Aliphatic amidase expression-regulating protein
148,392306,ETNP_100m_particle_PROKKA_69298,87.80,12,12,1.06E6,4,2,6,Carbamidomethylation; Oxidation (M),47252,Aliphatic amidase expression-regulating protein
161,392379,ETNP_140m_PROKKA_116680,87.14,9,9,3.45E6,3,3,7,,50603,Ribulose bisphosphate carboxylase
161,392380,ETNP_90m_PROKKA_24753,87.14,9,9,3.45E6,3,3,7,,50603,Ribulose bisphosphate carboxylase
161,392381,ETNP_100m_particle_PROKKA_43440,87.14,9,9,3.45E6,3,3,7,,50603,Ribulose bisphosphate carboxylase
161,392382,ETNP_100m_PROKKA_19145,87.14,9,9,3.45E6,3,3,7,,50603,Ribulose bisphosphate carboxylase
161,392383,ETNP14_68maa_PROKKA_78816,87.14,9,9,3.45E6,3,3,7,,50635,Ribulose bisphosphate carboxylase
161,392384,ETNP_110m_PROKKA_46656,87.14,9,9,3.45E6,3,3,7,,50603,Ribulose bisphosphate carboxylase
161,392396,ETNP_160m_PROKKA_96972,87.14,9,9,3.45E6,3,3,7,,50637,Ribulose bisphosphate carboxylase
208,392615,ETNP14_120mab_PROKKA_26998,86.71,36,36,3.7E5,4,2,4,,10489,10 kDa chaperonin
150,392775,ETNP14_120mab_PROKKA_101646,86.68,62,62,9.32E5,5,1,6,Carbamidomethylation,4575,hypothetical protein
162,392451,ETNP_90m_PROKKA_125336,84.75,27,27,4.8E4,4,1,6,,17572,30S ribosomal protein S7
162,497,WP_011131147,84.75,27,27,4.8E4,4,1,6,,17572,30S ribosomal protein S7 Prochlorococcus
226,392622,ETNP_100m_particle_PROKKA_06864,84.58,3,3,2.35E5,2,2,2,,84210,Carboxysome shell peptide mid-region
226,392623,ETNP_100m_PROKKA_41672,84.58,3,3,2.35E5,2,2,2,,84240,Carboxysome shell peptide mid-region
144,392768,ETNP_120m_PROKKA_223412,84.32,40,40,8.07E6,3,3,7,,6863,hypothetical protein
136,393431,ETNP_90m_PROKKA_09589,84.08,28,28,4.72E6,3,3,8,,10026,hypothetical protein
136,393432,ETNP_100m_PROKKA_54311,84.08,28,28,4.72E6,3,3,8,,10026,hypothetical protein
136,393433,ETNP_110m_PROKKA_15224,84.08,28,28,4.72E6,3,3,8,,10053,hypothetical protein
158,392297,ETNP_160m_PROKKA_28050,84.04,14,14,3.99E5,5,2,6,,43606,Elongation factor Tu
158,392298,NP_85m_PROKKA_06676,84.04,14,14,3.99E5,5,2,6,,43606,Elongation factor Tu
158,392299,ETNP14_68maa_PROKKA_112391,84.04,14,14,3.99E5,5,2,6,,43606,Elongation factor Tu
158,392300,ETNP_110m_PROKKA_34002,84.04,14,14,3.99E5,5,2,6,,43650,Elongation factor Tu
110,392478,ETNP_140m_PROKKA_101160,83.90,39,39,6.54E6,4,2,9,Carbamidomethylation,10557,Ferredoxin-1
110,392479,NP_85m_PROKKA_17356,83.90,39,39,6.54E6,4,2,9,Carbamidomethylation,10557,Ferredoxin-1
110,392480,ETNP_120m_PROKKA_307386,83.90,39,39,6.54E6,4,2,9,Carbamidomethylation,10557,Ferredoxin-1
110,392481,ETNP_100m_PROKKA_20702,83.90,39,39,6.54E6,4,2,9,Carbamidomethylation,10557,Ferredoxin-1
110,392482,ETNP_110m_PROKKA_09360,83.90,39,39,6.54E6,4,2,9,Carbamidomethylation,10557,Ferredoxin-1
120,392522,ETNP_140m_PROKKA_130120,83.59,30,30,2.96E6,4,2,6,Carbamidomethylation; Oxidation (M),11493,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
120,392523,ETNP14_68maa_PROKKA_174519,83.59,29,29,2.96E6,4,2,6,Carbamidomethylation; Oxidation (M),11721,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
120,392526,ETNP_110m_PROKKA_10147,83.59,30,30,2.96E6,4,2,6,Carbamidomethylation; Oxidation (M),12110,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
206,392416,ETNP_120m_free_PROKKA_305308,83.20,22,22,9.5E5,3,3,3,Carbamidomethylation,22724,Pentapeptide repeats (8 copies)
206,392417,ETNP_100m_particle_PROKKA_121788,83.20,18,18,9.5E5,3,3,3,Carbamidomethylation,29028,Pentapeptide repeats (8 copies)
118,225,WP_018047897,83.09,16,16,1.16E5,6,1,8,Oxidation (M),36029,hypothetical protein Nitrospina sp AB-629-B18
135,204,WP_011131137,82.64,7,7,9.65E6,6,6,7,Carbamidomethylation,84981,photosystem I P700 chlorophyll a apoprotein A1 Prochlorococcus marinus
135,205,WP_036912725,82.64,7,7,9.65E6,6,6,7,Carbamidomethylation,85008,photosystem I P700 chlorophyll a apoprotein A1 Prochlorococcus
222,392389,ETNP_100m_particle_PROKKA_42616,82.63,67,67,3.26E5,3,1,4,,6791,hypothetical protein
126,358235,WP_011824391.1,81.85,9,9,3.74E5,5,1,6,,53976,ATP synthase subunit alpha [Prochlorococcus marinus]
126,498,WP_038654094,81.85,9,9,3.74E5,5,1,6,,54020,ATP F0F1 synthase subunit alpha Prochlorococcus sp MIT 0801
138,392228,ETNP_120m_PROKKA_98353,81.23,49,49,7.44E5,5,4,7,Oxidation (M),13780,hypothetical protein
160,392390,gi|1377597634,81.12,13,13,4.15E5,5,2,6,,41979,Actin [Hondaea fermentalgiana]
288,392849,ETNP_120m_PROKKA_67736,80.66,24,24,1.84E6,2,2,3,Carbamidomethylation,10021,hypothetical protein
249,392339,ETNP_120m_PROKKA_262541,80.33,9,9,8.92E5,3,1,3,,39611,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
169,358204,WP_036930312.1,79.85,10,10,9.03E3,3,1,4,Oxidation (M),46456,urea ABC transporter substrate-binding protein [Prochlorococcus marinus]
169,392444,ETNP_90m_PROKKA_114429,79.85,20,20,9.03E3,3,1,4,Oxidation (M),24636,Aliphatic amidase expression-regulating protein
169,494,WP_042850283,79.85,11,11,9.03E3,3,1,4,Oxidation (M),46077,ABC transporter substrate-binding protein Prochlorococcus sp MIT 0604
169,358205,WP_011376384.1,79.85,11,11,9.03E3,3,1,4,Oxidation (M),46062,urea ABC transporter substrate-binding protein [Prochlorococcus marinus]
169,358206,WP_011824451.1,79.85,11,11,9.03E3,3,1,4,Oxidation (M),46236,urea ABC transporter substrate-binding protein [Prochlorococcus marinus]
169,495,WP_038654216,79.85,11,11,9.03E3,3,1,4,Oxidation (M),46306,ABC transporter substrate-binding protein Prochlorococcus sp MIT 0801
119,392484,ETNP_110m_PROKKA_15606,79.26,39,39,5.33E6,4,2,7,Carbamidomethylation,10602,Ferredoxin
119,392485,ETNP_120m_PROKKA_172531,79.26,39,39,5.33E6,4,2,7,Carbamidomethylation,10602,Ferredoxin
119,392486,ETNP_120m_particle_PROKKA_31709,79.26,39,39,5.33E6,4,2,7,Carbamidomethylation,10602,Ferredoxin
119,392487,ETNP_100m_PROKKA_46139,79.26,39,39,5.33E6,4,2,7,Carbamidomethylation,10602,Ferredoxin
119,392488,ETNP_140m_PROKKA_82876,79.26,39,39,5.33E6,4,2,7,Carbamidomethylation,10602,Ferredoxin
119,392489,ETNP_90m_PROKKA_10440,79.26,39,39,5.33E6,4,2,7,Carbamidomethylation,10602,Ferredoxin
119,392490,ETNP_100m_particle_PROKKA_153641,79.26,39,39,5.33E6,4,2,7,Carbamidomethylation,10602,Ferredoxin
119,392491,ETNP_120m_free_PROKKA_315605,79.26,39,39,5.33E6,4,2,7,Carbamidomethylation,10602,Ferredoxin
159,392319,ETNP_90m_PROKKA_122859,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20071,Photosystem I reaction center subunit XI
159,392320,ETNP_120m_PROKKA_321604,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20071,Photosystem I reaction center subunit XI
159,392321,ETNP_120m_PROKKA_115988,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20020,Photosystem I reaction center subunit XI
159,392322,ETNP_100m_PROKKA_21334,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20020,Photosystem I reaction center subunit XI
159,392323,ETNP_90m_PROKKA_59218,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20020,Photosystem I reaction center subunit XI
159,392324,ETNP_100m_particle_PROKKA_140193,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20071,Photosystem I reaction center subunit XI
159,392325,ETNP_140m_PROKKA_60611,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20071,Photosystem I reaction center subunit XI
159,392326,ETNP_110m_PROKKA_44967,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20071,Photosystem I reaction center subunit XI
159,392327,ETNP_110m_PROKKA_02539,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20020,Photosystem I reaction center subunit XI
159,392328,ETNP_100m_PROKKA_21330,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20071,Photosystem I reaction center subunit XI
159,392329,NP_85m_PROKKA_11773,79.24,27,27,1.42E7,3,3,6,Carbamidomethylation; Deamidation (NQ),20038,Photosystem I reaction center subunit XI
181,392494,ETNP_100m_PROKKA_97628,78.93,17,17,2.62E6,3,3,6,Carbamidomethylation,23304,50S ribosomal protein L3
181,392495,ETNP_100m_particle_PROKKA_74968,78.93,17,17,2.62E6,3,3,6,Carbamidomethylation,23304,50S ribosomal protein L3
181,392496,ETNP_110m_PROKKA_45430,78.93,17,17,2.62E6,3,3,6,Carbamidomethylation,23304,50S ribosomal protein L3
181,392497,ETNP_90m_PROKKA_64991,78.93,17,17,2.62E6,3,3,6,Carbamidomethylation,23304,50S ribosomal protein L3
181,392498,ETNP_120m_PROKKA_22832,78.93,17,17,2.62E6,3,3,6,Carbamidomethylation,23767,50S ribosomal protein L3
132,392222,ETNP_180m_PROKKA_81155,78.62,6,6,5.62E6,5,5,7,,81192,Multicopper oxidase
211,392943,ETNP_90m_PROKKA_137186,76.92,28,28,4.78E5,4,1,4,Carbamidomethylation,11572,Photosystem I reaction center subunit II
211,392944,ETNP_100m_particle_PROKKA_00522,76.92,20,20,4.78E5,4,1,4,Carbamidomethylation,15899,Photosystem I reaction center subunit II
211,392945,ETNP_120m_PROKKA_308777,76.92,20,20,4.78E5,4,1,4,Carbamidomethylation,15899,Photosystem I reaction center subunit II
145,392802,ETNP14_120maa_PROKKA_106485,76.83,10,10,3.84E5,3,1,6,Carbamidomethylation,31627,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
145,392803,NP_100m_PROKKA_18521,76.83,9,9,3.84E5,3,1,6,Carbamidomethylation,33157,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
145,392804,ETNP14_68maa_PROKKA_58668,76.83,8,8,3.84E5,3,1,6,Carbamidomethylation,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
145,392805,ETNP_120m_PROKKA_78196,76.83,8,8,3.84E5,3,1,6,Carbamidomethylation,39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
145,392816,ETNP_120m_PROKKA_178829,76.83,8,8,3.84E5,3,1,6,Carbamidomethylation,39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
145,392946,ETNP14_68maa_PROKKA_187572,76.83,15,15,3.84E5,3,1,6,Carbamidomethylation,19964,Alpha-keto acid-binding periplasmic protein TakP precursor
145,392947,NP_300m_PROKKA_27639,76.83,15,15,3.84E5,3,1,6,Carbamidomethylation,20814,Alpha-keto acid-binding periplasmic protein TakP precursor
145,392948,ETNP14_68mB_PROKKA_55915,76.83,15,15,3.84E5,3,1,6,Carbamidomethylation,21083,Alpha-keto acid-binding periplasmic protein TakP precursor
145,392949,ETNP_120m_free_PROKKA_148225,76.83,12,12,3.84E5,3,1,6,Carbamidomethylation,25635,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
237,392252,ETNP_140m_PROKKA_142236,76.33,35,35,4.83E6,4,1,4,Oxidation (M),12199,hypothetical protein
237,392253,ETNP_90m_PROKKA_181228,76.33,35,35,4.83E6,4,1,4,Oxidation (M),12199,hypothetical protein
237,392254,ETNP_100m_particle_PROKKA_71648,76.33,35,35,4.83E6,4,1,4,Oxidation (M),12199,hypothetical protein
237,392255,ETNP_110m_PROKKA_30272,76.33,35,35,4.83E6,4,1,4,Oxidation (M),12199,hypothetical protein
237,392256,NP_85m_PROKKA_22382,76.33,35,35,4.83E6,4,1,4,Oxidation (M),12199,hypothetical protein
237,392257,ETNP_100m_PROKKA_70724,76.33,57,57,4.83E6,4,1,4,Oxidation (M),7622,hypothetical protein
176,2277,WP_011825073,75.92,25,25,3.05E5,4,4,4,Carbamidomethylation,8398,hypothetical protein Prochlorococcus
176,393739,ETNP_120m_free_PROKKA_141860,75.92,25,25,3.05E5,4,4,4,Carbamidomethylation,8398,CP12 domain protein
176,2279,WP_011130909,75.92,25,25,3.05E5,4,4,4,Carbamidomethylation,8412,hypothetical protein Prochlorococcus marinus
176,393740,ETNP_120m_free_PROKKA_180180,75.92,25,25,3.05E5,4,4,4,Carbamidomethylation,8327,CP12 domain protein
176,393741,ETNP_110m_PROKKA_38604,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10616,CP12 domain protein
176,393742,ETNP_100m_PROKKA_81257,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10616,CP12 domain protein
176,393743,ETNP_90m_PROKKA_202983,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10616,CP12 domain protein
176,393744,ETNP_100m_particle_PROKKA_101519,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10766,CP12 domain protein
176,393745,ETNP_120m_particle_PROKKA_78242,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10616,CP12 domain protein
176,393746,ETNP_90m_PROKKA_191785,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10766,CP12 domain protein
176,393747,ETNP14_68maa_PROKKA_120527,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10766,CP12 domain protein
176,393748,ETNP_120m_PROKKA_93512,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10616,CP12 domain protein
176,393749,ETNP_100m_particle_PROKKA_143439,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10616,CP12 domain protein
176,393750,ETNP_100m_PROKKA_51786,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10766,CP12 domain protein
176,393751,ETNP_110m_PROKKA_51120,75.92,19,19,3.05E5,4,4,4,Carbamidomethylation,10766,CP12 domain protein
192,392367,ETNP14_120maa_PROKKA_31996,74.58,12,12,8.28E5,3,3,3,,38992,hypothetical protein
192,392368,ETNP14_68mB_PROKKA_39666,74.58,12,12,8.28E5,3,3,3,,38516,Bacterial extracellular solute-binding protein
192,392369,ETNP_60m_PROKKA_27253,74.58,12,12,8.28E5,3,3,3,,38494,hypothetical protein
191,392241,ETNP_140m_PROKKA_127613,74.53,49,49,4.72E6,4,1,4,Oxidation (M),8750,hypothetical protein
191,392242,ETNP_100m_PROKKA_46737,74.53,38,38,4.72E6,4,1,4,Oxidation (M),11297,hypothetical protein
205,392364,ETNP_90m_PROKKA_170958,74.39,26,26,7.17E6,3,3,5,,12531,Photosystem I P700 chlorophyll a apoprotein A1
168,392330,ETNP14_120maa_PROKKA_40215,73.48,3,3,3.32E6,5,5,5,Carbamidomethylation,181476,Multicopper oxidase
287,392796,ETNP_100m_PROKKA_73186,73.09,29,29,1.27E6,2,2,3,,11204,hypothetical protein
287,392797,ETNP_120m_PROKKA_00651,73.09,29,29,1.27E6,2,2,3,,11204,hypothetical protein
182,392500,ETNP_120m_PROKKA_225416,73.01,51,51,3.39E6,3,3,6,Carbamidomethylation; Deamidation (NQ),9360,hypothetical protein
182,392501,ETNP_100m_particle_PROKKA_136612,73.01,51,51,3.39E6,3,3,6,Carbamidomethylation; Deamidation (NQ),9360,hypothetical protein
182,392502,ETNP_120m_particle_PROKKA_117690,73.01,51,51,3.39E6,3,3,6,Carbamidomethylation; Deamidation (NQ),9300,hypothetical protein
130,480,EJK63755,72.83,7,7,7.85E5,3,1,4,,39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
130,490,XP_002179286,72.83,27,27,7.85E5,3,1,4,,11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
130,491,EJK69577,72.83,27,27,7.85E5,3,1,4,,11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
130,492,XP_002179505,72.83,27,27,7.85E5,3,1,4,,11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
130,493,EJK72475,72.83,24,24,7.85E5,3,1,4,,13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
285,392571,NP_300m_PROKKA_08503,72.42,9,9,1.74E6,3,2,3,,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
285,392572,ETNP_120m_PROKKA_310245,72.42,9,9,1.74E6,3,2,3,,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
285,392573,ETNP_120m_particle_PROKKA_108393,72.42,9,9,1.74E6,3,2,3,,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
285,392574,ETNP_110m_PROKKA_29371,72.42,9,9,1.74E6,3,2,3,,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
228,1019,WP_011128755,72.22,3,3,9.04E5,2,1,2,,77519,polyribonucleotide nucleotidyltransferase Synechococcus sp WH 8102
228,392640,ETNP14_68maa_PROKKA_95644,72.22,4,4,9.04E5,2,1,2,,67383,Polyribonucleotide nucleotidyltransferase
228,1035,WP_038543435,72.22,3,3,9.04E5,2,1,2,,77839,polynucleotide phosphorylase Synechococcus sp KORDI-100
228,358258,CAK24334.1,72.22,3,3,9.04E5,2,1,2,,77641,Polyribonucleotide nucleotidyltransferase [Synechococcus sp. WH 7803]
228,392641,ETNP_90m_PROKKA_93094,72.22,3,3,9.04E5,2,1,2,,77686,Polyribonucleotide nucleotidyltransferase
228,392642,ETNP_90m_PROKKA_77584,72.22,3,3,9.04E5,2,1,2,,77835,Polyribonucleotide nucleotidyltransferase
228,1017,WP_036914182,72.22,3,3,9.04E5,2,1,2,,77853,polynucleotide phosphorylase Prochlorococcus
228,392643,ETNP_120m_free_PROKKA_134968,72.22,3,3,9.04E5,2,1,2,,80344,Polyribonucleotide nucleotidyltransferase
228,392644,ETNP_100m_particle_PROKKA_55757,72.22,3,3,9.04E5,2,1,2,,80404,Polyribonucleotide nucleotidyltransferase
228,392645,ETNP_120m_PROKKA_102787,72.22,3,3,9.04E5,2,1,2,,80402,Polyribonucleotide nucleotidyltransferase
212,392311,ETNP_140m_PROKKA_79475,71.48,18,18,2.2E6,4,4,5,,31697,50S ribosomal protein L2
212,392312,ETNP_100m_PROKKA_75061,71.48,16,16,2.2E6,4,4,5,,35740,50S ribosomal protein L2
129,462,XP_003063038,71.47,27,27,1.6E6,3,1,4,,11395,predicted protein  Micromonas pusilla CCMP1545
129,392418,ETNP_70m_PROKKA_144910,71.47,27,27,1.6E6,3,1,4,,11395,Core histone H2A/H2B/H3/H4
129,464,XP_003061514,71.47,27,27,1.6E6,3,1,4,,11395,histone H4  Micromonas pusilla CCMP1545
129,392419,ETNP_120m_particle_PROKKA_44959,71.47,27,27,1.6E6,3,1,4,,11365,Core histone H2A/H2B/H3/H4
129,466,XP_003061756,71.47,27,27,1.6E6,3,1,4,,11395,predicted protein  Micromonas pusilla CCMP1545
129,467,XP_003059520,71.47,27,27,1.6E6,3,1,4,,11395,predicted protein  Micromonas pusilla CCMP1545
129,392420,gi|1377607612,71.47,27,27,1.6E6,3,1,4,,11381,Histone H4 [Hondaea fermentalgiana]
129,392421,gi|1377603867,71.47,27,27,1.6E6,3,1,4,,11381,Histone H4 [Hondaea fermentalgiana]
129,392422,gi|1377602814,71.47,27,27,1.6E6,3,1,4,,11381,Histone H4 [Hondaea fermentalgiana]
166,929,XP_002185049,70.68,23,23,7.27E5,4,4,6,Hydroxylation,16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
166,930,EJK77863,70.68,23,23,7.27E5,4,4,6,Hydroxylation,16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
166,931,EJK58168,70.68,23,23,7.27E5,4,4,6,Hydroxylation,16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
166,392758,ETNP_90m_PROKKA_55079,70.68,21,21,7.27E5,4,4,6,Hydroxylation,18514,EF hand
140,393072,ETNP_120m_PROKKA_236375,70.38,83,83,1.77E6,4,4,4,,3885,hypothetical protein
140,393073,ETNP_90m_PROKKA_08829,70.38,47,47,1.77E6,4,4,4,,6975,putative cold shock protein A
273,392745,NP_85m_PROKKA_13642,70.23,7,7,2.12E6,2,2,2,,40932,Cell division protein FtsZ
273,784,WP_011129698,70.23,7,7,2.12E6,2,2,2,,40616,cell division protein FtsZ Prochlorococcus marinus
273,392746,ETNP_120m_PROKKA_93821,70.23,8,8,2.12E6,2,2,2,,39717,Cell division protein FtsZ
273,392747,ETNP_90m_PROKKA_209587,70.23,7,7,2.12E6,2,2,2,,40892,Cell division protein FtsZ
273,392748,ETNP_100m_particle_PROKKA_73465,70.23,7,7,2.12E6,2,2,2,,40892,Cell division protein FtsZ
273,392751,ETNP_70m_PROKKA_91076,70.23,8,8,2.12E6,2,2,2,,39203,Cell division protein FtsZ
273,358255,WP_011376951.1,70.23,8,8,2.12E6,2,2,2,,39127,cell division protein FtsZ [Prochlorococcus marinus]
273,358256,WP_011132943.1,70.23,8,8,2.12E6,2,2,2,,39151,cell division protein FtsZ [Prochlorococcus marinus]
273,392752,ETNP_120m_PROKKA_100675,70.23,8,8,2.12E6,2,2,2,,39067,Cell division protein FtsZ
273,790,WP_036911818,70.23,7,7,2.12E6,2,2,2,,40614,cell division protein FtsZ Prochlorococcus
273,877,WP_052041211,70.23,8,8,2.12E6,2,2,2,,38304,cell division protein FtsZ Prochlorococcus sp MIT 0801
273,358257,WP_049752910.1,70.23,8,8,2.12E6,2,2,2,,38319,cell division protein FtsZ [Prochlorococcus marinus]
214,782,WP_053820550,69.98,9,9,4.8E4,2,1,3,Carbamidomethylation,39362,hypothetical protein Candidatus Thioglobus singularis
152,392294,ETNP_120m_PROKKA_342100,69.79,10,10,8.15E5,5,3,5,,57514,60 kDa chaperonin
152,392295,ETNP_120m_PROKKA_317269,69.79,10,10,8.15E5,5,3,5,,57580,60 kDa chaperonin
201,392365,ETNP_160m_PROKKA_80027,69.68,12,12,1.68E6,4,4,4,Oxidation (M); Deamidation (NQ),45882,Photosystem II 44 kDa reaction center protein
201,392370,ETNP_90m_PROKKA_124007,69.68,12,12,1.68E6,4,4,4,Oxidation (M); Deamidation (NQ),44812,Photosystem II 44 kDa reaction center protein
221,392356,ETNP_100m_PROKKA_66801,69.67,14,14,7.25E5,4,4,4,,34999,Cysteine synthase A
203,392652,ETNP_110m_PROKKA_50884,69.32,37,37,2.53E4,4,1,4,Hydroxylation,7989,hypothetical protein
203,392653,ETNP14_120maa_PROKKA_134411,69.32,37,37,2.53E4,4,1,4,Hydroxylation,7989,hypothetical protein
203,392654,NP_85m_PROKKA_06153,69.32,37,37,2.53E4,4,1,4,Hydroxylation,7989,hypothetical protein
203,392655,NP_300m_PROKKA_11192,69.32,37,37,2.53E4,4,1,4,Hydroxylation,7989,hypothetical protein
203,392656,ETNP_100m_particle_PROKKA_77473,69.32,37,37,2.53E4,4,1,4,Hydroxylation,7989,hypothetical protein
203,392657,ETNP_150m_particle_PROKKA_11507,69.32,37,37,2.53E4,4,1,4,Hydroxylation,7989,hypothetical protein
203,392658,ETNP_100m_PROKKA_62640,69.32,37,37,2.53E4,4,1,4,Hydroxylation,7989,hypothetical protein
203,392659,ETNP_300m_PROKKA_00700,69.32,37,37,2.53E4,4,1,4,Hydroxylation,7989,hypothetical protein
203,392660,NP_100m_PROKKA_00297,69.32,37,37,2.53E4,4,1,4,Hydroxylation,7989,hypothetical protein
171,392371,ETNP_100m_particle_PROKKA_54273,69.17,30,30,3.08E6,4,4,4,,17329,R-phycocyanin-2 subunit alpha
171,392372,ETNP_90m_PROKKA_102743,69.17,30,30,3.08E6,4,4,4,,17329,R-phycocyanin-2 subunit alpha
171,392373,ETNP_120m_free_PROKKA_94752,69.17,30,30,3.08E6,4,4,4,,17329,R-phycocyanin-2 subunit alpha
171,392374,ETNP_120m_PROKKA_09407,69.17,30,30,3.08E6,4,4,4,,17329,R-phycocyanin-2 subunit alpha
171,392375,ETNP_120m_particle_PROKKA_157310,69.17,30,30,3.08E6,4,4,4,,17329,R-phycocyanin-2 subunit alpha
252,392921,ETNP_140m_PROKKA_42152,69.16,18,18,1.05E6,2,2,3,,18733,putative nucleotide-binding protein
252,392922,ETNP14_68mB_PROKKA_129429,69.16,18,18,1.05E6,2,2,3,,18733,putative nucleotide-binding protein
252,392923,ETNP_100m_particle_PROKKA_116645,69.16,18,18,1.05E6,2,2,3,,18733,putative nucleotide-binding protein
252,392924,ETNP_160m_PROKKA_213082,69.16,18,18,1.05E6,2,2,3,,18733,putative nucleotide-binding protein
252,392925,ETNP_100m_PROKKA_28036,69.16,18,18,1.05E6,2,2,3,,18829,putative nucleotide-binding protein
252,392926,ETNP_160m_PROKKA_70692,69.16,18,18,1.05E6,2,2,3,,18829,putative nucleotide-binding protein
252,392927,ETNP_110m_PROKKA_32756,69.16,18,18,1.05E6,2,2,3,,18733,putative nucleotide-binding protein
252,392928,ETNP_90m_PROKKA_39243,69.16,18,18,1.05E6,2,2,3,,18733,putative nucleotide-binding protein
252,392929,ETNP_90m_PROKKA_23457,69.16,18,18,1.05E6,2,2,3,,18829,putative nucleotide-binding protein
252,392930,ETNP_100m_particle_PROKKA_84573,69.16,18,18,1.05E6,2,2,3,,18829,putative nucleotide-binding protein
164,392407,ETNP14_68mB_PROKKA_176244,68.55,20,20,5.4E6,3,3,6,,18314,Photosystem Q(B) protein precursor
164,392408,ETNP14_68maa_PROKKA_07611,68.55,17,17,5.4E6,3,3,6,,21658,Photosystem Q(B) protein precursor
164,392409,ETNP_70m_PROKKA_74932,68.55,15,15,5.4E6,3,3,6,,24312,Photosystem Q(B) protein 1 precursor
164,392410,NP_100m_PROKKA_18596,68.55,14,14,5.4E6,3,3,6,,26989,Photosystem Q(B) protein precursor
