Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja09-20170531,Coverage (%) etnp-ja10-20170531,Coverage (%) etnp-ja11-20170531,Coverage (%) etnp-ja12-20170531,Coverage (%) etnp-ja13-20170531,Coverage (%) etnp-ja14-20170531,Coverage (%) etnp-ja15-20170531,Coverage (%) etnp-ja16-20170531,Area etnp-ja09-20170531,Area etnp-ja10-20170531,Area etnp-ja11-20170531,Area etnp-ja12-20170531,Area etnp-ja13-20170531,Area etnp-ja14-20170531,Area etnp-ja15-20170531,Area etnp-ja16-20170531,#Peptides,#Unique,#Spec etnp-ja09-20170531,#Spec etnp-ja10-20170531,#Spec etnp-ja11-20170531,#Spec etnp-ja12-20170531,#Spec etnp-ja13-20170531,#Spec etnp-ja14-20170531,#Spec etnp-ja15-20170531,#Spec etnp-ja16-20170531,PTM,Avg. Mass,Description
506,66738,ETNP_140m_PROKKA_47129,100.01,14,0,7,10,10,4,0,0,0,,1.76E4,3.39E5,2.28E5,4.77E4,,,,6,6,0,2,6,3,1,0,0,0,,60163,Periplasmic murein peptide-binding protein precursor
535,793,NP_100m_PROKKA_27465,99.77,63,0,63,0,0,18,6,0,0,,1.67E6,,,0E0,9.65E5,,,8,6,0,9,0,0,1,1,0,0,Carbamidomethylation; Oxidation (M),15011,hypothetical protein
623,68196,ETNP_100m_PROKKA_79211,99.67,56,0,0,56,22,0,0,0,0,,,5.71E5,9.62E4,,,,,7,4,0,0,8,1,0,0,0,0,,6838,hypothetical protein
623,4257,NP_300m_PROKKA_41484,99.67,56,0,0,56,22,0,0,0,0,,,5.71E5,9.62E4,,,,,7,4,0,0,8,1,0,0,0,0,,6826,hypothetical protein
623,68197,ETNP14_120mab_PROKKA_79742,99.67,56,0,0,56,22,0,0,0,0,,,5.71E5,9.62E4,,,,,7,4,0,0,8,1,0,0,0,0,,6838,hypothetical protein
484,1188,ETNP_110m_PROKKA_05584,99.65,11,0,4,11,0,0,0,0,0,,,1.84E5,,,,,,11,1,0,3,10,0,0,0,0,0,Carbamidomethylation,66462,Multicopper oxidase
683,66866,ETNP_120m_PROKKA_308261,99.64,33,0,33,0,0,0,0,0,0,,2.3E6,,,,,,,6,6,0,7,0,0,0,0,0,0,,17474,Allophycocyanin alpha chain
683,66867,ETNP_120m_free_PROKKA_243017,99.64,33,0,33,0,0,0,0,0,0,,2.3E6,,,,,,,6,6,0,7,0,0,0,0,0,0,,17474,Allophycocyanin alpha chain
683,66868,ETNP_100m_particle_PROKKA_09323,99.64,33,0,33,0,0,0,0,0,0,,2.3E6,,,,,,,6,6,0,7,0,0,0,0,0,0,,17474,Allophycocyanin alpha chain
378,901,ETNP_90m_PROKKA_166636,99.30,23,10,20,6,3,6,0,0,0,1.31E5,1.48E6,,,,,,,13,2,2,11,1,1,2,0,0,0,Oxidation (M),33070,Bacterial actin-related protein
462,1482,NP_85m_PROKKA_11460,99.19,17,12,17,0,0,0,0,0,0,,8.95E4,,,,,,,9,1,6,8,0,0,0,0,0,0,,21013,Major carboxysome shell protein 1A
462,66883,ETNP_90m_PROKKA_107704,99.19,17,12,17,0,0,0,0,0,0,,8.95E4,,,,,,,9,1,6,8,0,0,0,0,0,0,,20953,Major carboxysome shell protein 1A
462,66884,ETNP14_68maa_PROKKA_144266,99.19,17,12,17,0,0,0,0,0,0,,8.95E4,,,,,,,9,1,6,8,0,0,0,0,0,0,,20953,Major carboxysome shell protein 1A
462,66885,ETNP_100m_PROKKA_78557,99.19,17,12,17,0,0,0,0,0,0,,8.95E4,,,,,,,9,1,6,8,0,0,0,0,0,0,,20953,Major carboxysome shell protein 1A
462,1483,ETNP_140m_PROKKA_93175,99.19,17,12,17,0,0,0,0,0,0,,8.95E4,,,,,,,9,1,6,8,0,0,0,0,0,0,,20997,Major carboxysome shell protein 1A
462,66886,ETNP_110m_PROKKA_31455,99.19,17,12,17,0,0,0,0,0,0,,8.95E4,,,,,,,9,1,6,8,0,0,0,0,0,0,,20953,Major carboxysome shell protein 1A
462,66893,ETNP_120m_PROKKA_52602,99.19,40,29,40,0,0,0,0,0,0,,8.95E4,,,,,,,9,1,6,8,0,0,0,0,0,0,,9512,Major carboxysome shell protein 1A
338,67105,KUK93587,98.47,13,2,3,10,8,8,2,0,0,,,1.17E5,,,,,,10,1,1,3,6,5,4,1,0,0,,60336,60 kDa chaperonin Marinimicrobia bacterium 46_43
480,1555,ETNP14_120maa_PROKKA_120756,98.07,72,10,10,72,31,0,0,0,0,,,7.24E5,4.21E4,,,,,10,3,1,1,9,2,0,0,0,0,,7567,Cold shock-like protein CspE
447,67351,ETNP_100m_PROKKA_89305,97.88,53,34,53,0,0,0,0,0,0,,1.3E5,,,,,,,10,1,3,11,0,0,0,0,0,0,Carbamidomethylation,10636,Ferredoxin
447,67352,ETNP_120m_PROKKA_39886,97.88,53,34,53,0,0,0,0,0,0,,1.3E5,,,,,,,10,1,3,11,0,0,0,0,0,0,Carbamidomethylation,10636,Ferredoxin
447,67353,ETNP_120m_free_PROKKA_64852,97.88,53,34,53,0,0,0,0,0,0,,1.3E5,,,,,,,10,1,3,11,0,0,0,0,0,0,Carbamidomethylation,10636,Ferredoxin
447,67354,ETNP_100m_particle_PROKKA_32827,97.88,53,34,53,0,0,0,0,0,0,,1.3E5,,,,,,,10,1,3,11,0,0,0,0,0,0,Carbamidomethylation,10636,Ferredoxin
309,66814,ETNP_90m_PROKKA_138320,97.09,47,33,24,0,0,0,0,0,0,9.1E5,,,,,,,,18,5,11,11,0,0,0,0,0,0,Oxidation (M),18490,C-phycoerythrin class 2 subunit beta
424,66656,ETNP_180m_PROKKA_17359,97.08,26,0,6,14,15,13,2,0,0,,0E0,7.32E5,1.9E5,8.71E5,,,,7,6,0,2,3,5,5,1,0,0,Carbamidomethylation; Deamidation (NQ),34636,glycine betaine transporter periplasmic subunit
424,741,ETNP_120m_particle_PROKKA_107560,97.08,31,0,7,17,18,15,2,0,0,,0E0,7.32E5,1.9E5,8.71E5,,,,7,6,0,2,3,5,5,1,0,0,Carbamidomethylation; Deamidation (NQ),29408,glycine betaine transporter periplasmic subunit
424,736,ETNP_120m_PROKKA_72050,97.08,28,0,7,15,16,14,2,0,0,,0E0,7.32E5,1.9E5,8.71E5,,,,7,6,0,2,3,5,5,1,0,0,Carbamidomethylation; Deamidation (NQ),32648,glycine betaine transporter periplasmic subunit
571,66625,ETNP14_68mB_PROKKA_129429,96.63,33,8,33,0,0,0,0,0,0,,8.94E5,,,,,,,9,4,1,9,0,0,0,0,0,0,,18733,putative nucleotide-binding protein
571,66626,ETNP_140m_PROKKA_42152,96.63,33,8,33,0,0,0,0,0,0,,8.94E5,,,,,,,9,4,1,9,0,0,0,0,0,0,,18733,putative nucleotide-binding protein
571,66627,ETNP_100m_particle_PROKKA_116645,96.63,33,8,33,0,0,0,0,0,0,,8.94E5,,,,,,,9,4,1,9,0,0,0,0,0,0,,18733,putative nucleotide-binding protein
571,66628,ETNP_160m_PROKKA_213082,96.63,33,8,33,0,0,0,0,0,0,,8.94E5,,,,,,,9,4,1,9,0,0,0,0,0,0,,18733,putative nucleotide-binding protein
571,66629,ETNP_110m_PROKKA_32756,96.63,33,8,33,0,0,0,0,0,0,,8.94E5,,,,,,,9,4,1,9,0,0,0,0,0,0,,18733,putative nucleotide-binding protein
571,66630,ETNP_90m_PROKKA_39243,96.63,33,8,33,0,0,0,0,0,0,,8.94E5,,,,,,,9,4,1,9,0,0,0,0,0,0,,18733,putative nucleotide-binding protein
513,66775,NP_85m_PROKKA_07022,96.51,22,0,0,22,3,0,0,0,0,,,5.38E5,,,,,,10,2,0,0,10,1,0,0,0,0,Oxidation (M),38817,Alpha-keto acid-binding periplasmic protein TakP precursor
581,2181,ETNP_100m_particle_PROKKA_73227,96.48,18,0,18,0,0,0,0,0,0,,1.21E6,,,,,,,7,7,0,9,0,0,0,0,0,0,,25582,Poly(beta-D-mannuronate) C5 epimerase 7
441,867,ETNP_90m_PROKKA_51357,96.47,49,0,49,0,0,0,0,0,0,,1.56E6,,,,,,,12,9,0,15,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),20410,hypothetical protein
441,869,ETNP_120m_PROKKA_302154,96.47,45,0,45,0,0,0,0,0,0,,1.56E6,,,,,,,12,9,0,15,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),22196,hypothetical protein
602,879,ETNP14_68maa_PROKKA_146019,96.23,45,25,45,0,0,0,0,0,0,,2.46E5,,,,,,,6,2,3,6,0,0,0,0,0,0,,13251,50S ribosomal protein L7/L12
602,66708,ETNP_100m_PROKKA_36243,96.23,45,25,45,0,0,0,0,0,0,,2.46E5,,,,,,,6,2,3,6,0,0,0,0,0,0,,13241,50S ribosomal protein L7/L12
603,66764,WP_038654094,96.19,12,4,11,0,0,0,0,0,0,,1.09E5,,,,,,,7,1,2,7,0,0,0,0,0,0,,54020,ATP F0F1 synthase subunit alpha Prochlorococcus sp MIT 0801
465,1041,ETNP_110m_PROKKA_12821,96.18,29,4,4,12,16,29,0,0,0,,,4.11E4,8.29E5,9.63E5,,,,5,3,1,1,2,4,6,0,0,0,Carbamidomethylation,21599,Formate dehydrogenase iron-sulfur subunit
465,66713,ETNP_120m_particle_PROKKA_124411,96.18,29,4,4,12,16,29,0,0,0,,,4.11E4,8.29E5,9.63E5,,,,5,3,1,1,2,4,6,0,0,0,Carbamidomethylation,21631,Formate dehydrogenase iron-sulfur subunit
465,66714,ETNP_120m_PROKKA_142582,96.18,29,4,4,12,16,29,0,0,0,,,4.11E4,8.29E5,9.63E5,,,,5,3,1,1,2,4,6,0,0,0,Carbamidomethylation,21631,Formate dehydrogenase iron-sulfur subunit
536,66827,ETNP_120m_PROKKA_47617,96.06,10,0,2,10,3,2,0,0,0,,5.38E4,0E0,1.55E4,,,,,7,1,0,1,7,2,1,0,0,0,Deamidation (NQ),56943,60 kDa chaperonin
699,4675,ETNP_300m_PROKKA_16933,95.86,10,0,0,10,10,10,0,0,0,,,3.46E5,2.05E5,2.1E5,,,,3,3,0,0,2,2,3,0,0,0,,18919,hypothetical protein
699,68848,ETNP_160m_PROKKA_125707,95.86,6,0,0,6,6,6,0,0,0,,,3.46E5,2.05E5,2.1E5,,,,3,3,0,0,2,2,3,0,0,0,,29064,Collagen triple helix repeat (20 copies)
699,68849,ETNP_180m_PROKKA_219695,95.86,6,0,0,6,6,6,0,0,0,,,3.46E5,2.05E5,2.1E5,,,,3,3,0,0,2,2,3,0,0,0,,29064,Collagen triple helix repeat (20 copies)
527,66894,ETNP_120m_free_PROKKA_235730,95.80,12,0,8,12,8,12,0,0,0,,3.79E4,2.22E5,1.37E5,5.73E5,,,,3,2,0,3,3,2,3,0,0,0,,38286,Sialic acid-binding periplasmic protein SiaP precursor
527,66895,ETNP_120m_PROKKA_129906,95.80,12,0,8,12,8,12,0,0,0,,3.79E4,2.22E5,1.37E5,5.73E5,,,,3,2,0,3,3,2,3,0,0,0,,38286,Sialic acid-binding periplasmic protein SiaP precursor
527,66896,ETNP_180m_PROKKA_236449,95.80,12,0,8,12,8,12,0,0,0,,3.79E4,2.22E5,1.37E5,5.73E5,,,,3,2,0,3,3,2,3,0,0,0,,38286,Sialic acid-binding periplasmic protein SiaP precursor
585,1498,ETNP14_120maa_PROKKA_38452,95.75,27,0,23,16,0,5,6,0,0,,7.64E5,2.37E5,,,,,,6,2,0,3,3,0,1,2,0,0,,15766,hypothetical protein
585,66971,ETNP_110m_PROKKA_20631,95.75,24,0,20,15,0,5,6,0,0,,7.64E5,2.37E5,,,,,,6,2,0,3,3,0,1,2,0,0,,17483,hypothetical protein
585,66972,ETNP_120m_free_PROKKA_307801,95.75,24,0,20,15,0,5,6,0,0,,7.64E5,2.37E5,,,,,,6,2,0,3,3,0,1,2,0,0,,17483,hypothetical protein
585,1501,ETNP_100m_PROKKA_58663,95.75,24,0,20,15,0,5,6,0,0,,7.64E5,2.37E5,,,,,,6,2,0,3,3,0,1,2,0,0,,17483,hypothetical protein_ETNP_110m_PROKKA_20631 hypothetical protein_ETNP_120m_free_PROKKA_307801 hypothetical protein_120mF_megahit_EODJEIIO_94005 hypothetical protein
394,67376,ETNP_180m_PROKKA_171726,95.64,9,0,0,5,7,9,0,0,0,,,,,2.94E4,,,,10,1,0,0,4,6,7,0,0,0,Carbamidomethylation,54721,Respiratory nitrate reductase 1 beta chain
600,67630,ETNP_120m_PROKKA_104890,95.59,4,0,2,4,4,4,0,0,0,,8.94E5,6.79E5,2.08E6,1.35E6,,,,5,5,0,1,3,2,3,0,0,0,Deamidation (NQ),63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
600,67631,ETNP_160m_PROKKA_11298,95.59,4,0,2,4,4,4,0,0,0,,8.94E5,6.79E5,2.08E6,1.35E6,,,,5,5,0,1,3,2,3,0,0,0,Deamidation (NQ),63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
600,67632,ETNP_120m_free_PROKKA_226201,95.59,4,0,2,4,4,4,0,0,0,,8.94E5,6.79E5,2.08E6,1.35E6,,,,5,5,0,1,3,2,3,0,0,0,Deamidation (NQ),63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
600,67633,ETNP_180m_PROKKA_236213,95.59,4,0,2,4,4,4,0,0,0,,8.94E5,6.79E5,2.08E6,1.35E6,,,,5,5,0,1,3,2,3,0,0,0,Deamidation (NQ),63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
600,67634,ETNP_140m_PROKKA_39161,95.59,4,0,2,4,4,4,0,0,0,,8.94E5,6.79E5,2.08E6,1.35E6,,,,5,5,0,1,3,2,3,0,0,0,Deamidation (NQ),63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
600,67635,ETNP_300m_PROKKA_75120,95.59,4,0,2,4,4,4,0,0,0,,8.94E5,6.79E5,2.08E6,1.35E6,,,,5,5,0,1,3,2,3,0,0,0,Deamidation (NQ),63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
735,68112,ETNP14_120mab_PROKKA_50153,95.53,24,0,9,15,13,0,0,0,0,,,1.13E6,9.18E4,,,,,5,4,0,1,4,1,0,0,0,0,,10199,DNA-binding protein HU 1
735,68113,NP_125m_PROKKA_12027,95.53,24,0,9,15,13,0,0,0,0,,,1.13E6,9.18E4,,,,,5,4,0,1,4,1,0,0,0,0,,10208,DNA-binding protein HU 1
735,68114,ETNP14_120mab_PROKKA_114940,95.53,24,0,9,15,13,0,0,0,0,,,1.13E6,9.18E4,,,,,5,4,0,1,4,1,0,0,0,0,,10226,DNA-binding protein HU 1
735,68115,ETNP14_120mab_PROKKA_120369,95.53,24,0,9,15,13,0,0,0,0,,,1.13E6,9.18E4,,,,,5,4,0,1,4,1,0,0,0,0,,10226,DNA-binding protein HU 1
735,68129,ETNP14_120mac_PROKKA_02215,95.53,24,0,9,15,13,0,0,0,0,,,1.13E6,9.18E4,,,,,5,4,0,1,4,1,0,0,0,0,,10181,DNA-binding protein HU 1
735,3182,ETNP14_120mab_PROKKA_65965,95.53,24,0,9,15,13,0,0,0,0,,,1.13E6,9.18E4,,,,,5,4,0,1,4,1,0,0,0,0,,10181,DNA-binding protein HU 1_ETNP14_120mab_PROKKA_72592 DNA-binding protein HU 1_ETNP14_120mab_PROKKA_150329 DNA-binding protein HU 1_ETNP14_120mac_PROKKA_02215 DNA-binding protein HU 1
735,68130,ETNP14_120mab_PROKKA_72592,95.53,24,0,9,15,13,0,0,0,0,,,1.13E6,9.18E4,,,,,5,4,0,1,4,1,0,0,0,0,,10181,DNA-binding protein HU 1
735,68131,ETNP14_120maa_PROKKA_189514,95.53,24,0,9,15,13,0,0,0,0,,,1.13E6,9.18E4,,,,,5,4,0,1,4,1,0,0,0,0,,10199,DNA-binding protein HU 1
735,68132,ETNP14_120mab_PROKKA_150329,95.53,24,0,9,15,13,0,0,0,0,,,1.13E6,9.18E4,,,,,5,4,0,1,4,1,0,0,0,0,,10181,DNA-binding protein HU 1
613,66746,ETNP_120m_free_PROKKA_311457,95.49,10,0,9,8,4,6,0,0,0,,5.39E5,2.22E5,3.24E5,3.58E5,,,,4,4,0,3,3,1,2,0,0,0,Carbamidomethylation; Deamidation (NQ),62096,Oligopeptide-binding protein AppA precursor
252,1485,ETNP_100m_particle_PROKKA_07518,95.28,63,42,55,13,0,31,28,0,0,,2.09E5,,,3.81E4,,,,9,3,9,12,1,0,2,2,0,0,,7412,Core histone H2A/H2B/H3/H4
473,67236,ETNP_120m_free_PROKKA_159759,94.85,8,0,0,5,6,2,0,0,0,,,,9.22E4,,,,,8,1,0,0,3,7,3,0,0,0,,79314,Respiratory nitrate reductase 1 alpha chain
608,67014,ETNP_120m_PROKKA_306576,94.81,46,25,46,0,0,0,0,0,0,,8.87E5,,,,,,,7,3,3,6,0,0,0,0,0,0,,13144,50S ribosomal protein L7/L12
608,67015,ETNP_100m_PROKKA_36244,94.81,46,25,46,0,0,0,0,0,0,,8.87E5,,,,,,,7,3,3,6,0,0,0,0,0,0,,13144,50S ribosomal protein L7/L12
608,67016,ETNP_100m_particle_PROKKA_109179,94.81,46,25,46,0,0,0,0,0,0,,8.87E5,,,,,,,7,3,3,6,0,0,0,0,0,0,,13144,50S ribosomal protein L7/L12
608,67017,ETNP_90m_PROKKA_154007,94.81,46,25,46,0,0,0,0,0,0,,8.87E5,,,,,,,7,3,3,6,0,0,0,0,0,0,,13144,50S ribosomal protein L7/L12
608,67018,ETNP_110m_PROKKA_13764,94.81,46,25,46,0,0,0,0,0,0,,8.87E5,,,,,,,7,3,3,6,0,0,0,0,0,0,,13144,50S ribosomal protein L7/L12
486,67787,ETNP14_120mab_PROKKA_21871,94.60,18,0,6,12,12,12,4,0,0,,,,2.09E4,,,,,5,1,0,1,4,3,3,2,0,0,,23283,hypothetical protein
486,67788,ETNP14_120mab_PROKKA_106723,94.60,17,0,6,12,11,12,4,0,0,,,,2.09E4,,,,,5,1,0,1,4,3,3,2,0,0,,24413,Bacterial extracellular solute-binding proteins  family 5 Middle
551,67226,KHE93198,94.51,9,0,0,4,5,3,0,0,0,,,4.3E5,2.6E5,3.05E5,,,,6,6,0,0,2,5,3,0,0,0,,75635,hydrazine synthase BC subunit Candidatus Scalindua brodae
611,67971,ETNP_300m_PROKKA_38781,94.42,18,0,8,16,18,10,0,0,0,,,,3.12E5,1.56E5,,,,4,1,0,1,3,3,2,0,0,0,,20830,Arginine-binding extracellular protein ArtP precursor
482,67241,WP_013262876,94.39,7,0,3,4,4,4,0,0,0,,4.73E4,,,,,,,6,1,0,2,4,3,4,0,0,0,Deamidation (NQ),57692,molecular chaperone GroEL gamma proteobacterium HdN1
393,66731,ETNP_140m_PROKKA_127613,94.30,56,13,56,0,0,0,0,0,0,,7.96E6,,,,,,,12,3,1,16,0,0,0,0,0,0,Oxidation (M),8750,hypothetical protein
393,66732,ETNP_100m_PROKKA_46737,94.30,44,10,44,0,0,0,0,0,0,,7.96E6,,,,,,,12,3,1,16,0,0,0,0,0,0,Oxidation (M),11297,hypothetical protein
393,66740,ETNP_120m_PROKKA_188342,94.30,44,10,44,0,0,0,0,0,0,,7.96E6,,,,,,,12,3,1,16,0,0,0,0,0,0,Oxidation (M),11301,hypothetical protein
393,66741,ETNP_90m_PROKKA_45237,94.30,44,10,44,0,0,0,0,0,0,,7.96E6,,,,,,,12,3,1,16,0,0,0,0,0,0,Oxidation (M),11297,hypothetical protein
393,1096,ETNP_110m_PROKKA_21315,94.30,44,10,44,0,0,0,0,0,0,,7.96E6,,,,,,,12,3,1,16,0,0,0,0,0,0,Oxidation (M),11297,hypothetical protein_ETNP_90m_PROKKA_45237 hypothetical protein_120mF_megahit_ILDJFKLB_44051 hypothetical protein
454,67135,ETNP_140m_PROKKA_76558,94.06,35,3,9,22,0,5,7,0,0,,,,,0E0,,,,11,1,1,2,8,0,1,2,0,0,Oxidation (M),25406,hypothetical protein
637,67622,ETNP_300m_PROKKA_31129,94.01,10,0,0,8,10,8,0,0,0,,,8.29E4,7.4E4,4.26E5,,,,3,1,0,0,2,3,3,0,0,0,Carbamidomethylation,39361,Leu/Ile/Val/Thr-binding protein precursor
637,2609,ETNP_140m_PROKKA_60377,94.01,10,0,0,8,10,8,0,0,0,,,8.29E4,7.4E4,4.26E5,,,,3,1,0,0,2,3,3,0,0,0,Carbamidomethylation,39331,Leucine-specific-binding protein precursor_120mF_megahit_ILDJFKLB_140281 Leucine-specific-binding protein
637,67624,ETNP_120m_PROKKA_03044,94.01,10,0,0,8,10,8,0,0,0,,,8.29E4,7.4E4,4.26E5,,,,3,1,0,0,2,3,3,0,0,0,Carbamidomethylation,38396,Leucine-specific-binding protein precursor
503,67061,ETNP14_120mab_PROKKA_117577,93.73,86,23,10,86,16,0,0,0,0,,,0E0,,,,,,9,1,2,1,8,1,0,0,0,0,,7755,Cold shock-like protein CspE
503,67062,ETNP_110m_PROKKA_49816,93.73,86,23,10,86,16,0,0,0,0,,,0E0,,,,,,9,1,2,1,8,1,0,0,0,0,,7755,Cold shock-like protein CspE
503,67063,ETNP_100m_PROKKA_57720,93.73,86,23,10,86,16,0,0,0,0,,,0E0,,,,,,9,1,2,1,8,1,0,0,0,0,,7755,Cold shock-like protein CspE
503,67064,NP_300m_PROKKA_34561,93.73,86,23,10,86,16,0,0,0,0,,,0E0,,,,,,9,1,2,1,8,1,0,0,0,0,,7755,Cold shock-like protein CspE
503,1808,ETNP_100m_particle_PROKKA_17320,93.73,84,23,10,84,16,0,0,0,0,,,0E0,,,,,,9,1,2,1,8,1,0,0,0,0,,7953,Cold shock-like protein CspE
503,1809,NP_85m_PROKKA_07735,93.73,84,23,10,84,16,0,0,0,0,,,0E0,,,,,,9,1,2,1,8,1,0,0,0,0,,7869,Cold shock-like protein CspE
409,1697,ETNP14_68maa_PROKKA_42470,93.60,15,0,5,7,7,3,0,0,0,,,8.98E3,2.04E2,,,,,9,2,0,5,6,3,2,0,0,0,Deamidation (NQ),57745,60 kDa chaperonin
587,67541,ETNP_160m_PROKKA_52992,93.00,20,0,6,12,12,14,0,0,0,,,,,1.26E5,,,,5,2,0,1,3,2,3,0,0,0,,29164,ABC transporter arginine-binding protein 1 precursor
587,67542,ETNP_120m_PROKKA_131601,93.00,20,0,6,12,12,14,0,0,0,,,,,1.26E5,,,,5,2,0,1,3,2,3,0,0,0,,29164,ABC transporter arginine-binding protein 1 precursor
587,67543,NP_300m_PROKKA_04554,93.00,20,0,6,12,12,14,0,0,0,,,,,1.26E5,,,,5,2,0,1,3,2,3,0,0,0,,29164,ABC transporter arginine-binding protein 1 precursor
587,67544,ETNP_180m_PROKKA_214212,93.00,20,0,6,12,12,14,0,0,0,,,,,1.26E5,,,,5,2,0,1,3,2,3,0,0,0,,29164,ABC transporter arginine-binding protein 1 precursor
541,67248,WP_038544070,92.60,43,13,43,0,0,0,0,0,0,,6.96E5,,,,,,,8,2,1,10,0,0,0,0,0,0,Oxidation (M),8722,hypothetical protein Synechococcus sp KORDI-100
541,67249,WP_011127692,92.60,39,11,39,0,0,0,0,0,0,,6.96E5,,,,,,,8,2,1,10,0,0,0,0,0,0,Oxidation (M),9701,hypothetical protein Synechococcus sp WH 8102
508,67320,ETNP_100m_PROKKA_74688,92.34,59,35,59,0,0,0,0,0,0,2.47E5,1.13E6,,,,,,,8,4,2,10,0,0,0,0,0,0,Deamidation (NQ),8598,Acyl carrier protein
508,67321,ETNP14_68maa_PROKKA_164198,92.34,59,35,59,0,0,0,0,0,0,2.47E5,1.13E6,,,,,,,8,4,2,10,0,0,0,0,0,0,Deamidation (NQ),8598,Acyl carrier protein
508,2062,ETNP_160m_PROKKA_92744,92.34,53,32,53,0,0,0,0,0,0,2.47E5,1.13E6,,,,,,,8,4,2,10,0,0,0,0,0,0,Deamidation (NQ),9468,Acyl carrier protein
508,67322,ETNP_90m_PROKKA_181880,92.34,53,32,53,0,0,0,0,0,0,2.47E5,1.13E6,,,,,,,8,4,2,10,0,0,0,0,0,0,Deamidation (NQ),9498,Acyl carrier protein
508,67323,ETNP_140m_PROKKA_132622,92.34,53,32,53,0,0,0,0,0,0,2.47E5,1.13E6,,,,,,,8,4,2,10,0,0,0,0,0,0,Deamidation (NQ),9498,Acyl carrier protein
501,1776,NP_125m_PROKKA_09628,92.01,24,0,5,8,7,13,0,0,0,,8.39E3,1.03E5,3.47E5,6.55E5,,,,7,7,0,1,2,4,5,0,0,0,Deamidation (NQ),40955,maltose ABC transporter periplasmic protein
501,67198,ETNP_110m_PROKKA_16294,92.01,22,0,5,8,6,12,0,0,0,,8.39E3,1.03E5,3.47E5,6.55E5,,,,7,7,0,1,2,4,5,0,0,0,Deamidation (NQ),43571,maltose ABC transporter periplasmic protein
501,67199,NP_100m_PROKKA_08344,92.01,22,0,5,8,6,12,0,0,0,,8.39E3,1.03E5,3.47E5,6.55E5,,,,7,7,0,1,2,4,5,0,0,0,Deamidation (NQ),43571,maltose ABC transporter periplasmic protein
501,67200,NP_85m_PROKKA_05769,92.01,22,0,5,8,6,12,0,0,0,,8.39E3,1.03E5,3.47E5,6.55E5,,,,7,7,0,1,2,4,5,0,0,0,Deamidation (NQ),43571,maltose ABC transporter periplasmic protein
501,67201,ETNP14_120maa_PROKKA_01943,92.01,22,0,5,8,6,12,0,0,0,,8.39E3,1.03E5,3.47E5,6.55E5,,,,7,7,0,1,2,4,5,0,0,0,Deamidation (NQ),43571,maltose ABC transporter periplasmic protein
476,67545,ETNP_160m_PROKKA_110206,91.35,58,0,25,49,16,16,0,0,0,,,1.26E4,,,,,,6,1,0,2,4,3,4,0,0,0,,7403,Cold shock protein CspA
476,67546,ETNP_300m_PROKKA_09555,91.35,58,0,25,49,16,16,0,0,0,,,1.26E4,,,,,,6,1,0,2,4,3,4,0,0,0,,7403,Cold shock protein CspA
476,67547,ETNP_180m_PROKKA_60674,91.35,58,0,25,49,16,16,0,0,0,,,1.26E4,,,,,,6,1,0,2,4,3,4,0,0,0,,7403,Cold shock protein CspA
495,66594,ETNP_160m_PROKKA_60185,91.25,12,0,0,6,10,5,0,0,0,,,1.53E5,2.17E5,3.54E5,,,,5,3,0,0,4,4,4,0,0,0,,62885,Glutathione-binding protein GsiB precursor
495,796,NP_300m_PROKKA_07046,91.25,13,0,0,7,11,5,0,0,0,,,1.53E5,2.17E5,3.54E5,,,,5,3,0,0,4,4,4,0,0,0,,58350,Glutathione-binding protein GsiB precursor
686,2078,ETNP14_68maa_PROKKA_53132,90.95,34,0,34,0,0,0,0,0,0,,2.19E5,,,,,,,7,2,0,7,0,0,0,0,0,0,,12220,Nitrogen regulatory protein P-II
604,66851,WP_012520087,90.85,8,0,6,5,2,2,0,0,0,,3.63E4,,,,,,,5,1,0,3,3,1,2,0,0,0,,57413,molecular chaperone GroEL Alteromonas mediterranea
631,1392,NP_85m_PROKKA_13642,90.79,16,7,16,0,0,0,0,0,0,,1.94E5,,,,,,,6,2,2,6,0,0,0,0,0,0,,40932,Cell division protein FtsZ
631,1424,ETNP_120m_PROKKA_93821,90.79,16,8,16,0,0,0,0,0,0,,1.94E5,,,,,,,6,2,2,6,0,0,0,0,0,0,,39717,Cell division protein FtsZ
631,67042,ETNP_100m_particle_PROKKA_73465,90.79,16,7,16,0,0,0,0,0,0,,1.94E5,,,,,,,6,2,2,6,0,0,0,0,0,0,,40892,Cell division protein FtsZ
631,67043,ETNP_90m_PROKKA_209587,90.79,16,7,16,0,0,0,0,0,0,,1.94E5,,,,,,,6,2,2,6,0,0,0,0,0,0,,40892,Cell division protein FtsZ
631,67049,WP_036911818,90.79,16,7,16,0,0,0,0,0,0,,1.94E5,,,,,,,6,2,2,6,0,0,0,0,0,0,,40614,cell division protein FtsZ Prochlorococcus
