Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
306,10167,PMM0608,219.13,44,44,1.38E8,10,10,17,Carbamidomethylation,31550,| menB | naphthoate synthase
203,16158,PMM1489,219.06,51,51,1.46E8,13,13,24,Oxidation (M),24881,| rpiA | ribose-5-phosphate isomerase A
267,13310,PMM0963,218.89,34,34,3.92E7,15,15,19,Carbamidomethylation,61653,| ureC | urease subunit alpha
299,16087,PMM0530,218.33,39,39,8.78E7,11,11,17,Carbamidomethylation,45120,| rps1b | 30S ribosomal protein S1 homolog B  putative Nbp1
269,10573,PMM0908,218.25,33,33,1.58E8,15,15,19,Carbamidomethylation,57715,| ilvA | threonine dehydratase
238,16075,PMM1205,218.22,39,39,1.09E8,14,14,21,Carbamidomethylation,45151,| PMM1205 | NDP-hexose 3 4-dehydratase
298,16083,PMM0028,217.95,50,50,2.71E7,11,11,17,Carbamidomethylation,38189,| pdxA | 4-hydroxythreonine-4-phosphate dehydrogenase
200,16309,PMM0906,217.53,84,84,4.24E8,15,15,25,Carbamidomethylation,9013,| psaK | photosystem I PsaK protein (subunit X)
205,10707,PMM1648,217.14,39,39,8.67E7,17,17,24,Carbamidomethylation,63344,| lysC | aspartate kinase
114,9927,PMM0519,216.35,59,59,3.22E8,19,19,36,Carbamidomethylation; Oxidation (M),37182,| tal | transaldolase B
170,16059,PMM1152,215.37,48,48,1.47E8,16,16,27,Carbamidomethylation,36404,| ycf39 | putative chaperon-like protein for quinone binding in photosystem II
224,9787,PMM0164,215.12,49,49,8.39E7,15,15,22,Carbamidomethylation,44900,| trpB | tryptophan synthase subunit beta
153,13033,PMM1259,214.96,47,47,2.06E8,18,18,30,Carbamidomethylation; Oxidation (M),43598,| PMM1259 | pyridoxal-phosphate-dependent aminotransferase
321,10172,PMM1699,214.75,32,32,4.71E7,11,11,16,Carbamidomethylation,39419,| aroF | phospho-2-dehydro-3-deoxyheptonate aldolase
300,16030,PMM0278,214.31,44,44,5.44E7,16,16,17,Carbamidomethylation,55447,| PMM0278 | phosphotransferase superclass
389,10576,PMM0782,214.30,34,34,3.28E7,10,10,14,,41297,| PMM0782 | putative oxidoreductase
187,12889,PMM1288,213.89,49,49,1.88E8,17,17,26,Carbamidomethylation,38727,| pdhA | pyruvate dehydrogenase E1 alpha subunit
235,10706,PMM0907,213.09,25,25,6.94E7,12,12,21,Oxidation (M),68936,| Dxs | 1-deoxy-D-xylulose-5-phosphate synthase
265,16055,PMM0888,213.02,65,65,5.08E7,15,15,20,Carbamidomethylation; Oxidation (M),31976,| dapF | diaminopimelate epimerase
245,16146,PMM1558,212.66,49,49,4.64E8,11,11,21,Carbamidomethylation,23168,| rplC | 50S ribosomal protein L3
250,9879,PMM1466,212.54,41,41,7.59E7,15,15,20,,50624,| fumC | fumarate hydratase
177,9964,PMM1652,212.47,38,38,1.01E8,21,21,27,Carbamidomethylation; Oxidation (M),74309,| PMM1652 | hypothetical protein
218,10285,PMM1234,212.14,46,46,1.22E8,13,13,23,Carbamidomethylation,37266,| PMM1234 | zinc-containing alcohol dehydrogenase superfamily protein
323,16044,PMM0611,211.20,43,43,2.07E7,14,14,16,Carbamidomethylation,49750,| glmU | UDP-N-acetylglucosamine pyrophosphorylase
175,10395,PMM1544,210.62,65,65,2.36E8,12,12,27,Oxidation (M),19630,| rplF | 50S ribosomal protein L6
213,10673,PMM1501,210.54,36,36,6.41E7,15,15,23,,68413,| PMM1501 | ribonuclease E/G
249,12779,PMM1280,210.37,38,38,5.7E7,16,15,20,Carbamidomethylation,45957,| PMM1280 | putative bifuntional enzyme: tRNA methyltransferase; 2-C-methyl-D-erythritol 2 4-cyclodiphosphate synthase
225,16054,PMM0172,209.47,41,41,1.33E8,16,16,22,Carbamidomethylation; Oxidation (M),45242,| ndhH | NAD(P)H-quinone oxidoreductase subunit H
133,10294,PMM0003,209.25,40,40,3.33E8,25,25,32,Carbamidomethylation; Oxidation (M),85197,| purL | phosphoribosylformylglycinamidine synthase II
211,10711,PMM0254,209.13,33,33,4.45E7,22,22,24,,77655,| PMM0254 | hypothetical protein
352,12853,PMM1337,208.82,44,44,3.41E7,11,11,15,Carbamidomethylation,30700,| lpxC | UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
477,10092,PMM1312,208.80,36,36,1.17E8,8,8,11,,40224,| PMM1312 | PIN domain superfamily protein
164,16041,PMM0854,208.73,43,43,5.87E7,24,24,28,Carbamidomethylation,64034,| ftsH4 | cell division protein FtsH4
425,16140,PMM1461,208.44,73,73,6.11E7,9,9,13,Carbamidomethylation; Oxidation (M),15957,| PMM1461 | 7-cyano-7-deazaguanine reductase
327,10014,PMM0043,208.41,32,32,1.32E7,13,13,16,Carbamidomethylation,66103,| PMM0043 | flavoprotein
260,10244,PMM1599,208.34,38,38,5.97E7,12,12,20,,34042,| PMM1599 | hypothetical protein
301,10548,PMM0045,208.03,26,26,1.49E7,13,13,17,Carbamidomethylation,73425,| PMM0045 | arginine decarboxylase
255,12856,PMM0058,207.70,43,43,1.13E8,13,13,20,Carbamidomethylation,37896,| PMM0058 | hypothetical protein
412,16375,PMM1507,206.89,50,50,1.96E8,8,8,13,Carbamidomethylation,12046,| rpsJ | 30S ribosomal protein S10
374,10325,PMM0534,206.75,39,39,6.43E7,7,7,14,Carbamidomethylation; Oxidation (M),37244,| accA | acetyl-CoA carboxylase carboxyltransferase subunit alpha
259,10314,PMM1004,206.38,53,53,5.14E7,15,15,20,Carbamidomethylation,43724,| purT | phosphoribosylglycinamide formyltransferase 2
394,9858,PMM1465,205.83,30,30,3.57E7,11,11,13,Carbamidomethylation,48974,| purB | adenylosuccinate lyase
190,16311,PMM1519,205.80,47,47,1.16E9,12,12,26,Carbamidomethylation,21408,| psaL | photosystem I reaction center protein subunit XI
325,9909,PMM0788,205.42,44,44,2.85E7,12,12,16,Oxidation (M),39474,| proB | gamma-glutamyl kinase
284,10115,PMM0479,205.18,53,53,6.12E7,13,13,18,Carbamidomethylation; Oxidation (M),40553,| PMM0479 | BioD-like N-terminal domain of phosphotransacetylase
257,10126,PMM1711,204.54,35,35,5.86E7,16,16,20,Carbamidomethylation,53097,| sps | sucrose phosphate synthase
288,12785,PMM1637,204.29,41,41,1.18E8,10,10,18,Carbamidomethylation,36043,| PMM1637 | putative transcriptional regulator
274,16103,PMM1650,204.27,56,56,1.38E8,11,11,19,Carbamidomethylation; Oxidation (M),28691,| PMM1650 | hypothetical protein
230,13080,PMM1074,204.05,41,41,8.22E7,18,18,22,Carbamidomethylation; Oxidation (M),57964,| zwf | glucose-6-phosphate 1-dehydrogenase
283,16060,PMM0526,203.88,26,26,1.27E8,14,14,18,,64304,| ilvH | acetolactate synthase 3 catalytic subunit
215,9989,PMM0847,202.16,26,26,4.09E7,19,18,23,Carbamidomethylation,86161,| zam | putative acetazolamide conferring resistance protein Zam
242,13108,PMM1611,201.86,43,43,9.23E7,15,15,21,Carbamidomethylation; Oxidation (M),50874,| thiC | thiamine biosynthesis protein ThiC
162,9747,PMM0044,201.68,30,30,8.05E7,24,24,28,Carbamidomethylation,99139,| alaS | alanyl-tRNA synthetase
523,10624,PMM1138,201.53,42,42,2.07E7,10,10,10,Carbamidomethylation,39945,| PMM1138 | GTP-dependent nucleic acid-binding protein EngD
338,16115,PMM0960,201.18,47,47,6.72E7,12,12,16,Carbamidomethylation,29956,| PMM0960 | mannosyl-3-phosphoglycerate phosphatase
316,13274,PMM0126,200.80,37,37,3.42E7,12,12,16,,36882,| PMM0126 | hypothetical protein
258,16176,PMM0145,200.67,69,69,1.82E8,9,9,20,Carbamidomethylation,13431,| PMM0145 | NADH dehydrogenase I subunit M
365,16306,PMM0027,200.64,52,52,1.59E8,6,6,15,Oxidation (M),18678,| accB fabE | biotin / lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit
339,10731,PMM0508,200.58,27,27,2.3E7,12,12,15,Carbamidomethylation,68208,| proS | prolyl-tRNA synthetase
241,10261,PMM1090,200.13,37,37,5.82E7,16,16,21,Carbamidomethylation,50649,| lysA | diaminopimelate decarboxylase
251,16050,PMM0663,199.81,34,34,5.41E7,15,15,20,Carbamidomethylation; Oxidation (M),61821,| prfC | peptide chain release factor 3
331,16100,PMM1180,199.64,42,42,2.31E8,11,11,16,,29687,| sppA | signal peptide peptidase SppA (protease IV)
266,16167,PMM1237,199.61,44,44,6.29E7,10,10,20,,24146,| PMM1237 | hypothetical protein
309,16097,PMM0453,198.59,55,55,1.55E8,11,11,17,Oxidation (M),26470,| fabG | 3-oxoacyl-[acyl-carrier protein] reductase
297,10155,PMM0795,198.31,29,29,3.92E7,14,14,17,Carbamidomethylation,62937,| PMM0795 | hypothetical protein
197,16135,PMM0481,198.09,60,60,2.23E8,12,12,25,,19022,| PMM0481 | putative nucleotide-binding protein
39,12775,PMM0201,198.05,48,48,2.33E9,20,20,59,,13244,| rplL | 50S ribosomal protein L7/L12
198,9911,PMM0797,197.92,65,65,1.3E8,18,18,25,Carbamidomethylation,35444,| PMM0797 | putative mRNA binding protein
287,16073,PMM0233,197.91,48,48,4.19E7,15,15,18,Carbamidomethylation,37168,| pyrB | aspartate carbamoyltransferase catalytic subunit
293,13309,PMM1694,197.79,68,68,7.5E7,12,12,18,Carbamidomethylation,28092,| cobA | putative uroporphyrin-III C-methyltransferase
128,10145,PMM0214,197.43,30,30,6.9E8,15,15,34,Carbamidomethylation; Oxidation (M),57564,| PMM0214 | putative sulfate transporter
209,16062,PMM0776,197.34,88,88,1.02E8,15,15,24,Carbamidomethylation; Oxidation (M),23181,| PMM0776 | putative uracil phosphoribosyltransferase
304,16172,PMM1313,197.18,40,40,2.19E8,8,8,17,Oxidation (M),24307,| clpP4 | ATP-dependent Clp protease-like protein
239,9981,PMM1577,197.07,34,34,4.41E7,16,16,21,Carbamidomethylation,57322,| trpE | anthranilate synthase component I/chorismate-binding protein
329,13056,PMM0449,197.04,38,38,1.08E8,12,12,16,,37919,| PMM0449 | putative multidrug efflux ABC transporter
270,9904,PMM0496,196.66,41,41,4.77E7,13,13,19,,45751,| sigA | RNA polymerase sigma factor RpoD
312,12960,PMM1231,196.65,38,38,9E7,10,10,17,Carbamidomethylation; Oxidation (M),34752,| PMM1231 | hypothetical protein
253,16159,PMM0096,196.58,42,42,9.35E7,11,11,20,Carbamidomethylation,29224,| PMM0096 | inositol monophosphate family protein
256,9801,PMM0419,195.64,37,37,3.99E7,15,15,20,Carbamidomethylation,55614,| mqo | malate:quinone oxidoreductase
292,16175,PMM1706,195.60,63,63,3.02E8,11,11,18,,17707,| rpsF | 30S ribosomal protein S6
319,10463,PMM1442,195.46,34,34,4.97E7,14,14,16,,49997,| pepP | putative aminopeptidase P
276,13327,PMM0461,195.22,33,33,2.72E8,8,8,19,,34657,| petA | apocytochrome f
308,16068,PMM1565,194.90,57,57,7.62E7,13,13,17,Carbamidomethylation,30342,| PMM1565 | arogenate dehydrogenase
427,10042,PMM0070,194.54,30,30,2.86E7,10,10,12,Carbamidomethylation,48003,| PMM0070 | putative cysteine desulfurase or selenocysteine lyase
322,9971,PMM0302,194.23,25,25,2.06E7,15,15,16,Carbamidomethylation,82356,| selD | selenide water dikinase
286,16102,PMM1588,194.21,63,63,2.19E8,13,13,18,Carbamidomethylation,22740,| PMM1588 | carboxylase domain-containing protein
180,16219,PMM0020,193.92,74,74,4.81E8,11,11,27,Oxidation (M),12949,| PMM0020 | hypothetical protein
367,16088,PMM0762,193.75,25,25,4.5E7,11,11,14,Carbamidomethylation; Oxidation (M),66793,| typA | tyrosine binding protein
243,10006,PMM1139,193.55,52,52,8.62E7,19,18,21,,39590,| PMM1139 | membrane fusion protein
220,10309,PMM1154,193.45,76,76,1.14E8,10,10,23,Oxidation (M),19072,| ilvH | acetolactate synthase 3 regulatory subunit
134,10631,PMM1657,193.16,41,41,2.45E8,18,18,32,Carbamidomethylation; Oxidation (M),50607,| clpX | ATP-dependent protease ATP-binding subunit ClpX
279,10297,PMM1051,192.63,45,45,8.01E7,15,15,19,Carbamidomethylation,46956,| thrA hom | homoserine dehydrogenase
379,16199,PMM1266,191.84,53,53,6.1E7,7,7,14,Oxidation (M),19058,| PMM1266 | hypothetical protein
143,12991,PMM0754,191.77,60,60,3.38E8,15,15,31,Carbamidomethylation; Oxidation (M),24046,| tsf | elongation factor Ts
221,10013,PMM0410,191.76,51,51,3.16E8,10,10,23,Carbamidomethylation,22856,| rpsD | 30S ribosomal protein S4
337,16077,PMM1702,191.73,52,52,5.86E7,12,12,16,Carbamidomethylation,32619,| purU | formyltetrahydrofolate deformylase
385,10025,PMM0072,191.54,45,45,4.11E7,8,8,14,,29234,| PMM0072 | ABC transporter  ATP binding component
396,10477,PMM1310,191.51,39,39,4.06E7,9,9,13,Carbamidomethylation,28262,| panB | 3-methyl-2-oxobutanoate hydroxymethyltransferase
188,10629,PMM0017,190.47,43,43,3.99E8,13,13,26,Carbamidomethylation,40201,| dnaJ | DnaJ protein
281,13233,PMM0205,190.31,51,51,2.7E8,10,10,19,,22774,| nusG | transcription antitermination protein NusG
227,16133,PMM0203,190.30,43,43,3.98E8,9,9,22,,25591,| rplA | 50S ribosomal protein L1
206,9778,PMM0589,190.11,21,21,4.05E7,22,22,24,,149602,| PMM0589 | hypothetical protein
240,12790,PMM0436,190.00,24,24,3.24E7,18,18,21,Carbamidomethylation,97830,| topA | DNA topoisomerase I
414,16119,PMM0110,189.86,50,50,9.74E7,11,11,13,Carbamidomethylation,27230,| PMM0110 | putative glutathione S-transferase
358,10530,PMM0499,189.70,39,39,1.38E8,7,7,15,Carbamidomethylation,30608,| argB | acetylglutamate kinase
605,16314,PMM1279,189.69,48,48,3.15E7,7,7,9,Oxidation (M),17592,| PMM1279 | hypothetical protein
369,12922,PMM0490,189.05,28,28,3.5E7,9,9,14,Carbamidomethylation,41332,| PMM0490 | hypothetical protein
340,12797,PMM0100,188.97,26,26,1.66E7,13,13,15,Carbamidomethylation,62021,| nadB | L-aspartate oxidase
315,16381,PMM0941,188.96,64,64,2.91E8,6,6,17,Carbamidomethylation,12713,| PMM0941 | cAMP phosphodiesterase class-II
436,16383,PMM0235,188.50,55,55,2.04E8,5,5,12,Carbamidomethylation,11411,| gatC | aspartyl/glutamyl-tRNA amidotransferase subunit C
498,16091,PMM0327,188.36,31,31,4.89E7,11,11,11,Carbamidomethylation,55980,| PMM0327 | putative neutral invertase-like protein
572,10428,PMM0257,188.31,23,23,1.36E7,9,9,9,Carbamidomethylation,47574,| PMM0257 | molybdenum cofactor biosynthesis protein
467,16459,PMM1431,188.05,67,67,1E8,5,5,12,Oxidation (M),8976,| rpoZ | DNA-directed RNA polymerase subunit omega
182,13059,PMM1510,187.95,56,56,6.09E8,8,8,27,Oxidation (M),17357,| rps7 | 30S ribosomal protein S7
359,13243,PMM1674,187.93,29,29,3.95E7,9,9,15,,51259,| dnaB | DnaB replicative helicase
345,16287,PMM0295,187.62,52,52,7.52E7,9,9,15,Carbamidomethylation,15874,| rub | putative rubredoxin
344,16130,PMM0929,187.46,26,26,6.03E7,10,10,15,,53762,| secD | preprotein translocase subunit SecD
196,10567,PMM0005,187.12,27,27,4.35E7,21,21,25,Carbamidomethylation,93039,| PMM0005 | DNA gyrase/topoisomerase IV  subunit A
490,12893,PMM1536,187.06,23,23,1.02E8,5,5,11,,13766,| rps11 | 30S ribosomal protein S11
488,16136,PMM0531,186.84,41,41,5.14E7,10,10,11,Carbamidomethylation,29453,| PMM0531 | creatininase
393,16160,PMM0704,186.78,31,31,4.91E7,7,7,13,Carbamidomethylation,39025,| PMM0704 | VIC family potassium channel protein
426,9710,|#CONTAM#K1C10_HUMAN|,186.40,24,24,1.48E7,10,10,12,Carbamidomethylation,59519,sp|#CONTAM#K1C10_HUMAN|
174,16542,PMM0581,186.36,37,37,5.66E8,8,8,27,Oxidation (M),12357,| petE | plastocyanin
261,16168,PMM0320,185.82,77,77,2.48E8,13,13,20,Oxidation (M),12164,| minE | cell division topological specificity factor MinE
415,13086,PMM0292,185.69,79,79,1.02E8,9,9,13,Carbamidomethylation,20252,| ndhJ | NADH dehydrogenase subunit J
305,13228,PMM0323,185.66,34,34,4.88E7,13,13,17,Carbamidomethylation,48910,| PMM0323 | hypothetical protein
328,10030,PMM0514,185.58,46,46,2.11E7,14,14,16,Oxidation (M),47109,| PMM0514 | putative dihydroorotase
341,9712,|#CONTAM#K2C1_HUMAN|,184.79,22,22,3.4E7,13,12,15,Carbamidomethylation,65886,sp|#CONTAM#K2C1_HUMAN|
545,10179,PMM0969,184.26,43,43,3.72E7,7,7,10,Carbamidomethylation,21780,| ureG | urease accessory protein UreG
246,16105,PMM1584,183.87,57,57,1.2E8,11,11,21,Carbamidomethylation,24708,| rnd | putative ribonuclease D
272,16216,PMM1463,183.82,70,70,2.99E8,10,10,19,Oxidation (M),12314,| glnB | nitrogen regulatory protein P-II
357,13002,PMM0713,183.71,56,56,5.1E7,13,13,15,Carbamidomethylation,37941,| gap1 | putative glyceraldehyde 3-phosphate dehydrogenase
296,13234,PMM0996,183.68,80,80,1.02E8,9,9,18,Carbamidomethylation; Oxidation (M),12250,| PMM0996 | hypothetical protein
210,16143,PMM0403,183.61,82,82,4.36E8,11,11,24,Carbamidomethylation; Oxidation (M),16629,| PMM0403 | hypothetical protein
391,16304,PMM0055,183.16,56,56,8.67E7,6,6,14,,16976,| PMM0055 | hypothetical protein
186,13202,PMM0079,183.12,69,69,3.72E8,13,13,26,Carbamidomethylation; Oxidation (M),17799,| bcp | putative bacterioferritin comigratory (BCP) protein
277,16129,PMM1235,182.94,35,35,3.04E8,11,11,19,,31203,| PMM1235 | hypothetical protein
514,16251,PMM0366,182.70,62,62,9.3E7,8,8,11,Carbamidomethylation,14284,| PMM0366 | type-1 copper (blue) domain-containing protein
373,13133,PMM1654,182.65,30,30,2.28E7,10,10,14,Carbamidomethylation,37946,| asd | aspartate semialdehyde dehydrogenase
417,16378,PMM0378,182.49,80,80,1.52E8,4,4,13,Oxidation (M),10076,| PMM0378 | hypothetical protein
439,13144,PMM1342,182.31,26,26,3.13E7,10,10,12,Carbamidomethylation,56950,| kaiC | circadian clock protein KaiC
634,12930,PMM0184,182.20,52,52,1.69E7,7,7,8,Carbamidomethylation,22097,| pabA | para-aminobenzoate synthase component II
362,10681,PMM1613,182.17,41,41,8.99E7,12,12,15,,41815,| PMM1613 | zinc metallopeptidase
571,16137,PMM0370,181.46,18,18,5.92E7,7,7,9,,61614,| PMM0370 | putative cyanate ABC transporter  substrate binding protein
529,10447,PMM1335,181.44,38,38,4.27E7,6,6,10,Carbamidomethylation,30260,| lpxA | UDP-N-acetylglucosamine acyltransferase
375,13048,PMM0186,181.40,35,35,1.49E7,10,10,14,Carbamidomethylation,42388,| hisC | aminotransferase class-I
348,10228,PMM0274,181.37,25,25,5.03E7,9,9,15,Carbamidomethylation; Oxidation (M),47271,| PMM0274 | hypothetical protein
349,16178,PMM0522,181.24,49,49,2.48E7,8,8,15,Carbamidomethylation; Oxidation (M),25356,| pyrH | uridylate kinase
422,16322,PMM0367,181.07,67,67,1.78E8,8,8,13,Carbamidomethylation; Oxidation (M),14400,| PMM0367 | hypothetical protein
278,10318,PMM1109,180.98,32,32,1.19E8,8,8,19,,20830,| PMM1109 | hypothetical protein
593,16112,PMM0188,180.86,40,40,2.41E7,9,9,9,Carbamidomethylation,32366,| nadC | nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase
263,16367,PMM1391,180.86,81,81,2.82E8,10,10,20,,8735,| PMM1391 | CopG family protein
295,9884,PMM0893,180.84,30,30,2.8E7,15,15,18,Carbamidomethylation,64656,| ribA/ribB | bifunctional 3 4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II/unknown domain fusion protein
491,10231,PMM0913,180.36,30,30,2.35E7,10,10,11,,43596,| PMM0913 | putative ABC transporter
400,16165,PMM0821,180.08,32,32,2.36E7,7,7,13,,35863,| PMM0821 | L-asparaginase II
403,16063,PMM1500,179.99,35,35,2.23E7,12,12,13,Carbamidomethylation,45576,| PMM1500 | L L-diaminopimelate aminotransferase
697,16344,PMM0799,179.73,29,29,4.81E7,6,6,7,,22757,| PMM0799 | hypothetical protein
273,9755,PMM0493,179.70,32,32,4.89E7,14,14,19,,57918,| cxp | carboxypeptidase Taq (M32) metallopeptidase
310,16183,PMM0558,179.25,72,72,1.6E8,8,8,17,Carbamidomethylation,13995,| PMM0558 | hypothetical protein
499,12839,PMM1570,179.21,32,32,3.12E7,11,11,11,Carbamidomethylation,42681,| PMM1570 | hypothetical protein
631,10282,PMM0544,178.81,24,24,8.35E6,8,8,8,Carbamidomethylation,59104,| chlB | light-independent protochlorophyllide reductase subunit B
219,16051,PMM1065,178.09,35,35,6.02E7,20,20,23,Carbamidomethylation,60998,| PMM1065 | hypothetical protein
404,10541,PMM0473,177.84,23,23,4.56E7,10,10,13,Carbamidomethylation,55384,| gltX | glutamyl-tRNA synthetase
445,12808,PMM0291,177.83,30,30,5.3E7,9,9,12,Carbamidomethylation,48364,| PMM0291 | hypothetical protein
628,16240,PMM1638,177.39,33,33,6.48E7,7,6,8,,26618,| cysE | Serine acetyltransferase
451,13230,PMM0484,177.30,43,43,3.83E7,10,10,12,Carbamidomethylation; Oxidation (M),32522,| xthA | exodeoxyribonuclease III
527,16128,PMM1472,177.14,25,25,1.77E7,9,9,10,,48708,| BioA | putative diaminopelargonic acid synthase
429,10751,PMM0844,176.75,21,21,5.58E7,8,8,12,Carbamidomethylation,45981,| PNIL34 AT103 | magnesium-protoporphyrin IX monomethyl ester cyclase
521,10184,PMM0209,176.58,19,19,3.7E7,8,8,10,Carbamidomethylation,63087,| PMM0209 | putative kinase
75,16448,PMM0551,176.53,50,50,5.85E8,4,4,44,Carbamidomethylation; Oxidation (M),12940,| rbcS | ribulose bisphosphate carboxylase  small chain
191,16204,PMM0013,176.42,42,42,8.09E8,11,11,25,Carbamidomethylation; Oxidation (M),22732,| PMM0013 | RNA recognition motif-containing protein
397,16096,PMM0827,175.93,25,25,8.07E7,12,12,13,,67796,| PMM0827 | ABC transporter
654,10520,PMM1623,175.87,61,61,4.14E7,7,7,8,,13815,| ssb | single-stranded DNA-binding protein
484,16248,PMM1503,175.72,42,42,1.41E7,9,9,11,,19051,| PMM1503 | hypothetical protein
324,12894,PMM1340,175.38,40,40,4.66E7,14,14,16,Carbamidomethylation,49311,| purD | phosphoribosylglycinamide synthetase
475,16116,PMM0768,174.64,30,30,2.1E7,9,8,11,Carbamidomethylation,48289,| hemA | glutamyl-tRNA reductase
343,16104,PMM0215,174.53,36,36,6.51E7,11,11,15,Carbamidomethylation,37555,| PMM0215 | delta-aminolevulinic acid dehydratase
318,16074,PMM1270,174.13,47,47,5.15E7,14,13,16,Carbamidomethylation; Oxidation (M),38128,| pheS | phenylalanyl-tRNA synthetase alpha chain
354,13285,PMM0845,174.07,58,58,5.46E7,11,11,15,Carbamidomethylation,20906,| PMM0845 | hypothetical protein
489,16282,PMM1121,173.90,24,24,5.83E7,7,2,11,Carbamidomethylation,38864,| som | porin
311,9836,PMM0759,173.42,20,20,3.9E7,14,14,17,Carbamidomethylation,82784,| glyS | glycyl-tRNA synthetase beta subunit
758,10503,PMM0293,173.21,33,33,2.57E7,5,5,6,Carbamidomethylation; Oxidation (M),27236,| ndhK | NADH dehydrogenase subunit B
432,16197,PMM1656,173.20,38,38,1.21E8,9,9,12,,23692,| clpP2 | Clp protease proteolytic subunit
363,10005,PMM1069,173.19,44,44,6.99E7,12,12,15,Carbamidomethylation; Oxidation (M),32785,| folD | putative bifunctional methylenetetrahydrofolate dehydrogenase methenyltetrahydrofolate/cyclohydrolase
262,12864,PMM0507,173.18,35,35,3.53E8,8,8,20,,16529,| psb27 | putative photosystem II reaction center Psb27 protein
356,16382,PMM1554,173.09,58,58,2.6E8,6,6,15,Oxidation (M),10192,| rpsS | 30S ribosomal protein S19
590,16221,PMM0442,172.93,39,39,3.97E7,6,6,9,,24598,| ribE | riboflavin synthase subunit alpha
336,13218,PMM0521,172.86,57,57,2.12E8,9,9,16,,20609,| frr | ribosome recycling factor
632,16148,PMM1447,172.68,31,31,1.63E7,8,8,8,Carbamidomethylation,37717,| PMM1447 | hypothetical protein
478,16127,PMM0569,172.67,30,30,3.4E7,8,8,11,Carbamidomethylation,39958,| pyrC | dihydroorotase
695,13047,PMM0545,172.39,24,24,2.3E7,7,7,7,Carbamidomethylation,46286,| chlN | light-independent protochlorophyllide reductase subunit N
430,16132,PMM0615,172.33,44,44,3.56E7,9,9,12,Carbamidomethylation,30466,| PMM0615 | putative nitrilase
320,10478,PMM0676,172.20,32,32,4.27E7,12,12,16,Carbamidomethylation,45023,| ispG | 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
313,10692,PMM0601,171.93,49,49,6.41E7,12,12,17,Carbamidomethylation,33755,| PMM0601 | ABC transporter substrate-binding protein
372,10589,PMM0241,171.87,32,32,2.95E7,13,13,14,Carbamidomethylation,50345,| PMM0241 | phosphotransferase superclass
83,13046,PMM1293,171.77,36,36,6.39E8,7,7,42,Oxidation (M),20313,| PMM1293 | FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)
377,16317,PMM0926,171.66,71,71,2.43E8,5,5,14,Oxidation (M),13186,| psb28 | photosystem II reaction center protein Psb28
468,16188,PMM0486,171.59,49,49,6.72E7,8,8,12,,23209,| PMM0486 | hypothetical protein
459,16089,PMM1471,171.30,66,66,1.76E7,11,11,12,Carbamidomethylation,24829,| BioD | putative dethiobiotin synthase
233,16308,PMM0883,171.24,58,58,5.02E8,7,7,22,Carbamidomethylation,17514,| PMM0883 | hypothetical protein
615,13149,PMM1663,171.12,41,41,2.59E7,5,5,9,,21360,| PMM1663 | putative photosystem I assembly related protein Ycf37
387,16307,PMM1409,171.07,71,71,6.18E7,8,8,14,Carbamidomethylation; Oxidation (M),12014,| PMM1409 | rubredoxin
307,10473,PMM0665,171.05,36,36,3.38E7,11,11,17,Oxidation (M),33348,| hslO | Hsp33-like chaperonin
536,16285,PMM1230,170.28,21,21,6.39E7,6,6,10,Carbamidomethylation,35130,| PMM1230 | dehydrogenase E1 component beta subunit
330,13024,PMM1073,170.09,39,39,8.56E7,14,14,16,Carbamidomethylation,48557,| PMM1073 | putative glucose 6-phosphate dehydrogenase effector OpcA
437,16094,PMM0097,170.08,29,29,1.88E7,10,10,12,Carbamidomethylation,54267,| PMM0097 | RND family outer membrane efflux protein
480,13186,PMM0553,169.95,23,23,1.1E7,9,9,11,Oxidation (M),57306,| csoS3 | carboxysome shell protein CsoS3
302,13118,PMM1115,169.94,32,32,4.06E7,14,14,17,Carbamidomethylation,59554,| crtH | putative carotenoid isomerase
457,16098,PMM0955,169.83,50,50,3.69E7,12,11,12,Carbamidomethylation,28159,| msrA | peptide methionine sulfoxide reductase
291,16113,PMM1070,169.82,38,38,6.72E7,10,10,18,,32424,| crtE | polyprenyl synthetase
142,16280,PMM1607,169.61,75,75,1.26E9,7,7,31,Carbamidomethylation; Oxidation (M),8828,| psaC | photosystem I subunit VII
516,16138,PMM0796,169.36,43,43,3.83E7,8,8,11,,28163,| hisA | 1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
626,16352,PMM0117,169.34,54,54,4.37E7,6,6,8,,16412,| PMM0117 | hypothetical protein
537,9876,PMM0502,169.17,50,50,6.94E7,7,7,10,,16751,| PMM0502 | hypothetical protein
326,9846,PMM0004,169.15,35,35,4.53E7,11,11,16,Carbamidomethylation,54949,| purF | amidophosphoribosyltransferase
