Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 14: 282 4-19_965m_netwash1of5-A,Area Sample 14: 282 4-19_965m_netwash1of5-A,#Peptides,#Unique,#Spec Sample 14: 282 4-19_965m_netwash1of5-A,PTM,Avg. Mass,Description
399,170820,ETNP_100,30.47,4,4,5.39E5,1,1,1,,22418,hypothetical protein
399,170821,ETNP_120,30.47,4,4,5.39E5,1,1,1,,23545,hypothetical protein
399,170822,ETNP_90,30.47,4,4,5.39E5,1,1,1,,23545,hypothetical protein
399,170884,ETNP_120,30.47,2,2,5.39E5,1,1,1,,48291,hypothetical protein
141,170882,virus_ANPENILN_01822,30.44,7,7,1.44E5,1,1,2,,13628,hypothetical protein
164,171318,WP_037979737,30.03,3,3,1.22E6,2,2,2,,38825,hypothetical protein Synechococcus sp WH 5701
401,170892,ETNP_100,29.90,10,10,1.46E6,1,1,1,,8504,hypothetical protein
401,170893,ETNP_100,29.90,4,4,1.46E6,1,1,1,,23037,Vitamin B12 dependent methionine synthase  activation domain
401,170894,ETNP_120,29.90,2,2,1.46E6,1,1,1,,46819,hypothetical protein
521,170918,NP_300,29.24,8,8,1.13E6,1,1,1,,12134,hypothetical protein
521,170919,ETNP_140,29.24,5,5,1.13E6,1,1,1,,18878,hypothetical protein
521,170920,ETNP_120,29.24,5,5,1.13E6,1,1,1,,17018,hypothetical protein
216,107,virus_CCADEAMM_07384,29.22,0,0,1.15E5,1,1,1,,454904,hypothetical protein
318,2784,ETNP14_120,29.21,1,1,0E0,1,1,1,,125936,Chromosome partition protein Smc
522,170923,ETNP_120,29.12,8,8,3.48E5,1,1,1,,14469,Xanthine phosphoribosyltransferase
522,170924,ETNP_160,29.12,5,5,3.48E5,1,1,1,,22152,Xanthine phosphoribosyltransferase
522,170925,ETNP_120,29.12,5,5,3.48E5,1,1,1,,22152,Xanthine phosphoribosyltransferase
272,170832,ETNP_120,28.80,7,7,0E0,1,1,1,,13127,60 kDa chaperonin
523,170934,ETNP_120,28.75,2,2,0E0,1,1,1,,43659,Cadherin domain protein
523,170936,ETNP14_68,28.75,1,1,0E0,1,1,1,,73607,Cadherin domain protein
88,17884,WP_012517807,28.67,31,31,2.4E6,3,3,3,,7592,cold-shock protein Alteromonas mediterranea
88,17885,ETNP14_120,28.67,31,31,2.4E6,3,3,3,,7650,Cold shock-like protein CspG
88,17886,ETNP_90,28.67,31,31,2.4E6,3,3,3,,7650,Cold shock-like protein CspG
178,171254,WP_052571658,28.57,3,3,7.04E5,2,2,2,,59557,hypothetical protein Geothrix fermentans
404,170938,ADH91632.1,28.36,1,1,2.46E5,1,1,1,,123627,Protein of unknown function DUF2126 [Starkeya novella DSM 506]
242,170792,KHE92088,28.17,2,2,2.77E5,1,1,1,,40944,hypothetical protein SCABRO_02139 Candidatus Scalindua brodae
242,170940,ETNP_180,28.17,21,21,2.77E5,1,1,1,,4422,hypothetical protein
242,170943,ETNP_90,28.17,4,4,2.77E5,1,1,1,,25058,hypothetical protein
400,170887,WP_011127543,28.04,2,2,4.54E5,1,1,1,,50591,photosystem II reaction center protein Synechococcus
400,170949,NP_85,28.04,10,10,4.54E5,1,1,1,,8583,Photosystem II 44 kDa reaction center protein
400,170950,ETNP_140,28.04,10,10,4.54E5,1,1,1,,8581,Photosystem II 44 kDa reaction center protein
400,170951,ETNP_90,28.04,7,7,4.54E5,1,1,1,,12349,Photosystem II 44 kDa reaction center protein
400,170953,ETNP_100,28.04,6,6,4.54E5,1,1,1,,14777,Photosystem II 44 kDa reaction center protein
400,170954,ETNP_120,28.04,6,6,4.54E5,1,1,1,,15917,Photosystem II 44 kDa reaction center protein
400,170955,ETNP_70,28.04,6,6,4.54E5,1,1,1,,15870,Photosystem II 44 kDa reaction center protein
400,170956,ETNP_60,28.04,4,4,4.54E5,1,1,1,,20586,Photosystem II 44 kDa reaction center protein
400,170957,ETNP_100,28.04,4,4,4.54E5,1,1,1,,22693,Photosystem II 44 kDa reaction center protein
400,170958,ETNP_100,28.04,4,4,4.54E5,1,1,1,,23767,Photosystem II 44 kDa reaction center protein
400,170959,ETNP_120,28.04,3,3,4.54E5,1,1,1,,27086,Photosystem II 44 kDa reaction center protein
400,170961,ETNP_120,28.04,3,3,4.54E5,1,1,1,,34936,Photosystem II 44 kDa reaction center protein
400,170962,EJK54215,28.04,2,2,4.54E5,1,1,1,,45605,hypothetical protein THAOC_26185  Thalassiosira oceanica
400,170963,EJK52339,28.04,2,2,4.54E5,1,1,1,,45605,hypothetical protein THAOC_28386  Thalassiosira oceanica
400,170964,ETNP_160,28.04,2,2,4.54E5,1,1,1,,45882,Photosystem II 44 kDa reaction center protein
400,170965,WP_006171776,28.04,2,2,4.54E5,1,1,1,,49866,photosystem II reaction center protein Synechococcus sp WH 5701
400,170966,ETNP_60,28.04,2,2,4.54E5,1,1,1,,50239,Photosystem II 44 kDa reaction center protein
400,170967,ETNP_70,28.04,2,2,4.54E5,1,1,1,,50239,Photosystem II 44 kDa reaction center protein
400,170968,WP_011824174,28.04,2,2,4.54E5,1,1,1,,50493,photosystem II reaction center protein Prochlorococcus
400,170969,WP_011376803.1,28.04,2,2,4.54E5,1,1,1,,50443,photosystem II 44 kDa subunit reaction center protein [Prochlorococcus marinus]
400,170970,WP_011824174.1,28.04,2,2,4.54E5,1,1,1,,50493,MULTISPECIES: photosystem II 44 kDa subunit reaction center protein [Prochlorococcus]
400,170971,WP_011132792.1,28.04,2,2,4.54E5,1,1,1,,50455,photosystem II 44 kDa subunit reaction center protein [Prochlorococcus marinus]
400,170972,WP_011818757,28.04,2,2,4.54E5,1,1,1,,50499,photosystem II reaction center protein Prochlorococcus
400,170973,ETNP14_68,28.04,2,2,4.54E5,1,1,1,,50539,Photosystem II 44 kDa reaction center protein
400,170974,YP_717204.2,28.04,2,2,4.54E5,1,1,1,,50603,PsbC chloroplast  Ostreococcus tauri
400,170975,WP_038546000,28.04,2,2,4.54E5,1,1,1,,50721,photosystem II reaction center protein Synechococcus sp KORDI-100
400,170976,CAK24074.1,28.04,2,2,4.54E5,1,1,1,,50808,Photosystem II CP43 protein [Synechococcus sp. WH 7803]
400,170977,ETNP_100,28.04,2,2,4.54E5,1,1,1,,50697,Photosystem II 44 kDa reaction center protein
400,170978,ACS36808.1,28.04,2,2,4.54E5,1,1,1,,51676,photosystem II 44 kDa apoprotein (P6) (chloroplast) [Aureococcus anophagefferens]
400,170979,ADB27517,28.04,2,2,4.54E5,1,1,1,,51909,photosystem II CP43 chlorophyll apoprotein chloroplast  Thalassiosira oceanica CCMP1005
126,170910,ETNP_120,27.85,11,11,6.62E5,2,2,2,,16407,30S ribosomal protein S2
11,170981,ETNP_100,27.74,5,5,3.66E7,1,1,13,,18445,Amidohydrolase
11,170982,ETNP_90,27.74,4,4,3.66E7,1,1,13,,28006,Amidohydrolase
11,170984,ETNP14_68,27.74,2,2,3.66E7,1,1,13,,45644,Amidohydrolase
69,134953,ETNP_90,27.73,6,6,1.76E8,2,2,4,,16767,hypothetical protein
12,170895,ETNP14_120,27.70,7,7,3.18E6,1,1,11,Oxidation (M),14346,hypothetical protein
115,170899,EJK76277,27.68,1,1,9.38E4,2,1,2,,363301,hypothetical protein THAOC_01971  Thalassiosira oceanica
89,170986,ETNP14_68,27.57,4,4,4.08E4,1,1,3,,24430,hypothetical protein
405,133721,ETNP_160,27.41,7,7,2.94E5,1,1,1,,16868,hypothetical protein
405,133722,ETNP_120,27.41,7,7,2.94E5,1,1,1,,16970,hypothetical protein
405,133723,ETNP_120,27.41,7,7,2.94E5,1,1,1,,16935,hypothetical protein
405,133724,ETNP_180,27.41,7,7,2.94E5,1,1,1,,16957,hypothetical protein
525,170993,XP_003062140,27.31,1,1,1.54E4,1,1,1,,72880,predicted protein partial  Micromonas pusilla CCMP1545
406,170994,ETNP_300,27.11,10,10,4.56E4,1,1,1,,12375,Nitrogen regulatory protein P-II 1
526,171015,ETNP_180,26.63,2,2,0E0,1,1,1,,38279,D-galactonate dehydratase
321,170929,virus_CCADEAMM_42641,26.62,1,1,2.94E5,1,1,1,,80541,hypothetical protein
527,134967,ETNP_140,26.40,5,5,4.62E6,1,1,1,,15559,hypothetical protein
527,134968,ETNP_120,26.40,5,5,4.62E6,1,1,1,,18918,hypothetical protein
527,134970,ETNP_180,26.40,2,2,4.62E6,1,1,1,,38014,hypothetical protein
527,134971,ETNP_160,26.40,2,2,4.62E6,1,1,1,,38014,hypothetical protein
527,134972,ETNP_120,26.40,2,2,4.62E6,1,1,1,,38014,hypothetical protein
108,2629,ACY16316.1,26.13,0,0,5.2E5,2,1,2,,442497,TPR repeat-containing protein [Haliangium ochraceum DSM 14365]
274,170926,ETNP_120,26.05,4,4,0E0,1,1,1,,24273,SURF1 family protein
74,2765,BAI72682.1,25.64,1,1,1.81E6,2,2,3,,301308,lytic transglycosylase [Azospirillum sp. B510]
528,171515,WP_015798007,25.30,3,3,1.22E5,1,1,1,,26254,two-component system response regulator Acidimicrobium ferrooxidans
68,140,CAN91477.1,25.29,2,2,5.2E8,1,1,4,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
320,9158,EJK50389,25.10,1,1,3.74E5,1,1,1,Oxidation (M),136467,hypothetical protein THAOC_30652  Thalassiosira oceanica
107,170991,EJK46449,25.01,1,1,3.26E7,2,2,2,,254386,hypothetical protein THAOC_34878  Thalassiosira oceanica
407,42,CBE69591,24.88,2,2,2.1E6,1,1,1,,58424,Indole-3-pyruvate decarboxylase Indolepyruvate decarboxylase Candidatus Methylomirabilis oxyfera
407,51,WP_015349883,24.88,0,0,2.1E6,1,1,1,,202176,polyketide synthase Myxococcus stipitatus
179,171519,ETNP14_68,24.87,2,2,1.19E6,1,1,2,,51370,hypothetical protein
53,3122,ETNP14_120,24.84,4,4,9.46E8,1,1,5,,19183,hypothetical protein
100,342,virus_CCADEAMM_08859,24.77,0,0,5.49E6,2,2,2,,523497,hypothetical protein
291,171191,ETNP_300,24.62,3,3,2.32E6,1,1,1,,27019,cobalamin biosynthesis protein CbiG
291,171192,ETNP_180,24.62,3,3,2.32E6,1,1,1,,26999,cobalamin biosynthesis protein CbiG
291,171255,ETNP_100,24.62,2,2,2.32E6,1,1,1,,43889,hypothetical protein
189,145304,ETNP_90,24.56,13,13,3.12E6,2,2,2,,7692,hypothetical protein
411,171232,WP_011217386.1,24.26,1,1,4.79E5,1,1,1,,76579,polyribonucleotide nucleotidyltransferase [Photobacterium profundum]
166,171645,ETNP_120,24.20,5,5,3.44E7,2,2,2,,45275,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
533,171538,ETNP14_68,24.02,1,1,4.36E4,1,1,1,,65306,hypothetical protein
533,171539,ETNP_90,24.02,1,1,4.36E4,1,1,1,,65274,hypothetical protein
185,171657,CAK22500.1,23.97,2,2,2.36E6,2,2,2,,73042,Predicted hydrolase of the metallo-beta-lactamase superfamily [Synechococcus sp. WH 7803]
201,58457,ACY14297.1,23.93,0,0,9.72E5,1,1,1,,844058,amino acid adenylation domain protein [Haliangium ochraceum DSM 14365]
162,171062,ETNP14_68,23.93,3,3,1.22E6,2,2,2,,53452,Nucleoside triphosphate pyrophosphohydrolase
99,142711,WP_011218968.1,23.87,6,6,3.11E6,2,2,2,,32881,citrate (pro-3S)-lyase subunit beta [Photobacterium profundum]
163,171283,ETNP_120,23.74,6,6,2.66E4,1,1,2,,16809,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
534,171541,ABI75814.1,23.65,11,11,2.5E4,1,1,1,,23202,ribosomal 5S rRNA E-loop binding protein Ctc/L25/TL5 [Hyphomonas neptunium ATCC 15444]
413,171266,BAJ27099.1,23.62,2,2,3.63E5,1,1,1,,43277,putative siderophore biosynthesis protein [Kitasatospora setae KM-6054]
413,171543,ETNP_140,23.62,9,9,3.63E5,1,1,1,,9808,hypothetical protein
413,171544,Fosmid_PROKKA_01208,23.62,8,8,3.63E5,1,1,1,,11424,hypothetical protein
536,171548,NP_867015,23.53,8,8,2.47E6,1,1,1,,12982,hypothetical protein RB6002 Rhodopirellula baltica SH 1
143,171555,SAR11,23.47,2,2,3.85E5,1,1,2,Oxidation (M),43204,Aspartate aminotransferase
276,8300,ETNP14_68,23.34,1,1,6.2E4,1,1,1,,150365,PKD domain protein
187,171806,ETNP_70,23.32,4,4,1.63E5,2,1,2,,33789,Porphobilinogen deaminase
181,444,ETNP_160,23.22,5,5,4.73E7,1,1,2,,16500,hypothetical protein
408,171194,ETNP_140,23.13,9,9,1.89E5,1,1,1,,12009,hypothetical protein
283,171047,ETNP_120,23.00,1,1,1.43E4,1,1,1,Carbamidomethylation,92933,Tetratricopeptide repeat protein
415,171312,WP_011217133.1,22.98,6,6,8.56E5,1,1,1,,15378,50S ribosomal protein L16 [Photobacterium profundum]
538,171568,KUK56224,22.87,1,1,5.57E6,1,1,1,,121095,WD40-like beta Propeller containing protein Marinimicrobia bacterium 46_47
326,170987,ETNP_100,22.77,2,2,1.72E5,1,1,1,,44182,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
326,170988,ETNP_120,22.77,2,2,1.72E5,1,1,1,,44182,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
355,171566,WP_013751575.1,22.70,2,2,2.61E5,1,1,1,,40090,ABC transporter permease [Dokdonia sp. 4H-3-7-5]
355,171567,WP_035336262.1,22.70,2,2,2.61E5,1,1,1,,40040,ABC transporter permease [Dokdonia sp. PRO95]
245,170932,WP_013111820.1,22.62,5,5,2.12E5,1,1,1,,16590,beta-Ig-H3/fasciclin [Planctopirus limnophila]
437,23374,ETNP_120,22.54,4,4,0E0,1,1,1,,23921,hypothetical protein
45,171281,ETNP14_68,22.43,2,2,4.55E6,1,1,5,,53902,Cysteine--tRNA ligase
45,171577,NP_30,22.43,2,2,4.55E6,1,1,5,,47239,Cysteine--tRNA ligase
45,171578,ETNP14_68,22.43,2,2,4.55E6,1,1,5,,53628,Cysteine--tRNA ligase
45,171579,ETNP14_68,22.43,2,2,4.55E6,1,1,5,,53799,Cysteine--tRNA ligase
45,171580,ETNP14_68,22.43,2,2,4.55E6,1,1,5,,53830,Cysteine--tRNA ligase
45,171581,ETNP14_120,22.43,2,2,4.55E6,1,1,5,,53628,Cysteine--tRNA ligase
45,171582,ETNP14_120,22.43,2,2,4.55E6,1,1,5,,54281,Cysteine--tRNA ligase
324,170952,NP_300,22.38,4,4,1.2E5,1,1,1,,21503,hypothetical protein
429,171400,ETNP_160,22.34,2,2,9.13E5,1,1,1,,68302,Glutathione import ATP-binding protein GsiA
421,171359,XP_003058797,22.24,1,1,1.2E5,1,1,1,,94736,predicted protein  Micromonas pusilla CCMP1545
541,19118,WP_014436800,22.22,2,2,2.49E5,1,1,1,,62620,DNA polymerase3-5 exonuclease Phycisphaera mikurensis
412,171264,ETNP_90,22.13,12,12,1.04E5,1,1,1,,7636,50S ribosomal protein L29
412,171265,ETNP_160,22.13,12,12,1.04E5,1,1,1,,7636,50S ribosomal protein L29
412,171277,WP_011399912,22.13,13,13,1.04E5,1,1,1,,7329,50S ribosomal protein L29 Hahella chejuensis
412,171585,CAI85256.1,22.13,13,13,1.04E5,1,1,1,,7183,50S ribosomal subunit protein L29 [Pseudoalteromonas haloplanktis TAC125]
197,126079,EJK59471,22.10,0,0,3.76E6,1,1,1,,514684,hypothetical protein THAOC_20301  Thalassiosira oceanica
197,171314,XP_003054770,22.10,2,2,3.76E6,1,1,1,,42540,predicted protein  Micromonas pusilla CCMP1545
197,171395,XP_003063083,22.10,2,2,3.76E6,1,1,1,,46914,predicted protein  Micromonas pusilla CCMP1545
542,171586,WP_015350353,22.07,2,2,8.12E5,1,1,1,,56918,phytoene dehydrogenase Myxococcus stipitatus
543,171589,ETNP_120,22.02,3,3,1.52E6,1,1,1,,34308,hypothetical protein
414,171308,ETNP14_120,22.02,10,10,5.12E5,1,1,1,,8397,Dihydrolipoyl dehydrogenase
414,171325,ETNP_70,22.02,2,2,5.12E5,1,1,1,,50458,Dihydrolipoyl dehydrogenase
414,171384,WP_012519420,22.02,2,2,5.12E5,1,1,1,,50455,dihydrolipoamide dehydrogenase Alteromonas mediterranea
414,171587,ETNP_70,22.02,5,5,5.12E5,1,1,1,,16348,Dihydrolipoyl dehydrogenase
547,57519,ETNP_120,22.01,2,2,1.51E5,1,1,1,,42801,hypothetical protein
423,171370,ETNP14_68,21.93,2,2,3.15E5,1,1,1,,36213,hypothetical protein
293,171320,WP_015352024,21.91,2,2,0E0,1,1,1,,42108,acetyl-CoA acetyltransferase Myxococcus stipitatus
322,170930,ETNP_180,21.86,1,1,1.56E5,1,1,1,,104724,Pyruvate  phosphate dikinase
98,171594,EDP94259.1,21.75,2,2,9.83E5,1,1,3,,42141,hypothetical protein KAOT1_06247  partial [Kordia algicida OT-1]
545,171593,ETNP_100,21.71,14,14,4.12E5,1,1,1,,6776,hypothetical protein
422,171365,XP_002179373,21.70,1,1,0E0,1,1,1,,157835,predicted protein  Phaeodactylum tricornutum CCAP 1055
248,170992,ETNP14_120,21.63,2,2,1.98E5,1,1,1,,46440,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
261,171137,KHE92614,21.37,1,1,2.04E6,1,1,1,,149508,helicase Candidatus Scalindua brodae
549,171605,EJK74731,21.31,3,3,2.96E5,1,1,1,,33268,hypothetical protein THAOC_03576  Thalassiosira oceanica
438,171606,ETNP_140,21.21,6,6,0E0,1,1,1,,18527,Ribose transport system permease protein RbsC
438,171607,ETNP_300,21.21,6,6,0E0,1,1,1,,18527,Ribose transport system permease protein RbsC
438,171608,ETNP_160,21.21,4,4,0E0,1,1,1,,24324,Ribose transport system permease protein RbsC
550,171611,WP_052544767,21.10,1,1,1.06E5,1,1,1,,103182,ABC-ATPase UvrA Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17
550,171612,AKM80282,21.10,1,1,1.06E5,1,1,1,,103182,excinuclease ABC (subunit A) Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17
204,171016,WP_011395054,21.08,2,2,0E0,1,1,1,,53111,molybdopterin dehydrogenase Hahella chejuensis
357,171615,virus_CCADEAMM_14989,21.01,11,11,2.81E5,1,1,1,,8521,hypothetical protein
417,171330,WP_015440738,20.98,4,4,5.15E4,1,1,1,,22912,thiamine pyrophosphokinase Ilumatobacter coccineus
436,171651,ETNP_180,20.95,4,4,2.48E5,1,1,1,,18340,Transcription elongation factor GreB
213,171393,ETNP_120,20.88,1,1,3.29E6,1,1,1,,82925,hypothetical protein
552,135037,ETNP_120,20.75,19,19,3.08E6,1,1,1,,4862,hypothetical protein
552,135038,ETNP_140,20.75,19,19,3.08E6,1,1,1,,4862,hypothetical protein
552,135039,ETNP_300,20.75,19,19,3.08E6,1,1,1,,4862,hypothetical protein
552,135040,ETNP14_68,20.75,12,12,3.08E6,1,1,1,,7698,hypothetical protein
277,170945,EJK69597,20.69,1,1,2.59E4,1,1,1,,79815,hypothetical protein THAOC_09128  Thalassiosira oceanica
433,171431,ETNP_90,20.65,5,5,9.9E4,1,1,1,Oxidation (M),15773,hypothetical protein
117,170989,NP_100,20.64,3,3,6.48E5,1,1,2,,26069,Macrolide export ATP-binding/permease protein MacB
554,171630,ETNP_120,20.57,3,3,7.41E4,1,1,1,,30068,Pyruvate synthase subunit PorB
557,171643,ACY17483.1,20.52,1,1,5.48E6,1,1,1,,105644,2-oxoglutarate dehydrogenase  E1 subunit [Haliangium ochraceum DSM 14365]
555,171633,AAV95113.1,20.45,3,3,1.11E6,1,1,1,,32865,acetamidase/formamidase family protein [Ruegeria pomeroyi DSS-3]
360,171641,ETNP_90,20.30,7,7,1.82E7,1,1,1,,12284,hypothetical protein
558,171646,ETNP_180,20.24,1,1,6.59E5,1,1,1,,99227,Bacterial membrane protein YfhO
559,171648,WP_011132972.1,20.13,2,2,2.57E0,1,1,1,,78849,hypothetical protein [Prochlorococcus marinus]
184,171655,WP_011783898,20.02,2,2,4.06E5,1,1,2,,39014,spermidineputrescine ABC transporter substrate-binding protein Marinobacter
563,171656,ETNP_140,20.02,2,2,5.86E5,1,1,1,,42255,putative glutamine ABC transporter permease protein GlnM
323,170939,WP_026853204,20.02,2,2,7.14E6,1,1,1,,76709,hypothetical protein Geothrix fermentans
