Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 264+265-NT1+2-94m-p1trap,Coverage (%) 266+267-NT3+4--265m-p1trap,Coverage (%) 268_269-NT5+6-965m-p2trap,Coverage (%) 111-2012-105m-bb2trap,Coverage (%) 97-2012-750m-bb2trap,Area 264+265-NT1+2-94m-p1trap,Area 266+267-NT3+4--265m-p1trap,Area 268_269-NT5+6-965m-p2trap,Area 111-2012-105m-bb2trap,Area 97-2012-750m-bb2trap,#Peptides,#Unique,#Spec 264+265-NT1+2-94m-p1trap,#Spec 266+267-NT3+4--265m-p1trap,#Spec 268_269-NT5+6-965m-p2trap,#Spec 111-2012-105m-bb2trap,#Spec 97-2012-750m-bb2trap,PTM,Avg. Mass,Description
413,383,ETNP14_120,84.11,11,0,0,0,11,0,,,,6.1E6,,3,1,0,0,0,3,0,Carbamidomethylation,35809,Isocitrate dehydrogenase [NADP]
185,938,NP_100,84.06,10,0,0,2,8,0,,,,6.76E5,,6,1,0,0,1,6,0,,50893,ATP synthase subunit beta
185,939,NP_300,84.06,10,0,0,2,8,0,,,,6.76E5,,6,1,0,0,1,6,0,,50921,ATP synthase subunit beta
204,397,ABA59515.1,83.72,10,0,0,3,10,3,,,,,,5,0,0,0,2,3,1,,49953,ATP synthase F1 subcomplex beta subunit [Nitrosococcus oceani ATCC 19707]
226,428,XP_003057685,83.58,16,0,0,6,16,0,,,1.45E5,1.89E6,,4,3,0,0,1,5,0,Carbamidomethylation,25825,predicted protein  Micromonas pusilla CCMP1545
178,784,WP_011313309,83.52,9,0,0,4,9,3,,,,0E0,,6,1,0,0,3,3,1,,49752,ATP synthase subunit beta Thiobacillus denitrificans
266,502,NP_30,83.23,14,0,0,2,9,3,,,,,,5,0,0,0,1,3,1,Carbamidomethylation,43999,Elongation factor Tu
266,509,ETNP14_68,83.23,14,0,0,2,9,3,,,,,,5,0,0,0,1,3,1,Carbamidomethylation,44076,Elongation factor Tu
188,808,ETNP_160,83.11,10,0,0,4,10,3,,,,,,6,0,0,0,3,3,1,,49433,ATP synthase subunit beta
933,989,XP_003055773,82.96,7,0,0,0,7,0,,,,2.06E5,,2,1,0,0,0,2,0,,44951,proteasomal ATPase  Micromonas pusilla CCMP1545
933,1179,ETNP_70,82.96,12,0,0,0,12,0,,,,2.06E5,,2,1,0,0,0,2,0,,26112,ATP-dependent zinc metalloprotease FtsH
187,844,ETNP_140,82.85,8,0,0,4,8,2,,,,7.68E4,,6,1,0,0,3,3,1,,49467,ATP synthase subunit beta
69,586,XP_002180358,82.85,28,18,14,17,22,7,0E0,,1.46E6,,,9,1,4,3,4,5,3,,14700,histone H2A isoform 2  Phaeodactylum tricornutum CCAP 1055
344,1058,XP_002185608,82.56,5,0,0,0,5,0,,,,,,4,0,0,0,0,4,0,,80549,predicted protein  Phaeodactylum tricornutum CCAP 1055
298,470,BAI72321.1,82.14,9,0,0,0,9,0,,,,,,3,0,0,0,0,4,0,,45736,isocitrate dehydrogenase [Azospirillum sp. B510]
523,429,ETNP14_68,81.43,13,0,0,0,6,7,,,,,,3,0,0,0,0,1,2,,29888,60 kDa chaperonin
1064,2035,ETNP_160,81.38,9,0,0,0,9,0,,,,2.77E6,,1,1,0,0,0,2,0,,23171,hypothetical protein
1064,2036,ETNP_100,81.38,9,0,0,0,9,0,,,,2.77E6,,1,1,0,0,0,2,0,,23263,hypothetical protein
1064,2037,ETNP_180,81.38,9,0,0,0,9,0,,,,2.77E6,,1,1,0,0,0,2,0,,23200,hypothetical protein
1064,2038,ETNP_300,81.38,9,0,0,0,9,0,,,,2.77E6,,1,1,0,0,0,2,0,,23158,hypothetical protein
271,463,WP_013046767,81.28,9,0,0,0,4,5,,,,,,5,0,0,0,0,2,3,,58177,molecular chaperone GroEL Candidatus Puniceispirillum marinum
276,1720,ETNP14_120,81.06,4,3,0,0,4,0,,,,4.11E5,,3,1,2,0,0,3,0,,46954,Enolase
355,861,ETNP_120,80.66,17,0,0,0,17,5,,,,1.5E6,4.13E4,3,3,0,0,0,3,1,,22007,hypothetical protein
359,1702,ETNP_160,80.52,14,0,0,0,14,14,,,,4.15E5,7.58E4,1,1,0,0,0,2,2,,19774,hypothetical protein
359,1703,ETNP_150,80.52,9,0,0,0,9,9,,,,4.15E5,7.58E4,1,1,0,0,0,2,2,,33243,hypothetical protein
359,1704,ETNP_140,80.52,8,0,0,0,8,8,,,,4.15E5,7.58E4,1,1,0,0,0,2,2,,37762,hypothetical protein
319,533,ADH87947.1,80.50,9,0,0,0,7,2,,,,5.1E4,,4,1,0,0,0,3,1,,57593,chaperonin GroEL [Starkeya novella DSM 506]
216,330,ETNP_100,80.39,34,0,0,0,34,0,,,,9.49E5,,5,1,0,0,0,6,0,Carbamidomethylation; Oxidation (M),23940,Photosystem I reaction center subunit III precursor
33,1352,WP_011311327,80.25,4,3,2,2,1,0,1.37E5,,,9.04E4,,5,2,12,10,14,1,0,Oxidation (M),94795,chaperone protein ClpB Thiobacillus denitrificans
259,461,ADH89392.1,80.19,12,0,0,0,7,6,,,,,2.91E5,5,1,0,0,0,3,2,,57737,chaperonin GroEL [Starkeya novella DSM 506]
230,612,WP_011128875,80.10,17,0,0,0,17,8,,,,,,3,0,0,0,0,4,2,Oxidation (M),19147,bleomycin hydrolase Synechococcus
142,535,XP_003059832,79.80,23,0,6,6,23,6,,,,,,5,0,0,2,1,5,3,,14583,histone H2A  Micromonas pusilla CCMP1545
142,536,XP_003074738,79.80,22,0,6,6,22,6,,,,,,5,0,0,2,1,5,3,,14945,H2a Histone H2A probable IC  Ostreococcus tauri
527,1020,ETNP_70,79.70,18,0,0,0,18,0,,,,2.5E6,,3,3,0,0,0,3,0,,15810,30S ribosomal protein S11
32,1293,NP_300,79.48,3,3,3,1,0,0,2.69E4,4E4,,,,4,1,12,11,14,0,0,,96223,Chaperone protein ClpB
336,399,BAE49007.1,79.48,8,0,0,0,6,2,,,,,,4,0,0,0,0,3,1,,57846,Chaperonin GroEL [Magnetospirillum magneticum AMB-1]
133,2634,WP_015068303,79.33,43,7,0,43,0,0,,,1.57E6,,,9,6,1,0,10,0,0,,12827,50S ribosomal protein L7L12 Alteromonas
936,1404,WP_044184596,79.30,8,0,0,2,6,0,,,,,,2,0,0,0,1,1,0,,24578,triosephosphate isomerase Pirellula staleyi
936,1719,ETNP_120,79.30,21,0,0,5,16,0,,,,,,2,0,0,0,1,1,0,,9912,Triosephosphate isomerase
936,1737,WP_006000741,79.30,8,0,0,2,6,0,,,,,,2,0,0,0,1,1,0,,27763,triose-phosphate isomerase Desulfuromonas acetoxidans
936,1744,ETNP_120,79.30,7,0,0,2,6,0,,,,,,2,0,0,0,1,1,0,,29079,Triosephosphate isomerase
197,923,ETNP14_68,79.29,13,0,0,3,9,1,,,,,,6,0,0,0,3,3,1,Carbamidomethylation,43374,Elongation factor Tu
335,387,ETNP14_68,79.25,10,0,0,1,9,0,,,,,,4,0,0,0,1,3,0,Carbamidomethylation,46060,Isocitrate dehydrogenase [NADP]
210,862,ETNP_120,79.20,16,0,0,2,13,2,,,,1.16E5,,5,1,0,0,1,4,1,Carbamidomethylation,43000,Elongation factor Tu
210,863,ETNP_120,79.20,16,0,0,2,13,2,,,,1.16E5,,5,1,0,0,1,4,1,Carbamidomethylation,43000,Elongation factor Tu
210,864,ETNP_100,79.20,16,0,0,2,13,2,,,,1.16E5,,5,1,0,0,1,4,1,Carbamidomethylation,43000,Elongation factor Tu
317,473,WP_012562601,78.90,9,0,0,0,9,0,,,,,,3,0,0,0,0,4,0,,45091,isocitrate dehydrogenase Oligotropha carboxidovorans
317,475,ETNP_120,78.90,9,0,0,0,9,0,,,,,,3,0,0,0,0,4,0,,45003,Isocitrate dehydrogenase [NADP]
317,480,ADH89456.1,78.90,9,0,0,0,9,0,,,,,,3,0,0,0,0,4,0,,45082,isocitrate dehydrogenase  NADP-dependent [Starkeya novella DSM 506]
278,878,CAK22911.1,78.86,17,0,0,0,17,4,,,,,,3,0,0,0,0,4,1,Oxidation (M),19059,C-phycoerythrin class I beta chain [Synechococcus sp. WH 7803]
219,891,ETNP14_68,78.83,13,0,0,4,11,0,,,,,,5,0,0,0,2,4,0,Carbamidomethylation,43492,Elongation factor Tu
38,1341,ACJ00008.1,78.82,3,1,1,1,2,0,,,,0E0,,4,1,11,10,14,1,0,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
209,774,WP_013260442,78.80,12,0,0,3,7,3,,,,,,5,0,0,0,3,2,1,Carbamidomethylation,43354,elongation factor Tu gamma proteobacterium HdN1
209,775,WP_013260454,78.80,12,0,0,3,7,3,,,,,,5,0,0,0,3,2,1,Carbamidomethylation,43368,elongation factor Tu gamma proteobacterium HdN1
37,1423,ETNP14_120,78.78,2,2,1,1,0,0,,,,,,4,0,12,10,14,0,0,,98294,Chaperone protein ClpB 1
39,1447,WP_006173228,78.72,2,2,1,1,0,0,,,,,,4,0,12,10,14,0,0,,106022,chaperone protein ClpB Synechococcus sp WH 5701
353,384,ETNP14_68,78.51,14,3,0,0,11,0,,,,,,4,0,1,0,0,3,0,Carbamidomethylation,35948,Isocitrate dehydrogenase [NADP]
211,888,ETNP14_120,78.46,15,0,0,2,15,0,,,,7.53E3,,5,1,0,0,1,5,0,Carbamidomethylation,41993,Elongation factor Tu
211,889,ETNP14_68,78.46,14,0,0,2,14,0,,,,7.53E3,,5,1,0,0,1,5,0,Carbamidomethylation,43583,Elongation factor Tu
36,1372,CAK23961.1,78.43,2,2,2,2,0,0,,,,,,4,0,11,10,15,0,0,,92891,ATP-dependent Clp protease ATP-binding subunit clpA homolog [Synechococcus sp. WH 7803]
36,1485,WP_011376649.1,78.43,2,2,2,2,0,0,,,,,,4,0,11,10,15,0,0,,93573,ATP-dependent Clp protease ATP-binding subunit ClpC [Prochlorococcus marinus]
36,1614,WP_011132721.1,78.43,2,2,2,2,0,0,,,,,,4,0,11,10,15,0,0,,93427,ATP-dependent Clp protease ATP-binding subunit ClpC [Prochlorococcus marinus]
36,1656,WP_011824074.1,78.43,2,2,2,2,0,0,,,,,,4,0,11,10,15,0,0,,94922,ATP-dependent Clp protease ATP-binding subunit ClpC [Prochlorococcus marinus]
35,1313,ETNP14_120,77.75,2,2,2,2,0,1,,,,,,4,0,11,10,14,0,1,,91209,Negative regulator of genetic competence ClpC/MecB
495,995,ETNP_120,77.75,22,0,0,0,22,0,,,,1.84E6,,2,2,0,0,0,3,0,Carbamidomethylation,11449,hypothetical protein
338,483,ETNP14_68,77.66,6,0,0,0,6,0,,,,3.3E5,,3,2,0,0,0,4,0,Carbamidomethylation,66957,Phosphoenolpyruvate carboxykinase [GTP]
338,484,ETNP14_68,77.66,6,0,0,0,6,0,,,,3.3E5,,3,2,0,0,0,4,0,Carbamidomethylation,66656,Phosphoenolpyruvate carboxykinase [GTP]
41,1636,WP_012182355.1,77.63,5,2,2,2,3,0,,,,4.21E5,,4,1,11,10,14,1,0,,92767,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
41,1637,WP_012184686.1,77.63,5,2,2,2,3,0,,,,4.21E5,,4,1,11,10,14,1,0,,93571,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
40,1351,ABF62863.1,77.62,3,1,1,1,1,0,,,,4.09E5,,4,1,11,10,14,1,0,,95490,ATPase AAA-2 [Ruegeria sp. TM1040]
34,1456,CAN98337.1,77.42,3,1,3,1,0,0,,9.92E6,,,,4,1,11,11,14,0,0,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
450,853,XP_003082427,77.37,18,0,0,0,18,0,,,,1.5E5,,2,1,0,0,0,3,0,,20697,unnamed protein product  Ostreococcus tauri
450,854,XP_003055413,77.37,17,0,0,0,17,0,,,,1.5E5,,2,1,0,0,0,3,0,,20869,predicted protein  Micromonas pusilla CCMP1545
252,1145,WP_011377087.1,77.01,5,0,0,1,4,1,,,,,,4,0,0,0,1,3,1,Oxidation (M),54242,ATP synthase subunit alpha [Prochlorococcus marinus]
299,587,ETNP_90,76.94,12,0,0,2,7,3,,,,2.53E5,1.28E5,4,2,0,0,1,2,1,Carbamidomethylation,43421,Elongation factor Tu
299,596,CAI87946.1,76.94,12,0,0,2,7,3,,,,2.53E5,1.28E5,4,2,0,0,1,2,1,Carbamidomethylation,43281,protein chain elongation factor EF-Tu; possible GTP-binding factor (duplicate of tufA) [Pseudoalteromonas haloplanktis TAC125]
270,1420,ETSP_PROKKA,76.78,14,0,0,8,14,0,,,,0E0,,5,1,0,0,3,2,0,,21760,ATP synthase subunit beta
468,403,NP_85,76.39,6,0,0,0,6,0,,,,1.37E6,,3,3,0,0,0,3,0,Carbamidomethylation,83226,Photosystem I P700 chlorophyll a apoprotein A2
249,656,ETNP14_68,76.37,12,0,0,2,8,3,,,0E0,1.41E6,,3,1,0,0,1,3,1,,30736,60 kDa chaperonin 5
362,1024,ABQ68960.1,76.30,9,0,0,0,9,0,,,,,,3,0,0,0,0,4,0,Carbamidomethylation,35635,glyceraldehyde-3-phosphate dehydrogenase [Sphingomonas wittichii RW1]
501,1733,XP_003083062,76.16,4,0,0,0,4,0,,,,3.44E6,,1,1,0,0,0,3,0,,42924,RS8_MAIZE 40S ribosomal protein S8 pir||T04088 ribosomal protein S8-maize ISS  Ostreococcus tauri
501,2039,ETNP_70,76.16,8,0,0,0,8,0,,,,3.44E6,,1,1,0,0,0,3,0,,20528,30S ribosomal protein S8e
522,389,ETNP_120,76.12,12,0,0,0,12,0,,,,8.18E5,,3,3,0,0,0,3,0,,36281,hypothetical protein
279,1123,ETNP_90,76.06,21,0,0,0,21,0,,,,1.49E6,,4,4,0,0,0,5,0,,21243,Carbohydrate-selective porin  OprB family
218,720,AGH07461.1,75.82,9,0,0,0,7,2,,,,,,4,0,0,0,0,5,1,,50091,hypothetical protein CYVG_00017 [Cyanophage S-SSM6a]
218,736,ETNP_120,75.82,12,0,0,0,9,3,,,,,,4,0,0,0,0,5,1,,38608,Major capsid protein Gp23
265,453,WP_081440337.1,75.79,9,0,0,2,9,2,,,,7.43E4,,3,1,0,0,1,3,1,,36106,MULTISPECIES: type I glyceraldehyde-3-phosphate dehydrogenase [Planctopirus]
354,630,ETNP_300,75.67,7,2,0,0,5,0,,,,,,3,0,1,0,0,3,0,,45291,Isocitrate dehydrogenase [NADP]
496,1148,ETNP_100,75.58,21,0,0,0,16,6,,,,,1E4,3,1,0,0,0,2,1,,21600,hypothetical protein
328,816,ACA14941.1,75.56,12,0,0,0,9,3,,,,1.11E5,,4,1,0,0,0,3,1,Carbamidomethylation; Oxidation (M),43303,translation elongation factor Tu [Methylobacterium sp. 4-46]
328,817,ACA14926.1,75.56,12,0,0,0,9,3,,,,1.11E5,,4,1,0,0,0,3,1,Carbamidomethylation; Oxidation (M),43303,translation elongation factor Tu [Methylobacterium sp. 4-46]
414,670,ETNP14_120,75.55,7,0,0,0,5,2,,,,,,3,0,0,0,0,2,1,,57849,60 kDa chaperonin 5
1437,1335,ETNP_120,75.42,2,0,0,0,2,0,,,,4.29E5,,1,1,0,0,0,1,0,,121364,Biotin carboxylase
1437,1591,ETNP14_120,75.42,2,0,0,0,2,0,,,,4.29E5,,1,1,0,0,0,1,0,,120784,2-oxoglutarate carboxylase small subunit
1437,1592,ETNP14_120,75.42,2,0,0,0,2,0,,,,4.29E5,,1,1,0,0,0,1,0,,120590,2-oxoglutarate carboxylase small subunit
1437,1898,ETNP_90,75.42,2,0,0,0,2,0,,,,4.29E5,,1,1,0,0,0,1,0,,98173,2-oxoglutarate carboxylase small subunit
449,701,ACY17851.1,75.29,6,0,0,0,3,3,,,,,,3,0,0,0,0,1,2,,57340,chaperonin GroEL [Haliangium ochraceum DSM 14365]
449,715,ACY19055.1,75.29,6,0,0,0,3,3,,,,,,3,0,0,0,0,1,2,,58602,chaperonin GroEL [Haliangium ochraceum DSM 14365]
449,801,ETNP14_120,75.29,6,0,0,0,3,3,,,,,,3,0,0,0,0,1,2,,58138,60 kDa chaperonin 5
320,658,ABI77790.1,75.25,8,0,0,0,8,0,,,,,,3,0,0,0,0,4,0,,45591,isocitrate dehydrogenase  NADP-dependent [Hyphomonas neptunium ATCC 15444]
307,872,ETNP_160,75.23,11,0,0,2,7,2,,,,,,4,0,0,0,1,2,1,Carbamidomethylation,42212,Elongation factor Tu
307,904,ETNP14_120,75.23,11,0,0,2,7,2,,,,,,4,0,0,0,1,2,1,Carbamidomethylation,43128,Elongation factor Tu
321,1036,EJK55859,74.49,22,0,0,0,22,0,,,,6.97E5,,3,1,0,0,0,4,0,,16915,hypothetical protein THAOC_24355  Thalassiosira oceanica
340,660,WP_005008540,74.13,13,0,0,0,9,4,,,,7.15E5,,3,1,0,0,0,3,1,Carbamidomethylation,23788,peroxiredoxin Nitrospina gracilis
340,684,ETNP14_120,74.13,13,0,0,0,9,4,,,,7.15E5,,3,1,0,0,0,3,1,Carbamidomethylation,23650,Selenocysteine-containing peroxiredoxin PrxU
340,685,ETNP14_68,74.13,13,0,0,0,9,4,,,,7.15E5,,3,1,0,0,0,3,1,Carbamidomethylation,23577,Selenocysteine-containing peroxiredoxin PrxU
340,686,ETNP_110,74.13,13,0,0,0,9,4,,,,7.15E5,,3,1,0,0,0,3,1,Carbamidomethylation,23650,Alkyl hydroperoxide reductase subunit C
340,687,ETNP14_120,74.13,13,0,0,0,9,4,,,,7.15E5,,3,1,0,0,0,3,1,Carbamidomethylation,23619,Selenocysteine-containing peroxiredoxin PrxU
340,688,ETNP_120,74.13,13,0,0,0,9,4,,,,7.15E5,,3,1,0,0,0,3,1,Carbamidomethylation,23650,Alkyl hydroperoxide reductase subunit C
316,436,NP_300,73.90,8,0,0,0,0,8,,,,,4.26E5,4,1,0,0,0,0,4,,58218,60 kDa chaperonin
303,918,ETNP14_68,73.80,10,0,0,1,7,2,,,,,,4,0,0,0,1,2,1,Carbamidomethylation,43386,Elongation factor Tu
303,919,ETNP14_120,73.80,10,0,0,1,7,2,,,,,,4,0,0,0,1,2,1,Carbamidomethylation,43386,Elongation factor Tu
191,471,|#CONTAM#K1C15_SHEEP|,73.71,11,0,0,0,11,2,,,,3.76E6,,6,2,0,0,0,6,1,,48770,sp|#CONTAM#K1C15_SHEEP|
1055,1749,XP_003056637,73.62,6,2,0,0,5,0,,,,,,2,0,1,0,0,1,0,,33441,triosephosphate isomerase  Micromonas pusilla CCMP1545
337,434,ETNP_140,73.40,36,0,0,0,36,0,,,,,,4,0,0,0,0,4,0,Carbamidomethylation; Oxidation (M),18507,Photosystem I reaction center subunit III precursor
337,435,ETNP_110,73.40,36,0,0,0,36,0,,,,,,4,0,0,0,0,4,0,Carbamidomethylation; Oxidation (M),18507,Photosystem I reaction center subunit III precursor
337,438,NP_85,73.40,36,0,0,0,36,0,,,,,,4,0,0,0,0,4,0,Carbamidomethylation; Oxidation (M),18507,Photosystem I reaction center subunit III precursor
163,1789,EJK70725,73.34,13,5,5,0,13,6,,,,5.16E5,,5,1,1,1,0,6,1,,18225,hypothetical protein THAOC_07892  Thalassiosira oceanica
526,793,ETNP_120,73.31,11,0,0,0,11,0,,,,,,3,0,0,0,0,3,0,Carbamidomethylation,43687,Elongation factor Tu
526,794,ETNP_120,73.31,11,0,0,0,11,0,,,,,,3,0,0,0,0,3,0,Carbamidomethylation,43687,Elongation factor Tu
329,908,WP_011399922,72.95,11,0,0,2,7,2,,,,,,4,0,0,0,1,2,1,Carbamidomethylation,43243,elongation factor Tu Hahella chejuensis
2878,2040,ETNP_100,72.47,38,0,0,0,38,0,,,,8.05E4,,1,1,0,0,0,1,0,,7671,Photosystem I reaction center subunit IV
2878,2041,NP_100,72.47,38,0,0,0,38,0,,,,8.05E4,,1,1,0,0,0,1,0,,7685,Photosystem I reaction center subunit IV
2878,2042,ETNP_140,72.47,38,0,0,0,38,0,,,,8.05E4,,1,1,0,0,0,1,0,,7685,Photosystem I reaction center subunit IV
2878,2043,ETNP_110,72.47,38,0,0,0,38,0,,,,8.05E4,,1,1,0,0,0,1,0,,7685,Photosystem I reaction center subunit IV
2878,2044,ETNP_100,72.47,38,0,0,0,38,0,,,,8.05E4,,1,1,0,0,0,1,0,,7671,Photosystem I reaction center subunit IV
2878,2045,ETNP_120,72.47,38,0,0,0,38,0,,,,8.05E4,,1,1,0,0,0,1,0,,7685,Photosystem I reaction center subunit IV
2878,2046,ETNP_90,72.47,34,0,0,0,34,0,,,,8.05E4,,1,1,0,0,0,1,0,,8569,Photosystem I reaction center subunit IV
2878,2047,ETNP_120,72.47,34,0,0,0,34,0,,,,8.05E4,,1,1,0,0,0,1,0,,8496,Photosystem I reaction center subunit IV
268,1043,ACA19779.1,72.29,7,0,0,2,4,2,,,,,,5,0,0,0,2,2,1,,58027,chaperonin GroEL [Methylobacterium sp. 4-46]
469,760,WP_012623691,71.83,5,0,0,0,5,0,,,,4.54E4,,3,1,0,0,0,3,0,Carbamidomethylation,51867,S-adenosyl-L-homocysteine hydrolase Desulfovibrio desulfuricans
469,842,ETNP_70,71.83,7,0,0,0,7,0,,,,4.54E4,,3,1,0,0,0,3,0,Carbamidomethylation,36519,Adenosylhomocysteinase
193,672,EJK67963,71.62,15,0,2,2,15,2,,,,2.8E5,,5,1,0,1,1,4,1,,36216,hypothetical protein THAOC_10917  Thalassiosira oceanica
193,708,EJK43862,71.62,3,0,1,1,3,1,,,,2.8E5,,5,1,0,1,1,4,1,,154489,hypothetical protein THAOC_37651  Thalassiosira oceanica
345,1220,ETNP_140,71.25,8,0,0,0,7,1,,,,,,4,0,0,0,0,3,1,,57639,60 kDa chaperonin 5
224,1156,cyanophage_EEBLHMBA_02223,70.71,11,0,0,0,5,6,,,,,0E0,4,1,0,0,0,4,2,,48077,Major capsid protein
418,1334,XP_003061219,70.60,4,1,0,1,2,0,,,,1.09E5,,3,1,1,0,1,1,0,Carbamidomethylation,67365,predicted protein  Micromonas pusilla CCMP1545
946,2095,ADB27543,70.13,27,0,0,0,26,27,,,,1.46E5,9.63E4,2,2,0,0,0,1,1,,8182,ATP synthase CF0 subunit III C chain chloroplast  Thalassiosira oceanica CCMP1005
1052,1047,ETNP_120,69.96,10,0,0,0,10,0,,,,1.96E6,,2,2,0,0,0,2,0,,23768,hypothetical protein
1052,1048,ETNP_100,69.96,10,0,0,0,10,0,,,,1.96E6,,2,2,0,0,0,2,0,,23768,hypothetical protein
318,482,ETNP_120,69.94,16,0,0,0,9,7,,,,,5.68E4,3,1,0,0,0,3,1,Oxidation (M),27086,Photosystem II 44 kDa reaction center protein
473,961,ETNP_100,69.78,16,0,0,0,0,16,,,,,7.42E5,2,1,0,0,0,0,3,,17475,60 kDa chaperonin 3
267,544,ETNP_70,69.40,18,0,0,0,18,4,,,,2.09E6,,4,1,0,0,0,4,1,,25089,14-3-3 protein
476,1282,WP_011218217.1,69.28,6,0,0,1,4,0,,,,9.22E5,,3,1,0,0,1,2,0,,69251,molecular chaperone DnaK [Photobacterium profundum]
212,1355,ETNP_120,69.26,14,5,0,4,4,9,0E0,,,,,5,1,1,0,2,1,2,,40344,ATP synthase subunit beta
212,1364,ETNP_160,69.26,12,4,0,3,3,7,0E0,,,,,5,1,1,0,2,1,2,,49459,ATP synthase subunit beta
212,1365,ETNP_300,69.26,12,4,0,3,3,7,0E0,,,,,5,1,1,0,2,1,2,,49459,ATP synthase subunit beta
212,1366,ETNP_180,69.26,12,4,0,3,3,7,0E0,,,,,5,1,1,0,2,1,2,,49459,ATP synthase subunit beta
212,1367,ETNP_120,69.26,12,4,0,3,3,7,0E0,,,,,5,1,1,0,2,1,2,,49459,ATP synthase subunit beta
382,1168,XP_003081742,69.13,2,0,0,0,1,0,,,3.21E5,2.32E6,,3,3,0,0,1,2,0,,197509,Vacuolar H+-ATPase V1 sector subunit A ISS  Ostreococcus tauri
214,1611,WP_012520216,69.04,8,1,0,3,3,7,,,,,,5,0,1,0,2,1,2,,49978,ATP synthase subunit beta Alteromonas mediterranea
291,1236,ETNP14_68,68.85,4,0,0,2,2,1,,,3.37E4,,,3,1,0,0,1,2,1,,54806,ATP synthase subunit alpha
656,1227,EJK54495,68.62,2,0,0,0,2,0,,,,3.55E5,,1,1,0,0,0,2,0,Oxidation (M),65999,hypothetical protein THAOC_25871 partial  Thalassiosira oceanica
656,1891,XP_002185147,68.62,3,0,0,0,3,0,,,,3.55E5,,1,1,0,0,0,2,0,Oxidation (M),61527,isomerase glucose-6-phosphate isomerase  Phaeodactylum tricornutum CCAP 1055
1051,1009,ETNP_120,68.37,4,0,0,0,4,0,,,,6.33E5,,2,2,0,0,0,2,0,,67259,hypothetical protein
477,1307,XP_003055417,67.98,3,0,0,1,2,0,,,,1.61E5,,2,1,0,0,2,1,0,Carbamidomethylation,107983,p-type ATPase superfamily  Micromonas pusilla CCMP1545
830,691,NP_85,67.52,6,0,0,0,6,0,,,,,,2,0,0,0,0,2,0,,40937,Isocitrate dehydrogenase [NADP]
830,692,ETNP_110,67.52,5,0,0,0,5,0,,,,,,2,0,0,0,0,2,0,,46075,Isocitrate dehydrogenase [NADP]
830,693,ETNP_100,67.52,5,0,0,0,5,0,,,,,,2,0,0,0,0,2,0,,46075,Isocitrate dehydrogenase [NADP]
830,694,ETNP14_120,67.52,5,0,0,0,5,0,,,,,,2,0,0,0,0,2,0,,46075,Isocitrate dehydrogenase [NADP]
415,967,ETNP14_120,67.09,7,0,0,3,7,0,,,,4.96E4,,3,1,0,0,1,2,0,,32612,Malate dehydrogenase
415,1049,ETNP_100,67.09,7,0,0,3,7,0,,,,4.96E4,,3,1,0,0,1,2,0,,32399,Malate dehydrogenase
415,1071,WP_015068149,67.09,7,0,0,3,7,0,,,,4.96E4,,3,1,0,0,1,2,0,,32269,malate dehydrogenase Alteromonas mediterranea
415,1077,ETNP14_120,67.09,10,0,0,4,10,0,,,,4.96E4,,3,1,0,0,1,2,0,,24002,Malate dehydrogenase
415,1083,ETNP14_68,67.09,12,0,0,5,12,0,,,,4.96E4,,3,1,0,0,1,2,0,,21129,Malate dehydrogenase
415,1084,ETNP14_120,67.09,7,0,0,3,7,0,,,,4.96E4,,3,1,0,0,1,2,0,,32385,Malate dehydrogenase
415,1433,ETNP14_120,67.09,10,0,0,4,10,0,,,,4.96E4,,3,1,0,0,1,2,0,,24617,Malate dehydrogenase
471,834,YP_717262,66.63,8,0,0,0,6,1,,,,1.89E6,3.14E5,3,3,0,0,0,2,1,Carbamidomethylation; Oxidation (M),52520,ribulose-15-bisphosphate carboxylase oxygenase large subunit chloroplast  Ostreococcus tauri
471,835,ETNP14_68,66.63,8,0,0,0,6,1,,,,1.89E6,3.14E5,3,3,0,0,0,2,1,Carbamidomethylation; Oxidation (M),52505,Ribulose bisphosphate carboxylase large chain
346,1429,XP_002176615,66.40,13,0,0,0,13,0,,,,1.52E6,,3,2,0,0,0,4,0,,17164,predicted protein  Phaeodactylum tricornutum CCAP 1055
346,1915,EJK76286,66.40,13,0,0,0,13,0,,,,1.52E6,,3,2,0,0,0,4,0,,17148,hypothetical protein THAOC_01960  Thalassiosira oceanica
346,1916,ETNP_70,66.40,12,0,0,0,12,0,,,,1.52E6,,3,2,0,0,0,4,0,,18236,30S ribosomal protein S15
145,2918,XP_003061451,66.37,1,0,0,1,0,0,,,8E5,3.96E5,3.66E4,9,4,0,1,7,1,1,Oxidation (M),613898,predicted protein  Micromonas pusilla CCMP1545
524,561,ETNP_90,65.97,15,0,0,0,15,0,,,,2.72E6,,3,3,0,0,0,3,0,,20071,Photosystem I reaction center subunit XI
524,562,ETNP_100,65.97,15,0,0,0,15,0,,,,2.72E6,,3,3,0,0,0,3,0,,20071,Photosystem I reaction center subunit XI
