Mods 231,Mods 233,Mods 243,Mods 378,Mods 278,Mods 273,DNO peptides modified percent,PEAKS DB mod peptides percent,Num modifications,Sample 231,Sample 233,Sample 243,Sample 378,Sample 278,Sample 273,Percent modifications,PSample 231,PSample 233,PSample 243,PSample 378,PSample 278,PSample 273
Carbamidomethylation,Replacement of 2 protons by nickel,,,Oxidation (M),,,,,,,,,,,,,,,,,
Ubiquitin,Mutation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Carbamidomethylation,ISD (z+2)-series,,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Sulphone,Oxidation (M),,,Oxidation (M),,,,,,,,,,,,,,,,,
Deamidation (NQ),Carbamidomethylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Carbamidomethylation,Mutation,,,Dehydration,,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Deamidation (NQ),Carbamidomethylation; Lysine oxidation to aminoadipic semialdehyde,,,Mutation,,,,,,,,,,,,,,,,,
Mutation,Iminobiotinylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Dehydration,Deamidation (R),,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Methylation(KR),,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Mutation,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Amidation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Deoxy,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Formylation,Mutation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,,,,,,,,,,,,,,,,,,
Dimethylation(KR),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Mutation,Mutation,,,,,,,,,,,,,,,,,,,,
Dihydroxy,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Oxidation (M),Oxidation (HW),,,,,,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,,,,,,,,,,,,,,,,,,
Tyrosine oxidation to 2-aminotyrosine,Dethiomethyl,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Dehydration,,,,,,,,,,,,,,,,,,,,
Formylation,Methylation(KR),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M); Mutation,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Mutation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Mutation,Mutation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Mutation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation; Deamidation (NQ); Methylation(KR),Deoxy,,,,,,,,,,,,,,,,,,,,
Mutation,Mutation,,,,,,,,,,,,,,,,,,,,
Acetylation (Protein N-term),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation; Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Ethylation,Deoxy,,,,,,,,,,,,,,,,,,,,
Mutation,Mutation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Methylation(KR),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Methylation(others),Ammonia-loss (N),,,,,,,,,,,,,,,,,,,,
Methylation(KR),Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Methylation(KR),Mutation,,,,,,,,,,,,,,,,,,,,
Ethylation,Replacement of 2 protons by iron,,,,,,,,,,,,,,,,,,,,
Pyro-glu from Q,Dimethylation(KR),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Acetylation (Protein N-term),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Pyro-glu from Q,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Hexose (NSY),,,,,,,,,,,,,,,,,,,,
Oxidation (M),Acetylation (N-term),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Oxidation (M); Mutation,Mutation,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Fluorination,,,,,,,,,,,,,,,,,,,,
Formylation (Protein N-term),Mutation,,,,,,,,,,,,,,,,,,,,
Formylation,Acetylation (N-term); Acetylation (K),,,,,,,,,,,,,,,,,,,,
Ammonia-loss (N),Methylation(KR),,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Formylation; Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Mutation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Propionamide (K  X@N-term),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Carboxymethyl (KW  X@N-term),Dehydration,,,,,,,,,,,,,,,,,,,,
Dethiomethyl,Dehydration,,,,,,,,,,,,,,,,,,,,
Sodium adduct,Dehydration,,,,,,,,,,,,,,,,,,,,
Acetylation (N-term),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Mutation,Deoxy,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Methylation(others),Formylation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Sodium adduct,,,,,,,,,,,,,,,,,,,,
Carbamylation,Dethiomethyl,,,,,,,,,,,,,,,,,,,,
Mutation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Mutation,Mutation,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Dehydration,,,,,,,,,,,,,,,,,,,,
Mutation,Carbamylation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Formylation (Protein N-term),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Formylation,Mutation,,,,,,,,,,,,,,,,,,,,
Dethiomethyl,Mutation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Mutation,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Mutation,Homoserine lactone,,,,,,,,,,,,,,,,,,,,
Mutation,Sodium adduct,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ); Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Acetylation (N-term),Acetylation (K),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Oxidation or Hydroxylation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,Mutation,,,,,,,,,,,,,,,,,,,,
Oxidation or Hydroxylation,Mutation,,,,,,,,,,,,,,,,,,,,
Mutation,Phosphorylation (STY),,,,,,,,,,,,,,,,,,,,
Sulphone,Amidation,,,,,,,,,,,,,,,,,,,,
Propionamide (K  X@N-term),Acetylation (K),,,,,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Mutation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Pyro-glu from Q,Acetylation (N-term); Oxidation (M),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Methylation(KR),,,,,,,,,,,,,,,,,,,,
Amidation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Formylation,,,,,,,,,,,,,,,,,,,,
Mutation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Mutation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Replacement of proton with ammonium ion,Sodium adduct,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Oxidation (M); Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Ubiquitin,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation; Replacement of proton with ammonium ion,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Mutation,,,,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Dehydration,,,,,,,,,,,,,,,,,,,,
Deamidation followed by a methylation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Dehydration,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Methylation(others),Oxidation (M),,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Methylation(others),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Mutation,,,,,,,,,,,,,,,,,,,,
Mutation,Guanidination,,,,,,,,,,,,,,,,,,,,
Formylation,Deoxy,,,,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,,,,,,,,,,,,,,,,,,
Mutation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation; Dimethylation(KR),,,,,,,,,,,,,,,,,,,,
Deoxy,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Oxidation (M),Acetylation (TSCYH),,,,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Phosphorylation (STY),,,,,,,,,,,,,,,,,,,,
Amidation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Formylation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),Mutation,,,,,,,,,,,,,,,,,,,,
Mutation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,,,,,
Oxidation or Hydroxylation,Deamidation (NQ),,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,Carbamidomethylation,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation; Mutation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Methylation(KR),,,,,,,,,,,,,,,,,,,,,
Pyro-glu from Q,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Dihydroxy,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M); Methylation(KR),,,,,,,,,,,,,,,,,,,,,
Replacement of proton by potassium,,,,,,,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Replacement of 2 protons by iron,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Oxidation (M); Mutation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Dehydration; Phosphorylation (STY),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation or Hydroxylation,,,,,,,,,,,,,,,,,,,,,
Methylation(KR),,,,,,,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,,,,,,,,,,,,,,,,,,,,,
Deoxy,,,,,,,,,,,,,,,,,,,,,
ISD (z+2)-series,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Methylation(KR),,,,,,,,,,,,,,,,,,,,,
Pyro-glu from Q,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Carbamylation,,,,,,,,,,,,,,,,,,,,,
ISD (z+2)-series,,,,,,,,,,,,,,,,,,,,,
Amidination of lysines or N-terminal amines with methyl acetimidate,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Formylation,,,,,,,,,,,,,,,,,,,,,
Glycidamide adduct,,,,,,,,,,,,,,,,,,,,,
Formylation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Phosphorylation (STY),,,,,,,,,,,,,,,,,,,,,
Deamidation followed by esterification with ethanol,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Dimethylation(KR),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Carbamylation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Dimethylation(KR),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Deoxy,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Methylation(others),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Sodium adduct; Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Methylation(others),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Deoxy,,,,,,,,,,,,,,,,,,,,,
Sodium adduct,,,,,,,,,,,,,,,,,,,,,
Carbamylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Tyrosine oxidation to 2-aminotyrosine,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Methylation(KR),,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ); Amidation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M); Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Amidation,,,,,,,,,,,,,,,,,,,,,
Ubiquitin,,,,,,,,,,,,,,,,,,,,,
Formylation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M); Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Pyridylacetyl,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Formylation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Formylation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Propionamide (K  X@N-term),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Sodium adduct,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Formylation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Ethyl amino,,,,,,,,,,,,,,,,,,,,,
Carbamylation; Methylation(KR),,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Phosphoadenosine,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Deamidation (NQ),,,,,,,,,,,,,,,,,,,,,
Bis(hydroxphenylglyoxal) arginine,,,,,,,,,,,,,,,,,,,,,
Carbamidomethylation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
Oxidation (M),,,,,,,,,,,,,,,,,,,,,
Sulfation,,,,,,,,,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,,,,,,,,,
