,ProteinID,Alignments_x,SpecCounts_x,Unique_x,Coverage_x,Protein description_x,Alignments_y,SpecCounts_y,Unique_y,Coverage_y,Protein description_y
279,PMM0446,2.0,2.0,2.0,0.109,| ctaC | putative cytochrome c oxidase2220.109| ctaC | putative cytochrome c oxidase,,,,,
280,PMM0448,1.0,1.0,1.0,0.039,| ctaB | putative protoheme IX farnesyltransferase1110.039| ctaB | putative protoheme IX farnesyltransferase,1.0,1.0,1.0,0.039,| ctaB | putative protoheme IX farnesyltransferase
281,PMM0449,4.0,5.0,4.0,0.151,| PMM0449 | putative multidrug efflux ABC transporter4540.151| PMM0449 | putative multidrug efflux ABC transporter,3.0,4.0,3.0,0.109,| PMM0449 | putative multidrug efflux ABC transporter
282,PMM0451,2.0,2.0,2.0,0.11800000000000001,| PMM0451 | hypothetical protein2220.118| PMM0451 | hypothetical protein,1.0,1.0,1.0,0.047,| PMM0451 | hypothetical protein
283,PMM0452,33.0,45.0,32.0,0.37200000000000005,| groEL | chaperonin GroEL3345320.372| groEL | chaperonin GroEL,27.0,46.0,25.0,0.325,| groEL | chaperonin GroEL
284,PMM0453,4.0,4.0,4.0,0.153,| fabG | 3-oxoacyl-[acyl-carrier protein] reductase4440.153| fabG | 3-oxoacyl-[acyl-carrier protein] reductase,6.0,6.0,6.0,0.217,| fabG | 3-oxoacyl-[acyl-carrier protein] reductase
285,PMM0454,2.0,2.0,2.0,0.081,| ispD | 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase2220.081| ispD | 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,3.0,3.0,3.0,0.14800000000000002,| ispD | 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
286,PMM0455,2.0,2.0,2.0,0.069,| PMM0455 | hypothetical protein2220.069| PMM0455 | hypothetical protein,2.0,2.0,2.0,0.076,| PMM0455 | hypothetical protein
287,PMM0457,2.0,2.0,2.0,0.03,| ppx | putative exopolyphosphatase2220.03| ppx | putative exopolyphosphatase,2.0,2.0,2.0,0.027999999999999997,| ppx | putative exopolyphosphatase
288,PMM0458,1.0,1.0,1.0,0.061,| PMM0458 | hypothetical protein1110.061| PMM0458 | hypothetical protein,2.0,2.0,2.0,0.07400000000000001,| PMM0458 | hypothetical protein
289,PMM0459,4.0,4.0,3.0,0.147,| cobM | putative precorrin-4 C11-methyltransferase4430.147| cobM | putative precorrin-4 C11-methyltransferase,3.0,3.0,3.0,0.12,| cobM | putative precorrin-4 C11-methyltransferase
290,PMM0461,3.0,4.0,3.0,0.11699999999999999,| petA | apocytochrome f3430.117| petA | apocytochrome f,2.0,3.0,2.0,0.066,| petA | apocytochrome f
291,PMM0462,2.0,3.0,2.0,0.163,| petC | cytochrome b6-f complex iron-sulfur subunit2320.163| petC | cytochrome b6-f complex iron-sulfur subunit,1.0,2.0,1.0,0.045,| petC | cytochrome b6-f complex iron-sulfur subunit
292,PMM0466,1.0,1.0,1.0,0.016,| PMM0466 | secreted protein MPB70 precursor1110.016| PMM0466 | secreted protein MPB70 precursor,,,,,
293,PMM0467,1.0,1.0,1.0,0.038,| gmk | guanylate kinase1110.038| gmk | guanylate kinase,,,,,
294,PMM0469,4.0,11.0,4.0,0.196,| psaF | photosystem I PsaF protein (subunit III)41140.196| psaF | photosystem I PsaF protein (subunit III),3.0,10.0,3.0,0.141,| psaF | photosystem I PsaF protein (subunit III)
295,PMM0470,1.0,1.0,1.0,0.025,| PMM0470 | o-sialoglycoprotein endopeptidase1110.025| PMM0470 | o-sialoglycoprotein endopeptidase,1.0,1.0,1.0,0.025,| PMM0470 | o-sialoglycoprotein endopeptidase
296,PMM0472,2.0,2.0,2.0,0.048,| PMM0472 | CPA1 family Na+/H+ antiporter2220.048| PMM0472 | CPA1 family Na+/H+ antiporter,2.0,3.0,2.0,0.048,| PMM0472 | CPA1 family Na+/H+ antiporter
297,PMM0473,4.0,5.0,4.0,0.08800000000000001,| gltX | glutamyl-tRNA synthetase4540.088| gltX | glutamyl-tRNA synthetase,8.0,8.0,8.0,0.151,| gltX | glutamyl-tRNA synthetase
298,PMM0474,3.0,4.0,3.0,0.516,| PMM0474 | hypothetical protein3430.516| PMM0474 | hypothetical protein,2.0,4.0,2.0,0.32299999999999995,| PMM0474 | hypothetical protein
299,PMM0475,1.0,3.0,1.0,0.094,| rplS | 50S ribosomal protein L191310.094| rplS | 50S ribosomal protein L19,3.0,6.0,3.0,0.212,| rplS | 50S ribosomal protein L19
300,PMM0477,1.0,1.0,1.0,0.057,| map | methionine aminopeptidase1110.057| map | methionine aminopeptidase,2.0,2.0,2.0,0.09,| map | methionine aminopeptidase
301,PMM0479,7.0,7.0,7.0,0.22,| PMM0479 | BioD-like N-terminal domain of phosphotransacetylase7770.22| PMM0479 | BioD-like N-terminal domain of phosphotransacetylase,4.0,4.0,4.0,0.111,| PMM0479 | BioD-like N-terminal domain of phosphotransacetylase
302,PMM0480,2.0,2.0,2.0,0.071,| PMM0480 | hypothetical protein2220.071| PMM0480 | hypothetical protein,1.0,2.0,1.0,0.071,| PMM0480 | hypothetical protein
303,PMM0481,7.0,8.0,7.0,0.321,| PMM0481 | putative nucleotide-binding protein7870.321| PMM0481 | putative nucleotide-binding protein,6.0,7.0,6.0,0.358,| PMM0481 | putative nucleotide-binding protein
304,PMM0482,9.0,34.0,9.0,0.332,| phb | Band 7 protein93490.332| phb | Band 7 protein,12.0,37.0,12.0,0.302,| phb | Band 7 protein
305,PMM0483,6.0,8.0,6.0,0.16899999999999998,| hemL | glutamate-1-semialdehyde aminotransferase6860.169| hemL | glutamate-1-semialdehyde aminotransferase,7.0,8.0,7.0,0.16899999999999998,| hemL | glutamate-1-semialdehyde aminotransferase
306,PMM0484,4.0,4.0,4.0,0.153,| xthA | exodeoxyribonuclease III4440.153| xthA | exodeoxyribonuclease III,3.0,3.0,3.0,0.11,| xthA | exodeoxyribonuclease III
307,PMM0486,5.0,7.0,5.0,0.18600000000000003,| PMM0486 | hypothetical protein5750.186| PMM0486 | hypothetical protein,3.0,4.0,3.0,0.131,| PMM0486 | hypothetical protein
308,PMM0487,4.0,4.0,4.0,0.091,| PMM0487 | hypothetical protein4440.091| PMM0487 | hypothetical protein,1.0,1.0,1.0,0.034,| PMM0487 | hypothetical protein
309,PMM0489,3.0,3.0,3.0,0.055,| futB3330.055| futB,2.0,2.0,2.0,0.034,| futBhitB | putative iron ABC transporter
310,PMM0490,4.0,4.0,4.0,0.124,| PMM0490 | hypothetical protein4440.124| PMM0490 | hypothetical protein,4.0,4.0,4.0,0.115,| PMM0490 | hypothetical protein
311,PMM0491,1.0,1.0,1.0,0.073,| phhB | pterin-4-alpha-carbinolamine dehydratase1110.073| phhB | pterin-4-alpha-carbinolamine dehydratase,1.0,1.0,1.0,0.073,| phhB | pterin-4-alpha-carbinolamine dehydratase
312,PMM0492,4.0,4.0,4.0,0.267,| PMM0492 | hypothetical protein4440.267| PMM0492 | hypothetical protein,2.0,2.0,2.0,0.099,| PMM0492 | hypothetical protein
313,PMM0493,8.0,8.0,7.0,0.134,| cxp | carboxypeptidase Taq (M32) metallopeptidase8870.134| cxp | carboxypeptidase Taq (M32) metallopeptidase,8.0,8.0,7.0,0.134,| cxp | carboxypeptidase Taq (M32) metallopeptidase
314,PMM0494,3.0,4.0,3.0,0.14400000000000002,| ppa | putative inorganic pyrophosphatase3430.144| ppa | putative inorganic pyrophosphatase,5.0,6.0,5.0,0.231,| ppa | putative inorganic pyrophosphatase
315,PMM0495,7.0,9.0,7.0,0.209,| hemC | porphobilinogen deaminase7970.209| hemC | porphobilinogen deaminase,7.0,10.0,7.0,0.225,| hemC | porphobilinogen deaminase
316,PMM0496,5.0,5.0,5.0,0.106,| sigA | RNA polymerase sigma factor RpoD5550.106| sigA | RNA polymerase sigma factor RpoD,5.0,5.0,5.0,0.131,| sigA | RNA polymerase sigma factor RpoD
317,PMM0498,2.0,2.0,2.0,0.035,| PMM0498 | hypothetical protein2220.035| PMM0498 | hypothetical protein,1.0,1.0,1.0,0.033,| PMM0498 | hypothetical protein
318,PMM0499,3.0,3.0,3.0,0.085,| argB | acetylglutamate kinase3330.085| argB | acetylglutamate kinase,4.0,4.0,4.0,0.127,| argB | acetylglutamate kinase
319,PMM0501,1.0,1.0,1.0,0.15,| PMM0501 | hypothetical protein1110.15| PMM0501 | hypothetical protein,2.0,3.0,2.0,0.38299999999999995,| PMM0501 | hypothetical protein
320,PMM0502,2.0,2.0,2.0,0.134,| PMM0502 | hypothetical protein2220.134| PMM0502 | hypothetical protein,3.0,3.0,3.0,0.235,| PMM0502 | hypothetical protein
321,PMM0505,3.0,3.0,3.0,0.047,| PMM0505 | carbohydrate kinase3330.047| PMM0505 | carbohydrate kinase,1.0,1.0,1.0,0.03,| PMM0505 | carbohydrate kinase
322,PMM0506,10.0,11.0,10.0,0.165,| purA1011100.165| purA,5.0,6.0,5.0,0.092,| purAadeK | adenylosuccinate synthetase
323,PMM0507,6.0,8.0,6.0,0.207,| psb27 | putative photosystem II reaction center Psb27 protein6860.207| psb27 | putative photosystem II reaction center Psb27 protein,4.0,8.0,4.0,0.207,| psb27 | putative photosystem II reaction center Psb27 protein
324,PMM0508,6.0,6.0,6.0,0.09300000000000001,| proS | prolyl-tRNA synthetase6660.093| proS | prolyl-tRNA synthetase,5.0,5.0,5.0,0.075,| proS | prolyl-tRNA synthetase
325,PMM0511,3.0,3.0,3.0,0.115,| ppa | inorganic pyrophosphatase3330.115| ppa | inorganic pyrophosphatase,1.0,1.0,1.0,0.055,| ppa | inorganic pyrophosphatase
326,PMM0512,1.0,1.0,1.0,0.07400000000000001,| PMM0512 | putative arsenate reductase1110.074| PMM0512 | putative arsenate reductase,,,,,
327,PMM0514,3.0,3.0,3.0,0.046,| PMM0514 | putative dihydroorotase3330.046| PMM0514 | putative dihydroorotase,3.0,3.0,3.0,0.079,| PMM0514 | putative dihydroorotase
328,PMM0515,8.0,9.0,8.0,0.17,| cobC | putative alpha-ribazole-5'-P phosphatase8980.17| cobC | putative alpha-ribazole-5'-P phosphatase,7.0,8.0,6.0,0.133,| cobC | putative alpha-ribazole-5'-P phosphatase
329,PMM0516,2.0,3.0,1.0,0.038,| PMM0516 | membrane-associated protease2310.038| PMM0516 | membrane-associated protease,1.0,1.0,0.0,0.02,| PMM0516 | membrane-associated protease
330,PMM0518,1.0,1.0,0.0,0.012,| ftsI | peptidoglycan synthetase1100.012| ftsI | peptidoglycan synthetase,,,,,
331,PMM0519,9.0,11.0,9.0,0.201,| tal | transaldolase B91190.201| tal | transaldolase B,9.0,12.0,9.0,0.231,| tal | transaldolase B
332,PMM0520,5.0,5.0,5.0,0.111,| PMM0520 | NAD binding site5550.111| PMM0520 | NAD binding site,5.0,5.0,5.0,0.106,| PMM0520 | NAD binding site
333,PMM0521,4.0,6.0,4.0,0.17,| frr | ribosome recycling factor4640.17| frr | ribosome recycling factor,3.0,6.0,3.0,0.17,| frr | ribosome recycling factor
334,PMM0523,1.0,1.0,1.0,0.035,| cobO | cob(I)alamin adenosyltransferase1110.035| cobO | cob(I)alamin adenosyltransferase,2.0,2.0,2.0,0.087,| cobO | cob(I)alamin adenosyltransferase
335,PMM0524,1.0,1.0,1.0,0.021,| PMM0524 | phage integrase family protein1110.021| PMM0524 | phage integrase family protein,,,,,
336,PMM0526,12.0,12.0,12.0,0.17,| ilvH | acetolactate synthase 3 catalytic subunit1212120.17| ilvH | acetolactate synthase 3 catalytic subunit,8.0,9.0,7.0,0.129,| ilvH | acetolactate synthase 3 catalytic subunit
337,PMM0527,2.0,2.0,2.0,0.145,| PMM0527 | hypothetical protein2220.145| PMM0527 | hypothetical protein,2.0,2.0,2.0,0.145,| PMM0527 | hypothetical protein
338,PMM0529,3.0,3.0,3.0,0.076,| PMM0529 | hypothetical protein3330.076| PMM0529 | hypothetical protein,2.0,2.0,2.0,0.05,| PMM0529 | hypothetical protein
339,PMM0530,3.0,3.0,3.0,0.067,| rps1b | 30S ribosomal protein S1 homolog B3330.067| rps1b | 30S ribosomal protein S1 homolog B,3.0,3.0,3.0,0.059000000000000004,| rps1b | 30S ribosomal protein S1 homolog B putative Nbp1
340,PMM0531,1.0,1.0,1.0,0.038,| PMM0531 | creatininase1110.038| PMM0531 | creatininase,4.0,4.0,4.0,0.166,| PMM0531 | creatininase
341,PMM0533,2.0,2.0,2.0,0.055,| PMM0533 | hypothetical protein2220.055| PMM0533 | hypothetical protein,3.0,3.0,3.0,0.084,| PMM0533 | hypothetical protein
342,PMM0535,1.0,1.0,1.0,0.06,| PMM0535 | short chain dehydrogenase1110.06| PMM0535 | short chain dehydrogenase,,,,,
343,PMM0536,2.0,2.0,1.0,0.061,| folE | putative GTP cyclohydrolase I2210.061| folE | putative GTP cyclohydrolase I,2.0,2.0,1.0,0.061,| folE | putative GTP cyclohydrolase I
344,PMM0537,2.0,3.0,2.0,0.077,| trpF | phosphoribosylanthranilate isomerase2320.077| trpF | phosphoribosylanthranilate isomerase,2.0,3.0,2.0,0.077,| trpF | phosphoribosylanthranilate isomerase
345,PMM0538,1.0,1.0,1.0,0.02,| PMM0538 | hypothetical protein1110.02| PMM0538 | hypothetical protein,2.0,2.0,2.0,0.049,| PMM0538 | hypothetical protein
346,PMM0542,2.0,2.0,2.0,0.045,| por | protochlorophyllide oxidoreductase2220.045| por | protochlorophyllide oxidoreductase,3.0,3.0,3.0,0.066,| por | protochlorophyllide oxidoreductase
347,PMM0543,2.0,2.0,2.0,0.095,| chlL | protochlorophyllide reductase iron-sulfur ATP-binding protein2220.095| chlL | protochlorophyllide reductase iron-sulfur ATP-binding protein,2.0,2.0,2.0,0.095,| chlL | protochlorophyllide reductase iron-sulfur ATP-binding protein
348,PMM0544,1.0,1.0,1.0,0.023,| chlB | light-independent protochlorophyllide reductase subunit B1110.023| chlB | light-independent protochlorophyllide reductase subunit B,1.0,1.0,1.0,0.023,| chlB | light-independent protochlorophyllide reductase subunit B
349,PMM0545,3.0,3.0,3.0,0.079,| chlN | light-independent protochlorophyllide reductase subunit N3330.079| chlN | light-independent protochlorophyllide reductase subunit N,2.0,2.0,2.0,0.045,| chlN | light-independent protochlorophyllide reductase subunit N
350,PMM0546,3.0,4.0,3.0,0.156,| PMM0546 | hypothetical protein3430.156| PMM0546 | hypothetical protein,3.0,3.0,3.0,0.156,| PMM0546 | hypothetical protein
351,PMM0547,1.0,1.0,1.0,0.043,| PMM0547 | hypothetical protein1110.043| PMM0547 | hypothetical protein,1.0,1.0,1.0,0.043,| PMM0547 | hypothetical protein
352,PMM0549,7.0,18.0,7.0,0.602,| csoS1 | carboxysome shell protein CsoS171870.602| csoS1 | carboxysome shell protein CsoS1,11.0,21.0,11.0,0.602,| csoS1 | carboxysome shell protein CsoS1
353,PMM0550,8.0,14.0,8.0,0.136,| rbcL | ribulose bisophosphate carboxylase81480.136| rbcL | ribulose bisophosphate carboxylase,9.0,15.0,9.0,0.11,| rbcL | ribulose bisophosphate carboxylase
354,PMM0551,2.0,5.0,2.0,0.239,| rbcS | ribulose bisphosphate carboxylase2520.239| rbcS | ribulose bisphosphate carboxylase,5.0,8.0,5.0,0.37200000000000005,| rbcS | ribulose bisphosphate carboxylase small chain
355,PMM0552,4.0,6.0,4.0,0.055,| csoS2 | carboxysome shell protein CsoS24640.055| csoS2 | carboxysome shell protein CsoS2,4.0,5.0,4.0,0.035,| csoS2 | carboxysome shell protein CsoS2
356,PMM0553,2.0,2.0,2.0,0.043,| csoS3 | carboxysome shell protein CsoS32220.043| csoS3 | carboxysome shell protein CsoS3,3.0,3.0,3.0,0.071,| csoS3 | carboxysome shell protein CsoS3
357,PMM0556,4.0,4.0,4.0,0.418,| PMM0556 | hypothetical protein4440.418| PMM0556 | hypothetical protein,4.0,4.0,4.0,0.418,| PMM0556 | hypothetical protein
358,PMM0558,3.0,3.0,3.0,0.138,| PMM0558 | hypothetical protein3330.138| PMM0558 | hypothetical protein,2.0,3.0,2.0,0.138,| PMM0558 | hypothetical protein
359,PMM0560,7.0,7.0,7.0,0.242,| hisG | ATP phosphoribosyltransferase catalytic subunit7770.242| hisG | ATP phosphoribosyltransferase catalytic subunit,7.0,8.0,7.0,0.242,| hisG | ATP phosphoribosyltransferase catalytic subunit
360,PMM0561,1.0,1.0,1.0,0.015,| PMM0561 | putative multidrug efflux ABC transporter1110.015| PMM0561 | putative multidrug efflux ABC transporter,1.0,1.0,1.0,0.015,| PMM0561 | putative multidrug efflux ABC transporter
361,PMM0562,1.0,1.0,1.0,0.045,| PMM0562 | putative acetyltransferase1110.045| PMM0562 | putative acetyltransferase,3.0,3.0,3.0,0.14800000000000002,| PMM0562 | putative acetyltransferase
362,PMM0565,2.0,3.0,2.0,0.037000000000000005,| dnaA | chromosomal replication initiation protein2320.037| dnaA | chromosomal replication initiation protein,3.0,3.0,3.0,0.065,| dnaA | chromosomal replication initiation protein
363,PMM0567,5.0,5.0,5.0,0.115,| gshR | glutathione reductase (NADPH)5550.115| gshR | glutathione reductase (NADPH),5.0,5.0,5.0,0.115,| gshR | glutathione reductase (NADPH)
364,PMM0569,4.0,4.0,4.0,0.08900000000000001,| pyrC | dihydroorotase4440.089| pyrC | dihydroorotase,7.0,7.0,7.0,0.146,| pyrC | dihydroorotase
365,PMM0572,3.0,3.0,3.0,0.10400000000000001,| trpA | tryptophan synthase subunit alpha3330.104| trpA | tryptophan synthase subunit alpha,1.0,1.0,1.0,0.022000000000000002,| trpA | tryptophan synthase subunit alpha
366,PMM0574,2.0,2.0,2.0,0.21100000000000002,| PMM0574 | YciI-like protein2220.211| PMM0574 | YciI-like protein,,,,,
367,PMM0575,3.0,3.0,3.0,0.217,| PMM0575 | hypothetical protein3330.217| PMM0575 | hypothetical protein,3.0,3.0,3.0,0.217,| PMM0575 | hypothetical protein
368,PMM0577,1.0,1.0,0.0,0.033,| PMM0577 | type II alternative sigma-70 family RNA polymerase sigma factor1100.033| PMM0577 | type II alternative sigma-70 family RNA polymerase sigma factor,1.0,1.0,0.0,0.033,| PMM0577 | type II alternative sigma-70 family RNA polymerase sigma factor
369,PMM0578,3.0,3.0,3.0,0.131,| PMM0578 | bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein3330.131| PMM0578 | bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein,2.0,2.0,2.0,0.077,| PMM0578 | bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein
370,PMM0579,1.0,1.0,1.0,0.057999999999999996,| PMM0579 | 6-pyruvoyl-tetrahydropterin synthase1110.058| PMM0579 | 6-pyruvoyl-tetrahydropterin synthase,1.0,1.0,1.0,0.057999999999999996,| PMM0579 | 6-pyruvoyl-tetrahydropterin synthase
371,PMM0580,8.0,8.0,8.0,0.091,| clpB1 | ATP-dependent Clp protease8880.091| clpB1 | ATP-dependent Clp protease ATP-binding subunit ClpB,10.0,10.0,9.0,0.095,| clpB1 | ATP-dependent Clp protease Hsp 100 ATP-binding subunit ClpB
372,PMM0581,1.0,1.0,1.0,0.06,| petE | plastocyanin1110.06| petE | plastocyanin,1.0,1.0,1.0,0.06,| petE | plastocyanin
373,PMM0582,1.0,1.0,1.0,0.021,| PMM0582 | hypothetical protein1110.021| PMM0582 | hypothetical protein,3.0,3.0,1.0,0.043,| PMM0582 | hypothetical protein
374,PMM0583,8.0,8.0,8.0,0.182,| hemE | uroporphyrinogen decarboxylase8880.182| hemE | uroporphyrinogen decarboxylase,8.0,10.0,8.0,0.205,| hemE | uroporphyrinogen decarboxylase
375,PMM0584,2.0,2.0,2.0,0.023,| glgB | glycogen branching enzyme2220.023| glgB | glycogen branching enzyme,4.0,4.0,4.0,0.062,| glgB | glycogen branching enzyme
376,PMM0585,2.0,2.0,2.0,0.027000000000000003,| PMM0585 | hypothetical protein2220.027| PMM0585 | hypothetical protein,2.0,2.0,2.0,0.027000000000000003,| PMM0585 | hypothetical protein
377,PMM0586,2.0,2.0,2.0,0.182,| PMM0586 | hypothetical protein2220.182| PMM0586 | hypothetical protein,1.0,1.0,1.0,0.102,| PMM0586 | hypothetical protein
378,PMM0588,2.0,2.0,2.0,0.204,| PMM0588 | hypothetical protein2220.204| PMM0588 | hypothetical protein,1.0,1.0,1.0,0.109,| PMM0588 | hypothetical protein
379,PMM0589,7.0,7.0,7.0,0.053,| PMM0589 | hypothetical protein7770.053| PMM0589 | hypothetical protein,7.0,7.0,7.0,0.05,| PMM0589 | hypothetical protein
380,PMM0590,7.0,8.0,7.0,0.204,| proA | gamma-glutamyl phosphate reductase7870.204| proA | gamma-glutamyl phosphate reductase,7.0,8.0,7.0,0.19,| proA | gamma-glutamyl phosphate reductase
381,PMM0591,1.0,1.0,1.0,0.067,| folB | dihydroneopterin aldolase1110.067| folB | dihydroneopterin aldolase,1.0,1.0,1.0,0.067,| folB | dihydroneopterin aldolase
382,PMM0592,1.0,1.0,1.0,0.036000000000000004,| PMM0592 | lipase family protein1110.036| PMM0592 | lipase family protein,,,,,
383,PMM0593,2.0,2.0,1.0,0.026000000000000002,| PMM0593 | M3 family peptidase2210.026| PMM0593 | M3 family peptidase,,,,,
384,PMM0594,3.0,3.0,2.0,0.047,| ndhD | NAD(P)H-quinone oxidoreductase subunit 43320.047| ndhD | NAD(P)H-quinone oxidoreductase subunit 4,1.0,2.0,1.0,0.016,| ndhD | NAD(P)H-quinone oxidoreductase subunit 4
385,PMM0595,1.0,1.0,1.0,0.019,| thrB | homoserine kinase1110.019| thrB | homoserine kinase,2.0,2.0,2.0,0.067,| thrB | homoserine kinase
386,PMM0596,2.0,2.0,2.0,0.040999999999999995,| PMM0596 | putative glucokinase2220.041| PMM0596 | putative glucokinase,2.0,2.0,2.0,0.040999999999999995,| PMM0596 | putative glucokinase
387,PMM0597,5.0,5.0,5.0,0.069,| thrS | threonyl-tRNA synthetase5550.069| thrS | threonyl-tRNA synthetase,6.0,6.0,6.0,0.085,| thrS | threonyl-tRNA synthetase
388,PMM0599,1.0,1.0,1.0,0.06,| PMM0599 | hypothetical protein1110.06| PMM0599 | hypothetical protein,1.0,1.0,1.0,0.06,| PMM0599 | hypothetical protein
389,PMM0600,1.0,1.0,1.0,0.028999999999999998,| PMM0600 | hypothetical protein1110.029| PMM0600 | hypothetical protein,2.0,3.0,2.0,0.043,| PMM0600 | hypothetical protein
390,PMM0604,4.0,4.0,4.0,0.09300000000000001,| PMM0604 | hypothetical protein4440.093| PMM0604 | hypothetical protein,6.0,7.0,6.0,0.157,| PMM0604 | hypothetical protein
391,PMM0607,3.0,3.0,3.0,0.027000000000000003,| menD | menaquinone biosynthesis protein; 2-succinyl-6-hydroxy-23330.027| menD | menaquinone biosynthesis protein; 2-succinyl-6-hydroxy-2,2.0,2.0,1.0,0.028999999999999998,| menD | menaquinone biosynthesis protein; 2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase
392,PMM0608,3.0,3.0,3.0,0.12300000000000001,| menB | naphthoate synthase3330.123| menB | naphthoate synthase,4.0,4.0,4.0,0.154,| menB | naphthoate synthase
393,PMM0609,5.0,5.0,5.0,0.11199999999999999,| glgA | glycogen synthase5550.112| glgA | glycogen synthase,4.0,4.0,4.0,0.075,| glgA | glycogen synthase
394,PMM0611,4.0,4.0,4.0,0.091,| glmU | UDP-N-acetylglucosamine pyrophosphorylase4440.091| glmU | UDP-N-acetylglucosamine pyrophosphorylase,3.0,3.0,3.0,0.069,| glmU | UDP-N-acetylglucosamine pyrophosphorylase
395,PMM0613,7.0,8.0,7.0,0.13699999999999998,| aroA | 3-phosphoshikimate 1-carboxyvinyltransferase7870.137| aroA | 3-phosphoshikimate 1-carboxyvinyltransferase,5.0,6.0,5.0,0.11599999999999999,| aroA | 3-phosphoshikimate 1-carboxyvinyltransferase
396,PMM0614,1.0,1.0,1.0,0.057999999999999996,| PMM0614 | 2-phosphosulfolactate phosphatase1110.058| PMM0614 | 2-phosphosulfolactate phosphatase,2.0,2.0,2.0,0.10099999999999999,| PMM0614 | 2-phosphosulfolactate phosphatase
397,PMM0615,2.0,3.0,2.0,0.057999999999999996,| PMM0615 | putative nitrilase2320.058| PMM0615 | putative nitrilase,1.0,1.0,1.0,0.022000000000000002,| PMM0615 | putative nitrilase
398,PMM0616,1.0,1.0,1.0,0.019,| PMM0616 | cell wall hydrolase/autolysin1110.019| PMM0616 | cell wall hydrolase/autolysin,1.0,1.0,1.0,0.019,| PMM0616 | cell wall hydrolase/autolysin
399,PMM0618,2.0,2.0,2.0,0.065,| sds | polyprenyl synthetase; solanesyl diphosphate synthase (sds)2220.065| sds | polyprenyl synthetase; solanesyl diphosphate synthase (sds),2.0,2.0,2.0,0.055999999999999994,| sds | polyprenyl synthetase; solanesyl diphosphate synthase (sds)
400,PMM0619,12.0,15.0,12.0,0.179,| acs | acetyl-coenzyme A synthetase1215120.179| acs | acetyl-coenzyme A synthetase,17.0,21.0,17.0,0.253,| acs | acetyl-coenzyme A synthetase
401,PMM0623,6.0,6.0,6.0,0.128,| hisS | histidyl-tRNA synthetase6660.128| hisS | histidyl-tRNA synthetase,4.0,4.0,4.0,0.063,| hisS | histidyl-tRNA synthetase
402,PMM0624,1.0,1.0,1.0,0.083,| PMM0624 | hypothetical protein1110.083| PMM0624 | hypothetical protein,1.0,1.0,1.0,0.083,| PMM0624 | hypothetical protein
403,PMM0627,4.0,6.0,4.0,0.091,| pcb | light-harvesting complex protein4640.091| pcb | light-harvesting complex protein,4.0,6.0,4.0,0.091,| pcb | light-harvesting complex protein
404,PMM0629,1.0,2.0,1.0,0.11800000000000001,| PMM0629 | hypothetical protein1210.118| PMM0629 | hypothetical protein,1.0,2.0,1.0,0.11800000000000001,| PMM0629 | hypothetical protein
405,PMM0632,2.0,2.0,2.0,0.08900000000000001,| PMM0632 | short-chain dehydrogenase/reductase2220.089| PMM0632 | short-chain dehydrogenase/reductase,,,,,
406,PMM0633,2.0,2.0,2.0,0.052000000000000005,| crtL2 | putative lycopene epsilon cyclase2220.052| crtL2 | putative lycopene epsilon cyclase,,,,,
407,PMM0635,1.0,1.0,1.0,0.026000000000000002,| PMM0635 | small mechanosensitive ion channel1110.026| PMM0635 | small mechanosensitive ion channel,1.0,1.0,1.0,0.026000000000000002,| PMM0635 | small mechanosensitive ion channel
408,PMM0636,3.0,3.0,3.0,0.168,| PMM0636 | isochorismatase hydrolase family protein3330.168| PMM0636 | isochorismatase hydrolase family protein,3.0,3.0,2.0,0.157,| PMM0636 | isochorismatase hydrolase family protein
409,PMM0637,1.0,1.0,1.0,0.073,| fur | ferric uptake regulator family protein1110.073| fur | ferric uptake regulator family protein,1.0,1.0,1.0,0.073,| fur | ferric uptake regulator family protein
410,PMM0638,1.0,1.0,1.0,0.028999999999999998,| PMM0638 | hypothetical protein1110.029| PMM0638 | hypothetical protein,,,,,
411,PMM0639,2.0,2.0,2.0,0.045,| stpA | putative glucosylglycerolphosphate phosphatase2220.045| stpA | putative glucosylglycerolphosphate phosphatase,1.0,1.0,1.0,0.02,| stpA | putative glucosylglycerolphosphate phosphatase
412,PMM0640,8.0,9.0,7.0,0.157,| PMM0640 | hypothetical protein8970.157| PMM0640 | hypothetical protein,7.0,8.0,7.0,0.14800000000000002,| PMM0640 | hypothetical protein
413,PMM0641,5.0,6.0,5.0,0.151,| PMM0641 | hypothetical protein5650.151| PMM0641 | hypothetical protein,5.0,8.0,5.0,0.228,| PMM0641 | hypothetical protein
414,PMM0642,21.0,34.0,21.0,0.278,| cysD | putative O-Acetyl homoserine sulfhydrylase2134210.278| cysD | putative O-Acetyl homoserine sulfhydrylase,17.0,29.0,17.0,0.247,| cysD | putative O-Acetyl homoserine sulfhydrylase
