ProteinID,Alignments,SpecCounts,Unique,Coverage,Protein description
PMM0360,1,1,1,0.078,| PMM0360 | hypothetical protein1110.078| PMM0360 | hypothetical protein
PMM0366,1,1,1,0.045,| PMM0366 | type-1 copper (blue) domain-containing protein1110.045| PMM0366 | type-1 copper (blue) domain-containing protein
PMM0367,3,4,3,0.101,| PMM0367 | hypothetical protein3430.101| PMM0367 | hypothetical protein
PMM0370,1,1,1,0.023,| PMM0370 | putative cyanate ABC transporter1110.023| PMM0370 | putative cyanate ABC transporter
PMM0372,2,2,2,0.049,| PMM0372 | putative cyanate ABC transporter2220.049| PMM0372 | putative cyanate ABC transporter
PMM0373,1,1,1,0.088,| cynS | cyanate hydratase1110.088| cynS | cyanate hydratase
PMM0377,2,2,2,0.287,| PMM0377 | hypothetical protein2220.287| PMM0377 | hypothetical protein
PMM0379,2,3,2,0.172,| PMM0379 | hypothetical protein2320.172| PMM0379 | hypothetical protein
PMM0384,4,4,4,0.045,| spnII-interrupted-C | hypothetical protein4440.045| spnII-interrupted-C | hypothetical protein
PMM0387,1,1,1,0.055,| aroD | 3-dehydroquinate dehydratase1110.055| aroD | 3-dehydroquinate dehydratase
PMM0389,1,1,1,0.032,| cobI/cbiL | precorrin-2 C20-methyltransferase1110.032| cobI/cbiL | precorrin-2 C20-methyltransferase
PMM0391,1,1,1,0.015,| engA | GTP-binding protein EngA1110.015| engA | GTP-binding protein EngA
PMM0392,1,1,1,0.036,| PMM0392 | cobalt ABC transporter permease1110.036| PMM0392 | cobalt ABC transporter permease
PMM0393,4,6,4,0.375,| PMM0393 | hypothetical protein4640.375| PMM0393 | hypothetical protein
PMM0394,1,1,1,0.061,| PMM0394 | hypothetical protein1110.061| PMM0394 | hypothetical protein
PMM0395,1,1,1,0.068,| PMM0395 | hypothetical protein1110.068| PMM0395 | hypothetical protein
PMM0396,5,5,5,0.198,| proC | Delta 1-pyrroline-5-carboxylate reductase5550.198| proC | Delta 1-pyrroline-5-carboxylate reductase
PMM0397,1,1,1,0.018,| PMM0397 | putative glycosyl transferase1110.018| PMM0397 | putative glycosyl transferase
PMM0398,2,2,2,0.081,| PMM0398 | putative recombination protein O2220.081| PMM0398 | putative recombination protein O
PMM0399,1,1,1,0.037,| PMM0399 | putative deoxyribose-phosphate aldolase1110.037| PMM0399 | putative deoxyribose-phosphate aldolase
PMM0400,1,1,1,0.067,| lrtA | light repressed protein A-like protein1110.067| lrtA | light repressed protein A-like protein
PMM0401,1,1,1,0.042,| lipB | putative lipoate-protein ligase B1110.042| lipB | putative lipoate-protein ligase B
PMM0403,4,7,4,0.176,| PMM0403 | hypothetical protein4740.176| PMM0403 | hypothetical protein
PMM0405,5,6,5,0.125,| pdhC | branched-chain alpha-keto acid dehydrogenase subunit E25650.125| pdhC | branched-chain alpha-keto acid dehydrogenase subunit E2
PMM0406,3,3,3,0.064,| queA | queuosine biosynthesis protein3330.064| queA | queuosine biosynthesis protein
PMM0407,11,17,11,0.287,| cysK1 | O-acetylserine (thiol)-lyase A1117110.287| cysK1 | O-acetylserine (thiol)-lyase A
PMM0408,2,2,2,0.035,| PMM0408 | putative cystathionine gamma-synthase2220.035| PMM0408 | putative cystathionine gamma-synthase
PMM0409,1,1,1,0.034,| metB | putative cystathionine gamma-synthase1110.034| metB | putative cystathionine gamma-synthase
PMM0410,1,1,1,0.035,| rpsD | 30S ribosomal protein S41110.035| rpsD | 30S ribosomal protein S4
PMM0411,1,1,1,0.192,| PMM0411 | hypothetical protein1110.192| PMM0411 | hypothetical protein
PMM0413,1,1,1,0.02,| murE | UDP-N-acetylmuramoylalanyl-D-glutamate--21110.02| murE | UDP-N-acetylmuramoylalanyl-D-glutamate--2
PMM0414,3,4,3,0.141,| PMM0414 | putative short chain dehydrogenase3430.141| PMM0414 | putative short chain dehydrogenase
PMM0415,2,2,2,0.043,| PMM0415 | putative L-cysteine/cystine lyase2220.043| PMM0415 | putative L-cysteine/cystine lyase
PMM0416,2,2,2,0.068,| PMM0416 | hypothetical protein2220.068| PMM0416 | hypothetical protein
PMM0419,5,6,5,0.105,| mqo | malate:quinone oxidoreductase5650.105| mqo | malate:quinone oxidoreductase
PMM0420,4,5,3,0.06,| lepA | GTP-binding protein LepA4530.06| lepA | GTP-binding protein LepA
PMM0422,1,1,1,0.072,| PMM0422 | tRNA/rRNA methyltransferase (SpoU)1110.072| PMM0422 | tRNA/rRNA methyltransferase (SpoU)
PMM0426,1,1,1,0.021,| PMM0426 | Sun protein (Fmu protein)1110.021| PMM0426 | Sun protein (Fmu protein)
PMM0430,5,5,4,0.153,| hisF | imidazole glycerol phosphate synthase subunit HisF5540.153| hisF | imidazole glycerol phosphate synthase subunit HisF
PMM0431,2,2,2,0.069,| PMM0431 | hypothetical protein2220.069| PMM0431 | hypothetical protein
PMM0434,1,1,1,0.039,| PMM0434 | ABC transporter ATP-binding protein1110.039| PMM0434 | ABC transporter ATP-binding protein
PMM0435,2,2,2,0.04,| ndhB | NAD(P)H-quinone oxidoreductase subunit 22220.04| ndhB | NAD(P)H-quinone oxidoreductase subunit 2
PMM0436,6,6,6,0.071,| topA | DNA topoisomerase I6660.071| topA | DNA topoisomerase I
PMM0440,3,3,3,0.085,| PMM0440 | hypothetical protein3330.085| PMM0440 | hypothetical protein
PMM0442,1,1,1,0.046,| ribE | riboflavin synthase subunit alpha1110.046| ribE | riboflavin synthase subunit alpha
PMM0446,2,2,2,0.109,| ctaC | putative cytochrome c oxidase2220.109| ctaC | putative cytochrome c oxidase
PMM0448,1,1,1,0.039,| ctaB | putative protoheme IX farnesyltransferase1110.039| ctaB | putative protoheme IX farnesyltransferase
PMM0449,4,5,4,0.151,| PMM0449 | putative multidrug efflux ABC transporter4540.151| PMM0449 | putative multidrug efflux ABC transporter
PMM0451,2,2,2,0.118,| PMM0451 | hypothetical protein2220.118| PMM0451 | hypothetical protein
PMM0452,33,45,32,0.372,| groEL | chaperonin GroEL3345320.372| groEL | chaperonin GroEL
PMM0453,4,4,4,0.153,| fabG | 3-oxoacyl-[acyl-carrier protein] reductase4440.153| fabG | 3-oxoacyl-[acyl-carrier protein] reductase
PMM0454,2,2,2,0.081,| ispD | 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase2220.081| ispD | 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PMM0455,2,2,2,0.069,| PMM0455 | hypothetical protein2220.069| PMM0455 | hypothetical protein
PMM0457,2,2,2,0.03,| ppx | putative exopolyphosphatase2220.03| ppx | putative exopolyphosphatase
PMM0458,1,1,1,0.061,| PMM0458 | hypothetical protein1110.061| PMM0458 | hypothetical protein
PMM0459,4,4,3,0.147,| cobM | putative precorrin-4 C11-methyltransferase4430.147| cobM | putative precorrin-4 C11-methyltransferase
PMM0461,3,4,3,0.117,| petA | apocytochrome f3430.117| petA | apocytochrome f
PMM0462,2,3,2,0.163,| petC | cytochrome b6-f complex iron-sulfur subunit2320.163| petC | cytochrome b6-f complex iron-sulfur subunit
PMM0466,1,1,1,0.016,| PMM0466 | secreted protein MPB70 precursor1110.016| PMM0466 | secreted protein MPB70 precursor
PMM0467,1,1,1,0.038,| gmk | guanylate kinase1110.038| gmk | guanylate kinase
PMM0469,4,11,4,0.196,| psaF | photosystem I PsaF protein (subunit III)41140.196| psaF | photosystem I PsaF protein (subunit III)
PMM0470,1,1,1,0.025,| PMM0470 | o-sialoglycoprotein endopeptidase1110.025| PMM0470 | o-sialoglycoprotein endopeptidase
PMM0472,2,2,2,0.048,| PMM0472 | CPA1 family Na+/H+ antiporter2220.048| PMM0472 | CPA1 family Na+/H+ antiporter
PMM0473,4,5,4,0.088,| gltX | glutamyl-tRNA synthetase4540.088| gltX | glutamyl-tRNA synthetase
PMM0474,3,4,3,0.516,| PMM0474 | hypothetical protein3430.516| PMM0474 | hypothetical protein
PMM0475,1,3,1,0.094,| rplS | 50S ribosomal protein L191310.094| rplS | 50S ribosomal protein L19
PMM0477,1,1,1,0.057,| map | methionine aminopeptidase1110.057| map | methionine aminopeptidase
PMM0479,7,7,7,0.22,| PMM0479 | BioD-like N-terminal domain of phosphotransacetylase7770.22| PMM0479 | BioD-like N-terminal domain of phosphotransacetylase
PMM0480,2,2,2,0.071,| PMM0480 | hypothetical protein2220.071| PMM0480 | hypothetical protein
PMM0481,7,8,7,0.321,| PMM0481 | putative nucleotide-binding protein7870.321| PMM0481 | putative nucleotide-binding protein
PMM0482,9,34,9,0.332,| phb | Band 7 protein93490.332| phb | Band 7 protein
PMM0483,6,8,6,0.169,| hemL | glutamate-1-semialdehyde aminotransferase6860.169| hemL | glutamate-1-semialdehyde aminotransferase
PMM0484,4,4,4,0.153,| xthA | exodeoxyribonuclease III4440.153| xthA | exodeoxyribonuclease III
PMM0486,5,7,5,0.186,| PMM0486 | hypothetical protein5750.186| PMM0486 | hypothetical protein
PMM0487,4,4,4,0.091,| PMM0487 | hypothetical protein4440.091| PMM0487 | hypothetical protein
PMM0489,3,3,3,0.055,| futB3330.055| futB
PMM0490,4,4,4,0.124,| PMM0490 | hypothetical protein4440.124| PMM0490 | hypothetical protein
PMM0491,1,1,1,0.073,| phhB | pterin-4-alpha-carbinolamine dehydratase1110.073| phhB | pterin-4-alpha-carbinolamine dehydratase
PMM0492,4,4,4,0.267,| PMM0492 | hypothetical protein4440.267| PMM0492 | hypothetical protein
PMM0493,8,8,7,0.134,| cxp | carboxypeptidase Taq (M32) metallopeptidase8870.134| cxp | carboxypeptidase Taq (M32) metallopeptidase
PMM0494,3,4,3,0.144,| ppa | putative inorganic pyrophosphatase3430.144| ppa | putative inorganic pyrophosphatase
PMM0495,7,9,7,0.209,| hemC | porphobilinogen deaminase7970.209| hemC | porphobilinogen deaminase
PMM0496,5,5,5,0.106,| sigA | RNA polymerase sigma factor RpoD5550.106| sigA | RNA polymerase sigma factor RpoD
PMM0498,2,2,2,0.035,| PMM0498 | hypothetical protein2220.035| PMM0498 | hypothetical protein
PMM0499,3,3,3,0.085,| argB | acetylglutamate kinase3330.085| argB | acetylglutamate kinase
PMM0501,1,1,1,0.15,| PMM0501 | hypothetical protein1110.15| PMM0501 | hypothetical protein
PMM0502,2,2,2,0.134,| PMM0502 | hypothetical protein2220.134| PMM0502 | hypothetical protein
PMM0505,3,3,3,0.047,| PMM0505 | carbohydrate kinase3330.047| PMM0505 | carbohydrate kinase
PMM0506,10,11,10,0.165,| purA1011100.165| purA
PMM0507,6,8,6,0.207,| psb27 | putative photosystem II reaction center Psb27 protein6860.207| psb27 | putative photosystem II reaction center Psb27 protein
PMM0508,6,6,6,0.093,| proS | prolyl-tRNA synthetase6660.093| proS | prolyl-tRNA synthetase
PMM0511,3,3,3,0.115,| ppa | inorganic pyrophosphatase3330.115| ppa | inorganic pyrophosphatase
PMM0512,1,1,1,0.074,| PMM0512 | putative arsenate reductase1110.074| PMM0512 | putative arsenate reductase
PMM0514,3,3,3,0.046,| PMM0514 | putative dihydroorotase3330.046| PMM0514 | putative dihydroorotase
PMM0515,8,9,8,0.17,| cobC | putative alpha-ribazole-5'-P phosphatase8980.17| cobC | putative alpha-ribazole-5'-P phosphatase
PMM0516,2,3,1,0.038,| PMM0516 | membrane-associated protease2310.038| PMM0516 | membrane-associated protease
PMM0518,1,1,0,0.012,| ftsI | peptidoglycan synthetase1100.012| ftsI | peptidoglycan synthetase
PMM0519,9,11,9,0.201,| tal | transaldolase B91190.201| tal | transaldolase B
PMM0520,5,5,5,0.111,| PMM0520 | NAD binding site5550.111| PMM0520 | NAD binding site
PMM0521,4,6,4,0.17,| frr | ribosome recycling factor4640.17| frr | ribosome recycling factor
PMM0523,1,1,1,0.035,| cobO | cob(I)alamin adenosyltransferase1110.035| cobO | cob(I)alamin adenosyltransferase
PMM0524,1,1,1,0.021,| PMM0524 | phage integrase family protein1110.021| PMM0524 | phage integrase family protein
PMM0526,12,12,12,0.17,| ilvH | acetolactate synthase 3 catalytic subunit1212120.17| ilvH | acetolactate synthase 3 catalytic subunit
PMM0527,2,2,2,0.145,| PMM0527 | hypothetical protein2220.145| PMM0527 | hypothetical protein
PMM0529,3,3,3,0.076,| PMM0529 | hypothetical protein3330.076| PMM0529 | hypothetical protein
PMM0530,3,3,3,0.067,| rps1b | 30S ribosomal protein S1 homolog B3330.067| rps1b | 30S ribosomal protein S1 homolog B
PMM0531,1,1,1,0.038,| PMM0531 | creatininase1110.038| PMM0531 | creatininase
PMM0533,2,2,2,0.055,| PMM0533 | hypothetical protein2220.055| PMM0533 | hypothetical protein
PMM0535,1,1,1,0.06,| PMM0535 | short chain dehydrogenase1110.06| PMM0535 | short chain dehydrogenase
PMM0536,2,2,1,0.061,| folE | putative GTP cyclohydrolase I2210.061| folE | putative GTP cyclohydrolase I
PMM0537,2,3,2,0.077,| trpF | phosphoribosylanthranilate isomerase2320.077| trpF | phosphoribosylanthranilate isomerase
PMM0538,1,1,1,0.02,| PMM0538 | hypothetical protein1110.02| PMM0538 | hypothetical protein
PMM0542,2,2,2,0.045,| por | protochlorophyllide oxidoreductase2220.045| por | protochlorophyllide oxidoreductase
PMM0543,2,2,2,0.095,| chlL | protochlorophyllide reductase iron-sulfur ATP-binding protein2220.095| chlL | protochlorophyllide reductase iron-sulfur ATP-binding protein
PMM0544,1,1,1,0.023,| chlB | light-independent protochlorophyllide reductase subunit B1110.023| chlB | light-independent protochlorophyllide reductase subunit B
PMM0545,3,3,3,0.079,| chlN | light-independent protochlorophyllide reductase subunit N3330.079| chlN | light-independent protochlorophyllide reductase subunit N
PMM0546,3,4,3,0.156,| PMM0546 | hypothetical protein3430.156| PMM0546 | hypothetical protein
PMM0547,1,1,1,0.043,| PMM0547 | hypothetical protein1110.043| PMM0547 | hypothetical protein
PMM0549,7,18,7,0.602,| csoS1 | carboxysome shell protein CsoS171870.602| csoS1 | carboxysome shell protein CsoS1
PMM0550,8,14,8,0.136,| rbcL | ribulose bisophosphate carboxylase81480.136| rbcL | ribulose bisophosphate carboxylase
PMM0551,2,5,2,0.239,| rbcS | ribulose bisphosphate carboxylase2520.239| rbcS | ribulose bisphosphate carboxylase
PMM0552,4,6,4,0.055,| csoS2 | carboxysome shell protein CsoS24640.055| csoS2 | carboxysome shell protein CsoS2
PMM0553,2,2,2,0.043,| csoS3 | carboxysome shell protein CsoS32220.043| csoS3 | carboxysome shell protein CsoS3
PMM0556,4,4,4,0.418,| PMM0556 | hypothetical protein4440.418| PMM0556 | hypothetical protein
PMM0558,3,3,3,0.138,| PMM0558 | hypothetical protein3330.138| PMM0558 | hypothetical protein
PMM0560,7,7,7,0.242,| hisG | ATP phosphoribosyltransferase catalytic subunit7770.242| hisG | ATP phosphoribosyltransferase catalytic subunit
PMM0561,1,1,1,0.015,| PMM0561 | putative multidrug efflux ABC transporter1110.015| PMM0561 | putative multidrug efflux ABC transporter
PMM0562,1,1,1,0.045,| PMM0562 | putative acetyltransferase1110.045| PMM0562 | putative acetyltransferase
PMM0565,2,3,2,0.037,| dnaA | chromosomal replication initiation protein2320.037| dnaA | chromosomal replication initiation protein
PMM0567,5,5,5,0.115,| gshR | glutathione reductase (NADPH)5550.115| gshR | glutathione reductase (NADPH)
PMM0569,4,4,4,0.089,| pyrC | dihydroorotase4440.089| pyrC | dihydroorotase
PMM0572,3,3,3,0.104,| trpA | tryptophan synthase subunit alpha3330.104| trpA | tryptophan synthase subunit alpha
PMM0574,2,2,2,0.211,| PMM0574 | YciI-like protein2220.211| PMM0574 | YciI-like protein
PMM0575,3,3,3,0.217,| PMM0575 | hypothetical protein3330.217| PMM0575 | hypothetical protein
PMM0577,1,1,0,0.033,| PMM0577 | type II alternative sigma-70 family RNA polymerase sigma factor1100.033| PMM0577 | type II alternative sigma-70 family RNA polymerase sigma factor
PMM0578,3,3,3,0.131,| PMM0578 | bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein3330.131| PMM0578 | bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein
PMM0579,1,1,1,0.058,| PMM0579 | 6-pyruvoyl-tetrahydropterin synthase1110.058| PMM0579 | 6-pyruvoyl-tetrahydropterin synthase
PMM0580,8,8,8,0.091,| clpB1 | ATP-dependent Clp protease8880.091| clpB1 | ATP-dependent Clp protease ATP-binding subunit ClpB
PMM0581,1,1,1,0.06,| petE | plastocyanin1110.06| petE | plastocyanin
PMM0582,1,1,1,0.021,| PMM0582 | hypothetical protein1110.021| PMM0582 | hypothetical protein
PMM0583,8,8,8,0.182,| hemE | uroporphyrinogen decarboxylase8880.182| hemE | uroporphyrinogen decarboxylase
PMM0584,2,2,2,0.023,| glgB | glycogen branching enzyme2220.023| glgB | glycogen branching enzyme
PMM0585,2,2,2,0.027,| PMM0585 | hypothetical protein2220.027| PMM0585 | hypothetical protein
PMM0586,2,2,2,0.182,| PMM0586 | hypothetical protein2220.182| PMM0586 | hypothetical protein
PMM0588,2,2,2,0.204,| PMM0588 | hypothetical protein2220.204| PMM0588 | hypothetical protein
PMM0589,7,7,7,0.053,| PMM0589 | hypothetical protein7770.053| PMM0589 | hypothetical protein
PMM0590,7,8,7,0.204,| proA | gamma-glutamyl phosphate reductase7870.204| proA | gamma-glutamyl phosphate reductase
PMM0591,1,1,1,0.067,| folB | dihydroneopterin aldolase1110.067| folB | dihydroneopterin aldolase
PMM0592,1,1,1,0.036,| PMM0592 | lipase family protein1110.036| PMM0592 | lipase family protein
PMM0593,2,2,1,0.026,| PMM0593 | M3 family peptidase2210.026| PMM0593 | M3 family peptidase
PMM0594,3,3,2,0.047,| ndhD | NAD(P)H-quinone oxidoreductase subunit 43320.047| ndhD | NAD(P)H-quinone oxidoreductase subunit 4
PMM0595,1,1,1,0.019,| thrB | homoserine kinase1110.019| thrB | homoserine kinase
PMM0596,2,2,2,0.041,| PMM0596 | putative glucokinase2220.041| PMM0596 | putative glucokinase
PMM0597,5,5,5,0.069,| thrS | threonyl-tRNA synthetase5550.069| thrS | threonyl-tRNA synthetase
PMM0599,1,1,1,0.06,| PMM0599 | hypothetical protein1110.06| PMM0599 | hypothetical protein
PMM0600,1,1,1,0.029,| PMM0600 | hypothetical protein1110.029| PMM0600 | hypothetical protein
PMM0604,4,4,4,0.093,| PMM0604 | hypothetical protein4440.093| PMM0604 | hypothetical protein
PMM0607,3,3,3,0.027,| menD | menaquinone biosynthesis protein; 2-succinyl-6-hydroxy-23330.027| menD | menaquinone biosynthesis protein; 2-succinyl-6-hydroxy-2
PMM0608,3,3,3,0.123,| menB | naphthoate synthase3330.123| menB | naphthoate synthase
PMM0609,5,5,5,0.112,| glgA | glycogen synthase5550.112| glgA | glycogen synthase
PMM0611,4,4,4,0.091,| glmU | UDP-N-acetylglucosamine pyrophosphorylase4440.091| glmU | UDP-N-acetylglucosamine pyrophosphorylase
PMM0613,7,8,7,0.137,| aroA | 3-phosphoshikimate 1-carboxyvinyltransferase7870.137| aroA | 3-phosphoshikimate 1-carboxyvinyltransferase
PMM0614,1,1,1,0.058,| PMM0614 | 2-phosphosulfolactate phosphatase1110.058| PMM0614 | 2-phosphosulfolactate phosphatase
PMM0615,2,3,2,0.058,| PMM0615 | putative nitrilase2320.058| PMM0615 | putative nitrilase
PMM0616,1,1,1,0.019,| PMM0616 | cell wall hydrolase/autolysin1110.019| PMM0616 | cell wall hydrolase/autolysin
PMM0618,2,2,2,0.065,| sds | polyprenyl synthetase; solanesyl diphosphate synthase (sds)2220.065| sds | polyprenyl synthetase; solanesyl diphosphate synthase (sds)
PMM0619,12,15,12,0.179,| acs | acetyl-coenzyme A synthetase1215120.179| acs | acetyl-coenzyme A synthetase
PMM0623,6,6,6,0.128,| hisS | histidyl-tRNA synthetase6660.128| hisS | histidyl-tRNA synthetase
PMM0624,1,1,1,0.083,| PMM0624 | hypothetical protein1110.083| PMM0624 | hypothetical protein
PMM0627,4,6,4,0.091,| pcb | light-harvesting complex protein4640.091| pcb | light-harvesting complex protein
PMM0629,1,2,1,0.118,| PMM0629 | hypothetical protein1210.118| PMM0629 | hypothetical protein
PMM0632,2,2,2,0.089,| PMM0632 | short-chain dehydrogenase/reductase2220.089| PMM0632 | short-chain dehydrogenase/reductase
PMM0633,2,2,2,0.052,| crtL2 | putative lycopene epsilon cyclase2220.052| crtL2 | putative lycopene epsilon cyclase
PMM0635,1,1,1,0.026,| PMM0635 | small mechanosensitive ion channel1110.026| PMM0635 | small mechanosensitive ion channel
PMM0636,3,3,3,0.168,| PMM0636 | isochorismatase hydrolase family protein3330.168| PMM0636 | isochorismatase hydrolase family protein
PMM0637,1,1,1,0.073,| fur | ferric uptake regulator family protein1110.073| fur | ferric uptake regulator family protein
PMM0638,1,1,1,0.029,| PMM0638 | hypothetical protein1110.029| PMM0638 | hypothetical protein
PMM0639,2,2,2,0.045,| stpA | putative glucosylglycerolphosphate phosphatase2220.045| stpA | putative glucosylglycerolphosphate phosphatase
PMM0640,8,9,7,0.157,| PMM0640 | hypothetical protein8970.157| PMM0640 | hypothetical protein
PMM0641,5,6,5,0.151,| PMM0641 | hypothetical protein5650.151| PMM0641 | hypothetical protein
PMM0642,21,34,21,0.278,| cysD | putative O-Acetyl homoserine sulfhydrylase2134210.278| cysD | putative O-Acetyl homoserine sulfhydrylase
PMM0643,4,5,4,0.118,| metA | putative homoserine O-succinyltransferase4540.118| metA | putative homoserine O-succinyltransferase
PMM0644,2,2,2,0.031,| PMM0644 | putative sulfate transporter2220.031| PMM0644 | putative sulfate transporter
PMM0645,1,1,1,0.021,| PMM0645 | FAD linked oxidase1110.021| PMM0645 | FAD linked oxidase
PMM0646,1,1,1,0.027,| PMM0646 | hypothetical protein1110.027| PMM0646 | hypothetical protein
PMM0649,2,3,2,0.146,| PMM0649 | pentapeptide repeat-containing protein2320.146| PMM0649 | pentapeptide repeat-containing protein
PMM0651,1,1,1,0.055,| PMM0651 | VHS domain-containing protein1110.055| PMM0651 | VHS domain-containing protein
PMM0653,1,1,1,0.101,| gloA | lactoylglutathione lyase1110.101| gloA | lactoylglutathione lyase
PMM0658,1,1,1,0.029,| rsuA | putative pseudouridylate synthase specific to ribosomal small subunit1110.029| rsuA | putative pseudouridylate synthase specific to ribosomal small subunit
PMM0661,9,10,9,0.136,| nrdJ | ribonucleotide reductase (class II)91090.136| nrdJ | ribonucleotide reductase (class II)
PMM0662,3,3,3,0.104,| PMM0662 | hypothetical protein3330.104| PMM0662 | hypothetical protein
PMM0663,4,4,4,0.051,| prfC | peptide chain release factor 34440.051| prfC | peptide chain release factor 3
PMM0664,1,1,1,0.049,| PMM0664 | hypothetical protein1110.049| PMM0664 | hypothetical protein
PMM0665,5,5,5,0.157,| hslO | Hsp33-like chaperonin5550.157| hslO | Hsp33-like chaperonin
PMM0666,1,1,1,0.042,| PMM0666 | ABC transporter ATP-binding protein1110.042| PMM0666 | ABC transporter ATP-binding protein
PMM0668,2,2,2,0.086,| PMM0668 | 16S ribosomal RNA methyltransferase RsmE2220.086| PMM0668 | 16S ribosomal RNA methyltransferase RsmE
PMM0671,2,2,2,0.042,| PMM0671 | putative phosphonate ABC transporter2220.042| PMM0671 | putative phosphonate ABC transporter
PMM0672,5,5,5,0.196,| PMM0672 | putative phosphonate ABC transporter5550.196| PMM0672 | putative phosphonate ABC transporter
PMM0674,6,9,6,0.158,| aspC | aminotransferase class-I6960.158| aspC | aminotransferase class-I
PMM0676,3,3,3,0.081,| ispG | 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase3330.081| ispG | 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
PMM0677,3,4,3,0.056,| PMM0677 | carboxyl-terminal processing protease3430.056| PMM0677 | carboxyl-terminal processing protease
PMM0678,1,1,1,0.023,| PMM0678 | quinolinate synthetase1110.023| PMM0678 | quinolinate synthetase
PMM0679,1,1,1,0.024,| PMM0679 | putative transcripton factor1110.024| PMM0679 | putative transcripton factor
PMM0680,2,2,2,0.072,| PMM0680 | hypothetical protein2220.072| PMM0680 | hypothetical protein
PMM0681,6,6,6,0.149,| PMM0681 | hypothetical protein6660.149| PMM0681 | hypothetical protein
PMM0682,2,2,2,0.05,| aroB | 3-dehydroquinate synthase2220.05| aroB | 3-dehydroquinate synthase
PMM0683,3,3,3,0.063,| purK | phosphoribosylaminoimidazole carboxylase ATPase subunit3330.063| purK | phosphoribosylaminoimidazole carboxylase ATPase subunit
PMM0693,2,2,2,0.149,| PMM0693 | Hepatitis C virus envelope glycoprote2220.149| PMM0693 | Hepatitis C virus envelope glycoprote
PMM0695,1,1,1,0.029,| PMM0695 | glutamine amidotransferase class-I1110.029| PMM0695 | glutamine amidotransferase class-I
PMM0702,2,2,2,0.18,| PMM0702 | hypothetical protein2220.18| PMM0702 | hypothetical protein
PMM0704,1,1,1,0.028,| PMM0704 | VIC family potassium channel protein1110.028| PMM0704 | VIC family potassium channel protein
PMM0705,3,4,3,0.116,| phoB | two-component response regulator3430.116| phoB | two-component response regulator
PMM0706,3,4,3,0.079,| phoR | two-component sensor histidine kinase3430.079| phoR | two-component sensor histidine kinase
PMM0708,2,2,2,0.024,| PMM0708 | putative secreted protein2220.024| PMM0708 | putative secreted protein
PMM0709,1,1,1,0.022,| som | porin1110.022| som | porin
PMM0710,12,16,12,0.282,| PMM0710 | ABC transporter1216120.282| PMM0710 | ABC transporter phosphate
PMM0712,1,1,1,0.026,| PMM0712 | major facilitator superfamily multidrug-efflux transporter1110.026| PMM0712 | major facilitator superfamily multidrug-efflux transporter
PMM0713,4,4,4,0.126,| gap1 | putative glyceraldehyde 3-phosphate dehydrogenase4440.126| gap1 | putative glyceraldehyde 3-phosphate dehydrogenase
PMM0714,1,1,1,0.071,| PMM0714 | ArsR family regulatory protein1110.071| PMM0714 | ArsR family regulatory protein
PMM0715,2,2,2,0.327,| PMM0715 | chorismate binding enzyme2220.327| PMM0715 | chorismate binding enzyme
PMM0725,2,2,2,0.071,| PMM0725 | putative phosphate ABC transporter2220.071| PMM0725 | putative phosphate ABC transporter
PMM0729,1,1,1,0.013,| PMM0729 | ATP-dependent DNA ligase1110.013| PMM0729 | ATP-dependent DNA ligase
PMM0732,2,2,2,0.116,| PMM0732 | major surface glycoprotein2220.116| PMM0732 | major surface glycoprotein
PMM0733,5,5,5,0.094,| PMM0733 | hypothetical protein5550.094| PMM0733 | hypothetical protein
PMM0734,1,1,1,0.107,| PMM0734 | CopG family protein1110.107| PMM0734 | CopG family protein
PMM0736,1,2,1,0.086,| PMM0736 | alpha-2-macroglobulin family protein1210.086| PMM0736 | alpha-2-macroglobulin family protein
PMM0738,1,1,1,0.101,| PMM0738 | hypothetical protein1110.101| PMM0738 | hypothetical protein
PMM0741,3,4,2,0.097,| PMM0741 | Thf1-like protein3420.097| PMM0741 | Thf1-like protein
PMM0742,2,3,2,0.087,| clpP1 | ATP-dependent Clp protease proteolytic subunit2320.087| clpP1 | ATP-dependent Clp protease proteolytic subunit
PMM0743,13,14,13,0.22,| ftsH1 | FtsH ATP-dependent protease-like protein1314130.22| ftsH1 | FtsH ATP-dependent protease-like protein
PMM0744,2,2,2,0.239,| PMM0744 | hypothetical protein2220.239| PMM0744 | hypothetical protein
PMM0748,3,3,3,0.089,| PMM0748 | ABC transporter3330.089| PMM0748 | ABC transporter
PMM0749,2,2,2,0.061,| PMM0749 | ABC-transporter2220.061| PMM0749 | ABC-transporter
PMM0750,2,2,2,0.058,| PMM0750 | ABC transporter2220.058| PMM0750 | ABC transporter
PMM0752,3,4,3,0.075,| PMM0752 | glycosyl transferase family protein3430.075| PMM0752 | glycosyl transferase family protein
PMM0753,9,11,9,0.239,| rpsB | 30S ribosomal protein S291190.239| rpsB | 30S ribosomal protein S2
PMM0754,3,4,3,0.11,| tsf | elongation factor Ts3430.11| tsf | elongation factor Ts
