Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 100 m suspended,Coverage (%) 965 m suspended,Coverage (%) 94 m sinking,Coverage (%) 965 m sinking,Area 100 m suspended,Area 965 m suspended,Area 94 m sinking,Area 965 m sinking,#Peptides,#Unique,#Spec 100 m suspended,#Spec 965 m suspended,#Spec 94 m sinking,#Spec 965 m sinking,PTM,Avg. Mass,Description
215,318,ETNP_140m_PROKKA_159965,105.38,32,32,0,0,0,,,,,4,0,6,0,0,0,Carbamidomethylation,18507,Photosystem I reaction center subunit III precursor
215,323,NP_85m_PROKKA_18135,105.38,32,32,0,0,0,,,,,4,0,6,0,0,0,Carbamidomethylation,18507,Photosystem I reaction center subunit III precursor
18,1517,KHE90310,105.23,5,4,3,2,2,1.03E7,5.63E6,,,8,1,15,12,22,23,Methylation(KR); Sodium adduct; Propionamide (K  X@N-term); Deamidation (NQ); Ethyl amino; Dimethylation of proline residue,97092,chaperone ClpB Candidatus Scalindua brodae
197,281,ETNP_90m_PROKKA_51357,104.95,32,32,0,0,0,9.45E5,,,,5,4,7,0,0,0,Deamidation (NQ),20410,hypothetical protein
197,282,ETNP_120m_PROKKA_302154,104.95,29,29,0,0,0,9.45E5,,,,5,4,7,0,0,0,Deamidation (NQ),22196,hypothetical protein
225,2082,ETNP_90m_PROKKA_03190,104.86,16,16,0,0,0,4.12E6,,,,4,2,7,0,0,0,Oxidation (M),12331,Plastocyanin precursor
225,2083,NP_85m_PROKKA_22881,104.86,16,16,0,0,0,4.12E6,,,,4,2,7,0,0,0,Oxidation (M),12331,Plastocyanin precursor
225,2084,ETNP_120m_PROKKA_52531,104.86,15,15,0,0,0,4.12E6,,,,4,2,7,0,0,0,Oxidation (M),12648,Plastocyanin precursor
225,2085,ETNP_140m_PROKKA_39322,104.86,15,15,0,0,0,4.12E6,,,,4,2,7,0,0,0,Oxidation (M),12648,Plastocyanin precursor
177,1061,ETNP_120m_PROKKA_223412,104.47,53,53,0,0,0,1.23E7,,,,5,5,10,0,0,0,Methylation(others),6863,hypothetical protein
181,381,ETNP_160m_PROKKA_201077,104.47,73,73,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),7684,Thioredoxin
181,384,ETNP_100m_PROKKA_06117,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11595,Thioredoxin-1
181,385,NP_100m_PROKKA_30403,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11595,Thioredoxin-1
181,386,ETNP_140m_PROKKA_156431,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11565,Thioredoxin-1
181,387,ETNP_90m_PROKKA_201449,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11595,Thioredoxin-1
181,388,ETNP14_68mB_PROKKA_48654,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11565,Thioredoxin-1
181,389,ETNP_100m_PROKKA_21464,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11565,Thioredoxin-1
181,390,ETNP_110m_PROKKA_29592,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11565,Thioredoxin-1
181,391,ETNP_140m_PROKKA_136007,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11595,Thioredoxin-1
181,392,ETNP_120m_PROKKA_69423,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11595,Thioredoxin-1
181,393,NP_85m_PROKKA_19416,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11565,Thioredoxin-1
181,394,ETNP_110m_PROKKA_28542,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11595,Thioredoxin-1
181,395,ETNP_90m_PROKKA_102584,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11592,Thioredoxin-1
181,396,WP_011130499,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11592,thioredoxin Prochlorococcus
181,397,ETNP_160m_PROKKA_179873,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11565,Thioredoxin-1
181,398,ETNP_100m_particle_PROKKA_94903,104.47,49,49,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),11609,Thioredoxin-1
181,383,ETNP_120m_particle_PROKKA_115227,104.47,57,57,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),10054,Thioredoxin-1
181,382,ETNP_90m_PROKKA_41164,104.47,58,58,0,0,0,7.05E6,,,,8,8,8,0,0,0,Oxidation (M),9926,Thioredoxin-1
162,293,ETNP_100m_PROKKA_46737,104.44,55,55,0,7,0,6.04E5,,,,9,2,12,0,1,0,Oxidation (M); Acetylation (N-term); Mutation,11297,hypothetical protein
168,295,ETNP_160m_PROKKA_28050,103.71,21,21,0,0,0,3.99E5,,,,7,2,9,0,0,0,Mutation,43606,Elongation factor Tu
168,296,NP_85m_PROKKA_06676,103.71,21,21,0,0,0,3.99E5,,,,7,2,9,0,0,0,Mutation,43606,Elongation factor Tu
168,297,ETNP14_68maa_PROKKA_112391,103.71,21,21,0,0,0,3.99E5,,,,7,2,9,0,0,0,Mutation,43606,Elongation factor Tu
168,298,ETNP_110m_PROKKA_34002,103.71,21,21,0,0,0,3.99E5,,,,7,2,9,0,0,0,Mutation,43650,Elongation factor Tu
88,838,ETNP14_120maa_PROKKA_78369,103.48,10,3,0,9,5,,,4.05E5,2.13E6,15,1,2,0,10,24,Carbamidomethylation; Pyro-glu from E,42383,Bacterial actin-related protein
148,350,WP_011825158,103.35,15,12,1,2,2,1.91E5,,,,9,1,9,1,1,2,,53980,ATP synthase subunit alpha Prochlorococcus
148,351,WP_011130835,103.35,15,12,1,2,2,1.91E5,,,,9,1,9,1,1,2,,54046,ATP synthase subunit alpha Prochlorococcus marinus
16,1575,ETNP_160m_PROKKA_179213,103.28,3,3,2,2,2,2.7E6,,,,7,1,16,10,22,23,Sodium adduct; Propionamide (K  X@N-term); Deamidation (NQ); Ethyl amino; Methylmalonylation on Serine; Dimethylation of proline residue,93880,Chaperone protein ClpB
157,568,ETNP_140m_PROKKA_56253,103.12,30,28,8,0,0,,,,,8,0,7,4,0,0,Oxidation (M); Deamidation (NQ),18682,Selenate reductase subunit gamma precursor
19,1521,BAL59480,103.08,3,1,2,3,2,,,1.11E7,,7,1,13,10,24,23,Sodium adduct; Propionamide (K  X@N-term); Deamidation (NQ); Ethyl amino; Dimethylation of proline residue,100280,ATP-dependent Clp protease ATP-binding subunit ClpC Candidatus Acetothermus autotrophicum
244,223,ETNP_100m_particle_PROKKA_128035,102.89,28,28,0,0,0,3.49E5,,,,7,3,7,0,0,0,,33083,Fructose-bisphosphate aldolase class 2
244,224,ETNP_120m_particle_PROKKA_27564,102.89,27,27,0,0,0,3.49E5,,,,7,3,7,0,0,0,,34130,Fructose-bisphosphate aldolase class 2
244,225,ETNP_90m_PROKKA_03450,102.89,25,25,0,0,0,3.49E5,,,,7,3,7,0,0,0,,37818,Fructose-bisphosphate aldolase class 2
244,226,ETNP_100m_PROKKA_70731,102.89,25,25,0,0,0,3.49E5,,,,7,3,7,0,0,0,,37818,Fructose-bisphosphate aldolase class 2
226,648,ETNP_120m_PROKKA_225416,102.77,62,62,0,0,0,4.61E6,,,,5,5,7,0,0,0,Carbamidomethylation; Pyro-glu from Q,9360,hypothetical protein
226,649,ETNP_100m_particle_PROKKA_136612,102.77,62,62,0,0,0,4.61E6,,,,5,5,7,0,0,0,Carbamidomethylation; Pyro-glu from Q,9360,hypothetical protein
226,650,ETNP_120m_particle_PROKKA_117690,102.77,62,62,0,0,0,4.61E6,,,,5,5,7,0,0,0,Carbamidomethylation; Pyro-glu from Q,9300,hypothetical protein
211,423,ETNP_90m_PROKKA_114429,102.41,39,39,0,0,0,9.42E4,,,,5,2,8,0,0,0,Carbamidomethylation; Oxidation (M),24636,Aliphatic amidase expression-regulating protein
211,458,WP_038654216,98.49,13,13,0,0,0,9.42E4,,,,4,1,7,0,0,0,Oxidation (M),46306,ABC transporter substrate-binding protein Prochlorococcus sp MIT 0801
211,482,WP_042850283,98.49,13,13,0,0,0,9.42E4,,,,4,1,7,0,0,0,Oxidation (M),46077,ABC transporter substrate-binding protein Prochlorococcus sp MIT 0604
199,2087,ETNP14_120maa_PROKKA_145159,102.14,10,0,10,0,0,,3.28E6,,,6,5,0,7,0,0,Formylation,17825,Ammonium transporter NrgA
199,2596,ETNP14_120mab_PROKKA_99350,102.14,52,0,52,0,0,,3.28E6,,,6,5,0,7,0,0,Formylation (Protein N-term),3672,hypothetical protein
199,2597,ETNP14_120mab_PROKKA_157108,102.14,52,0,52,0,0,,3.28E6,,,6,5,0,7,0,0,Formylation (Protein N-term),3658,hypothetical protein
120,1016,ETNP_70m_PROKKA_64991,102.02,43,14,17,21,31,,1.41E4,,,18,1,6,2,5,15,,13534,Core histone H2A/H2B/H3/H4
202,408,WP_036912722,102.02,7,7,0,0,0,5.53E6,,,,4,4,7,0,0,0,Carbamidomethylation,83193,photosystem I P700 chlorophyll a apoprotein A2 Prochlorococcus
202,416,ETNP_100m_particle_PROKKA_06251,102.02,7,7,0,0,0,5.53E6,,,,4,4,7,0,0,0,Carbamidomethylation,81826,Photosystem I P700 chlorophyll a apoprotein A2
202,417,NP_85m_PROKKA_09264,102.02,7,7,0,0,0,5.53E6,,,,4,4,7,0,0,0,Carbamidomethylation,83226,Photosystem I P700 chlorophyll a apoprotein A2
188,270,ETNP_70m_PROKKA_32299,101.80,17,17,0,0,0,3.2E6,,,,9,8,10,0,0,0,Carbamidomethylation,52544,Ribulose bisphosphate carboxylase large chain
150,588,ETNP_120m_PROKKA_108746,101.58,15,12,1,2,2,4.66E5,,,,9,1,9,1,1,2,,53875,ATP synthase subunit alpha
194,1819,ETNP_120m_free_PROKKA_180180,101.48,35,25,0,10,0,4E5,,7.35E5,,7,7,7,0,1,0,Carbamidomethylation; Deamidation (NQ),8327,CP12 domain protein
194,1820,ETNP_110m_PROKKA_38604,101.48,27,19,0,7,0,4E5,,7.35E5,,7,7,7,0,1,0,Carbamidomethylation; Deamidation (NQ),10616,CP12 domain protein
194,1821,ETNP_90m_PROKKA_202983,101.48,27,19,0,7,0,4E5,,7.35E5,,7,7,7,0,1,0,Carbamidomethylation; Deamidation (NQ),10616,CP12 domain protein
194,1822,ETNP_120m_particle_PROKKA_78242,101.48,27,19,0,7,0,4E5,,7.35E5,,7,7,7,0,1,0,Carbamidomethylation; Deamidation (NQ),10616,CP12 domain protein
194,1823,ETNP_100m_PROKKA_81257,101.48,27,19,0,7,0,4E5,,7.35E5,,7,7,7,0,1,0,Carbamidomethylation; Deamidation (NQ),10616,CP12 domain protein
194,1824,ETNP_120m_PROKKA_93512,101.48,27,19,0,7,0,4E5,,7.35E5,,7,7,7,0,1,0,Carbamidomethylation; Deamidation (NQ),10616,CP12 domain protein
194,1825,ETNP_100m_particle_PROKKA_143439,101.48,27,19,0,7,0,4E5,,7.35E5,,7,7,7,0,1,0,Carbamidomethylation; Deamidation (NQ),10616,CP12 domain protein
222,444,ETNP_90m_PROKKA_125336,101.14,27,27,0,0,0,4.8E4,,,,4,1,7,0,0,0,,17572,30S ribosomal protein S7
222,445,WP_011131147,101.14,27,27,0,0,0,4.8E4,,,,4,1,7,0,0,0,,17572,30S ribosomal protein S7 Prochlorococcus
217,433,ETNP_120m_PROKKA_188342,100.93,45,45,0,7,0,1.63E5,,,,7,1,9,0,1,0,Oxidation (M); Acetylation (N-term); Mutation,11301,hypothetical protein
160,210,WP_036912725,100.76,8,8,0,0,0,8.42E6,,,,7,5,11,0,0,0,Carbamidomethylation; Acetylation (Protein N-term),85008,photosystem I P700 chlorophyll a apoprotein A1 Prochlorococcus
160,211,WP_011131137,100.76,8,8,0,0,0,8.42E6,,,,7,5,11,0,0,0,Carbamidomethylation; Acetylation (Protein N-term),84981,photosystem I P700 chlorophyll a apoprotein A1 Prochlorococcus marinus
167,1022,ETNP14_120mab_PROKKA_50313,100.59,26,24,11,0,0,2.2E6,,,,10,4,11,3,0,0,Methylation(others); Pyro-glu from Q; Mutation,25395,hypothetical protein
151,1066,WP_012519826,99.99,16,0,0,0,16,,,,5.37E6,10,10,0,0,0,11,,43224,elongation factor Tu Alteromonas mediterranea
151,1067,ETNP14_120maa_PROKKA_89197,99.99,16,0,0,0,16,,,,5.37E6,10,10,0,0,0,11,,43251,Elongation factor Tu
176,459,ETNP_120m_particle_PROKKA_31709,99.57,53,53,0,0,0,5.33E6,,,,8,2,11,0,0,0,Carbamidomethylation,10602,Ferredoxin
176,460,ETNP_140m_PROKKA_82876,99.57,53,53,0,0,0,5.33E6,,,,8,2,11,0,0,0,Carbamidomethylation,10602,Ferredoxin
176,461,ETNP_120m_free_PROKKA_315605,99.57,53,53,0,0,0,5.33E6,,,,8,2,11,0,0,0,Carbamidomethylation,10602,Ferredoxin
176,462,ETNP_110m_PROKKA_15606,99.57,53,53,0,0,0,5.33E6,,,,8,2,11,0,0,0,Carbamidomethylation,10602,Ferredoxin
176,463,ETNP_120m_PROKKA_172531,99.57,53,53,0,0,0,5.33E6,,,,8,2,11,0,0,0,Carbamidomethylation,10602,Ferredoxin
176,464,ETNP_100m_PROKKA_46139,99.57,53,53,0,0,0,5.33E6,,,,8,2,11,0,0,0,Carbamidomethylation,10602,Ferredoxin
176,465,ETNP_90m_PROKKA_10440,99.57,53,53,0,0,0,5.33E6,,,,8,2,11,0,0,0,Carbamidomethylation,10602,Ferredoxin
176,466,ETNP_100m_particle_PROKKA_153641,99.57,53,53,0,0,0,5.33E6,,,,8,2,11,0,0,0,Carbamidomethylation,10602,Ferredoxin
198,558,ETNP_140m_PROKKA_116680,99.49,9,9,0,0,0,3.45E6,,,,3,3,7,0,0,0,,50603,Ribulose bisphosphate carboxylase
198,559,ETNP_100m_particle_PROKKA_43440,99.49,9,9,0,0,0,3.45E6,,,,3,3,7,0,0,0,,50603,Ribulose bisphosphate carboxylase
198,560,ETNP_100m_PROKKA_19145,99.49,9,9,0,0,0,3.45E6,,,,3,3,7,0,0,0,,50603,Ribulose bisphosphate carboxylase
198,561,ETNP14_68maa_PROKKA_78816,99.49,9,9,0,0,0,3.45E6,,,,3,3,7,0,0,0,,50635,Ribulose bisphosphate carboxylase
198,562,ETNP_110m_PROKKA_46656,99.49,9,9,0,0,0,3.45E6,,,,3,3,7,0,0,0,,50603,Ribulose bisphosphate carboxylase
198,563,ETNP_90m_PROKKA_24753,99.49,9,9,0,0,0,3.45E6,,,,3,3,7,0,0,0,,50603,Ribulose bisphosphate carboxylase
198,564,ETNP_160m_PROKKA_96972,99.49,9,9,0,0,0,3.45E6,,,,3,3,7,0,0,0,,50637,Ribulose bisphosphate carboxylase
290,471,NP_30m_PROKKA_08351,99.06,50,50,0,0,0,,,,,6,0,7,0,0,0,,10731,10 kDa chaperonin
290,472,WP_002806275,99.06,50,50,0,0,0,,,,,6,0,7,0,0,0,,10761,molecular chaperone GroES Prochlorococcus
216,320,ETNP_160m_PROKKA_78370,98.98,32,32,0,0,0,,,,,4,0,6,0,0,0,Carbamidomethylation,18547,Photosystem I reaction center subunit III precursor
216,325,ETNP_90m_PROKKA_03594,98.98,32,32,0,0,0,,,,,4,0,6,0,0,0,Carbamidomethylation,18547,Photosystem I reaction center subunit III precursor
155,272,ETNP_180m_PROKKA_81155,98.92,10,10,0,0,0,7.42E6,,,,10,5,13,0,0,0,Propionamide (K  X@N-term); Deamidation (NQ),81192,Multicopper oxidase
196,518,WP_038543222,97.31,37,37,0,0,0,2.6E6,,,,9,1,9,0,0,0,Mutation,17821,bleomycin hydrolase Synechococcus sp KORDI-100
248,413,ETNP_110m_PROKKA_09551,96.49,72,72,0,0,0,5.11E5,,,,6,4,7,0,0,0,Oxidation (M),11385,hypothetical protein
248,414,ETNP_120m_PROKKA_151994,96.49,72,72,0,0,0,5.11E5,,,,6,4,7,0,0,0,Oxidation (M),11385,hypothetical protein
248,415,ETNP_100m_PROKKA_91385,96.49,72,72,0,0,0,5.11E5,,,,6,4,7,0,0,0,Oxidation (M),11385,hypothetical protein
254,717,ETNP14_120mab_PROKKA_26998,95.70,36,36,0,0,0,2.99E6,,,,5,4,5,0,0,0,,10489,10 kDa chaperonin
200,261,ETNP_120m_PROKKA_98353,95.39,60,60,0,0,0,1.43E6,,,,6,5,8,0,0,0,Oxidation (M),13780,hypothetical protein
186,441,ETNP_60m_PROKKA_27253,95.37,14,12,14,0,0,8.28E5,1.61E5,,,5,3,4,4,0,0,Carbamylation,38494,hypothetical protein
186,442,ETNP14_68mB_PROKKA_39666,98.72,16,12,16,0,0,8.28E5,1.61E5,,,6,3,4,5,0,0,Carbamylation,38516,Bacterial extracellular solute-binding protein
293,745,ETNP_100m_particle_PROKKA_06864,93.99,6,6,0,0,0,3.03E5,,,,4,4,4,0,0,0,Carbamidomethylation,84210,Carboxysome shell peptide mid-region
293,746,ETNP_100m_PROKKA_41672,93.99,6,6,0,0,0,3.03E5,,,,4,4,4,0,0,0,Carbamidomethylation,84240,Carboxysome shell peptide mid-region
180,2031,ETNP_90m_PROKKA_09589,93.56,28,28,0,0,0,4.72E6,,,,3,3,8,0,0,0,,10026,hypothetical protein
180,2032,ETNP_100m_PROKKA_54311,93.56,28,28,0,0,0,4.72E6,,,,3,3,8,0,0,0,,10026,hypothetical protein
180,2033,ETNP_110m_PROKKA_15224,93.56,28,28,0,0,0,4.72E6,,,,3,3,8,0,0,0,,10053,hypothetical protein
187,591,ETNP14_120mab_PROKKA_107578,93.22,30,29,16,0,0,4.93E5,,,,9,3,7,3,0,0,Mutation,13496,hypothetical protein
136,824,ETNP_100m_particle_PROKKA_103710,92.81,53,19,0,0,53,,,,,11,0,3,0,0,11,Oxidation (M),8674,Ubiquitin family protein
136,825,ETNP_100m_particle_PROKKA_86548,92.81,51,19,0,0,51,,,,,11,0,3,0,0,11,Oxidation (M),9064,Ubiquitin family protein
136,826,XP_002182250,92.81,32,12,0,0,32,,,,,11,0,3,0,0,11,Oxidation (M),14454,ubiquitin extension protein 1 2  Phaeodactylum tricornutum CCAP 1055
136,827,XP_002183736,92.81,20,7,0,0,20,,,,,11,0,3,0,0,11,Oxidation (M),22982,predicted protein  Phaeodactylum tricornutum CCAP 1055
136,828,XP_002179851,92.81,26,10,0,0,26,,,,,11,0,3,0,0,11,Oxidation (M),17809,ubiquitin extension protein 3  Phaeodactylum tricornutum CCAP 1055
136,829,ETNP_90m_PROKKA_68089,91.23,42,19,0,0,42,,,,,10,0,3,0,0,10,Oxidation (M),8704,Ubiquitin family protein
136,830,ETNP14_120maa_PROKKA_156172,91.23,42,19,0,0,42,,,,,10,0,3,0,0,10,Oxidation (M),8704,Ubiquitin family protein
136,831,EJK68681,92.81,20,7,0,0,20,,,,,11,0,3,0,0,11,Oxidation (M),23088,hypothetical protein THAOC_10112  Thalassiosira oceanica
136,834,EJK62831,92.81,17,6,0,0,17,,,,,11,0,3,0,0,11,Oxidation (M),26844,hypothetical protein THAOC_16543  Thalassiosira oceanica
136,836,XP_002180198,92.81,11,4,0,0,11,,,,,11,0,3,0,0,11,Oxidation (M),42876,ubiquitin extension protein 4 partial  Phaeodactylum tricornutum CCAP 1055
136,837,XP_002180197,92.81,11,4,0,0,11,,,,,11,0,3,0,0,11,Oxidation (M),42876,predicted protein  Phaeodactylum tricornutum CCAP 1055
146,1057,ETNP14_120mab_PROKKA_18305,92.67,34,6,0,0,34,,,,,11,0,1,0,0,11,,16575,Ubiquitin family protein
218,619,WP_011128874,92.62,32,32,0,0,0,,,,,8,0,8,0,0,0,Carbamidomethylation,17817,bleomycin hydrolase Synechococcus
250,1232,ETNP_100m_particle_PROKKA_00522,92.36,20,20,0,0,0,4.78E5,,,,5,1,5,0,0,0,Carbamidomethylation,15899,Photosystem I reaction center subunit II
250,1233,ETNP_120m_PROKKA_308777,92.36,20,20,0,0,0,4.78E5,,,,5,1,5,0,0,0,Carbamidomethylation,15899,Photosystem I reaction center subunit II
250,1373,ETNP_90m_PROKKA_137186,92.36,28,28,0,0,0,4.78E5,,,,5,1,5,0,0,0,Carbamidomethylation,11572,Photosystem I reaction center subunit II
300,592,ETNP_100m_particle_PROKKA_42616,92.02,79,79,0,0,0,7.77E5,,,,4,2,5,0,0,0,,6791,hypothetical protein
311,1333,ETNP14_68maa_PROKKA_82752,91.85,11,9,5,0,0,1.26E5,,,,4,1,4,2,0,0,Carbamidomethylation,39216,Bacterial extracellular solute-binding protein
311,1334,ETNP14_120maa_PROKKA_113456,91.85,11,9,5,0,0,1.26E5,,,,4,1,4,2,0,0,Carbamidomethylation,39216,Bacterial extracellular solute-binding protein
229,587,ETNP_90m_PROKKA_170958,91.67,33,33,0,0,0,7.17E6,,,,4,3,6,0,0,0,Acetylation (Protein N-term),12531,Photosystem I P700 chlorophyll a apoprotein A1
347,847,NP_85m_PROKKA_13642,91.02,16,16,0,0,0,2.76E6,,,,6,6,6,0,0,0,Oxidation (M),40932,Cell division protein FtsZ
347,853,ETNP_100m_particle_PROKKA_73465,87.66,13,13,0,0,0,2.67E6,,,,5,5,5,0,0,0,,40892,Cell division protein FtsZ
347,854,ETNP_90m_PROKKA_209587,87.66,13,13,0,0,0,2.67E6,,,,5,5,5,0,0,0,,40892,Cell division protein FtsZ
347,855,ETNP_120m_PROKKA_93821,87.66,13,13,0,0,0,2.67E6,,,,5,5,5,0,0,0,,39717,Cell division protein FtsZ
347,856,WP_036911818,87.66,13,13,0,0,0,2.67E6,,,,5,5,5,0,0,0,,40614,cell division protein FtsZ Prochlorococcus
347,858,WP_011129698,87.66,13,13,0,0,0,2.67E6,,,,5,5,5,0,0,0,,40616,cell division protein FtsZ Prochlorococcus marinus
347,872,ETNP_120m_PROKKA_100675,84.38,12,12,0,0,0,2.34E6,,,,4,4,4,0,0,0,,39067,Cell division protein FtsZ
347,874,ETNP_70m_PROKKA_91076,84.38,12,12,0,0,0,2.34E6,,,,4,4,4,0,0,0,,39203,Cell division protein FtsZ
85,960,ETNP_100m_particle_PROKKA_07518,90.97,49,37,36,39,49,1.22E4,,1.5E5,8.72E5,14,4,8,3,5,14,,7412,Core histone H2A/H2B/H3/H4
171,1015,ETNP_120m_PROKKA_244526,90.90,47,40,0,7,0,2.81E6,,2.65E4,,6,4,11,0,2,0,Carbamidomethylation; Pyro-glu from Q,10266,hypothetical protein
185,640,XP_002185730,90.73,13,13,0,4,1,,,2.22E5,,6,1,5,0,2,1,Carbamidomethylation; Mutation,49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
164,352,ETNP14_120maa_PROKKA_40215,90.20,5,5,0,0,0,4.3E6,,,,10,7,10,0,0,0,Carbamidomethylation,181476,Multicopper oxidase
189,517,WP_012844412,90.19,9,7,2,0,1,0E0,,,,8,1,8,1,0,1,,57666,molecular chaperone GroEL Rhodothermus marinus
364,484,ETNP_120m_PROKKA_262541,90.03,12,12,0,0,0,9.45E5,,,,4,2,4,0,0,0,,39611,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
285,451,ETNP_90m_PROKKA_94806,89.59,14,14,0,0,0,,,,,5,0,6,0,0,0,Oxidation (M); Mutation,50481,Photosystem II 44 kDa reaction center protein
285,452,ETNP_120m_PROKKA_123375,89.59,13,13,0,0,0,,,,,5,0,6,0,0,0,Oxidation (M); Mutation,52469,Photosystem II 44 kDa reaction center protein
203,1272,ETNP_90m_PROKKA_08829,89.35,47,47,0,0,0,1.93E6,,,,7,7,9,0,0,0,,6975,putative cold shock protein A
203,1592,ETNP_120m_PROKKA_236375,89.35,83,83,0,0,0,1.93E6,,,,7,7,9,0,0,0,,3885,hypothetical protein
242,594,ETNP_120m_free_PROKKA_91848,88.73,13,11,3,2,0,,,4E5,,7,1,7,1,2,0,,32680,60 kDa chaperonin 5
195,434,ETNP_180m_PROKKA_70845,88.67,8,8,2,0,0,,,,,7,0,9,1,0,0,,57639,60 kDa chaperonin 5
220,2092,ETNP_160m_PROKKA_112792,88.25,23,12,22,0,0,,5.16E4,,,5,1,6,1,0,0,Carboxylation (E),11130,10 kDa chaperonin 5
173,311,ETNP_120m_PROKKA_342100,87.89,15,14,2,0,2,8.15E5,1.96E4,,9.6E4,8,4,8,1,0,1,Oxidation (M),57514,60 kDa chaperonin
173,312,ETNP_120m_PROKKA_317269,85.86,14,14,2,0,0,8.15E5,1.96E4,,,7,3,8,1,0,0,Oxidation (M),57580,60 kDa chaperonin
224,1679,ETNP14_68mB_PROKKA_82092,87.27,24,24,0,0,0,3.32E4,,,,5,1,7,0,0,0,,10685,10 kDa chaperonin 1
224,1680,ETNP14_68mB_PROKKA_02167,87.27,24,24,0,0,0,3.32E4,,,,5,1,7,0,0,0,,10685,10 kDa chaperonin 1
249,851,WP_014473290,87.15,6,4,2,0,2,,,,,6,0,5,1,0,1,,57734,molecular chaperone GroEL Arcobacter sp L
299,366,ETNP_100m_PROKKA_66801,86.94,17,17,0,0,0,9.09E5,,,,6,6,6,0,0,0,,34999,Cysteine synthase A
227,643,ETNP_100m_particle_PROKKA_74968,86.71,17,17,0,0,0,2.62E6,,,,3,3,6,0,0,0,Carbamidomethylation,23304,50S ribosomal protein L3
227,644,ETNP_110m_PROKKA_45430,86.71,17,17,0,0,0,2.62E6,,,,3,3,6,0,0,0,Carbamidomethylation,23304,50S ribosomal protein L3
227,645,ETNP_100m_PROKKA_97628,86.71,17,17,0,0,0,2.62E6,,,,3,3,6,0,0,0,Carbamidomethylation,23304,50S ribosomal protein L3
227,646,ETNP_90m_PROKKA_64991,86.71,17,17,0,0,0,2.62E6,,,,3,3,6,0,0,0,Carbamidomethylation,23304,50S ribosomal protein L3
227,647,ETNP_120m_PROKKA_22832,86.71,17,17,0,0,0,2.62E6,,,,3,3,6,0,0,0,Carbamidomethylation,23767,50S ribosomal protein L3
257,406,ETNP_140m_PROKKA_79475,86.70,18,18,0,0,0,2.2E6,,,,4,4,5,0,0,0,,31697,50S ribosomal protein L2
257,407,ETNP_100m_PROKKA_75061,86.70,16,16,0,0,0,2.2E6,,,,4,4,5,0,0,0,,35740,50S ribosomal protein L2
245,571,ETNP_120m_PROKKA_107315,86.54,10,10,3,0,0,,,,,6,0,6,1,0,0,,35748,60 kDa chaperonin
318,875,WP_036914182,86.42,7,6,0,0,2,9.04E5,,,,5,1,4,0,0,1,,77853,polynucleotide phosphorylase Prochlorococcus
318,876,ETNP_90m_PROKKA_77584,86.42,7,6,0,0,2,9.04E5,,,,5,1,4,0,0,1,,77835,Polyribonucleotide nucleotidyltransferase
318,878,WP_011128755,83.40,6,6,0,0,0,9.04E5,,,,4,1,4,0,0,0,,77519,polyribonucleotide nucleotidyltransferase Synechococcus sp WH 8102
318,881,ETNP14_68maa_PROKKA_95644,83.40,7,7,0,0,0,9.04E5,,,,4,1,4,0,0,0,,67383,Polyribonucleotide nucleotidyltransferase
318,884,ETNP_90m_PROKKA_93094,83.40,6,6,0,0,0,9.04E5,,,,4,1,4,0,0,0,,77686,Polyribonucleotide nucleotidyltransferase
318,886,WP_038543435,83.40,6,6,0,0,0,9.04E5,,,,4,1,4,0,0,0,,77839,polynucleotide phosphorylase Synechococcus sp KORDI-100
318,887,ETNP_120m_PROKKA_102787,87.00,6,6,0,1,1,9.04E5,,,,5,1,4,0,1,1,,80402,Polyribonucleotide nucleotidyltransferase
318,888,ETNP_120m_free_PROKKA_134968,87.00,6,6,0,1,1,9.04E5,,,,5,1,4,0,1,1,,80344,Polyribonucleotide nucleotidyltransferase
