Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1: 273 4-19_965m_top+p,Area Sample 1: 273 4-19_965m_top+p,#Peptides,#Unique,#Spec Sample 1: 273 4-19_965m_top+p,PTM,Avg. Mass,Description
80,24095,EJK52355,25.43,3,3,1.68E6,2,1,2,,71288,hypothetical protein THAOC_28380  Thalassiosira oceanica
524,25231,ETNP_120,25.38,3,3,2.34E6,1,1,1,,42667,Long-chain-fatty-acid--CoA ligase
524,25261,ETNP_180,25.38,2,2,2.34E6,1,1,1,,51601,Long-chain-fatty-acid--CoA ligase
524,25306,ETNP_300,25.38,2,2,2.34E6,1,1,1,,62010,Long-chain-fatty-acid--CoA ligase
524,25307,ETNP_120,25.38,2,2,2.34E6,1,1,1,,62010,Long-chain-fatty-acid--CoA ligase
507,25166,ETNP_120,25.38,5,5,0E0,1,1,1,Oxidation (M),17757,Ultraviolet N-glycosylase/AP lyase
162,25400,ETNP_90,25.21,5,5,4.39E6,2,1,2,,31839,hypothetical protein
670,26681,WP_031445922,25.12,1,1,3.91E4,1,1,1,,119411,ATP-dependent helicase  Arenibacter algicola
671,26688,ETNP_70,25.01,3,3,5.35E5,1,1,1,,25861,Ribosome biogenesis GTPase A
60,17931,ETNP_110,24.78,8,8,4.46E6,1,1,3,,11179,hypothetical protein
672,26689,ETNP_70,24.75,12,12,2.94E6,1,1,1,,7678,hypothetical protein
87,24118,MGII,24.70,1,1,8.19E5,2,2,2,,292689,hypothetical protein
95,24147,WP_052303619,24.64,1,1,1.27E6,2,1,2,,157477,hypothetical protein Pirellula staleyi
440,25172,ETNP14_120,24.44,3,3,1.64E6,1,1,1,Oxidation (M),32074,Adenylosuccinate lyase
417,26726,virus_CCADEAMM_65393,24.31,5,5,2.93E5,1,1,1,,13283,hypothetical protein
81,24108,ETNP14_68,24.21,3,3,0E0,2,1,2,Carbamidomethylation; Oxidation (M),70793,Chaperone protein DnaK
381,24326,EJK60062,24.04,1,1,3.26E5,1,1,1,,197521,hypothetical protein THAOC_19655  Thalassiosira oceanica
441,25203,WP_035334773.1,23.94,1,1,7.89E5,1,1,1,,65435,DUF885 domain-containing protein [Dokdonia sp. PRO95]
148,25271,ETNP14_68,23.87,12,12,1.73E6,2,2,2,,14875,50S ribosomal protein L15
148,25272,CAI87848.1,23.87,12,12,1.73E6,2,2,2,,14983,50S ribosomal subunit protein L15 [Pseudoalteromonas haloplanktis TAC125]
675,26707,ETNP_120,23.86,2,2,9.78E5,1,1,1,,50299,Arsenical pump membrane protein
509,25190,XP_003063456,23.85,1,1,5.7E5,1,1,1,,71344,predicted protein partial  Micromonas pusilla CCMP1545
102,24085,XP_003055625,23.78,0,0,1.66E6,1,1,2,Carbamidomethylation,245584,predicted protein  Micromonas pusilla CCMP1545
364,26713,ETNP14_68,23.72,3,3,3.9E5,1,1,1,,37847,All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
677,26718,ETNP_120,23.70,2,2,1.08E6,1,1,1,,41050,hypothetical protein
165,27025,ETNP14_68,23.64,3,3,1.24E6,2,2,2,,34525,Glycosyltransferase family 17
424,24863,Flavovirus_FBAKDGPJ_04539,23.51,1,1,2.36E5,1,1,1,,87867,hypothetical protein
678,26723,ETNP_120,23.18,5,5,0E0,1,1,1,,19043,Inner membrane protein YgaZ
680,17799,ETNP_300,23.01,2,2,1.76E6,1,1,1,,40593,putative acetyl-CoA acyltransferase
679,26727,ETNP14_68,23.00,11,11,1.59E6,1,1,1,,10795,Isocitrate lyase
616,26763,ETNP_120,22.86,2,2,1.73E6,1,1,1,,32159,hypothetical protein
616,26785,ETNP_120,22.86,1,1,1.73E6,1,1,1,,73261,hypothetical protein
294,26734,EDP96958.1,22.86,2,2,0E0,1,1,1,,47807,hypothetical protein KAOT1_17383 [Kordia algicida OT-1]
681,26735,ETNP_180,22.85,3,3,2.8E6,1,1,1,Carbamidomethylation,28891,3-deoxy-D-manno-octulosonic acid kinase
681,26736,ETNP_120,22.85,3,3,2.8E6,1,1,1,Carbamidomethylation,28948,3-deoxy-D-manno-octulosonic acid kinase
681,26737,ETNP_140,22.85,3,3,2.8E6,1,1,1,Carbamidomethylation,28970,3-deoxy-D-manno-octulosonic acid kinase
314,24334,WP_014474916,22.79,2,2,1.25E6,1,1,1,,73219,chemotaxis protein Arcobacter sp L
226,24089,ETNP_90,22.79,1,1,0E0,1,1,1,,126871,Bacterial type II/III secretion system short domain protein
380,24323,ETNP_180,22.66,7,7,5.44E5,1,1,1,,16209,30S ribosomal protein S11
380,24324,ETNP_90,22.66,9,9,5.44E5,1,1,1,,13664,30S ribosomal protein S11
380,24325,CAI87845.1,22.66,9,9,5.44E5,1,1,1,,13694,30S ribosomal subunit protein S11 [Pseudoalteromonas haloplanktis TAC125]
380,25174,ETNP_150,22.66,17,17,5.44E5,1,1,1,,7171,30S ribosomal protein S11
380,25175,NP_100,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
380,25176,ETNP14_120,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
380,25177,ETNP_110,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
380,25178,ETNP_120,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
380,25179,NP_85,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
380,25180,WP_005370963.1,22.66,9,9,5.44E5,1,1,1,,13892,MULTISPECIES: 30S ribosomal protein S11 [Photobacterium]
380,25181,ETNP_90,22.66,9,9,5.44E5,1,1,1,,13703,30S ribosomal protein S11
380,25182,NP_30,22.66,8,8,5.44E5,1,1,1,,13911,30S ribosomal protein S11
380,25183,WP_011467464.1,22.66,8,8,5.44E5,1,1,1,,13907,30S ribosomal protein S11 [Saccharophagus degradans]
380,25184,WP_013260478,22.66,8,8,5.44E5,1,1,1,,13853,30S ribosomal protein S11 gamma proteobacterium HdN1
380,25185,WP_007233029,22.66,8,8,5.44E5,1,1,1,,13823,30S ribosomal protein S11 unclassified Porticoccaceae
380,25192,ETNP_160,22.66,8,8,5.44E5,1,1,1,,14080,30S ribosomal protein S11
380,25193,ETNP_180,22.66,8,8,5.44E5,1,1,1,,14080,30S ribosomal protein S11
380,25194,ETNP_120,22.66,8,8,5.44E5,1,1,1,,14080,30S ribosomal protein S11
380,25195,ETNP_300,22.66,8,8,5.44E5,1,1,1,,14080,30S ribosomal protein S11
380,25200,ACL73381.1,22.66,9,9,5.44E5,1,1,1,,13815,30S ribosomal protein S11 [Thioalkalivibrio sulfidiphilus HL-EbGr7]
380,26738,ETNP_150,22.66,9,9,5.44E5,1,1,1,,13712,30S ribosomal protein S11
380,26739,ABA58760.1,22.66,9,9,5.44E5,1,1,1,,13620,SSU ribosomal protein S11P [Nitrosococcus oceani ATCC 19707]
380,26740,ETNP_120,22.66,9,9,5.44E5,1,1,1,,13712,30S ribosomal protein S11
380,26741,ADI89342.1,22.66,9,9,5.44E5,1,1,1,,13534,30S ribosomal protein S11 [Acinetobacter oleivorans DR1]
380,26742,ETNP_100,22.66,9,9,5.44E5,1,1,1,,13534,30S ribosomal protein S11
380,26743,WP_001040166,22.66,9,9,5.44E5,1,1,1,,13534,30S ribosomal protein S11 Bacteria
380,26744,WP_011399897,22.66,9,9,5.44E5,1,1,1,,13650,30S ribosomal protein S11 Hahella chejuensis
380,26745,WP_012519215,22.66,8,8,5.44E5,1,1,1,,13811,30S ribosomal protein S11 Alteromonas
380,26746,WP_011310940,22.66,8,8,5.44E5,1,1,1,,13791,30S ribosomal protein S11 Thiobacillus
380,26747,ETNP14_120,22.66,8,8,5.44E5,1,1,1,,13811,30S ribosomal protein S11
68,26749,WP_053820183,22.66,3,3,8.2E6,1,1,3,,39085,ferrochelatase Candidatus Thioglobus singularis
614,26751,ETNP14_120,22.62,6,6,0E0,1,1,1,,17265,hypothetical protein
442,25204,ETNP_160,22.56,5,5,5.62E5,1,1,1,,19751,hypothetical protein
442,25205,ETNP_120,22.56,5,5,5.62E5,1,1,1,,19751,hypothetical protein
683,26753,KJS06462,22.53,4,4,0E0,1,1,1,,31669,dihydrodipicolinate synthase Flavobacteriales bacterium BRH_c54
319,24373,ETNP_90,22.50,2,2,1.04E6,1,1,1,,56814,Glucose-6-phosphate 1-dehydrogenase
213,24218,WP_019307756,22.49,1,1,3.75E6,1,1,1,,53652,hypothetical protein SAR324 cluster bacterium SCGC AAA240-J09
685,17926,ETNP_300,22.46,11,11,4.24E6,1,1,1,,7664,hypothetical protein
176,26834,ADI90890.1,22.45,2,2,1.54E6,1,1,1,Oxidation (M),27805,short chain dehydrogenase [Acinetobacter oleivorans DR1]
176,26842,ETNP14_68,22.45,2,2,1.54E6,1,1,1,Oxidation (M),32705,hypothetical protein
31,25217,SAR11,22.41,1,1,2.19E7,1,1,4,,97503,DNA topoisomerase 1
188,24100,ABA58799.1,22.32,2,2,1.99E5,1,1,1,,50460,Heat shock protein HslU [Nitrosococcus oceani ATCC 19707]
512,25206,ETNP14_120,22.29,3,3,1.39E5,1,1,1,,31155,hypothetical protein
512,26760,ETNP_140,22.29,4,4,1.39E5,1,1,1,,21233,hypothetical protein
512,26761,ETNP_300,22.29,4,4,1.39E5,1,1,1,,21233,hypothetical protein
50,25210,ETNP_180,22.22,2,2,1.16E7,1,1,3,Oxidation (M),44856,Formyl-coenzyme A transferase
686,26762,ACY13450.1,22.19,3,3,1.28E6,1,1,1,,38071,putative phage head morphogenesis protein [Haliangium ochraceum DSM 14365]
145,25212,ETNP_120,22.08,2,2,7.69E6,1,1,2,Carbamidomethylation,37775,Saccharopine dehydrogenase
690,26768,ETNP_180,22.07,3,3,1.41E5,1,1,1,,35512,putative protein kinase UbiB
688,26766,virus_CCADEAMM_57701,22.03,3,3,4.97E4,1,1,1,,30354,hypothetical protein
443,25207,WP_013560935,22.02,1,1,4.15E5,1,1,1,,65016,DNA polymerase X family protein Anaerolinea thermophila
443,26770,KKU20033,22.02,3,3,4.15E5,1,1,1,,34954,hypothetical protein UX30_C0005G0074 Candidatus Saccharibacteria bacterium GW2011_GWA2_46_10
166,24084,virus_CCADEAMM_21121,22.00,0,0,5.64E6,1,1,1,,593270,hypothetical protein
166,24091,virus_CCADEAMM_20964,22.00,0,0,5.64E6,1,1,1,,293389,hypothetical protein
689,26767,ETNP_70,21.93,2,2,1.04E6,1,1,1,,70389,hypothetical protein
514,25209,ETNP14_120,21.85,3,3,3.6E5,1,1,1,,27071,Putative aldehyde dehydrogenase AldA
692,26771,WP_011342066,21.83,2,2,2.99E6,1,1,1,,68212,lysophospholipid acyltransferase superfamily protein Pelobacter carbinolicus
231,24142,ETNP_70,21.82,1,1,8.21E5,1,1,1,,54681,ATP synthase subunit beta
231,24163,WP_015403956,21.82,1,1,8.21E5,1,1,1,,50534,ATP synthase F1 subcomplex subunit beta Desulfocapsa sulfexigens
231,26818,ETNP14_120,21.82,3,3,8.21E5,1,1,1,,20792,hypothetical protein
482,26774,WP_041394458.1,21.68,2,2,0E0,1,1,1,Oxidation (M),80942,hypothetical protein [Photobacterium profundum]
694,26777,WP_011928870,21.60,3,3,3.67E5,1,1,1,,30814,30S ribosomal protein S3 Dehalococcoides mccartyi
382,24374,ETNP_300,21.54,1,1,2.64E5,1,1,1,,112684,alpha-mannosidase
382,24384,NP_300,21.54,1,1,2.64E5,1,1,1,,128571,alpha-mannosidase
525,25232,ETNP_120,21.54,1,1,5.87E5,1,1,1,,94899,DNA topoisomerase 1
695,26780,ETNP_90,21.48,3,3,1.16E5,1,1,1,,35488,hypothetical protein
702,26797,ABF63978.1,21.48,3,3,9.3E5,1,1,1,,27423,FeS assembly ATPase SufC [Ruegeria sp. TM1040]
256,24160,ETNP_90,21.46,1,1,2.37E5,1,1,1,,156824,DNA-directed RNA polymerase subunit beta'
256,18294,ABA58788.1,21.46,1,1,2.37E5,1,1,1,,155582,DNA-directed RNA polymerase subunit beta' [Nitrosococcus oceani ATCC 19707]
256,24243,ABS64338.1,21.46,1,1,2.37E5,1,1,1,,154203,DNA-directed RNA polymerase  beta' subunit [Parvibaculum lavamentivorans DS-1]
601,25558,ETNP_180,21.40,1,1,1.03E6,1,1,1,,81192,Multicopper oxidase
483,26779,ETNP_180,21.38,3,3,4.24E5,1,1,1,,30860,High-affinity branched-chain amino acid transport system permease protein LivH
484,26783,WP_042849491,21.27,3,3,2.45E5,1,1,1,,37740,tRNA-dihydrouridine synthase A Prochlorococcus sp MIT 0604
347,25215,WP_014437006,21.26,1,1,1.52E5,1,1,1,,89933,putative glycoside hydrolase Phycisphaera mikurensis
698,26786,ETNP_160,21.24,2,2,1.67E5,1,1,1,,46001,UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
697,26784,ETNP_180,21.22,18,18,6.74E6,1,1,1,,5650,hypothetical protein
703,26798,ETNP_160,21.21,1,1,9.56E5,1,1,1,,73296,2 3-dimethylmalate dehydratase large subunit
704,26800,ETNP14_120,21.19,4,4,1.1E6,1,1,1,,22529,hypothetical protein
46,26858,ETNP_120,21.16,3,3,1.29E7,1,1,3,,24137,Prohead core protein protease
326,24448,virus_CCADEAMM_07032,21.03,2,2,9.45E4,1,1,1,,65597,DNA primase/helicase
326,24449,virus_CCADEAMM_06933,21.03,2,2,9.45E4,1,1,1,,65597,DNA primase/helicase
521,25223,ETNP_160,21.02,1,1,7.04E6,1,1,1,,63809,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
521,26792,ETNP_140,21.02,10,10,7.04E6,1,1,1,,9242,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
521,26795,ETNP_120,21.02,3,3,7.04E6,1,1,1,,29097,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
701,26796,ACL64411.1,20.98,4,4,9.22E5,1,1,1,,23775,molybdate ABC transporter  inner membrane subunit [Anaeromyxobacter dehalogenans 2CP-1]
700,26793,ETNP_160,20.96,2,2,1.44E5,1,1,1,,52431,ATP-dependent zinc metalloprotease FtsH
486,26794,ETNP_160,20.93,8,8,0E0,1,1,1,Oxidation (M),16367,C4-dicarboxylate transport transcriptional regulatory protein DctD
604,25663,WP_011376869.1,20.85,1,1,8.62E5,1,1,1,,72765,asparagine synthetase B [Prochlorococcus marinus]
37,24132,WP_011218315.1,20.82,1,1,2.16E6,1,1,4,,187607,nuclease [Photobacterium profundum]
520,25222,WP_041295720.1,20.76,1,1,9.63E5,1,1,1,,78352,hypothetical protein [Dokdonia sp. 4H-3-7-5]
520,26805,WP_035336894.1,20.76,1,1,9.63E5,1,1,1,,78481,hypothetical protein [Dokdonia sp. PRO95]
250,430,ETNP_300,20.68,1,1,,1,0,1,,98143,Chaperone protein ClpB 1
250,431,ETNP_120,20.68,1,1,,1,0,1,,100627,Chaperone protein ClpB 1
250,432,ETNP_180,20.68,1,1,,1,0,1,,100627,Chaperone protein ClpB 1
250,433,ETNP_160,20.68,1,1,,1,0,1,,100627,Chaperone protein ClpB 1
250,434,ETNP_140,20.68,1,1,,1,0,1,,100627,Chaperone protein ClpB 1
227,9985,WP_012034157,20.67,1,1,5.93E5,1,1,1,,91645,ATP-dependent Clp protease ATP-binding protein Dehalococcoides mccartyi
528,25246,ETNP_160,20.59,9,9,0E0,1,1,1,Carbamidomethylation,17651,Cyclic nucleotide-gated potassium channel
706,26802,ETNP14_68,20.50,4,4,1.15E7,1,1,1,,28523,UDP-2 3-diacylglucosamine hydrolase
448,25252,ETNP_300,20.49,1,1,1.66E6,1,1,1,,58187,hypothetical protein
707,26803,ETNP14_120,20.47,5,5,4.16E5,1,1,1,,19050,putative hydrolase
708,26804,virus_CCADEAMM_26027,20.46,2,2,2.28E5,1,1,1,,50505,hypothetical protein
519,25221,ETNP_120,20.41,2,2,0E0,1,1,1,,45864,Transposase DDE domain protein
138,26808,ETNP14_120,20.38,5,5,4.86E6,1,1,2,,16587,hypothetical protein
366,26806,ACI98833.1,20.37,3,3,4.48E3,1,1,1,,37753,HlyD family secretion protein [Rhodospirillum centenum SW]
167,24099,CAN94300.1,20.32,0,0,5.62E5,1,1,1,Carbamidomethylation,622443,polyketide synthase [Sorangium cellulosum So ce56]
208,18158,WP_048114522,20.30,1,1,3.3E6,1,1,1,,126267,DNA polymerase II Candidatus Nitrosopumilus sp NF5
208,18192,ETNP14_68,20.30,1,1,3.3E6,1,1,1,,126011,DNA polymerase II large subunit
208,20442,ETNP14_120,20.30,2,2,3.3E6,1,1,1,,55003,60 kDa chaperonin
208,22102,ETNP_90,20.30,2,2,3.3E6,1,1,1,,46853,60 kDa chaperonin
208,19075,ACB22362.1,20.30,3,3,3.3E6,1,1,1,,26221,transcriptional regulator  GntR family [Methylobacterium radiotolerans JCM 2831]
208,19275,NP_85,20.30,2,2,3.3E6,1,1,1,,57689,putative ABC transporter ATP-binding protein YjjK
208,19276,ETNP14_120,20.30,1,1,3.3E6,1,1,1,,65966,putative ABC transporter ATP-binding protein YjjK
208,19277,ETNP14_68,20.30,1,1,3.3E6,1,1,1,,65966,putative ABC transporter ATP-binding protein YjjK
208,19278,ETNP_180,20.30,1,1,3.3E6,1,1,1,,65966,putative ABC transporter ATP-binding protein YjjK
523,25228,KKW03686,20.28,2,2,2.89E5,1,1,1,,41245,NusA antitermination factor Candidatus Saccharibacteria bacterium GW2011_GWC2_48_9
399,20381,ETNP14_68,20.14,2,2,0E0,1,1,1,,50693,ATP-dependent protease ATPase subunit HslU
618,26812,ETNP14_120,20.06,9,9,2.34E6,1,1,1,,9112,hypothetical protein
