Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) ETNP_NT05,Area ETNP_NT05,#Peptides,#Unique,#Spec ETNP_NT05,PTM,Avg. Mass,Description
79,259560,ETNP_90m_PROKKA_171450,23.89,2,2,4.89E5,1,1,1,,41344,putative permease YjgP/YjgQ family protein
113,259563,ETNP14_120mab_PROKKA_30742,23.76,8,8,1.72E6,1,1,1,,11069,hypothetical protein
91,259567,ETNP_140m_PROKKA_125239,23.69,10,10,1.01E6,1,1,2,,9242,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
91,259568,ETNP_120m_free_PROKKA_163353,23.69,3,3,1.01E6,1,1,2,,29097,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
91,259569,120m_megahit_CMKFGOPF_175031,23.69,3,3,1.01E6,1,1,2,,31880,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
91,259571,140m_megahit_KKMFCJLI_149640,23.69,1,1,1.01E6,1,1,2,,63823,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI_300m_megahit_KALMNAMF_126892 putative multidrug resistance ABC transporter ATP-binding/permease protein YheI_120mF_megahit_PEDPKPGI_190745 putati...
91,259572,160m_megahit_NHJEOBNC_125845,23.69,1,1,1.01E6,1,1,2,,63809,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI_ETNP_160m_PROKKA_69455 putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
91,259573,180m_megahit_DBICIOKE_08101,23.69,1,1,1.01E6,1,1,2,,63763,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
80,259461,160m_megahit_NHJEOBNC_70586,23.62,2,2,2.82E5,1,1,1,Oxidation (M),49161,hypothetical protein
92,259577,ETNP_180m_PROKKA_81897,23.60,4,4,3.62E6,1,1,2,,21443,DNA adenine methyltransferase YhdJ
114,259590,160m_megahit_NHJEOBNC_155400,23.18,10,10,0E0,1,1,1,,8763,hypothetical protein_300m_megahit_KALMNAMF_224407 hypothetical protein_ETNP14_120mac_PROKKA_07521 hypothetical protein_ETNP_120m_PROKKA_156025 hypothetical protein_ETNP_160m_PROKKA_93389 hypothetical protein_ETNP_180m_PROKKA_...
114,259591,120m_megahit_CMKFGOPF_90090,23.18,10,10,0E0,1,1,1,,8819,hypothetical protein_120mF_megahit_ILDJFKLB_67416 hypothetical protein
114,259592,100m_megahit_CLKLDGCM_104280,23.18,10,10,0E0,1,1,1,,8656,hypothetical protein
35,242738,120mF_megahit_ILDJFKLB_143202,23.05,4,4,9.29E5,1,1,2,,23793,hypothetical protein
116,259611,ETNP14_120mac_PROKKA_69580,22.78,10,10,6.86E4,1,1,1,,9115,hypothetical protein
116,259612,ETNP_120m_PROKKA_291341,22.78,6,6,6.86E4,1,1,1,,15183,Ribose-phosphate pyrophosphokinase
116,259613,180m_megahit_DBICIOKE_238956,22.78,5,5,6.86E4,1,1,1,,17638,Ribose-phosphate pyrophosphokinase_ETNP_180m_PROKKA_137110 Ribose-phosphate pyrophosphokinase
116,259615,120mF_megahit_ILDJFKLB_94639,22.78,3,3,6.86E4,1,1,1,,34367,Ribose-phosphate pyrophosphokinase
28,259641,ETNP_140m_PROKKA_106797,22.66,7,7,0E0,1,1,6,,12146,hypothetical protein_ETNP_160m_PROKKA_179327 hypothetical protein
28,259642,140m_megahit_KKMFCJLI_116285,22.66,7,7,0E0,1,1,6,,12178,hypothetical protein_160m_megahit_NHJEOBNC_22011 hypothetical protein
28,259643,ETNP_100m_particle_PROKKA_126672,22.66,7,7,0E0,1,1,6,,12176,hypothetical protein_ETNP_120m_particle_PROKKA_125694 hypothetical protein_ETNP_180m_PROKKA_145755 hypothetical protein
28,259644,100mP_megahit_BKKBEGJO_126347,22.66,7,7,0E0,1,1,6,,12208,hypothetical protein_120m_megahit_CMKFGOPF_43357 hypothetical protein
48,259202,120mF_megahit_ILDJFKLB_150937,22.46,1,1,4.28E6,1,1,4,,100799,hypothetical protein
60,259666,ETNP_90m_PROKKA_76773,22.42,3,3,6.29E5,1,1,1,,29070,hypothetical protein
60,259667,90m_Megahit_DAALLOGA_171391,22.42,3,3,6.29E5,1,1,1,,38680,hypothetical protein
82,259501,ETNP14_68maa_PROKKA_47656,22.20,2,2,5.8E4,1,1,1,,48579,outer membrane biogenesis protein BamB
38,259695,ETNP_120m_particle_PROKKA_205565,22.16,2,2,3.28E6,1,1,3,,48792,Biotin carboxylase
38,259696,120mP_megahit_HKJGLMBE_261087,22.16,2,2,3.28E6,1,1,3,,48818,Biotin carboxylase
119,259708,160m_megahit_NHJEOBNC_62931,22.03,2,2,2.86E5,1,1,1,,43013,hypothetical protein
81,259488,120mP_megahit_HKJGLMBE_156690,21.86,2,2,1.86E5,1,1,1,,76310,Elongation factor G 1_ETNP_120m_particle_PROKKA_207112 Elongation factor G 1
81,259489,ETNP_160m_PROKKA_180481,21.86,2,2,1.86E5,1,1,1,,76575,Elongation factor G 1
81,259490,100mP_megahit_BKKBEGJO_09781,21.86,2,2,1.86E5,1,1,1,,76635,Elongation factor G 1_120m_megahit_CMKFGOPF_340284 Elongation factor G 1_160m_megahit_NHJEOBNC_255371 Elongation factor G 1_ETNP_120m_PROKKA_150425 Elongation factor G 1_ETNP_100m_particle_PROKKA_48701 Elongation factor G 1_E...
81,259499,ETNP14_68maa_PROKKA_49366,21.86,2,2,1.86E5,1,1,1,,76782,Elongation factor G 1
81,259721,90m_Megahit_DAALLOGA_260032,21.86,3,3,1.86E5,1,1,1,,37515,Elongation factor G 1
120,259732,ETNP_120m_PROKKA_34605,21.77,8,8,5.87E5,1,1,1,,14439,Pyridoxine/pyridoxamine 5'-phosphate oxidase
121,259734,ETNP_120m_free_PROKKA_236976,21.76,19,19,1.08E5,1,1,1,,6546,Anthranilate phosphoribosyltransferase
121,259735,120mF_megahit_PEDPKPGI_56036,21.76,4,4,1.08E5,1,1,1,,33266,Anthranilate phosphoribosyltransferase
121,259736,ETNP_160m_PROKKA_167185,21.76,3,3,1.08E5,1,1,1,,36692,Anthranilate phosphoribosyltransferase
123,259739,ETNP14_68mB_PROKKA_89296,21.74,9,9,2.24E6,1,1,1,,13342,Ribonuclease P protein component
124,259750,160m_megahit_NHJEOBNC_24393,21.72,3,3,4.32E5,1,1,1,,32629,S-methyl-5'-thioadenosine phosphorylase_180m_megahit_DBICIOKE_11108 S-methyl-5'-thioadenosine phosphorylase_120mF_megahit_PEDPKPGI_126783 S-methyl-5'-thioadenosine phosphorylase
125,259531,ETNP_90m_PROKKA_192464,21.59,2,2,9.9E4,1,1,1,,56907,hypothetical protein
65,259287,180m_megahit_DBICIOKE_46687,21.47,2,2,6.52E5,1,1,1,,35329,hypothetical protein
27,259323,120mP_megahit_HKJGLMBE_180177,21.31,1,1,6.69E5,1,1,5,Oxidation (M),118220,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
93,259639,120mF_megahit_ILDJFKLB_77024,21.21,1,1,1.1E4,1,1,1,Oxidation (M),127122,hypothetical protein
127,260261,300m_megahit_KALMNAMF_53447,21.19,2,2,3.35E5,1,1,1,,35488,Neopullulanase 2
126,260231,100mP_megahit_BKKBEGJO_33424,21.17,8,8,9.36E3,1,1,1,Carbamidomethylation,13094,hypothetical protein_ETNP_100m_particle_PROKKA_100985 hypothetical protein
90,259555,120mP_megahit_HKJGLMBE_280124,21.09,5,5,2.31E4,1,1,1,,16191,hypothetical protein_ETNP_120m_particle_PROKKA_173398 hypothetical protein
56,260247,100mP_megahit_BKKBEGJO_161828,20.92,7,7,5.04E6,1,1,4,,16600,hypothetical protein
56,260248,ETNP_120m_PROKKA_115548,20.92,7,7,5.04E6,1,1,4,,16542,hypothetical protein
88,259540,90m_Megahit_DAALLOGA_48268,20.90,2,2,7.62E4,1,1,1,,53025,Aminopeptidase S
45,259549,300m_megahit_KALMNAMF_182970,20.51,1,1,0E0,1,1,1,,77002,hypothetical protein
129,260266,110m_megahit_JNNKCNHH_14701,20.50,4,4,4.56E5,1,1,1,,27478,Ribose-phosphate pyrophosphokinase
129,260267,120m_megahit_CMKFGOPF_93024,20.50,3,3,4.56E5,1,1,1,,33945,Ribose-phosphate pyrophosphokinase_140m_megahit_KKMFCJLI_141069 Ribose-phosphate pyrophosphokinase_160m_megahit_NHJEOBNC_27768 Ribose-phosphate pyrophosphokinase_180m_megahit_DBICIOKE_40138 Ribose-phosphate pyrophosphokinase_N...
129,260268,120mF_megahit_EODJEIIO_00434,20.50,3,3,4.56E5,1,1,1,,33999,Ribose-phosphate pyrophosphokinase
129,260269,300m_megahit_KALMNAMF_25325,20.50,3,3,4.56E5,1,1,1,,34000,Ribose-phosphate pyrophosphokinase
129,260270,100m_megahit_CLKLDGCM_05989,20.50,3,3,4.56E5,1,1,1,,33933,Ribose-phosphate pyrophosphokinase
130,260273,ETNP_120m_PROKKA_241449,20.38,8,8,1.17E5,1,1,1,,11141,hypothetical protein
132,260283,160m_megahit_NHJEOBNC_47752,20.33,2,2,2.26E0,1,1,1,,46314,Aldose 1-epimerase_ETNP_120m_free_PROKKA_230389 Aldose 1-epimerase precursor_ETNP_160m_PROKKA_63769 Aldose 1-epimerase precursor
133,260284,ETNP_180m_PROKKA_227554,20.14,2,2,2.19E5,1,1,1,,64813,DNA gyrase subunit A
36,259200,120mF_megahit_EODJEIIO_63566,20.13,0,0,1.16E6,1,1,3,,486158,hypothetical protein
36,259208,ETNP_120m_free_PROKKA_210150,20.13,0,0,1.16E6,1,1,3,,298333,hypothetical protein
134,260286,ETNP_70m_PROKKA_18886,20.12,12,12,1.52E5,1,1,1,,9042,hypothetical protein
134,260287,60m_MEGAHIT_HGOBFIOH_21655,20.12,12,12,1.52E5,1,1,1,,8986,hypothetical protein
135,14619,120mP_megahit_HKJGLMBE_22075,20.08,19,19,1.65E5,1,1,1,,6145,hypothetical protein
