Pressure [dbar],timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS
227.0,529.867,-106.85836,16.85542,227,11.8549,11.8234,39712,3.976883,0.0639,0.057,98.5866,0.00048236,0,0.5043,0.5153,0.0574,0.1145,4.5863,0,0.011,0,0.5034,0.5144,34.7559,34.8408,26.4327,26.5046,1.028,1.099,0.379,0.405
228.0,531.814,-106.85836,16.85542,228,11.8501,11.8173,39708,3.975961,0.0581,0.0565,98.5968,0.00048236,0,0.5043,0.5153,0.0568,0.1146,4.5867,0,0.011,0,0.5034,0.5142,34.7557,34.8371,26.4334,26.5029,1.016,1.13,0.374,0.416
229.0,536.148,-106.85836,16.85542,229,11.8432,11.8142,39702,3.97577,0.0649,0.0568,98.59,0.00048236,0,0.5043,0.5151,0.0575,0.1147,4.5864,0,0.011,0,0.5034,0.5144,34.7556,34.8377,26.4347,26.504,1.014,1.158,0.373,0.426
230.0,537.814,-106.85836,16.85542,230,11.8256,11.7955,39686,3.974009,0.0682,0.057,98.5856,0.00048236,0,0.5043,0.5152,0.0578,0.1147,4.5862,0,0.011,0,0.5034,0.5143,34.756,34.8375,26.4384,26.5074,1.014,1.132,0.373,0.416
231.0,539.097,-106.85836,16.85544,231,11.8161,11.7857,39677,3.973161,0.0397,0.056,98.6085,0.00048236,0,0.5043,0.5153,0.0549,0.1147,4.5873,0,0.011,0,0.5034,0.5142,34.7558,34.8379,26.44,26.5096,0.993,1.084,0.365,0.399
232.0,540.619,-106.85836,16.85544,232,11.7965,11.7662,39660,3.971506,0.0566,0.0553,98.6267,0.00048236,0,0.5043,0.5152,0.0567,0.1149,4.5881,0,0.011,0,0.5033,0.5142,34.7569,34.8395,26.4446,26.5145,0.998,1.146,0.367,0.422
233.0,542.541,-106.85836,16.85544,233,11.781,11.7507,39645,3.97008,0.0638,0.0549,98.6346,0.00048236,0,0.5043,0.5151,0.0574,0.1147,4.5884,0,0.011,0,0.5034,0.5142,34.7569,34.8397,26.4475,26.5176,1.03,1.129,0.379,0.415
234.0,545.105,-106.85836,16.85544,234,11.7466,11.7171,39610,3.966588,0.0669,0.0551,98.6299,0.00048236,0,0.5043,0.5151,0.0577,0.1148,4.5882,0,0.011,0,0.5034,0.5142,34.7537,34.8364,26.4516,26.5214,1.007,1.109,0.37,0.407
235.0,548.08,-106.85836,16.85542,235,11.7273,11.6972,39589,3.964347,0.0636,0.0551,98.6303,0.00048236,0,0.5043,0.5151,0.0574,0.1147,4.5883,0,0.011,0,0.5033,0.5141,34.7509,34.8327,26.453,26.5223,1.02,1.156,0.375,0.424
236.0,549.557,-106.85836,16.85542,236,11.7215,11.6916,39583,3.963854,0.0639,0.0553,98.6269,0.00048236,0,0.5043,0.515,0.0574,0.1149,4.5881,0,0.011,0,0.5034,0.5143,34.7505,34.8327,26.4538,26.5233,1.02,1.13,0.375,0.415
237.0,550.924,-106.85836,16.85542,237,11.7256,11.6959,39592,3.964516,0.0639,0.0549,98.6348,0.0004668,0,0.5042,0.515,0.0574,0.1147,4.5885,0,0.0109,0,0.5034,0.5141,34.7545,34.8347,26.4562,26.5241,1.018,1.091,0.374,0.401
238.0,552.943,-106.85836,16.85542,238,11.7277,11.6981,39595,3.965007,0.0639,0.0549,98.6364,0.00046525,0,0.5043,0.5151,0.0574,0.1147,4.5885,0,0.0109,0,0.5034,0.5141,34.7557,34.8371,26.4567,26.5255,1.028,1.113,0.378,0.409
239.0,556.02,-106.85836,16.85542,239,11.7214,11.6916,39591,3.964559,0.0549,0.0548,98.6388,0.0004646,0,0.5043,0.5149,0.0565,0.1147,4.5886,0,0.0109,0,0.5035,0.5141,34.7565,34.8382,26.4585,26.5277,1.032,1.127,0.379,0.414
240.0,557.871,-106.85836,16.85542,240,11.7168,11.6873,39587,3.96423,0.0604,0.0543,98.6505,0.00045669,0,0.5043,0.5149,0.057,0.1148,4.5892,0,0.0109,0,0.5035,0.5142,34.7569,34.8387,26.4598,26.5289,1.04,1.139,0.382,0.418
241.0,559.067,-106.85836,16.85542,241,11.7122,11.6822,39583,3.963792,0.0639,0.0548,98.6395,0.00045354,0,0.5043,0.515,0.0574,0.1148,4.5887,0,0.0109,0,0.5035,0.5142,34.7569,34.8387,26.4606,26.5299,1.021,1.114,0.375,0.409
242.0,560.686,-106.85836,16.85542,242,11.7085,11.6786,39581,3.963528,0.0546,0.0538,98.6634,0.00039003,0,0.5043,0.515,0.0564,0.1147,4.5898,0,0.0106,0,0.5034,0.5141,34.7574,34.8391,26.4617,26.5309,1.029,1.12,0.378,0.411
243.0,565.176,-106.85836,16.85542,243,11.7077,11.6786,39580,3.963568,0.0663,0.0535,98.672,0.00027222,0,0.5042,0.5149,0.0576,0.1147,4.5902,0,0.0101,0,0.5035,0.5142,34.7575,34.839,26.462,26.5309,1.039,1.144,0.382,0.42
244.0,566.263,-106.85836,16.85542,244,11.6858,11.6557,39560,3.961483,0.0639,0.0536,98.6695,0.00022356,0,0.5043,0.5151,0.0574,0.1145,4.5901,0,0.0099,0,0.5035,0.5142,34.7571,34.8396,26.4658,26.5356,1.022,1.077,0.375,0.395
245.0,567.376,-106.85836,16.85542,245,11.6713,11.6413,39545,3.960039,0.0634,0.0535,98.672,0.00023532,0,0.5042,0.5149,0.0574,0.1148,4.5902,0,0.0099,0,0.5035,0.514,34.7558,34.8384,26.4675,26.5374,1.049,1.143,0.385,0.419
246.0,569.005,-106.85836,16.85542,246,11.6401,11.6098,39512,3.95672,0.0637,0.0536,98.6688,0.00023742,0,0.5043,0.515,0.0574,0.1147,4.59,0,0.0099,0,0.5035,0.5141,34.7519,34.8349,26.4704,26.5406,1.016,1.113,0.372,0.408
247.0,572.1,-106.85836,16.85542,247,11.6145,11.5844,39485,3.95401,0.0636,0.0539,98.6615,0.00020049,0,0.5043,0.5148,0.0574,0.1148,4.5897,0,0.0098,0,0.5034,0.5141,34.7489,34.8317,26.4728,26.5429,1.038,1.129,0.381,0.414
248.0,574.41,-106.85836,16.85542,248,11.5786,11.5484,39448,3.950268,0.0639,0.0537,98.6661,0.00020963,0,0.5042,0.515,0.0574,0.1148,4.5899,0,0.0098,0,0.5034,0.514,34.7459,34.8282,26.4772,26.5469,0.997,1.086,0.365,0.398
249.0,576.225,-106.85836,16.85542,249,11.5662,11.5359,39435,3.949002,0.0639,0.0529,98.6867,0.00021033,0,0.5043,0.5149,0.0574,0.1146,4.5909,0,0.0098,0,0.5033,0.5141,34.7449,34.8271,26.4788,26.5483,1.025,1.075,0.375,0.394
250.0,577.585,-106.85836,16.85542,250,11.5616,11.5316,39431,3.948564,0.0639,0.0528,98.6882,0.00020333,0,0.5043,0.5149,0.0574,0.1148,4.591,0,0.0098,0,0.5032,0.5136,34.7445,34.8264,26.4793,26.5486,0.94,1.066,0.344,0.39
251.0,578.676,-106.85836,16.85542,251,11.5607,11.5307,39431,3.948494,0.0639,0.0528,98.6872,0.00020334,0,0.5042,0.5148,0.0574,0.1149,4.591,0,0.0098,0,0.5034,0.5139,34.7448,34.8261,26.4798,26.5486,1.008,1.102,0.369,0.403
252.0,581.89,-106.85835,16.85542,252,11.5625,11.5323,39433,3.948698,0.0639,0.0533,98.6767,0.00020334,0,0.5041,0.5147,0.0574,0.1148,4.5904,0,0.0098,0,0.5033,0.5139,34.745,34.8262,26.4796,26.5483,1.037,1.093,0.379,0.4
253.0,585.349,-106.85836,16.85542,253,11.561,11.5315,39432,3.948724,0.0634,0.0534,98.674,0.00020334,0,0.504,0.5146,0.0574,0.1148,4.5903,0,0.0098,0,0.5035,0.5139,34.7449,34.8267,26.4798,26.5489,1.023,1.115,0.374,0.408
254.0,586.258,-106.85836,16.85542,254,11.5585,11.5286,39431,3.948545,0.0634,0.0531,98.6803,0.00020334,0,0.5042,0.515,0.0573,0.1145,4.5906,0,0.0098,0,0.5034,0.5139,34.7454,34.8273,26.4807,26.5499,0.99,1.127,0.362,0.412
255.0,587.235,-106.85836,16.85542,255,11.5368,11.5053,39409,3.946505,0.0639,0.0531,98.6817,0.00020334,0,0.5043,0.5145,0.0574,0.1147,4.5907,0,0.0098,0,0.5033,0.5141,34.7443,34.8286,26.4839,26.5553,0.967,1.056,0.354,0.386
256.0,588.368,-106.85836,16.85542,256,11.5182,11.4878,39391,3.944501,0.0639,0.053,98.6839,0.00020334,0,0.5043,0.5147,0.0574,0.1147,4.5908,0,0.0098,0,0.5033,0.5136,34.7431,34.8249,26.4865,26.5558,0.973,1.025,0.356,0.375
257.0,591.286,-106.85835,16.85542,257,11.5174,11.4889,39390,3.94451,0.0637,0.0532,98.6779,0.00020207,0,0.5042,0.5147,0.0574,0.1148,4.5905,0,0.0098,0,0.5033,0.5139,34.7425,34.8235,26.4861,26.5544,1.026,1.096,0.375,0.401
258.0,595.489,-106.85836,16.85542,258,11.5162,11.4885,39389,3.944612,0.0635,0.0536,98.6688,0.00020341,0,0.5041,0.5148,0.0574,0.1148,4.59,0,0.0098,0,0.5033,0.5139,34.7421,34.8245,26.4861,26.5553,0.967,1.191,0.353,0.435
259.0,596.556,-106.85836,16.85542,259,11.5069,11.4764,39379,3.943388,0.0639,0.0535,98.6725,0.00020334,0,0.5043,0.5146,0.0574,0.1145,4.5902,0,0.0098,0,0.5034,0.5144,34.741,34.8233,26.487,26.5567,1.032,1.188,0.377,0.434
260.0,597.608,-106.85836,16.85542,260,11.4902,11.4584,39362,3.941669,0.0639,0.0539,98.662,0.00020334,0,0.5042,0.5149,0.0574,0.1148,4.5897,0,0.0098,0,0.5033,0.5143,34.7394,34.8228,26.4888,26.5596,1.011,1.117,0.37,0.408
261.0,598.802,-106.85836,16.85542,261,11.4549,11.4246,39326,3.938152,0.0631,0.0539,98.662,0.00020334,0,0.5041,0.5147,0.0573,0.1147,4.5897,0,0.0098,0,0.5033,0.5141,34.7361,34.8195,26.4928,26.5633,1.017,1.03,0.371,0.376
262.0,601.078,-106.85835,16.85542,262,11.4403,11.412,39312,3.93677,0.0633,0.0537,98.6674,0.00020334,0,0.5041,0.5149,0.0573,0.1146,4.59,0,0.0098,0,0.5033,0.5138,34.7355,34.8172,26.4951,26.5639,1.024,1.056,0.374,0.386
263.0,604.571,-106.85836,16.85542,263,11.4208,11.3962,39296,3.935873,0.064,0.0527,98.6897,0.00020334,0,0.504,0.5146,0.0574,0.115,4.5911,0,0.0098,0,0.5033,0.5139,34.7373,34.8228,26.5001,26.5712,1,1.11,0.365,0.405
264.0,605.865,-106.85836,16.85542,264,11.3848,11.3543,39261,3.931577,0.0635,0.0528,98.6882,0.00020334,0,0.5041,0.5145,0.0574,0.1146,4.591,0,0.0098,0,0.5035,0.5137,34.7369,34.8194,26.5065,26.5763,1.02,1.067,0.372,0.389
265.0,607.098,-106.85836,16.85542,265,11.368,11.3379,39245,3.929937,0.0639,0.0526,98.6923,0.00020334,0,0.5042,0.5146,0.0574,0.1151,4.5912,0,0.0098,0,0.5033,0.5138,34.7358,34.8182,26.5087,26.5783,1.03,1.102,0.376,0.402
266.0,608.842,-106.85836,16.85542,266,11.3581,11.3281,39235,3.928878,0.0639,0.0523,98.702,0.00020334,0,0.5042,0.5146,0.0574,0.1148,4.5916,0,0.0098,0,0.5032,0.5139,34.7349,34.8165,26.5098,26.5789,0.961,1.098,0.35,0.4
267.0,611.709,-106.85836,16.85542,267,11.3509,11.3213,39228,3.928239,0.0693,0.0526,98.6932,0.00020043,0,0.504,0.5146,0.0579,0.1146,4.5912,0,0.0098,0,0.5032,0.5138,34.7347,34.8161,26.5111,26.5799,0.993,1.041,0.362,0.379
268.0,614.022,-106.85836,16.85542,268,11.348,11.3185,39226,3.928013,0.066,0.0525,98.6955,0.00020339,0,0.5039,0.5146,0.0576,0.1145,4.5913,0,0.0098,0,0.503,0.5135,34.7349,34.8161,26.5118,26.5804,0.984,1.047,0.359,0.382
269.0,615.48,-106.85835,16.85542,269,11.3472,11.3175,39226,3.927953,0.0701,0.0527,98.6914,0.00020334,0,0.5039,0.5145,0.058,0.1145,4.5911,0,0.0098,0,0.5033,0.5137,34.7349,34.816,26.5119,26.5805,0.984,1.034,0.359,0.377
270.0,616.91,-106.85834,16.85542,270,11.3466,11.3169,39226,3.927943,0.0664,0.053,98.6843,0.00020334,0,0.5039,0.5143,0.0576,0.1146,4.5908,0,0.0098,0,0.5029,0.5136,34.7348,34.816,26.512,26.5807,0.963,1.101,0.351,0.401
271.0,618.487,-106.85834,16.85542,271,11.3457,11.316,39225,3.927916,0.0645,0.0524,98.6999,0.00020334,0,0.504,0.5144,0.0575,0.1146,4.5915,0,0.0098,0,0.5032,0.5138,34.7346,34.8161,26.5121,26.5809,1.023,1.077,0.373,0.392
272.0,622.085,-106.85834,16.85542,272,11.3455,11.3163,39226,3.927958,0.0664,0.0518,98.7144,0.00020334,0,0.5039,0.5144,0.0576,0.1146,4.5922,0,0.0098,0,0.5032,0.5137,34.7352,34.8159,26.5126,26.5807,0.997,1.052,0.363,0.383
273.0,625.182,-106.85834,16.85542,273,11.3426,11.3129,39224,3.927739,0.0652,0.0518,98.7145,0.00020334,0,0.5041,0.5143,0.0575,0.115,4.5922,0,0.0098,0,0.5032,0.5135,34.7354,34.8164,26.5133,26.5818,1.003,1.039,0.365,0.378
274.0,626.006,-106.85835,16.85542,274,11.3393,11.3097,39221,3.927495,0.0673,0.0523,98.7001,0.00020334,0,0.5038,0.5146,0.0577,0.1152,4.5915,0,0.0098,0,0.503,0.5137,34.7355,34.8166,26.514,26.5825,0.965,1.109,0.351,0.404
275.0,626.742,-106.85836,16.85542,275,11.3362,11.3066,39219,3.927231,0.0639,0.0526,98.6945,0.00020334,0,0.5039,0.5145,0.0574,0.1148,4.5913,0,0.0098,0,0.5032,0.5138,34.7355,34.8165,26.5146,26.583,0.868,1.097,0.316,0.4
276.0,627.518,-106.85836,16.85542,276,11.3319,11.301,39214,3.926735,0.0673,0.052,98.709,0.00020334,0,0.504,0.5143,0.0577,0.1149,4.592,0,0.0098,0,0.5028,0.5137,34.7348,34.8164,26.5148,26.5841,0.812,1.025,0.296,0.373
277.0,631.377,-106.85836,16.85542,277,11.3323,11.3022,39215,3.926776,0.0668,0.0525,98.6951,0.00020334,0,0.5038,0.5144,0.0577,0.1147,4.5913,0,0.0098,0,0.503,0.5136,34.7346,34.8153,26.5146,26.5829,1.007,1.063,0.367,0.387
278.0,635.328,-106.85836,16.85542,278,11.3306,11.3021,39214,3.926869,0.0639,0.0519,98.7116,0.00020334,0,0.5041,0.5145,0.0574,0.1146,4.5921,0,0.0098,0,0.5033,0.5139,34.7349,34.8158,26.5152,26.5834,1.037,1.1,0.377,0.401
279.0,636.408,-106.85836,16.85542,279,11.3154,11.28,39199,3.924936,0.0639,0.0518,98.7146,0.00020334,0,0.5038,0.5144,0.0574,0.1146,4.5922,0,0.0098,0,0.5032,0.5139,34.7341,34.817,26.5174,26.5884,0.972,1.112,0.354,0.405
280.0,637.314,-106.85836,16.85542,280,11.2969,11.2663,39181,3.923656,0.0633,0.0518,98.7145,0.00019342,0,0.5039,0.5142,0.0573,0.1147,4.5922,0,0.0097,0,0.5032,0.5136,34.7334,34.8168,26.5203,26.5908,0.826,0.969,0.301,0.353
281.0,638.304,-106.85836,16.85542,281,11.265,11.2341,39149,3.920513,0.0635,0.0518,98.7145,0.00020288,0,0.5039,0.5145,0.0574,0.1147,4.5922,0,0.0098,0,0.5027,0.5135,34.7312,34.8156,26.5244,26.5958,0.947,1.013,0.344,0.368
282.0,640.485,-106.85836,16.85542,282,11.2284,11.1983,39113,3.916736,0.0656,0.0518,98.7152,0.00020334,0,0.5038,0.5144,0.0576,0.1149,4.5922,0,0.0098,0,0.5031,0.5136,34.7291,34.8115,26.5295,26.5991,1.01,1.047,0.367,0.38
283.0,643.351,-106.85836,16.85542,283,11.2016,11.1717,39086,3.914012,0.0638,0.0518,98.7133,0.00020334,0,0.5038,0.5143,0.0574,0.1147,4.5921,0,0.0098,0,0.503,0.5136,34.7271,34.8091,26.5328,26.6021,0.978,1.099,0.355,0.399
284.0,644.842,-106.85836,16.85542,284,11.1907,11.161,39075,3.91293,0.0679,0.0518,98.7145,0.00020334,0,0.5041,0.5145,0.0578,0.1147,4.5922,0,0.0098,0,0.5032,0.5138,34.7263,34.808,26.5342,26.6033,1.034,1.078,0.376,0.391
285.0,645.987,-106.85836,16.85542,285,11.1685,11.1368,39053,3.910921,0.0638,0.0517,98.718,0.00020334,0,0.5037,0.514,0.0574,0.115,4.5924,0,0.0098,0,0.5032,0.5139,34.7246,34.8105,26.5369,26.6096,1.02,1.158,0.37,0.42
286.0,646.95,-106.85836,16.85542,286,11.1335,11.1022,39018,3.907335,0.0699,0.0515,98.7226,0.00020334,0,0.5038,0.5145,0.058,0.1147,4.5926,0,0.0098,0,0.5032,0.5138,34.7224,34.8071,26.5416,26.6133,0.979,1.117,0.355,0.405
287.0,647.897,-106.85836,16.85542,287,11.0973,11.0665,38981,3.903705,0.0644,0.0507,98.7407,0.00019486,0,0.5039,0.5145,0.0574,0.1148,4.5934,0,0.0097,0,0.503,0.514,34.7198,34.8043,26.5462,26.6176,0.919,1.047,0.333,0.379
288.0,648.905,-106.85836,16.85542,288,11.0794,11.0494,38964,3.901903,0.0639,0.0507,98.7407,0.00020308,0,0.504,0.5144,0.0574,0.1148,4.5934,0,0.0098,0,0.5029,0.5136,34.7188,34.8021,26.5487,26.619,0.867,0.98,0.314,0.355
289.0,650.319,-106.85836,16.85542,289,11.0648,11.0353,38949,3.900369,0.0637,0.0503,98.7504,0.00034359,0,0.504,0.5147,0.0574,0.1147,4.5938,0,0.0104,0,0.5027,0.5134,34.7178,34.7997,26.5506,26.6197,0.842,0.995,0.305,0.36
290.0,653.475,-106.85837,16.85542,290,11.0703,11.0402,38955,3.900814,0.0634,0.0502,98.7516,0.00047033,0,0.5036,0.5141,0.0573,0.1147,4.5939,0,0.0109,0,0.5029,0.5137,34.718,34.799,26.5497,26.6183,1.099,1.116,0.398,0.404
291.0,655.196,-106.85838,16.85542,291,11.0473,11.0167,38933,3.898793,0.0673,0.0513,98.7255,0.00045006,0,0.5032,0.514,0.0577,0.1148,4.5927,0,0.0109,0,0.5032,0.5138,34.717,34.8007,26.5532,26.6238,1.112,1.116,0.403,0.404
292.0,656.064,-106.85838,16.85542,292,11.0218,10.9915,38906,3.896174,0.0706,0.0498,98.7631,0.00042653,0,0.5039,0.5147,0.0581,0.1147,4.5944,0,0.0108,0,0.5034,0.5138,34.7143,34.798,26.5556,26.6263,1.047,1.051,0.379,0.38
293.0,656.819,-106.85838,16.85542,293,11.0056,10.9752,38891,3.894564,0.069,0.0507,98.7411,0.000433,0,0.5039,0.5142,0.0579,0.1147,4.5934,0,0.0108,0,0.5032,0.5137,34.7133,34.7969,26.5578,26.6284,0.95,1.124,0.343,0.406
294.0,657.538,-106.85838,16.85542,294,10.9764,10.9429,38861,3.89183,0.0632,0.0507,98.7407,0.00035144,0,0.5038,0.5143,0.0573,0.1147,4.5934,0,0.0104,0,0.5031,0.5139,34.711,34.7998,26.5613,26.6365,0.852,1.189,0.308,0.43
295.0,658.323,-106.85838,16.85542,295,10.9052,10.873,38788,3.884604,0.0639,0.0507,98.7407,0.00036263,0,0.504,0.5144,0.0574,0.1149,4.5934,0,0.0105,0,0.5028,0.5139,34.7049,34.7934,26.5694,26.6441,0.757,1.03,0.273,0.371
296.0,659.932,-106.85838,16.85542,296,10.8865,10.8593,38770,3.882564,0.0665,0.0498,98.7616,0.00039976,0,0.504,0.5146,0.0577,0.1148,4.5944,0,0.0106,0,0.5027,0.5136,34.7039,34.7856,26.572,26.6405,0.946,1.036,0.341,0.374
297.0,663.567,-106.85838,16.85542,297,10.9031,10.8669,38788,3.883698,0.0689,0.0503,98.7515,0.0003756,0,0.5033,0.5143,0.0579,0.1147,4.5939,0,0.0105,0,0.5031,0.5137,34.7061,34.7892,26.5707,26.642,0.936,1.094,0.338,0.395
298.0,664.443,-106.85838,16.85542,298,10.8617,10.8322,38745,3.879943,0.0632,0.0493,98.7748,0.00028915,0,0.5034,0.5142,0.0573,0.1146,4.595,0,0.0102,0,0.5029,0.5136,34.7022,34.7842,26.5751,26.6443,0.962,0.957,0.347,0.345
299.0,665.333,-106.85838,16.85542,299,10.86,10.8304,38744,3.879774,0.0633,0.0495,98.7707,0.00033627,0,0.5038,0.5144,0.0573,0.1149,4.5948,0,0.0104,0,0.5028,0.5134,34.7017,34.7837,26.5751,26.6442,0.86,1.063,0.31,0.383
300.0,666.304,-106.85838,16.85542,300,10.8561,10.8269,38741,3.879406,0.0634,0.0492,98.7765,0.00040514,0,0.5039,0.5144,0.0574,0.1148,4.595,0,0.0107,0,0.5027,0.5136,34.7018,34.7829,26.5759,26.6443,0.931,1.046,0.336,0.377
301.0,667.466,-106.85838,16.85542,301,10.8553,10.8259,38740,3.879349,0.0659,0.0494,98.7723,0.00035269,0,0.5038,0.5144,0.0576,0.1144,4.5948,0,0.0104,0,0.5027,0.5134,34.7016,34.7828,26.5758,26.6444,0.938,1.03,0.338,0.371
302.0,668.93,-106.85838,16.85542,302,10.8541,10.8246,38739,3.879259,0.0673,0.0492,98.7786,0.00037528,0,0.5036,0.5142,0.0577,0.1148,4.5951,0,0.0105,0,0.5027,0.5136,34.7013,34.7827,26.5758,26.6445,0.996,1.092,0.359,0.394
303.0,670.655,-106.85836,16.85542,303,10.8526,10.8233,38739,3.879161,0.0652,0.0488,98.7877,0.00036912,0,0.5035,0.5141,0.0575,0.1146,4.5955,0,0.0105,0,0.5029,0.5134,34.7019,34.7825,26.5766,26.6447,0.897,0.992,0.323,0.358
304.0,671.996,-106.85836,16.85542,304,10.8514,10.8222,38738,3.879101,0.069,0.0491,98.7804,0.00034741,0,0.5035,0.5142,0.0579,0.1146,4.5952,0,0.0104,0,0.5026,0.5136,34.7018,34.7825,26.5768,26.6449,0.857,1.09,0.309,0.393
305.0,673.159,-106.85836,16.85542,305,10.8503,10.8209,38737,3.879015,0.0659,0.0491,98.781,0.00029577,0,0.5036,0.5144,0.0576,0.1147,4.5952,0,0.0102,0,0.5026,0.5135,34.7016,34.7824,26.5769,26.6451,0.907,1.033,0.327,0.372
306.0,674.458,-106.85837,16.85542,306,10.8497,10.8206,38737,3.879017,0.0636,0.0493,98.7761,0.00035299,0,0.5037,0.5141,0.0574,0.1149,4.595,0,0.0104,0,0.5025,0.5135,34.7015,34.7823,26.5769,26.6451,0.993,1.046,0.358,0.377
307.0,676.027,-106.85838,16.85542,307,10.8488,10.8199,38736,3.878999,0.0639,0.0493,98.7751,0.00031108,0,0.5033,0.5142,0.0574,0.1147,4.595,0,0.0103,0,0.5028,0.5134,34.7012,34.7824,26.5769,26.6452,0.912,1.013,0.329,0.365
308.0,677.476,-106.85838,16.85542,308,10.8479,10.8186,38736,3.878911,0.0639,0.0497,98.7651,0.00032123,0,0.5033,0.5142,0.0574,0.1147,4.5945,0,0.0103,0,0.5026,0.5133,34.7011,34.7822,26.5769,26.6454,0.904,1.021,0.326,0.368
309.0,678.848,-106.85838,16.85542,309,10.8466,10.8177,38735,3.878885,0.0639,0.0498,98.7634,0.00025063,0,0.5036,0.5141,0.0574,0.1145,4.5944,0,0.01,0,0.5026,0.5134,34.7009,34.7824,26.5771,26.6457,0.988,1.033,0.356,0.372
310.0,680.005,-106.85838,16.85542,310,10.8432,10.8134,38732,3.878474,0.0711,0.0494,98.7722,0.00023518,0,0.5036,0.5141,0.0581,0.1151,4.5948,0,0.0099,0,0.5028,0.5134,34.7007,34.7819,26.5775,26.6462,0.949,1.005,0.342,0.362
311.0,681.075,-106.85838,16.85543,311,10.8419,10.813,38731,3.878455,0.0728,0.0493,98.7751,0.00020298,0,0.5034,0.5141,0.0583,0.1144,4.595,0,0.0098,0,0.5026,0.5132,34.7012,34.7816,26.5782,26.646,0.833,1.005,0.3,0.362
312.0,682.225,-106.85838,16.85544,312,10.842,10.8133,38732,3.878521,0.0642,0.0493,98.7736,0.00020334,0,0.5034,0.5141,0.0574,0.1148,4.5949,0,0.0098,0,0.5025,0.5133,34.7015,34.7816,26.5784,26.6459,0.891,1.032,0.321,0.372
313.0,683.717,-106.85838,16.85544,313,10.8406,10.8113,38731,3.878368,0.0639,0.049,98.783,0.00021679,0,0.5035,0.514,0.0574,0.1144,4.5953,0,0.0099,0,0.5025,0.5134,34.7013,34.7815,26.5786,26.6463,0.874,1.036,0.315,0.373
314.0,685.677,-106.85837,16.85544,314,10.8396,10.8103,38730,3.87829,0.067,0.0489,98.7841,0.00020245,0,0.5033,0.5141,0.0577,0.1147,4.5954,0,0.0098,0,0.5026,0.5134,34.7009,34.7813,26.5784,26.6463,0.985,1.069,0.355,0.385
315.0,687.106,-106.85836,16.85544,315,10.8391,10.8088,38730,3.878185,0.0696,0.0487,98.7895,0.00020334,0,0.5033,0.514,0.058,0.1151,4.5956,0,0.0098,0,0.5024,0.5134,34.7008,34.7811,26.5784,26.6465,0.875,0.969,0.316,0.349
316.0,688.199,-106.85836,16.85544,316,10.8366,10.8078,38728,3.878114,0.0654,0.0491,98.7807,0.00020334,0,0.5031,0.5141,0.0575,0.1148,4.5952,0,0.0098,0,0.5027,0.5132,34.7004,34.7809,26.5786,26.6465,0.907,0.995,0.327,0.358
317.0,689.469,-106.85836,16.85544,317,10.8365,10.8073,38728,3.878088,0.0706,0.0492,98.7787,0.00020334,0,0.5035,0.5142,0.0581,0.1148,4.5951,0,0.0098,0,0.5025,0.5133,34.7004,34.7807,26.5786,26.6464,0.969,1.018,0.349,0.367
318.0,690.971,-106.85836,16.85544,318,10.8363,10.8073,38728,3.878136,0.0684,0.0493,98.776,0.00020334,0,0.5033,0.5141,0.0578,0.1146,4.595,0,0.0098,0,0.5026,0.5133,34.7004,34.7807,26.5787,26.6465,0.891,1.044,0.321,0.376
319.0,692.311,-106.85836,16.85544,319,10.8332,10.8045,38726,3.877929,0.0633,0.0491,98.7792,0.00020334,0,0.5032,0.5139,0.0573,0.1146,4.5952,0,0.0098,0,0.5026,0.5134,34.7001,34.7809,26.579,26.6471,0.916,1.047,0.33,0.377
320.0,693.742,-106.85836,16.85544,320,10.8211,10.7912,38714,3.876747,0.0639,0.0493,98.7751,0.00020334,0,0.5035,0.514,0.0574,0.1149,4.595,0,0.0098,0,0.5027,0.5134,34.699,34.7812,26.5804,26.6498,1.057,1.034,0.381,0.372
321.0,695.404,-106.85836,16.85544,321,10.7883,10.7575,38681,3.873463,0.0636,0.0495,98.7701,0.00020334,0,0.5034,0.5141,0.0574,0.1147,4.5947,0,0.0098,0,0.503,0.5136,34.6974,34.7799,26.5849,26.6547,0.973,1.144,0.35,0.412
322.0,697.031,-106.85836,16.85544,322,10.7467,10.7157,38639,3.869382,0.067,0.0517,98.7169,0.00020334,0,0.5034,0.5141,0.0577,0.1149,4.5923,0,0.0098,0,0.5029,0.5135,34.694,34.7782,26.5897,26.6609,0.949,0.954,0.341,0.343
323.0,698.188,-106.85836,16.85544,323,10.7201,10.6903,38613,3.866689,0.0703,0.0489,98.786,0.00020334,0,0.5038,0.5142,0.058,0.115,4.5955,0,0.0098,0,0.5027,0.5134,34.6927,34.7748,26.5935,26.6627,0.856,1.063,0.308,0.382
324.0,699.164,-106.85836,16.85544,324,10.6961,10.6649,38588,3.864371,0.0717,0.0489,98.7861,0.00020334,0,0.5039,0.5145,0.0582,0.1149,4.5955,0,0.0098,0,0.5027,0.5135,34.6901,34.7752,26.5957,26.6676,0.993,1.031,0.357,0.37
