Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 375_etnp2017_265m_gfd,Area 375_etnp2017_265m_gfd,#Peptides,#Unique,#Spec 375_etnp2017_265m_gfd,PTM,Avg. Mass,Description
84,417,EDP97481.1,21.34,2,2,1.08E4,1,1,1,Oxidation (M),56961,hypothetical protein KAOT1_20002 [Kordia algicida OT-1]
215,558,ACL64411.1,21.27,4,4,1.68E5,1,1,1,,23775,molybdate ABC transporter  inner membrane subunit [Anaeromyxobacter dehalogenans 2CP-1]
114,419,XP_003064043,21.25,2,2,4.59E4,1,1,1,,57096,predicted protein  Micromonas pusilla CCMP1545
131,576,ETNP14_120,20.95,3,3,5.83E3,1,1,1,,31186,Glucose 1-dehydrogenase 2
217,578,SAR11,20.90,10,10,9.39E4,1,1,1,,7275,Cold shock-like protein CspLA
217,579,SAR11,20.90,10,10,9.39E4,1,1,1,,7523,Cold shock-like protein CspLA
219,584,WP_048499118,20.77,5,5,3.93E4,1,1,1,,21427,ATP-dependent DNA helicase RuvA Chryseobacterium koreense
116,429,EJK51310,20.76,1,1,8.24E4,1,1,1,,80819,hypothetical protein THAOC_29527  Thalassiosira oceanica
116,585,ETNP_90,20.76,18,18,8.24E4,1,1,1,,4902,hypothetical protein
116,588,ETNP_120,20.76,3,3,8.24E4,1,1,1,,24594,Soluble hydrogenase 42 kDa subunit
116,589,WP_053820005,20.76,3,3,8.24E4,1,1,1,,34009,3-oxoacyl-ACP synthase Candidatus Thioglobus singularis
116,590,ETNP_180,20.76,2,2,8.24E4,1,1,1,,33248,Soluble hydrogenase 42 kDa subunit
136,600,ETNP_120,20.58,9,9,5.2E4,1,1,1,,8491,Phd_YefM
225,610,WP_052039471,20.57,1,1,4.83E4,1,1,1,,61524,hypothetical protein Prochlorococcus
221,602,BAL58776,20.45,3,3,1.29E5,1,1,1,,36773,RNA 3'-terminal phosphate cyclase Candidatus Acetothermus autotrophicum
223,604,ETNP_300,20.44,6,6,3.93E5,1,1,1,,14539,hypothetical protein
223,605,ETNP_160,20.44,4,4,3.93E5,1,1,1,,22345,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
223,606,ETNP_180,20.44,4,4,3.93E5,1,1,1,,26054,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
223,607,ETNP_140,20.44,4,4,3.93E5,1,1,1,,26065,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
223,608,ETNP_120,20.44,3,3,3.93E5,1,1,1,,29506,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
224,609,ACL65363.1,20.37,10,10,4.55E5,1,1,1,,10792,ribosomal protein S19 [Anaeromyxobacter dehalogenans 2CP-1]
226,611,WP_013045793,20.32,3,3,1.18E4,1,1,1,,28001,short-chain dehydrogenase Candidatus Puniceispirillum marinum
35,445,virus_CCADEAMM_13601,20.27,0,0,3.79E4,1,1,2,,346260,hypothetical protein
120,502,WP_012909462,20.05,2,2,1.16E5,1,1,1,,51412,flavin-containing monooxygenase Pirellula staleyi
