Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 2: 272 4-19_965m_top+p-plusBSA,Area Sample 2: 272 4-19_965m_top+p-plusBSA,#Peptides,#Unique,#Spec Sample 2: 272 4-19_965m_top+p-plusBSA,PTM,Avg. Mass,Description
115,18069,ETNP14_68,26.20,4,4,2.8E6,2,2,2,,48694,GMP synthase [glutamine-hydrolyzing]
383,17930,SAR11,26.17,2,2,5.9E4,1,1,1,,32490,Farnesyl diphosphate synthase
273,17830,WP_011219958.1,26.15,1,1,4.11E5,1,1,1,,149774,DNA-directed RNA polymerase subunit beta [Photobacterium profundum]
59,17931,ETNP_110,26.09,8,8,4.6E7,1,1,3,,11179,hypothetical protein
59,17932,ETNP_120,26.09,7,7,4.6E7,1,1,3,,13257,hypothetical protein
59,17933,ETNP_120,26.09,4,4,4.6E7,1,1,3,,23776,hypothetical protein
99,18016,WP_011467408.1,26.07,1,1,1.29E5,2,1,2,,155649,DNA-directed RNA polymerase subunit beta' [Saccharophagus degradans]
382,17925,ETNP_120,25.97,15,15,4.91E4,1,1,1,Oxidation (M),5956,hypothetical protein
186,10490,ETNP_120,25.95,0,0,2.98E5,1,1,1,,211795,Ankyrin repeats (3 copies)
66,17992,XP_003063693,25.90,0,0,2.4E6,2,2,2,,486140,inner dynein arm heavy chain 1-beta  Micromonas pusilla CCMP1545
520,17934,ETNP_180,25.65,10,10,3.13E5,1,1,1,,11166,hypothetical protein
380,17911,ETNP_120,25.53,1,1,2.25E6,1,1,1,,71353,Putative thiamine pyrophosphate-containing protein YdaP
381,17922,ETNP_140,25.44,5,5,4.05E6,1,1,1,,18932,Homoserine dehydrogenase
381,17923,ETNP_120,25.44,3,3,4.05E6,1,1,1,,27840,Homoserine dehydrogenase
381,17939,ETNP_160,25.44,7,7,4.05E6,1,1,1,,12993,Homoserine dehydrogenase
381,17940,ETNP_120,25.44,7,7,4.05E6,1,1,1,,12993,Homoserine dehydrogenase
381,17941,ETNP_300,25.44,5,5,4.05E6,1,1,1,,16873,Homoserine dehydrogenase
381,17942,ETNP14_68,25.44,4,4,4.05E6,1,1,1,,19660,Hypoxic response protein 1
381,17943,ETNP_180,25.44,3,3,4.05E6,1,1,1,,26557,Homoserine dehydrogenase
381,17944,ETNP_140,25.44,3,3,4.05E6,1,1,1,,27635,Homoserine dehydrogenase
381,17946,ETNP_120,25.44,2,2,4.05E6,1,1,1,,44829,Homoserine dehydrogenase
71,18037,Flavovirus_FBAKDGPJ_02026,25.41,1,1,8.39E4,2,2,2,Oxidation (M),264765,hypothetical protein
71,328,Flavovirus_FBAKDGPJ_02361,25.41,1,1,8.39E4,2,2,2,Oxidation (M),264751,hypothetical protein
521,17947,ETNP_70,25.24,13,13,2.85E6,1,1,1,,11852,hypothetical protein
171,17811,EDP94608.1,25.22,0,0,2.09E5,1,1,1,,451915,polyketide synthase [Kordia algicida OT-1]
523,17950,WP_011467982.1,25.21,2,2,3.72E6,1,1,1,,37071,hypothetical protein [Saccharophagus degradans]
278,17951,ETNP14_120,25.01,3,3,1.41E5,1,1,1,,39215,Spermidine/putrescine import ATP-binding protein PotA
172,17888,XP_003063366,24.95,0,0,7.45E5,1,1,1,,341770,predicted protein  Micromonas pusilla CCMP1545
221,17961,ETNP14_68,24.71,2,2,2.98E5,1,1,1,,50223,Na(+)-translocating NADH-quinone reductase subunit A
528,17964,Flavovirus_FBAKDGPJ_11538,24.68,2,2,1.71E5,1,1,1,,40516,hypothetical protein
138,18258,ETNP_120,24.55,2,2,1.01E6,2,2,2,,103330,Alcohol dehydrogenase [cytochrome c] precursor
137,18255,ETNP_120,24.40,5,5,1.37E6,2,1,2,,36600,30S ribosomal protein S2
137,18256,ETNP_120,24.40,4,4,1.37E6,2,1,2,,40669,30S ribosomal protein S2
96,17952,ETNP_180,24.37,4,4,3.64E6,1,1,2,Oxidation (M),26837,Riboflavin biosynthesis protein RibF
96,17953,ETNP_120,24.37,3,3,3.64E6,1,1,2,Oxidation (M),34841,Riboflavin biosynthesis protein RibF
384,17959,WP_011468167.1,24.09,1,1,2.69E6,1,1,1,,83508,ATP-dependent Clp protease ATP-binding subunit ClpA [Saccharophagus degradans]
162,17835,WP_038131496.1,23.97,1,1,2.95E5,1,1,1,,132958,translocation/assembly module TamB [Verrucomicrobia bacterium SCGC AAA168-F10]
88,18014,WP_042502739,23.66,2,2,4.26E6,2,2,2,,85813,hypothetical protein Synechococcus sp WH 8102
276,17882,ETNP_120,23.65,5,5,1.57E6,1,1,1,Carbamidomethylation,24028,hypothetical protein
529,17973,ETNP_120,23.63,1,1,2.65E6,1,1,1,,148009,ATP-dependent RNA helicase HrpB
530,17978,ETNP_140,23.39,1,1,1.56E5,1,1,1,,61526,Photosystem I assembly protein Ycf3
531,17983,ETNP_120,23.37,1,1,1.91E6,1,1,1,,55018,ATP synthase subunit alpha
218,17907,ETNP14_68,23.36,3,3,5.47E5,1,1,1,,32472,flagellar basal body P-ring biosynthesis protein FlgA
218,17976,WP_014473702,23.36,5,5,5.47E5,1,1,1,,15308,30S ribosomal protein S5 Arcobacter sp L
87,18013,ETNP_90,23.25,18,18,0E0,2,2,2,Carbamidomethylation,14698,hypothetical protein
285,18017,Fosmid_PROKKA_02764,22.96,9,9,5E6,1,1,1,,15139,OsmC-like protein
283,17993,ETNP_120,22.95,2,2,0E0,1,1,1,,57019,Arylsulfatase
282,17988,ETNP_70,22.93,1,1,0E0,1,1,1,,56332,Arylsulfatase
100,18043,WP_011218872.1,22.87,5,5,1.13E6,2,1,2,,36725,amino acid ABC transporter substrate-binding protein [Photobacterium profundum]
533,18024,ETNP_180,22.85,2,2,1.76E5,1,1,1,,49960,3-isopropylmalate dehydratase large subunit
532,18023,ADI90898.1,22.85,6,6,1.61E5,1,1,1,,18903,hypothetical protein AOLE_10045 [Acinetobacter oleivorans DR1]
535,18026,ETNP_70,22.71,1,1,8.96E5,1,1,1,,85278,Phage portal protein
535,18027,ETNP_90,22.71,1,1,8.96E5,1,1,1,,85278,Phage portal protein
385,17986,ETNP_120,22.53,4,4,0E0,1,1,1,,25389,hypothetical protein
281,17987,ETNP_160,22.41,2,2,2.02E7,1,1,1,,42804,hypothetical protein
386,17994,ETNP_160,22.40,2,2,1.7E5,1,1,1,,42877,Polysaccharide biosynthesis protein
386,18028,ETNP_180,22.40,4,4,1.7E5,1,1,1,,25535,hypothetical protein
220,17919,ETNP14_68,22.37,2,2,1.45E5,1,1,1,,50964,Cyclic pyranopterin monophosphate synthase
536,18029,ETNP_180,22.35,7,7,7.4E5,1,1,1,Carbamidomethylation,18836,Acetylglutamate kinase
537,18031,EAP87899.1,22.16,5,5,0E0,1,1,1,,20804,ribosome recycling factor [Croceibacter atlanticus HTCC2559]
538,18032,ETNP14_68,22.14,9,9,4.82E6,1,1,1,Carbamidomethylation,14715,Sugar fermentation stimulation protein A
41,18010,ETNP_120,21.97,2,2,8.9E6,1,1,4,,32209,Trehalose utilisation
543,18041,ETNP_180,21.80,5,5,1.04E6,1,1,1,,16006,Hypoxic response protein 1
543,18042,ETNP_160,21.80,5,5,1.04E6,1,1,1,,16018,Hypoxic response protein 1
388,18006,BAE51057.1,21.78,1,1,0E0,1,1,1,,80771,Guanosine polyphosphate pyrophosphohydrolase/synthetase [Magnetospirillum magneticum AMB-1]
391,18012,ETNP_120,21.69,3,3,2.81E6,1,1,1,,24223,hypothetical protein
391,18054,ETNP14_68,21.69,7,7,2.81E6,1,1,1,,11023,hypothetical protein
393,18058,WP_013045433,21.57,4,4,5.58E4,1,1,1,,27874,precorrin-4 C11-methyltransferase Candidatus Puniceispirillum marinum
175,81,XP_003056737,21.54,1,1,3.13E6,1,1,1,Oxidation (M),261895,flagellar associated protein  Micromonas pusilla CCMP1545
164,17957,virus_CCADEAMM_36854,21.37,0,0,2.74E5,1,1,1,,246476,hypothetical protein
164,17958,virus_CCADEAMM_36901,21.37,0,0,2.74E5,1,1,1,,246353,hypothetical protein
404,18122,ETNP14_68,21.22,13,13,0E0,1,1,1,,6445,Succinyl-CoA ligase [ADP-forming] subunit beta
405,18132,ETNP_140,21.14,9,9,5.78E4,1,1,1,,9299,hypothetical protein
163,17937,ETNP_120,20.95,1,1,3.69E5,1,1,1,,140948,hypothetical protein
289,18070,ETNP14_120,20.90,2,2,3.22E5,1,1,1,,37240,Succinyl-diaminopimelate desuccinylase
74,17981,ETNP_160,20.90,1,1,4.94E6,1,1,2,,68948,Selenocysteine-specific elongation factor
548,18163,ETNP14_120,20.86,3,3,0E0,1,1,1,,31533,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
548,18164,NP_300,20.86,3,3,0E0,1,1,1,,31515,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
224,17995,ETNP_160,20.70,3,3,1.59E5,1,1,1,,29944,Shikimate dehydrogenase
224,17996,ETNP_120,20.70,3,3,1.59E5,1,1,1,,29944,Shikimate dehydrogenase
395,18071,ETNP14_68,20.62,1,1,2.37E4,1,1,1,,76201,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
552,18172,ETNP_120,20.53,15,15,9.12E4,1,1,1,,6121,hypothetical protein
552,18174,ETNP_120,20.53,3,3,9.12E4,1,1,1,,26680,Tyrosine-protein kinase MasK
554,18177,ETNP_70,20.47,2,2,7.42E5,1,1,1,,47456,Outer membrane protein assembly factor BamB
116,18088,ETNP14_68,20.35,2,2,2.02E6,1,1,2,,47426,hypothetical protein
400,18097,Flavovirus_FBAKDGPJ_12023,20.33,4,4,1.52E6,1,1,1,,24078,hypothetical protein
204,18183,ETNP_90,20.23,2,2,5.58E5,1,1,1,,61319,hypothetical protein
402,18110,ETNP_180,20.06,2,2,2.4E5,1,1,1,,46242,putative metallophosphoesterase YhaO
158,17984,WP_015349902,20.05,0,0,1.02E7,1,1,1,,575750,non-ribosomal peptide synthetase Myxococcus stipitatus
