Location,Date,Station_No,Time,DO,Temperature,DO_Saturation,Average_DO_saturation,delta_DO,delta_time,rate_of_change_DO,K,rate_of_change_DO_corrected
"Puerto Mosquito, Vieques",17-Nov-16,50231507,10:11,5.6,28.1,87.6,85.7,0.2,1.0,0.23,1.97,-0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231507,11:10,6.0,28.3,93.6,90.6,0.4,1.0,0.39,1.97,0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231507,12:15,6.0,28.7,93.1,93.4,-0.1,1.1,-0.06,1.97,-0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231507,13:19,6.5,29.0,102.6,97.9,0.6,1.1,0.53,1.97,0.5
"Puerto Mosquito, Vieques",17-Nov-16,50231507,14:14,7.0,29.2,111.1,106.9,0.5,0.9,0.57,1.97,0.7
"Puerto Mosquito, Vieques",17-Nov-16,50231507,15:14,7.1,29.2,111.6,111.4,0.0,1.0,0.03,1.97,0.3
"Puerto Mosquito, Vieques",17-Nov-16,50231507,16:14,7.0,29.2,110.9,111.3,-0.1,1.0,-0.05,1.97,0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231507,17:12,6.8,29.1,107.6,109.3,-0.2,1.0,-0.20,1.97,0.0
"Puerto Mosquito, Vieques",17-Nov-16,50231507,18:28,7.0,29.0,110.9,109.3,0.2,1.3,0.15,1.97,0.3
"Puerto Mosquito, Vieques",17-Nov-16,50231507,19:28,6.6,29.1,105.1,108.0,-0.4,1.0,-0.37,1.97,-0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231513,6:30,5.7,28.0,88.2,,,,,,
"Puerto Mosquito, Vieques",17-Nov-16,50231513,7:32,5.6,28.0,86.7,87.5,-0.1,1.0,-0.10,4.92,-0.7
"Puerto Mosquito, Vieques",17-Nov-16,50231513,8:22,5.7,28.0,89.3,88.0,0.2,0.8,0.18,4.92,-0.4
"Puerto Mosquito, Vieques",17-Nov-16,50231513,9:24,5.7,28.0,88.3,88.8,-0.1,1.0,-0.05,4.92,-0.6
"Puerto Mosquito, Vieques",17-Nov-16,50231513,10:23,5.5,28.1,85.9,87.1,-0.2,1.0,-0.18,4.92,-0.8
"Puerto Mosquito, Vieques",17-Nov-16,50231513,11:24,5.5,28.1,85.2,85.6,0.0,1.0,-0.02,4.92,-0.7
"Puerto Mosquito, Vieques",17-Nov-16,50231513,12:28,5.5,28.2,85.8,85.5,0.1,1.1,0.05,4.92,-0.7
"Puerto Mosquito, Vieques",17-Nov-16,50231513,13:34,5.8,28.4,90.3,88.1,0.3,1.1,0.24,4.92,-0.4
"Puerto Mosquito, Vieques",17-Nov-16,50231513,14:28,5.8,28.4,91.3,90.8,0.1,0.9,0.06,4.92,-0.4
"Puerto Mosquito, Vieques",17-Nov-16,50231513,15:27,6.6,28.7,103.6,97.5,0.8,1.0,0.78,4.92,0.7
"Puerto Mosquito, Vieques",17-Nov-16,50231513,16:25,6.5,28.7,102.5,103.1,-0.1,1.0,-0.07,4.92,0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231513,17:25,7.3,28.9,114.4,108.5,0.7,1.0,0.73,4.92,1.2
"Puerto Mosquito, Vieques",17-Nov-16,50231513,18:42,6.5,28.6,101.7,108.1,-0.8,1.3,-0.60,4.92,-0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231513,19:42,6.5,28.5,102.0,101.9,0.0,1.0,0.02,4.92,0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231520,6:38,3.5,28.1,55.3,,,,,,
"Puerto Mosquito, Vieques",17-Nov-16,50231520,7:41,4.5,27.9,69.2,62.3,0.9,1.1,0.88,5.66,-1.3
"Puerto Mosquito, Vieques",17-Nov-16,50231520,8:31,5.0,27.9,78.1,73.7,0.6,0.8,0.67,5.66,-0.8
"Puerto Mosquito, Vieques",17-Nov-16,50231520,9:33,5.8,27.9,90.1,84.1,0.8,1.0,0.76,5.66,-0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231520,10:32,6.1,28.1,95.6,92.9,0.3,1.0,0.35,5.66,-0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231520,11:35,6.8,28.3,106.0,100.8,0.7,1.1,0.63,5.66,0.7
"Puerto Mosquito, Vieques",17-Nov-16,50231520,12:37,7.1,28.6,111.0,108.5,0.3,1.0,0.27,5.66,0.8
"Puerto Mosquito, Vieques",17-Nov-16,50231520,13:44,7.3,28.9,111.4,111.2,0.2,1.1,0.21,5.66,0.9
"Puerto Mosquito, Vieques",17-Nov-16,50231520,14:38,7.9,28.9,124.6,118.0,0.6,0.9,0.66,5.66,1.7
"Puerto Mosquito, Vieques",17-Nov-16,50231520,15:37,7.8,29.0,122.5,123.6,-0.1,1.0,-0.13,5.66,1.2
"Puerto Mosquito, Vieques",17-Nov-16,50231520,16:34,6.0,29.0,94.7,108.6,-1.8,1.0,-1.88,5.66,-1.4
"Puerto Mosquito, Vieques",17-Nov-16,50231520,17:35,5.9,28.8,92.1,93.4,-0.1,1.0,-0.14,5.66,-0.5
"Puerto Mosquito, Vieques",17-Nov-16,50231520,18:53,5.7,28.8,89.2,90.7,-0.2,1.3,-0.15,5.66,-0.7
"Puerto Mosquito, Vieques",17-Nov-16,50231502,6:12,4.6,27.2,73.2,,,,,,
"Puerto Mosquito, Vieques",17-Nov-16,50231502,7:10,4.3,27.2,66.3,69.8,-0.3,1.0,-0.29,1.71,-0.3
"Puerto Mosquito, Vieques",17-Nov-16,50231502,8:02,4.3,27.1,65.6,66.0,0.0,0.9,-0.03,1.71,0.0
"Puerto Mosquito, Vieques",17-Nov-16,50231502,9:06,4.3,27.3,67.3,66.5,0.0,1.1,0.04,1.71,0.0
"Puerto Mosquito, Vieques",17-Nov-16,50231502,10:03,4.4,27.5,68.2,67.8,0.1,1.0,0.12,1.71,0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231502,11:05,5.0,27.8,76.4,72.3,0.5,1.0,0.50,1.71,0.5
"Puerto Mosquito, Vieques",17-Nov-16,50231502,12:08,5.2,28.2,80.1,78.3,0.2,1.1,0.20,1.71,0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231502,13:12,5.7,28.5,89.2,84.7,0.6,1.1,0.52,1.71,0.5
"Puerto Mosquito, Vieques",17-Nov-16,50231502,14:07,6.2,28.6,96.0,92.6,0.4,0.9,0.48,1.71,0.5
"Puerto Mosquito, Vieques",17-Nov-16,50231502,15:07,6.7,28.7,104.0,100.0,0.5,1.0,0.49,1.71,0.5
"Puerto Mosquito, Vieques",17-Nov-16,50231502,16:08,7.2,28.8,113.0,108.5,0.6,1.0,0.57,1.71,0.6
"Puerto Mosquito, Vieques",17-Nov-16,50231502,17:05,7.3,28.7,113.9,113.5,0.1,1.0,0.05,1.71,0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231502,18:18,7.3,28.6,113.4,113.7,0.0,1.2,-0.01,1.71,0.0
"Puerto Mosquito, Vieques",17-Nov-16,50231502,19:20,7.0,28.6,110.0,111.7,-0.2,1.0,-0.23,1.71,-0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231502,20:00,6.8,28.8,107.5,108.8,-0.2,0.7,-0.32,1.71,-0.5
