Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 366,Coverage (%) 367,Coverage (%) 368,Coverage (%) 369,Coverage (%) 370,Coverage (%) 371,Coverage (%) 372,Coverage (%) 373,Coverage (%) 374,Coverage (%) 376,Coverage (%) 377,Coverage (%) 379,Coverage (%) 388,Coverage (%) 380,Coverage (%) 375,Area 366,Area 367,Area 368,Area 369,Area 370,Area 371,Area 372,Area 373,Area 374,Area 376,Area 377,Area 379,Area 388,Area 380,Area 375,#Peptides,#Unique,#Spec 366,#Spec 367,#Spec 368,#Spec 369,#Spec 370,#Spec 371,#Spec 372,#Spec 373,#Spec 374,#Spec 376,#Spec 377,#Spec 379,#Spec 388,#Spec 380,#Spec 375,PTM,Avg. Mass,Description
98,123,SAR11,106.39,27,16,11,8,10,0,0,6,0,11,0,0,0,0,0,0,,,,,,,,,0E0,,,,,,,12,1,12,6,5,4,0,0,2,0,4,0,0,0,0,0,0,Carbamidomethylation,37561,Putative amino-acid ABC transporter-binding protein YhdW
101,115,ETNP14_120,106.35,25,16,12,7,13,0,0,6,0,8,0,0,2,0,0,0,,,,,,,,,,,,,,,,11,0,12,6,3,5,0,0,2,0,3,0,0,1,0,0,0,Carbamidomethylation,37703,General L-amino acid-binding periplasmic protein AapJ precursor
87,134,ETNP14_120,106.03,27,21,12,11,8,0,0,6,0,9,0,0,2,0,0,0,,,,,,,,,,,,,,,,12,0,14,6,6,3,0,0,2,0,3,0,0,1,0,0,0,Carbamidomethylation,37502,General L-amino acid-binding periplasmic protein AapJ precursor
175,150,WP_042850982,105.97,19,14,2,3,2,0,0,2,0,1,0,0,0,0,0,0,,,,,,,1.89E4,,,,,,,,,14,1,12,1,2,1,0,0,1,0,1,0,0,0,0,0,0,,57654,molecular chaperone GroEL Prochlorococcus sp MIT 0604
68,587,ETNP14_120,105.94,12,2,0,0,0,0,0,10,3,4,6,2,2,8,3,0,,,,,,,7.65E4,,,1.05E5,,,9.37E5,,,12,2,1,0,0,0,0,0,9,5,3,5,1,4,10,5,0,Carbamidomethylation,42383,Bacterial actin-related protein
11,924,NP_300,105.83,4,3,3,2,1,3,3,1,1,3,3,1,1,1,1,0,,,3.42E3,,,,,,,,,,,,,8,1,8,8,9,6,7,8,7,7,9,8,7,7,7,8,0,,96223,Chaperone protein ClpB
11,926,ETNP_120,105.83,4,3,3,2,1,3,3,1,1,3,3,1,1,1,1,0,,,3.42E3,,,,,,,,,,,,,8,1,8,8,9,6,7,8,7,7,9,8,7,7,7,8,0,,96281,Chaperone protein ClpB
195,200,ETNP_120,105.82,35,0,9,20,0,0,0,4,0,26,0,0,0,0,4,0,,3.24E5,1.79E6,,,,,,7.24E5,,,,,1.77E6,,8,7,0,2,4,0,0,0,2,0,7,0,0,0,0,1,0,Oxidation (M),19139,C-phycoerythrin class 1 subunit beta
195,201,ETNP_100,105.82,35,0,9,20,0,0,0,4,0,26,0,0,0,0,4,0,,3.24E5,1.79E6,,,,,,7.24E5,,,,,1.77E6,,8,7,0,2,4,0,0,0,2,0,7,0,0,0,0,1,0,Oxidation (M),19139,C-phycoerythrin class 1 subunit beta
195,202,ETNP_120,105.82,35,0,9,20,0,0,0,4,0,26,0,0,0,0,4,0,,3.24E5,1.79E6,,,,,,7.24E5,,,,,1.77E6,,8,7,0,2,4,0,0,0,2,0,7,0,0,0,0,1,0,Oxidation (M),19139,C-phycoerythrin class 1 subunit beta
118,323,ETNP14_120,105.79,32,6,12,0,6,0,0,26,17,32,6,0,5,6,6,0,,,,,,,,,,,,,,,,9,0,1,2,0,1,0,0,9,4,7,1,0,1,1,1,0,,16575,Ubiquitin family protein
21,1341,Fosmid_PROKKA_04417,105.34,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,0,,,,,,,,,,,,,,4.24E5,,9,1,6,6,8,6,6,6,9,7,8,7,7,7,7,9,0,,91632,Negative regulator of genetic competence ClpC/MecB
126,269,WP_011376129.1,105.23,49,39,31,31,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,,9.44E4,,,,,,,,,13,1,11,7,8,0,0,0,1,0,0,0,0,0,0,0,0,Carbamidomethylation,12506,AbrB family transcriptional regulator [Prochlorococcus marinus]
138,540,ABQ66991.1,105.14,15,5,2,0,0,0,0,15,5,5,5,0,0,3,0,0,,,,,,,3.76E4,,,,,,,,,13,1,2,1,0,0,0,0,13,2,2,3,0,0,1,0,0,,51479,ATP synthase F1  beta subunit [Sphingomonas wittichii RW1]
120,469,WP_006997680,105.10,18,5,2,0,0,0,0,17,5,6,7,0,0,3,0,0,,,,,,,,,,,,,,,,15,0,2,1,0,0,0,0,15,2,2,4,0,0,1,0,0,,50728,ATP synthase subunit beta Candidatus Pelagibacter ubique
120,470,ETNP_70,105.10,18,5,2,0,0,0,0,17,5,6,7,0,0,3,0,0,,,,,,,,,,,,,,,,15,0,2,1,0,0,0,0,15,2,2,4,0,0,1,0,0,,50888,ATP synthase subunit beta
278,140,ETNP_120,104.72,13,3,0,12,9,0,0,0,0,0,0,0,0,0,0,0,2.92E4,,1.1E5,,,,,,,,,,,,,6,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,,39611,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
275,133,ETNP_70,104.52,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61E5,,,,,,,,,,,,,,,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,52544,Ribulose bisphosphate carboxylase large chain
16,1260,WP_011399627,104.22,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,0,,,,,,,,,0E0,,,,,1.86E5,,8,1,6,6,8,6,6,6,7,7,10,7,7,7,7,10,0,,95932,chaperone protein ClpB Hahella chejuensis
164,399,NP_100,103.71,36,0,3,3,36,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,16,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),31289,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
114,275,ETNP_90,103.66,60,46,37,45,12,0,0,12,12,35,0,0,0,0,0,0,,,3.88E5,,,,,,3.39E5,,,,,,,10,1,9,4,8,1,0,0,1,1,5,0,0,0,0,0,0,,10831,10 kDa chaperonin
114,276,ETNP_100,103.66,60,46,37,45,12,0,0,12,12,35,0,0,0,0,0,0,,,3.88E5,,,,,,3.39E5,,,,,,,10,1,9,4,8,1,0,0,1,1,5,0,0,0,0,0,0,,10831,10 kDa chaperonin
114,277,ETNP_110,103.66,60,46,37,45,12,0,0,12,12,35,0,0,0,0,0,0,,,3.88E5,,,,,,3.39E5,,,,,,,10,1,9,4,8,1,0,0,1,1,5,0,0,0,0,0,0,,10831,10 kDa chaperonin
114,278,ETNP14_68,103.66,60,46,37,45,12,0,0,12,12,35,0,0,0,0,0,0,,,3.88E5,,,,,,3.39E5,,,,,,,10,1,9,4,8,1,0,0,1,1,5,0,0,0,0,0,0,,10831,10 kDa chaperonin
114,279,ETNP_160,103.66,53,40,32,39,10,0,0,10,10,31,0,0,0,0,0,0,,,3.88E5,,,,,,3.39E5,,,,,,,10,1,9,4,8,1,0,0,1,1,5,0,0,0,0,0,0,,12462,10 kDa chaperonin
114,280,ETNP_90,103.66,53,40,32,39,10,0,0,10,10,31,0,0,0,0,0,0,,,3.88E5,,,,,,3.39E5,,,,,,,10,1,9,4,8,1,0,0,1,1,5,0,0,0,0,0,0,,12462,10 kDa chaperonin
159,135,WP_011130576,103.61,20,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,10,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Carbamidomethylation; Oxidation (M),52573,ribulose bisphosphate carboxylase large chain Prochlorococcus marinus
159,136,WP_002805854.1,103.61,20,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,10,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Carbamidomethylation; Oxidation (M),52574,MULTISPECIES: ribulose bisphosphate carboxylase large chain [Prochlorococcus]
159,137,WP_002805854,103.61,20,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,10,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Carbamidomethylation; Oxidation (M),52574,ribulose bisphosphate carboxylase large chain Prochlorococcus
20,1311,ABF62863.1,103.60,3,1,1,1,1,1,1,2,1,3,2,1,1,1,1,0,,,,,,,6.29E4,,7.44E5,9.99E4,,,,,,8,2,6,6,8,6,6,6,8,7,9,8,7,7,7,8,0,,95490,ATPase AAA-2 [Ruegeria sp. TM1040]
179,124,ETNP_160,103.59,15,0,13,5,9,5,0,0,0,2,0,0,0,0,0,0,,,4.05E4,1.54E5,,,,,,,,,,,,9,1,0,7,3,5,2,0,0,0,1,0,0,0,0,0,0,Carbamidomethylation,57723,60 kDa chaperonin
179,125,NP_300,103.59,15,0,13,5,9,5,0,0,0,2,0,0,0,0,0,0,,,4.05E4,1.54E5,,,,,,,,,,,,9,1,0,7,3,5,2,0,0,0,1,0,0,0,0,0,0,Carbamidomethylation,57679,60 kDa chaperonin
179,126,ETNP_120,103.59,15,0,13,5,9,5,0,0,0,2,0,0,0,0,0,0,,,4.05E4,1.54E5,,,,,,,,,,,,9,1,0,7,3,5,2,0,0,0,1,0,0,0,0,0,0,Carbamidomethylation,57693,60 kDa chaperonin
13,1145,WP_011784398,103.41,3,3,2,2,2,2,2,3,3,3,2,3,2,2,3,0,1.33E6,,,,,,1.13E5,9.91E5,1.44E5,,1.09E5,,,8.61E5,,7,1,8,6,8,6,6,6,8,8,9,7,8,7,7,9,0,,95531,chaperone protein ClpB Marinobacter hydrocarbonoclasticus
23,1372,WP_015799284,103.32,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,0,,,,,,,,3.32E5,,,,,,,,8,1,6,6,8,6,6,6,8,8,8,7,7,7,7,8,0,,92638,ATP-dependent Clp protease ATP-binding protein Acidimicrobium ferrooxidans
25,1338,WP_012180368.1,103.20,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,,,,,,8.68E4,,,,,,2.02E5,,,8,2,6,6,8,6,6,6,8,7,8,7,7,7,8,8,0,Oxidation (M),93872,ATP-dependent chaperone ClpB [Salinispora arenicola]
236,290,CBE69529,103.11,8,0,5,3,3,1,0,0,1,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,7,0,0,4,2,2,1,0,0,1,2,0,0,0,0,0,0,,58603,60 kDa chaperonin Protein Cpn60 groEL protein Candidatus Methylomirabilis oxyfera
19,1374,ETNP14_120,102.96,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,,2.21E4,,,,,,,,1.41E5,,4.2E5,,,,8,2,6,7,8,6,6,6,7,7,8,8,7,8,7,8,0,,91720,ATP-dependent Clp protease ATP-binding subunit ClpC
22,1256,WP_040367737,102.80,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,0,,,,,,,,,,4.54E3,,,,,,8,1,6,6,8,6,6,6,7,7,8,9,7,7,7,8,0,Oxidation (M),96787,protein disaggregation chaperone Desulfuromonas acetoxidans
24,1441,WP_011824074.1,102.80,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,0,3.16E3,,,,7.82E4,,,,,,,,,,,8,2,7,6,8,6,7,6,7,7,8,7,7,7,7,8,0,,94922,ATP-dependent Clp protease ATP-binding subunit ClpC [Prochlorococcus marinus]
33,1102,ETNP14_68,102.59,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,,,,,,,,,,,,,,,7,0,6,6,9,6,6,6,7,7,8,7,7,7,7,8,0,,91958,ATP-dependent Clp protease ATP-binding subunit ClpC
26,1276,CAN98337.1,102.17,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,,,,,,,,,,,,,,,,7,0,6,6,8,6,6,6,7,7,8,7,7,7,7,9,0,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
46,549,WP_011130763,101.97,63,63,21,34,0,0,0,13,0,57,0,0,0,0,0,0,4.04E6,8.14E5,2.37E6,,,,2.31E4,,1.65E6,,,,,,,16,16,13,3,6,0,0,0,1,0,8,0,0,0,0,0,0,Oxidation (M),9826,DNA-binding protein Prochlorococcus
158,678,ETNP_100,101.87,38,6,22,6,0,0,0,22,5,20,8,0,0,5,5,0,,,,,,,,,3.63E4,,,,,,,11,1,1,4,1,0,0,0,6,1,4,1,0,0,1,1,0,,17714,hypothetical protein
258,159,ETNP_70,101.75,29,26,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2.86E6,,,,,,2.43E6,,,,,,,,,10,10,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,28604,hypothetical protein
28,1350,BAL59480,101.26,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,,,,,,2.73E6,,,,,,,,,,7,1,6,6,8,6,6,7,7,7,8,7,7,7,7,8,0,,100280,ATP-dependent Clp protease ATP-binding subunit ClpC Candidatus Acetothermus autotrophicum
30,1274,WP_012182355.1,101.15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,,1.05E5,,,,,,,,,,,,,7,1,6,6,9,6,6,6,7,7,8,7,7,7,7,8,0,,92767,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
30,1275,WP_012184686.1,101.15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,,1.05E5,,,,,,,,,,,,,7,1,6,6,9,6,6,6,7,7,8,7,7,7,7,8,0,,93571,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
30,1326,WP_010203998.1,101.15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,,1.05E5,,,,,,,,,,,,,7,1,6,6,9,6,6,6,7,7,8,7,7,7,7,8,0,,91159,ATP-dependent Clp protease ATP-binding protein [Salinibacterium sp. PAMC 21357]
30,1345,WP_009773213.1,101.15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,,1.05E5,,,,,,,,,,,,,7,1,6,6,9,6,6,6,7,7,8,7,7,7,7,8,0,,91110,ATP-dependent Clp protease ATP-binding protein [marine actinobacterium PHSC20C1]
34,1389,NP_300,101.05,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,,,,,,,,,,,,,,1.8E4,,7,1,6,6,8,6,6,6,7,7,8,7,7,7,7,9,0,,93528,ATP-dependent Clp protease ATP-binding subunit ClpC
34,1390,ETNP14_120,101.05,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,,,,,,,,,,,,,,1.8E4,,7,1,6,6,8,6,6,6,7,7,8,7,7,7,7,9,0,,93528,ATP-dependent Clp protease ATP-binding subunit ClpC
31,1501,AAV96505.1,101.01,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,7,0,6,6,8,6,6,6,7,8,8,7,7,7,7,8,0,,95825,ATP-dependent Clp protease  ATP-binding subunit ClpB [Ruegeria pomeroyi DSS-3]
31,1506,ABG30412.1,101.01,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,7,0,6,6,8,6,6,6,7,8,8,7,7,7,7,8,0,,95249,ATP-dependent Clp protease  ATP-binding subunit ClpB [Roseobacter denitrificans OCh 114]
29,1415,ETNP14_120,100.91,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,0,,,,,,,,,,1.05E4,,,,,,7,1,6,6,8,6,6,6,7,7,8,8,7,7,7,8,0,,96522,Chaperone protein ClpB
32,1487,ABQ69477.1,100.84,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,,,,,,,,2.98E4,,,,,,,7,1,6,6,8,6,6,6,7,7,9,7,7,7,7,8,0,,93750,ATPase AAA-2 domain protein [Sphingomonas wittichii RW1]
27,1498,ETNP_120,100.75,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,0,,,,,,,,,2.33E4,,,,,,,7,1,6,6,8,6,6,6,7,7,9,7,7,7,7,8,0,,96629,Chaperone protein ClpB
27,1499,ETNP_160,100.75,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,0,,,,,,,,,2.33E4,,,,,,,7,1,6,6,8,6,6,6,7,7,9,7,7,7,7,8,0,,96629,Chaperone protein ClpB
121,643,EAQ04302.1,99.63,21,5,2,0,0,0,0,19,3,6,8,0,0,4,0,0,,,,,,,,,,,,,,,,16,0,2,1,0,0,0,0,15,1,2,4,0,0,2,0,0,Oxidation (M),49849,ATP synthase subunit B [Pseudooceanicola batsensis HTCC2597]
122,662,WP_014102234,99.32,20,5,2,0,0,0,0,20,3,5,5,0,0,4,0,0,,,,,,,,,,,,,,,,16,0,2,1,0,0,0,0,16,1,2,3,0,0,2,0,0,,50782,F0F1 ATP synthase subunit beta Micavibrio aeruginosavorus
254,567,WP_012844412,99.24,8,0,6,3,2,1,0,0,0,2,0,0,0,2,0,0,,,,,,,,,,,,,,,,7,0,0,5,2,1,1,0,0,0,1,0,0,0,1,0,0,,57666,molecular chaperone GroEL Rhodothermus marinus
260,1342,ADB27609,99.19,36,16,0,16,0,0,0,33,20,16,0,0,0,0,0,0,,,,,,,6.48E5,2.67E5,,,,,,,,5,1,1,0,2,0,0,0,3,2,3,0,0,0,0,0,0,Carbamidomethylation,8798,photosystem I reaction center subunit VII chloroplast  Thalassiosira oceanica CCMP1005
260,1343,ADB27560,99.19,36,16,0,16,0,0,0,33,20,16,0,0,0,0,0,0,,,,,,,6.48E5,2.67E5,,,,,,,,5,1,1,0,2,0,0,0,3,2,3,0,0,0,0,0,0,Carbamidomethylation,8798,photosystem I reaction center subunit VII chloroplast  Thalassiosira oceanica CCMP1005
62,621,ETNP_60,98.56,42,17,16,0,0,0,0,41,33,17,7,0,14,13,24,0,,,,,,,5.92E5,,,,,,,,,14,1,6,6,0,0,0,0,10,10,3,2,0,2,2,4,0,,13283,Core histone H2A/H2B/H3/H4
220,305,NP_300,98.22,22,0,13,10,22,13,0,0,0,0,0,0,0,0,0,0,,1.74E5,5.36E5,3.04E6,1.16E6,,,,,,,,,,,5,5,0,3,2,6,3,0,0,0,0,0,0,0,0,0,0,,23421,Rhodanese-like domain protein
220,306,ETNP_300,98.22,22,0,13,10,22,13,0,0,0,0,0,0,0,0,0,0,,1.74E5,5.36E5,3.04E6,1.16E6,,,,,,,,,,,5,5,0,3,2,6,3,0,0,0,0,0,0,0,0,0,0,,23421,Rhodanese-like domain protein
220,307,ETNP_180,98.22,22,0,13,10,22,13,0,0,0,0,0,0,0,0,0,0,,1.74E5,5.36E5,3.04E6,1.16E6,,,,,,,,,,,5,5,0,3,2,6,3,0,0,0,0,0,0,0,0,0,0,,23421,Rhodanese-like domain protein
220,308,ETNP_120,98.22,22,0,13,10,22,13,0,0,0,0,0,0,0,0,0,0,,1.74E5,5.36E5,3.04E6,1.16E6,,,,,,,,,,,5,5,0,3,2,6,3,0,0,0,0,0,0,0,0,0,0,,23421,Rhodanese-like domain protein
220,309,ETNP_120,98.22,22,0,13,10,22,13,0,0,0,0,0,0,0,0,0,0,,1.74E5,5.36E5,3.04E6,1.16E6,,,,,,,,,,,5,5,0,3,2,6,3,0,0,0,0,0,0,0,0,0,0,,23421,Rhodanese-like domain protein
220,310,ETNP_160,98.22,22,0,13,10,22,13,0,0,0,0,0,0,0,0,0,0,,1.74E5,5.36E5,3.04E6,1.16E6,,,,,,,,,,,5,5,0,3,2,6,3,0,0,0,0,0,0,0,0,0,0,,23421,Rhodanese-like domain protein
73,841,ETNP_70,97.68,21,15,11,0,0,0,0,17,12,10,6,0,5,9,11,0,,,,,,,,,,,,,,,,10,0,6,3,0,0,0,0,9,10,3,3,0,1,2,4,0,,19618,Core histone H2A/H2B/H3/H4
162,389,WP_037979861,97.35,27,15,21,27,0,0,0,0,0,6,0,0,0,0,0,0,,,1.63E4,,,,,,,,,,,,,9,1,7,7,5,0,0,0,0,0,1,0,0,0,0,0,0,,13031,AbrB family transcriptional regulator Synechococcus sp WH 5701
55,462,WP_011130818,96.49,57,57,26,27,12,0,0,12,12,20,0,0,0,0,0,0,,,,,,,,,,,,,,,,11,0,11,3,5,1,0,0,1,1,4,0,0,0,0,0,0,,10889,molecular chaperone GroES Prochlorococcus
55,463,ETNP_90,96.49,57,57,26,27,12,0,0,12,12,20,0,0,0,0,0,0,,,,,,,,,,,,,,,,11,0,11,3,5,1,0,0,1,1,4,0,0,0,0,0,0,,10889,10 kDa chaperonin
305,930,WP_038651783,96.29,19,14,4,0,0,0,0,8,0,0,0,0,0,0,0,0,,7.84E4,,,,,,,,,,,,,,6,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Oxidation (M),18857,carboxysome shell protein Prochlorococcus sp MIT 0801
305,931,WP_011823339.1,96.29,19,14,4,0,0,0,0,8,0,0,0,0,0,0,0,0,,7.84E4,,,,,,,,,,,,,,6,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Oxidation (M),18864,carboxysome shell protein [Prochlorococcus marinus]
152,695,XP_003056131,96.00,34,25,6,0,6,0,0,13,13,9,16,5,0,0,5,0,,,,,,,,,,,,,,,,9,0,5,1,0,1,0,0,2,3,4,3,1,0,0,1,0,Oxidation (M),16706,calmodulin  Micromonas pusilla CCMP1545
63,707,EJK63020,95.77,15,1,1,0,0,0,0,8,5,1,9,1,7,3,8,0,,,,,,,8.48E3,,,,,,,,,16,1,1,1,0,0,0,0,7,5,1,8,1,8,5,8,0,Carbamidomethylation; Oxidation (M),68429,hypothetical protein THAOC_16346  Thalassiosira oceanica
94,711,ETNP_100,95.75,39,8,11,2,2,0,0,24,8,21,7,10,0,6,0,0,,,,,,,,8.02E5,1.58E6,,,,,,,15,2,2,4,2,1,0,0,8,3,7,2,3,0,2,0,0,Oxidation (M),30242,hypothetical protein
94,712,ETNP_120,95.75,35,7,9,2,2,0,0,21,7,19,6,9,0,5,0,0,,,,,,,,8.02E5,1.58E6,,,,,,,15,2,2,4,2,1,0,0,8,3,7,2,3,0,2,0,0,Oxidation (M),34262,hypothetical protein
180,175,ETNP_180,95.63,15,0,13,5,9,5,0,0,0,2,0,0,0,0,0,0,,,1.21E5,1.27E5,,,,,,,,,,,,9,1,0,7,3,5,2,0,0,0,1,0,0,0,0,0,0,Carbamidomethylation,57711,60 kDa chaperonin
180,176,ETNP_120,95.63,15,0,13,5,9,5,0,0,0,2,0,0,0,0,0,0,,,1.21E5,1.27E5,,,,,,,,,,,,9,1,0,7,3,5,2,0,0,0,1,0,0,0,0,0,0,Carbamidomethylation,57725,60 kDa chaperonin
290,466,WP_038654074,95.11,14,8,2,0,0,0,0,4,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,8,0,4,1,0,0,0,0,3,0,0,0,0,1,0,0,0,,52254,ATP F0F1 synthase subunit beta Prochlorococcus sp MIT 0801
290,467,WP_011824380.1,95.11,14,8,2,0,0,0,0,4,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,8,0,4,1,0,0,0,0,3,0,0,0,0,1,0,0,0,,52209,ATP synthase subunit beta [Prochlorococcus marinus]
288,455,WP_011819053,94.95,14,10,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,8,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,,52183,ATP synthase subunit beta Prochlorococcus
288,456,WP_011133067.1,94.95,14,10,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,8,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,,51980,ATP synthase subunit beta [Prochlorococcus marinus]
288,457,WP_011377074.1,94.95,14,10,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,8,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,,52199,ATP synthase subunit beta [Prochlorococcus marinus]
240,920,ETNP_140,94.43,10,3,3,3,0,1,0,0,1,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,7,0,1,3,2,0,1,0,0,1,4,0,0,0,0,0,0,,57639,60 kDa chaperonin 5
240,921,ETNP_180,94.43,10,3,3,3,0,1,0,0,1,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,7,0,1,3,2,0,1,0,0,1,4,0,0,0,0,0,0,,57639,60 kDa chaperonin 5
240,922,ETNP_160,94.43,10,3,3,3,0,1,0,0,1,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,7,0,1,3,2,0,1,0,0,1,4,0,0,0,0,0,0,,57639,60 kDa chaperonin 5
231,625,NP_85,94.14,25,0,16,17,0,0,0,0,0,25,0,0,0,0,0,0,,2.41E5,4.85E5,,,,,,5.72E5,,,,,,,9,9,0,3,6,0,0,0,0,0,3,0,0,0,0,0,0,Oxidation (M),18036,Cytochrome c-550 precursor
231,626,ETNP14_68,94.14,25,0,16,17,0,0,0,0,0,25,0,0,0,0,0,0,,2.41E5,4.85E5,,,,,,5.72E5,,,,,,,9,9,0,3,6,0,0,0,0,0,3,0,0,0,0,0,0,Oxidation (M),18007,Cytochrome c-550 precursor
231,627,ETNP_100,94.14,25,0,16,17,0,0,0,0,0,25,0,0,0,0,0,0,,2.41E5,4.85E5,,,,,,5.72E5,,,,,,,9,9,0,3,6,0,0,0,0,0,3,0,0,0,0,0,0,Oxidation (M),18007,Cytochrome c-550 precursor
231,628,ETNP_100,94.14,35,0,23,24,0,0,0,0,0,35,0,0,0,0,0,0,,2.41E5,4.85E5,,,,,,5.72E5,,,,,,,9,9,0,3,6,0,0,0,0,0,3,0,0,0,0,0,0,Oxidation (M),12818,Cytochrome c-550 precursor
231,629,ETNP_110,94.14,35,0,23,24,0,0,0,0,0,35,0,0,0,0,0,0,,2.41E5,4.85E5,,,,,,5.72E5,,,,,,,9,9,0,3,6,0,0,0,0,0,3,0,0,0,0,0,0,Oxidation (M),12818,Cytochrome c-550 precursor
231,630,ETNP_110,94.14,35,0,23,24,0,0,0,0,0,35,0,0,0,0,0,0,,2.41E5,4.85E5,,,,,,5.72E5,,,,,,,9,9,0,3,6,0,0,0,0,0,3,0,0,0,0,0,0,Oxidation (M),12818,Cytochrome c-550 precursor
238,297,WP_012564402,94.00,9,6,4,5,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,,57667,molecular chaperone GroEL Oligotropha carboxidovorans
252,345,WP_013046767,93.75,8,4,4,2,4,1,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,2,3,1,2,1,0,0,0,2,0,0,0,0,0,0,,58177,molecular chaperone GroEL Candidatus Puniceispirillum marinum
301,890,ETNP_160,93.64,8,0,2,6,2,1,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,6,0,0,2,3,1,1,0,0,0,2,0,0,0,0,0,0,,58077,60 kDa chaperonin
190,959,WP_012519826,93.48,22,2,2,0,0,0,0,3,2,0,0,0,21,0,2,0,,,,,,,,,,,,1.44E6,,,,11,3,1,1,0,0,0,0,2,1,0,0,0,10,0,1,0,Oxidation (M),43224,elongation factor Tu Alteromonas mediterranea
190,960,ETNP14_120,93.48,22,2,2,0,0,0,0,3,2,0,0,0,21,0,2,0,,,,,,,,,,,,1.44E6,,,,11,3,1,1,0,0,0,0,2,1,0,0,0,10,0,1,0,Oxidation (M),43251,Elongation factor Tu
213,185,ETNP_120,93.43,13,2,7,2,7,2,0,0,0,6,0,0,0,0,0,0,,,,,,,,,6.22E4,,,,,,,8,1,1,4,1,4,1,0,0,0,3,0,0,0,0,0,0,,57826,60 kDa chaperonin
