crosskingdom,superkingdom,kingdom,subkingdom,phylum,class,order,family,genus,species,subspecies,species+sub,# crosskingdom,# superkingdom,# kingdom,# subkingdom,# phylum,# class,# order,# family,# genus,# species,# subspecies,# total
8,,,,,,,,,12,15,12,,,,,,,,,,,,
8,,,,,,,,,12,12,12,,,,,,,,,,,,
6,,,,,,,,,10,10,10,,,,,,,,,,,,
5,,,,,,,,,11,12,11,,,,,,,,,,,,
6,,,,,,,,,9,13,9,,,,,,,,,,,,
9,,,,,,,,,9,13,9,,,,,,,,,,,,
8,,,,,,,,,13,11,13,,,,,,,,,,,,
8,,,,,,,,,11,10,11,,,,,,,,,,,,
7,,,,,,,,,9,10,9,,,,,,,,,,,,
8,,,,,,,,,12,9,12,,,,,,,,,,,,
5,,,,,,,,,11,12,11,,,,,,,,,,,,
8,,,,,,,,,9,13,9,,,,,,,,,,,,
7,,,,,,,,,12,11,12,,,,,,,,,,,,
8,,,,,,,,,17,11,17,,,,,,,,,,,,
7,,,,,,,,,13,14,13,,,,,,,,,,,,
7,,,,,,,,,15,15,15,,,,,,,,,,,,
7,,,,,,,,,8,12,8,,,,,,,,,,,,
8,,,,,,,,,11,12,11,,,,,,,,,,,,
7,,,,,,,,,9,9,9,,,,,,,,,,,,
7,,,,,,,,,7,11,7,,,,,,,,,,,,
7,,,,,,,,,18,8,18,,,,,,,,,,,,
5,,,,,,,,,10,11,10,,,,,,,,,,,,
7,,,,,,,,,12,10,12,,,,,,,,,,,,
7,,,,,,,,,10,13,10,,,,,,,,,,,,
8,,,,,,,,,11,18,11,,,,,,,,,,,,
5,,,,,,,,,9,11,9,,,,,,,,,,,,
7,,,,,,,,,8,11,8,,,,,,,,,,,,
8,,,,,,,,,11,10,11,,,,,,,,,,,,
8,,,,,,,,,9,9,9,,,,,,,,,,,,
8,,,,,,,,,12,8,12,,,,,,,,,,,,
6,,,,,,,,,15,12,15,,,,,,,,,,,,
7,,,,,,,,,15,12,15,,,,,,,,,,,,
6,,,,,,,,,13,9,13,,,,,,,,,,,,
5,,,,,,,,,15,10,15,,,,,,,,,,,,
7,,,,,,,,,13,13,13,,,,,,,,,,,,
9,,,,,,,,,15,9,15,,,,,,,,,,,,
7,,,,,,,,,10,9,10,,,,,,,,,,,,
5,,,,,,,,,17,13,17,,,,,,,,,,,,
7,,,,,,,,,18,15,18,,,,,,,,,,,,
9,,,,,,,,,12,12,12,,,,,,,,,,,,
5,,,,,,,,,12,16,12,,,,,,,,,,,,
8,,,,,,,,,15,14,15,,,,,,,,,,,,
8,,,,,,,,,15,12,15,,,,,,,,,,,,
7,,,,,,,,,9,10,9,,,,,,,,,,,,
6,,,,,,,,,16,9,16,,,,,,,,,,,,
7,,,,,,,,,12,10,12,,,,,,,,,,,,
5,,,,,,,,,12,11,12,,,,,,,,,,,,
7,,,,,,,,,13,19,13,,,,,,,,,,,,
7,,,,,,,,,12,10,12,,,,,,,,,,,,
7,,,,,,,,,9,8,9,,,,,,,,,,,,
8,,,,,,,,,11,19,11,,,,,,,,,,,,
5,,,,,,,,,11,12,11,,,,,,,,,,,,
6,,,,,,,,,12,12,12,,,,,,,,,,,,
8,,,,,,,,,13,10,13,,,,,,,,,,,,
5,,,,,,,,,9,10,9,,,,,,,,,,,,
7,,,,,,,,,11,21,11,,,,,,,,,,,,
7,,,,,,,,,12,15,12,,,,,,,,,,,,
7,,,,,,,,,16,8,16,,,,,,,,,,,,
7,,,,,,,,,16,8,16,,,,,,,,,,,,
7,,,,,,,,,11,8,11,,,,,,,,,,,,
7,,,,,,,,,14,11,14,,,,,,,,,,,,
7,,,,,,,,,16,11,16,,,,,,,,,,,,
12,,,,,,,,,13,8,13,,,,,,,,,,,,
5,,,,,,,,,9,10,9,,,,,,,,,,,,
7,,,,,,,,,22,10,22,,,,,,,,,,,,
7,,,,,,,,,8,13,8,,,,,,,,,,,,
8,,,,,,,,,22,12,22,,,,,,,,,,,,
9,,,,,,,,,15,10,15,,,,,,,,,,,,
7,,,,,,,,,8,13,8,,,,,,,,,,,,
7,,,,,,,,,11,10,11,,,,,,,,,,,,
7,,,,,,,,,10,10,10,,,,,,,,,,,,
8,,,,,,,,,9,11,9,,,,,,,,,,,,
5,,,,,,,,,11,18,11,,,,,,,,,,,,
8,,,,,,,,,11,13,11,,,,,,,,,,,,
8,,,,,,,,,11,12,11,,,,,,,,,,,,
7,,,,,,,,,18,13,18,,,,,,,,,,,,
8,,,,,,,,,13,11,13,,,,,,,,,,,,
8,,,,,,,,,9,17,9,,,,,,,,,,,,
7,,,,,,,,,10,9,10,,,,,,,,,,,,
7,,,,,,,,,7,17,7,,,,,,,,,,,,
8,,,,,,,,,8,12,8,,,,,,,,,,,,
7,,,,,,,,,7,10,7,,,,,,,,,,,,
8,,,,,,,,,8,15,8,,,,,,,,,,,,
7,,,,,,,,,8,13,8,,,,,,,,,,,,
12,,,,,,,,,7,8,7,,,,,,,,,,,,
9,,,,,,,,,7,7,7,,,,,,,,,,,,
7,,,,,,,,,7,11,7,,,,,,,,,,,,
7,,,,,,,,,8,8,8,,,,,,,,,,,,
8,,,,,,,,,8,12,8,,,,,,,,,,,,
8,,,,,,,,,7,11,7,,,,,,,,,,,,
7,,,,,,,,,9,12,9,,,,,,,,,,,,
8,,,,,,,,,10,15,10,,,,,,,,,,,,
8,,,,,,,,,9,12,9,,,,,,,,,,,,
6,,,,,,,,,7,12,7,,,,,,,,,,,,
7,,,,,,,,,9,18,9,,,,,,,,,,,,
7,,,,,,,,,8,9,8,,,,,,,,,,,,
7,,,,,,,,,9,10,9,,,,,,,,,,,,
7,,,,,,,,,8,12,8,,,,,,,,,,,,
7,,,,,,,,,9,13,9,,,,,,,,,,,,
12,,,,,,,,,8,16,8,,,,,,,,,,,,
5,,,,,,,,,7,12,7,,,,,,,,,,,,
16,,,,,,,,,9,13,9,,,,,,,,,,,,
7,,,,,,,,,9,10,9,,,,,,,,,,,,
7,,,,,,,,,9,13,9,,,,,,,,,,,,
8,,,,,,,,,8,17,8,,,,,,,,,,,,
7,,,,,,,,,7,15,7,,,,,,,,,,,,
7,,,,,,,,,9,17,9,,,,,,,,,,,,
11,,,,,,,,,9,12,9,,,,,,,,,,,,
10,,,,,,,,,8,9,8,,,,,,,,,,,,
10,,,,,,,,,,14,7,,,,,,,,,,,,
9,,,,,,,,,,15,8,,,,,,,,,,,,
7,,,,,,,,,,8,10,,,,,,,,,,,,
5,,,,,,,,,,10,10,,,,,,,,,,,,
7,,,,,,,,,,12,11,,,,,,,,,,,,
7,,,,,,,,,,18,10,,,,,,,,,,,,
7,,,,,,,,,,14,10,,,,,,,,,,,,
7,,,,,,,,,,14,9,,,,,,,,,,,,
7,,,,,,,,,,11,11,,,,,,,,,,,,
7,,,,,,,,,,14,12,,,,,,,,,,,,
8,,,,,,,,,,13,11,,,,,,,,,,,,
7,,,,,,,,,,11,8,,,,,,,,,,,,
8,,,,,,,,,,8,9,,,,,,,,,,,,
9,,,,,,,,,,11,13,,,,,,,,,,,,
7,,,,,,,,,,15,8,,,,,,,,,,,,
7,,,,,,,,,,17,10,,,,,,,,,,,,
8,,,,,,,,,,16,10,,,,,,,,,,,,
10,,,,,,,,,,8,8,,,,,,,,,,,,
6,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,14,11,,,,,,,,,,,,
8,,,,,,,,,,10,12,,,,,,,,,,,,
7,,,,,,,,,,13,11,,,,,,,,,,,,
6,,,,,,,,,,8,11,,,,,,,,,,,,
8,,,,,,,,,,11,13,,,,,,,,,,,,
8,,,,,,,,,,17,10,,,,,,,,,,,,
5,,,,,,,,,,13,8,,,,,,,,,,,,
7,,,,,,,,,,14,11,,,,,,,,,,,,
7,,,,,,,,,,11,11,,,,,,,,,,,,
7,,,,,,,,,,7,13,,,,,,,,,,,,
8,,,,,,,,,,8,9,,,,,,,,,,,,
9,,,,,,,,,,10,12,,,,,,,,,,,,
8,,,,,,,,,,10,10,,,,,,,,,,,,
8,,,,,,,,,,11,9,,,,,,,,,,,,
8,,,,,,,,,,10,10,,,,,,,,,,,,
7,,,,,,,,,,10,11,,,,,,,,,,,,
7,,,,,,,,,,9,8,,,,,,,,,,,,
7,,,,,,,,,,11,10,,,,,,,,,,,,
10,,,,,,,,,,12,9,,,,,,,,,,,,
12,,,,,,,,,,11,11,,,,,,,,,,,,
5,,,,,,,,,,8,10,,,,,,,,,,,,
6,,,,,,,,,,9,9,,,,,,,,,,,,
8,,,,,,,,,,13,8,,,,,,,,,,,,
6,,,,,,,,,,8,12,,,,,,,,,,,,
5,,,,,,,,,,10,8,,,,,,,,,,,,
8,,,,,,,,,,10,11,,,,,,,,,,,,
7,,,,,,,,,,8,13,,,,,,,,,,,,
7,,,,,,,,,,9,15,,,,,,,,,,,,
8,,,,,,,,,,11,13,,,,,,,,,,,,
6,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,11,8,,,,,,,,,,,,
7,,,,,,,,,,11,13,,,,,,,,,,,,
7,,,,,,,,,,13,8,,,,,,,,,,,,
7,,,,,,,,,,10,10,,,,,,,,,,,,
7,,,,,,,,,,8,8,,,,,,,,,,,,
7,,,,,,,,,,11,8,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
6,,,,,,,,,,13,8,,,,,,,,,,,,
7,,,,,,,,,,9,11,,,,,,,,,,,,
7,,,,,,,,,,12,11,,,,,,,,,,,,
6,,,,,,,,,,10,8,,,,,,,,,,,,
5,,,,,,,,,,9,11,,,,,,,,,,,,
7,,,,,,,,,,10,10,,,,,,,,,,,,
8,,,,,,,,,,11,9,,,,,,,,,,,,
7,,,,,,,,,,8,10,,,,,,,,,,,,
5,,,,,,,,,,10,12,,,,,,,,,,,,
7,,,,,,,,,,9,11,,,,,,,,,,,,
6,,,,,,,,,,11,15,,,,,,,,,,,,
8,,,,,,,,,,10,11,,,,,,,,,,,,
9,,,,,,,,,,9,12,,,,,,,,,,,,
8,,,,,,,,,,8,10,,,,,,,,,,,,
7,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,8,8,,,,,,,,,,,,
8,,,,,,,,,,11,9,,,,,,,,,,,,
8,,,,,,,,,,13,8,,,,,,,,,,,,
7,,,,,,,,,,15,9,,,,,,,,,,,,
9,,,,,,,,,,13,14,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
8,,,,,,,,,,8,12,,,,,,,,,,,,
7,,,,,,,,,,13,11,,,,,,,,,,,,
6,,,,,,,,,,8,9,,,,,,,,,,,,
9,,,,,,,,,,10,8,,,,,,,,,,,,
11,,,,,,,,,,8,10,,,,,,,,,,,,
8,,,,,,,,,,8,9,,,,,,,,,,,,
8,,,,,,,,,,9,8,,,,,,,,,,,,
7,,,,,,,,,,8,14,,,,,,,,,,,,
9,,,,,,,,,,11,12,,,,,,,,,,,,
6,,,,,,,,,,11,12,,,,,,,,,,,,
10,,,,,,,,,,8,11,,,,,,,,,,,,
9,,,,,,,,,,11,10,,,,,,,,,,,,
8,,,,,,,,,,10,10,,,,,,,,,,,,
6,,,,,,,,,,9,9,,,,,,,,,,,,
5,,,,,,,,,,10,11,,,,,,,,,,,,
6,,,,,,,,,,12,12,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
7,,,,,,,,,,15,16,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
7,,,,,,,,,,12,11,,,,,,,,,,,,
11,,,,,,,,,,10,9,,,,,,,,,,,,
7,,,,,,,,,,9,8,,,,,,,,,,,,
7,,,,,,,,,,8,11,,,,,,,,,,,,
7,,,,,,,,,,9,11,,,,,,,,,,,,
8,,,,,,,,,,8,11,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
8,,,,,,,,,,14,9,,,,,,,,,,,,
6,,,,,,,,,,10,12,,,,,,,,,,,,
5,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
8,,,,,,,,,,9,10,,,,,,,,,,,,
6,,,,,,,,,,8,14,,,,,,,,,,,,
10,,,,,,,,,,10,9,,,,,,,,,,,,
6,,,,,,,,,,9,9,,,,,,,,,,,,
5,,,,,,,,,,8,9,,,,,,,,,,,,
10,,,,,,,,,,14,9,,,,,,,,,,,,
7,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,12,8,,,,,,,,,,,,
5,,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,,10,8,,,,,,,,,,,,
6,,,,,,,,,,10,9,,,,,,,,,,,,
11,,,,,,,,,,9,11,,,,,,,,,,,,
8,,,,,,,,,,11,9,,,,,,,,,,,,
8,,,,,,,,,,12,11,,,,,,,,,,,,
6,,,,,,,,,,9,9,,,,,,,,,,,,
8,,,,,,,,,,16,7,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
6,,,,,,,,,,11,11,,,,,,,,,,,,
7,,,,,,,,,,9,9,,,,,,,,,,,,
7,,,,,,,,,,8,13,,,,,,,,,,,,
10,,,,,,,,,,11,8,,,,,,,,,,,,
8,,,,,,,,,,11,11,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
7,,,,,,,,,,10,12,,,,,,,,,,,,
7,,,,,,,,,,9,12,,,,,,,,,,,,
5,,,,,,,,,,12,10,,,,,,,,,,,,
10,,,,,,,,,,9,9,,,,,,,,,,,,
6,,,,,,,,,,9,11,,,,,,,,,,,,
6,,,,,,,,,,10,11,,,,,,,,,,,,
6,,,,,,,,,,14,10,,,,,,,,,,,,
6,,,,,,,,,,9,12,,,,,,,,,,,,
12,,,,,,,,,,9,10,,,,,,,,,,,,
14,,,,,,,,,,9,12,,,,,,,,,,,,
9,,,,,,,,,,9,8,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
7,,,,,,,,,,8,12,,,,,,,,,,,,
5,,,,,,,,,,10,11,,,,,,,,,,,,
6,,,,,,,,,,8,9,,,,,,,,,,,,
6,,,,,,,,,,9,8,,,,,,,,,,,,
8,,,,,,,,,,11,13,,,,,,,,,,,,
6,,,,,,,,,,9,9,,,,,,,,,,,,
7,,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,,9,11,,,,,,,,,,,,
14,,,,,,,,,,7,11,,,,,,,,,,,,
6,,,,,,,,,,10,13,,,,,,,,,,,,
10,,,,,,,,,,11,12,,,,,,,,,,,,
7,,,,,,,,,,9,14,,,,,,,,,,,,
6,,,,,,,,,,13,11,,,,,,,,,,,,
6,,,,,,,,,,8,10,,,,,,,,,,,,
7,,,,,,,,,,11,10,,,,,,,,,,,,
8,,,,,,,,,,9,12,,,,,,,,,,,,
7,,,,,,,,,,12,8,,,,,,,,,,,,
9,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,10,11,,,,,,,,,,,,
7,,,,,,,,,,9,7,,,,,,,,,,,,
8,,,,,,,,,,11,10,,,,,,,,,,,,
8,,,,,,,,,,11,11,,,,,,,,,,,,
7,,,,,,,,,,10,12,,,,,,,,,,,,
7,,,,,,,,,,12,10,,,,,,,,,,,,
6,,,,,,,,,,10,10,,,,,,,,,,,,
5,,,,,,,,,,12,9,,,,,,,,,,,,
5,,,,,,,,,,8,9,,,,,,,,,,,,
7,,,,,,,,,,10,8,,,,,,,,,,,,
6,,,,,,,,,,12,13,,,,,,,,,,,,
8,,,,,,,,,,11,8,,,,,,,,,,,,
6,,,,,,,,,,9,12,,,,,,,,,,,,
8,,,,,,,,,,8,10,,,,,,,,,,,,
8,,,,,,,,,,13,12,,,,,,,,,,,,
5,,,,,,,,,,9,9,,,,,,,,,,,,
6,,,,,,,,,,10,11,,,,,,,,,,,,
7,,,,,,,,,,11,12,,,,,,,,,,,,
6,,,,,,,,,,11,15,,,,,,,,,,,,
7,,,,,,,,,,13,9,,,,,,,,,,,,
8,,,,,,,,,,12,11,,,,,,,,,,,,
7,,,,,,,,,,14,10,,,,,,,,,,,,
5,,,,,,,,,,11,9,,,,,,,,,,,,
7,,,,,,,,,,10,11,,,,,,,,,,,,
7,,,,,,,,,,10,11,,,,,,,,,,,,
8,,,,,,,,,,12,13,,,,,,,,,,,,
5,,,,,,,,,,8,9,,,,,,,,,,,,
13,,,,,,,,,,9,13,,,,,,,,,,,,
6,,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,,7,12,,,,,,,,,,,,
7,,,,,,,,,,10,11,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
6,,,,,,,,,,12,10,,,,,,,,,,,,
7,,,,,,,,,,10,13,,,,,,,,,,,,
7,,,,,,,,,,10,9,,,,,,,,,,,,
8,,,,,,,,,,9,9,,,,,,,,,,,,
8,,,,,,,,,,9,12,,,,,,,,,,,,
7,,,,,,,,,,8,11,,,,,,,,,,,,
8,,,,,,,,,,13,11,,,,,,,,,,,,
6,,,,,,,,,,8,12,,,,,,,,,,,,
15,,,,,,,,,,12,10,,,,,,,,,,,,
6,,,,,,,,,,10,10,,,,,,,,,,,,
7,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,9,8,,,,,,,,,,,,
7,,,,,,,,,,11,12,,,,,,,,,,,,
7,,,,,,,,,,12,12,,,,,,,,,,,,
7,,,,,,,,,,15,14,,,,,,,,,,,,
5,,,,,,,,,,9,9,,,,,,,,,,,,
7,,,,,,,,,,11,11,,,,,,,,,,,,
6,,,,,,,,,,10,9,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
8,,,,,,,,,,11,9,,,,,,,,,,,,
8,,,,,,,,,,11,10,,,,,,,,,,,,
8,,,,,,,,,,13,14,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
5,,,,,,,,,,13,13,,,,,,,,,,,,
7,,,,,,,,,,10,9,,,,,,,,,,,,
6,,,,,,,,,,12,14,,,,,,,,,,,,
7,,,,,,,,,,11,8,,,,,,,,,,,,
8,,,,,,,,,,9,9,,,,,,,,,,,,
7,,,,,,,,,,10,11,,,,,,,,,,,,
7,,,,,,,,,,13,9,,,,,,,,,,,,
5,,,,,,,,,,9,9,,,,,,,,,,,,
7,,,,,,,,,,9,8,,,,,,,,,,,,
7,,,,,,,,,,12,12,,,,,,,,,,,,
6,,,,,,,,,,11,11,,,,,,,,,,,,
6,,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,10,9,,,,,,,,,,,,
5,,,,,,,,,,10,14,,,,,,,,,,,,
8,,,,,,,,,,9,15,,,,,,,,,,,,
5,,,,,,,,,,8,11,,,,,,,,,,,,
5,,,,,,,,,,12,9,,,,,,,,,,,,
10,,,,,,,,,,12,11,,,,,,,,,,,,
8,,,,,,,,,,14,11,,,,,,,,,,,,
7,,,,,,,,,,9,9,,,,,,,,,,,,
7,,,,,,,,,,11,11,,,,,,,,,,,,
7,,,,,,,,,,9,13,,,,,,,,,,,,
7,,,,,,,,,,10,11,,,,,,,,,,,,
8,,,,,,,,,,9,12,,,,,,,,,,,,
8,,,,,,,,,,10,15,,,,,,,,,,,,
8,,,,,,,,,,14,13,,,,,,,,,,,,
6,,,,,,,,,,10,10,,,,,,,,,,,,
5,,,,,,,,,,13,10,,,,,,,,,,,,
5,,,,,,,,,,9,11,,,,,,,,,,,,
8,,,,,,,,,,14,11,,,,,,,,,,,,
8,,,,,,,,,,8,14,,,,,,,,,,,,
5,,,,,,,,,,9,11,,,,,,,,,,,,
7,,,,,,,,,,11,8,,,,,,,,,,,,
5,,,,,,,,,,9,9,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
7,,,,,,,,,,8,8,,,,,,,,,,,,
7,,,,,,,,,,12,12,,,,,,,,,,,,
6,,,,,,,,,,11,13,,,,,,,,,,,,
10,,,,,,,,,,10,12,,,,,,,,,,,,
7,,,,,,,,,,9,8,,,,,,,,,,,,
6,,,,,,,,,,9,9,,,,,,,,,,,,
8,,,,,,,,,,14,12,,,,,,,,,,,,
10,,,,,,,,,,15,9,,,,,,,,,,,,
5,,,,,,,,,,11,12,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
6,,,,,,,,,,11,11,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
6,,,,,,,,,,9,10,,,,,,,,,,,,
7,,,,,,,,,,11,11,,,,,,,,,,,,
5,,,,,,,,,,13,9,,,,,,,,,,,,
8,,,,,,,,,,11,12,,,,,,,,,,,,
8,,,,,,,,,,12,8,,,,,,,,,,,,
7,,,,,,,,,,15,11,,,,,,,,,,,,
6,,,,,,,,,,13,8,,,,,,,,,,,,
8,,,,,,,,,,10,8,,,,,,,,,,,,
8,,,,,,,,,,10,10,,,,,,,,,,,,
8,,,,,,,,,,11,12,,,,,,,,,,,,
6,,,,,,,,,,11,9,,,,,,,,,,,,
6,,,,,,,,,,14,13,,,,,,,,,,,,
7,,,,,,,,,,11,11,,,,,,,,,,,,
7,,,,,,,,,,8,9,,,,,,,,,,,,
8,,,,,,,,,,9,12,,,,,,,,,,,,
13,,,,,,,,,,10,10,,,,,,,,,,,,
8,,,,,,,,,,8,9,,,,,,,,,,,,
8,,,,,,,,,,12,10,,,,,,,,,,,,
8,,,,,,,,,,13,11,,,,,,,,,,,,
6,,,,,,,,,,12,15,,,,,,,,,,,,
6,,,,,,,,,,8,16,,,,,,,,,,,,
6,,,,,,,,,,9,8,,,,,,,,,,,,
5,,,,,,,,,,12,10,,,,,,,,,,,,
8,,,,,,,,,,9,14,,,,,,,,,,,,
8,,,,,,,,,,12,8,,,,,,,,,,,,
9,,,,,,,,,,10,12,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
5,,,,,,,,,,9,11,,,,,,,,,,,,
5,,,,,,,,,,10,13,,,,,,,,,,,,
7,,,,,,,,,,11,15,,,,,,,,,,,,
6,,,,,,,,,,9,11,,,,,,,,,,,,
7,,,,,,,,,,12,9,,,,,,,,,,,,
8,,,,,,,,,,8,11,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
8,,,,,,,,,,8,9,,,,,,,,,,,,
7,,,,,,,,,,8,12,,,,,,,,,,,,
6,,,,,,,,,,10,9,,,,,,,,,,,,
6,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,9,9,,,,,,,,,,,,
6,,,,,,,,,,13,8,,,,,,,,,,,,
7,,,,,,,,,,11,14,,,,,,,,,,,,
5,,,,,,,,,,9,16,,,,,,,,,,,,
8,,,,,,,,,,12,11,,,,,,,,,,,,
6,,,,,,,,,,10,11,,,,,,,,,,,,
6,,,,,,,,,,9,9,,,,,,,,,,,,
8,,,,,,,,,,10,10,,,,,,,,,,,,
7,,,,,,,,,,11,12,,,,,,,,,,,,
9,,,,,,,,,,15,8,,,,,,,,,,,,
9,,,,,,,,,,16,12,,,,,,,,,,,,
5,,,,,,,,,,8,11,,,,,,,,,,,,
8,,,,,,,,,,10,11,,,,,,,,,,,,
13,,,,,,,,,,14,12,,,,,,,,,,,,
5,,,,,,,,,,8,11,,,,,,,,,,,,
7,,,,,,,,,,12,9,,,,,,,,,,,,
7,,,,,,,,,,9,9,,,,,,,,,,,,
7,,,,,,,,,,11,9,,,,,,,,,,,,
6,,,,,,,,,,13,8,,,,,,,,,,,,
8,,,,,,,,,,15,12,,,,,,,,,,,,
13,,,,,,,,,,11,9,,,,,,,,,,,,
5,,,,,,,,,,9,8,,,,,,,,,,,,
5,,,,,,,,,,11,19,,,,,,,,,,,,
6,,,,,,,,,,9,11,,,,,,,,,,,,
10,,,,,,,,,,9,15,,,,,,,,,,,,
8,,,,,,,,,,12,10,,,,,,,,,,,,
7,,,,,,,,,,9,12,,,,,,,,,,,,
8,,,,,,,,,,9,11,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
7,,,,,,,,,,8,17,,,,,,,,,,,,
7,,,,,,,,,,14,14,,,,,,,,,,,,
7,,,,,,,,,,16,8,,,,,,,,,,,,
7,,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,,11,10,,,,,,,,,,,,
5,,,,,,,,,,9,10,,,,,,,,,,,,
8,,,,,,,,,,10,9,,,,,,,,,,,,
7,,,,,,,,,,12,10,,,,,,,,,,,,
10,,,,,,,,,,8,13,,,,,,,,,,,,
5,,,,,,,,,,12,11,,,,,,,,,,,,
8,,,,,,,,,,11,7,,,,,,,,,,,,
8,,,,,,,,,,11,11,,,,,,,,,,,,
6,,,,,,,,,,12,12,,,,,,,,,,,,
13,,,,,,,,,,11,8,,,,,,,,,,,,
8,,,,,,,,,,9,8,,,,,,,,,,,,
7,,,,,,,,,,9,14,,,,,,,,,,,,
8,,,,,,,,,,9,14,,,,,,,,,,,,
7,,,,,,,,,,8,9,,,,,,,,,,,,
7,,,,,,,,,,12,12,,,,,,,,,,,,
11,,,,,,,,,,9,11,,,,,,,,,,,,
7,,,,,,,,,,8,9,,,,,,,,,,,,
7,,,,,,,,,,19,16,,,,,,,,,,,,
15,,,,,,,,,,11,9,,,,,,,,,,,,
6,,,,,,,,,,15,10,,,,,,,,,,,,
7,,,,,,,,,,10,17,,,,,,,,,,,,
8,,,,,,,,,,12,14,,,,,,,,,,,,
7,,,,,,,,,,11,11,,,,,,,,,,,,
5,,,,,,,,,,10,8,,,,,,,,,,,,
6,,,,,,,,,,17,11,,,,,,,,,,,,
8,,,,,,,,,,14,10,,,,,,,,,,,,
7,,,,,,,,,,8,9,,,,,,,,,,,,
6,,,,,,,,,,10,13,,,,,,,,,,,,
6,,,,,,,,,,10,12,,,,,,,,,,,,
6,,,,,,,,,,10,15,,,,,,,,,,,,
6,,,,,,,,,,9,15,,,,,,,,,,,,
8,,,,,,,,,,10,13,,,,,,,,,,,,
7,,,,,,,,,,13,10,,,,,,,,,,,,
5,,,,,,,,,,11,18,,,,,,,,,,,,
6,,,,,,,,,,7,9,,,,,,,,,,,,
7,,,,,,,,,,11,16,,,,,,,,,,,,
7,,,,,,,,,,12,10,,,,,,,,,,,,
7,,,,,,,,,,8,12,,,,,,,,,,,,
11,,,,,,,,,,8,12,,,,,,,,,,,,
7,,,,,,,,,,14,7,,,,,,,,,,,,
7,,,,,,,,,,14,10,,,,,,,,,,,,
5,,,,,,,,,,9,9,,,,,,,,,,,,
10,,,,,,,,,,12,10,,,,,,,,,,,,
6,,,,,,,,,,11,11,,,,,,,,,,,,
8,,,,,,,,,,9,9,,,,,,,,,,,,
5,,,,,,,,,,16,13,,,,,,,,,,,,
7,,,,,,,,,,9,10,,,,,,,,,,,,
8,,,,,,,,,,10,10,,,,,,,,,,,,
6,,,,,,,,,,17,13,,,,,,,,,,,,
6,,,,,,,,,,14,10,,,,,,,,,,,,
8,,,,,,,,,,11,10,,,,,,,,,,,,
6,,,,,,,,,,8,10,,,,,,,,,,,,
5,,,,,,,,,,11,13,,,,,,,,,,,,
8,,,,,,,,,,10,14,,,,,,,,,,,,
7,,,,,,,,,,9,11,,,,,,,,,,,,
19,,,,,,,,,,13,12,,,,,,,,,,,,
7,,,,,,,,,,12,8,,,,,,,,,,,,
8,,,,,,,,,,15,13,,,,,,,,,,,,
7,,,,,,,,,,15,11,,,,,,,,,,,,
7,,,,,,,,,,13,9,,,,,,,,,,,,
7,,,,,,,,,,10,10,,,,,,,,,,,,
8,,,,,,,,,,18,12,,,,,,,,,,,,
7,,,,,,,,,,9,8,,,,,,,,,,,,
6,,,,,,,,,,16,15,,,,,,,,,,,,
7,,,,,,,,,,10,9,,,,,,,,,,,,
13,,,,,,,,,,12,15,,,,,,,,,,,,
8,,,,,,,,,,12,11,,,,,,,,,,,,
