Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 10: 279 4-19_265m_netwash1of3-A,Area Sample 10: 279 4-19_265m_netwash1of3-A,#Peptides,#Unique,#Spec Sample 10: 279 4-19_265m_netwash1of3-A,PTM,Avg. Mass,Description
227,23063,virus_CCADEAMM_62039,23.54,1,1,9.55E5,1,1,1,,99709,hypothetical protein
149,24265,ETNP_300,23.51,1,1,0E0,1,1,1,Oxidation (M),148535,Trehalose utilisation
145,133953,ETNP_120,23.49,1,1,7.02E5,1,1,1,,125038,hypothetical protein
334,134946,ETNP_60,23.47,6,6,2.74E5,1,1,1,,17479,30S ribosomal protein S5
334,134947,ETNP_70,23.47,6,6,2.74E5,1,1,1,,17449,30S ribosomal protein S5
334,134948,WP_011217141.1,23.47,6,6,2.74E5,1,1,1,,17305,30S ribosomal protein S5 [Photobacterium profundum]
334,134949,WP_012519221,23.47,6,6,2.74E5,1,1,1,,17560,30S ribosomal protein S5 Alteromonas
334,134950,CAI87850.1,23.47,6,6,2.74E5,1,1,1,,17712,30S ribosomal subunit protein S5 [Pseudoalteromonas haloplanktis TAC125]
334,134951,WP_014707477,23.47,6,6,2.74E5,1,1,1,,17752,30S ribosomal protein S5 Methylophaga nitratireducenticrescens
334,134952,ETNP_120,23.47,6,6,2.74E5,1,1,1,,18288,30S ribosomal protein S5
80,134957,NP_30,23.34,4,4,5.21E5,1,1,2,,22063,Leucine efflux protein
350,135004,WP_011399530,23.25,1,1,5.34E5,1,1,1,,89723,nitrite reductase Hahella chejuensis
248,134187,CAN97333.1,23.24,0,0,1.91E5,1,1,1,,680289,hypothetical protein predicted by Glimmer/Critica [Sorangium cellulosum So ce56]
138,128773,WP_041700632.1,23.22,1,1,0E0,1,1,1,,168659,glutamate synthase subunit alpha [Prochlorococcus marinus]
138,21615,WP_038654268,23.22,1,1,0E0,1,1,1,,168793,glutamate synthase Prochlorococcus sp MIT 0801
338,134965,ETNP14_68,23.10,4,4,3.09E5,1,1,1,,18608,Transcription elongation factor GreA
226,134143,CBE69268,23.01,2,2,7.29E5,1,1,1,,51579,putative Outer membrane efflux protein Candidatus Methylomirabilis oxyfera
226,134960,NP_125,23.01,5,5,7.29E5,1,1,1,,17023,Thiazole synthase
226,134961,NP_300,23.01,3,3,7.29E5,1,1,1,,27753,Thiazole synthase
337,134962,ETNP_120,22.80,10,10,8.05E4,1,1,1,Carbamidomethylation,8882,hypothetical protein
88,134964,ETNP14_120,22.67,3,3,0E0,1,1,2,,36385,NADPH-dependent curcumin reductase
339,13208,NP_100,22.41,6,6,2.42E5,1,1,1,,14059,hypothetical protein
12,133915,XP_002181494,22.40,1,1,1.6E6,1,1,5,,115771,predicted protein  Phaeodactylum tricornutum CCAP 1055
12,135025,XP_003057264,22.40,1,1,1.6E6,1,1,5,,81983,predicted protein  Micromonas pusilla CCMP1545
341,134973,Verrucomicrobia_HGEPPPGB_01819,22.38,1,1,2.4E5,1,1,1,,66955,Lipopolysaccharide assembly protein B
340,134967,ETNP_140,22.30,5,5,7.83E5,1,1,1,,15559,hypothetical protein
340,134968,ETNP_120,22.30,5,5,7.83E5,1,1,1,,18918,hypothetical protein
340,134970,ETNP_180,22.30,2,2,7.83E5,1,1,1,,38014,hypothetical protein
340,134971,ETNP_160,22.30,2,2,7.83E5,1,1,1,,38014,hypothetical protein
340,134972,ETNP_120,22.30,2,2,7.83E5,1,1,1,,38014,hypothetical protein
177,133940,ETNP_120,21.95,2,2,3.47E5,1,1,1,,52118,60 kDa chaperonin 1
177,134158,ETNP_120,21.95,2,2,3.47E5,1,1,1,,47048,60 kDa chaperonin
177,134159,CAN96075.1,21.95,1,1,3.47E5,1,1,1,,57988,heat shock protein groEL [Sorangium cellulosum So ce56]
280,134974,ETNP_90,21.74,2,2,0E0,1,1,1,,58599,Formate dehydrogenase H
283,134991,ACI98850.1,21.54,3,3,0E0,1,1,1,,27437,ABC transporter  ATP-binding protein  putative [Rhodospirillum centenum SW]
234,4213,virus_CCADEAMM_58988,21.52,2,2,2.86E5,1,1,1,,38079,hypothetical protein
30,140,CAN91477.1,21.45,2,2,1.65E8,1,1,3,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
90,134986,ETNP_300,21.39,4,4,2.36E5,1,1,2,,17472,Sulfoacetaldehyde reductase
232,438,ABQ31933.1,21.37,3,3,4.73E5,1,1,1,,31833,hypothetical protein Acry_2742 [Acidiphilium cryptum JF-5]
232,142,ACL66369.1,21.37,2,2,4.73E5,1,1,1,,36883,domain of unknown function DUF1730 [Anaeromyxobacter dehalogenans 2CP-1]
155,134977,ETNP_120,21.35,6,6,0E0,1,1,1,,20629,hypothetical protein
186,133970,ETNP_100,21.14,6,6,1.53E6,1,1,1,Carbamidomethylation,18761,hypothetical protein
186,133971,ETNP14_120,21.14,6,6,1.53E6,1,1,1,Carbamidomethylation,18761,hypothetical protein
186,133972,NP_85,21.14,6,6,1.53E6,1,1,1,Carbamidomethylation,18773,hypothetical protein
186,134012,ETNP_120,21.14,4,4,1.53E6,1,1,1,Carbamidomethylation,29418,hypothetical protein
186,134147,ETNP14_68,21.14,8,8,1.53E6,1,1,1,Carbamidomethylation,12613,hypothetical protein
186,134176,ETNP14_68,21.14,5,5,1.53E6,1,1,1,Carbamidomethylation,20995,hypothetical protein
346,134985,ETNP_120,21.01,5,5,3.94E5,1,1,1,,16248,hypothetical protein
184,133961,XP_003057619,20.99,1,1,2.13E5,1,1,1,,140244,magnesium-chelatase subunit chlh-like protein chloroplast precursor  Micromonas pusilla CCMP1545
345,128336,ETNP14_68,20.90,15,15,6.61E5,1,1,1,,8925,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
144,133949,ACB24975.1,20.90,1,1,3.49E5,1,1,1,,83093,RNA binding S1 domain protein [Methylobacterium radiotolerans JCM 2831]
74,134156,virus_CCADEAMM_51916,20.85,0,0,1.12E5,1,1,2,,241873,hypothetical protein
91,134988,ETNP_90,20.75,12,12,2.82E5,1,1,2,,7640,hypothetical protein
79,127891,ActinobacteriaREDSEAS09_EJKBNLBD_00402,20.75,1,1,1.46E5,1,1,2,,81662,hypothetical protein
394,135127,ETNP14_68,20.75,2,2,1.85E5,1,1,1,,28880,tRNA pseudouridine synthase A
143,133943,virus_CCADEAMM_22750,20.73,0,0,1.26E5,1,1,1,,239419,hypothetical protein
110,133854,ETNP_140,20.66,2,2,1.7E5,1,1,1,,36966,hypothetical protein
351,135006,ETNP_100,20.46,4,4,1.7E5,1,1,1,,23239,F420-dependent glucose-6-phosphate dehydrogenase
351,135008,ETNP_180,20.46,3,3,1.7E5,1,1,1,,32324,F420-dependent glucose-6-phosphate dehydrogenase
351,135009,ETNP_150,20.46,3,3,1.7E5,1,1,1,,32324,F420-dependent glucose-6-phosphate dehydrogenase
351,135010,ETNP_160,20.46,3,3,1.7E5,1,1,1,,32324,F420-dependent glucose-6-phosphate dehydrogenase
351,135011,ETNP_140,20.46,3,3,1.7E5,1,1,1,,32324,F420-dependent glucose-6-phosphate dehydrogenase
351,135012,ETNP_120,20.46,3,3,1.7E5,1,1,1,,32324,F420-dependent glucose-6-phosphate dehydrogenase
351,135013,ETNP_300,20.46,3,3,1.7E5,1,1,1,,32324,F420-dependent glucose-6-phosphate dehydrogenase
351,135014,ETNP_120,20.46,3,3,1.7E5,1,1,1,,32324,F420-dependent glucose-6-phosphate dehydrogenase
351,135015,ETNP_120,20.46,3,3,1.7E5,1,1,1,,32324,F420-dependent glucose-6-phosphate dehydrogenase
117,8558,Flavovirus_FBAKDGPJ_01879,20.45,0,0,4.24E5,1,1,1,,484862,hypothetical protein
349,135001,ETNP_300,20.41,4,4,0E0,1,1,1,,23272,Membrane protein insertase YidC
349,135002,NP_300,20.41,4,4,0E0,1,1,1,,26550,Membrane protein insertase YidC
349,135003,ETNP_100,20.41,2,2,0E0,1,1,1,,41691,Membrane protein insertase YidC
349,135005,NP_100,20.41,2,2,0E0,1,1,1,,63407,Membrane protein insertase YidC
284,134993,ETNP_120,20.39,15,15,4.18E5,1,1,1,,6799,Crossover junction endodeoxyribonuclease RuvC
284,134994,ETNP_120,20.39,11,11,4.18E5,1,1,1,,9008,Crossover junction endodeoxyribonuclease RuvC
284,134995,ETNP_160,20.39,11,11,4.18E5,1,1,1,,9008,Crossover junction endodeoxyribonuclease RuvC
284,134996,NP_125,20.39,6,6,4.18E5,1,1,1,,18630,Crossover junction endodeoxyribonuclease RuvC
284,134997,ETNP14_120,20.39,6,6,4.18E5,1,1,1,,18630,Crossover junction endodeoxyribonuclease RuvC
284,134998,ETNP_180,20.39,6,6,4.18E5,1,1,1,,18630,Crossover junction endodeoxyribonuclease RuvC
284,134999,NP_300,20.39,6,6,4.18E5,1,1,1,,18598,Crossover junction endodeoxyribonuclease RuvC
284,135000,ETNP_100,20.39,4,4,4.18E5,1,1,1,,28894,Crossover junction endodeoxyribonuclease RuvC
13,135007,NP_85,20.33,7,7,2.56E6,1,1,5,,13029,50S ribosomal protein L20
235,134157,WP_023793657,20.18,1,1,2.16E5,1,1,1,,92193,hypothetical protein Candidatus Saccharibacteria bacterium RAAC3_TM7_1
50,129360,ADI89856.1,20.07,1,1,2.38E3,1,1,2,,104163,protease [Acinetobacter oleivorans DR1]
355,135023,NP_300,20.07,2,2,8.28E5,1,1,1,,52920,hypothetical protein
41,130538,ETNP14_120,20.01,1,1,1.96E6,1,1,2,,147557,Glutamate synthase [NADPH] large chain precursor
352,2730,ETNP14_68,20.01,1,1,7.9E5,1,1,1,,96879,UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
