Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1: 273 4-19_965m_top+p,Area Sample 1: 273 4-19_965m_top+p,#Peptides,#Unique,#Spec Sample 1: 273 4-19_965m_top+p,PTM,Avg. Mass,Description
127,24157,CAN95405.1,28.81,1,1,2.83E7,2,2,2,,208167,hypothetical protein sce5242 [Sorangium cellulosum So ce56]
199,25140,ETNP14_68,28.79,2,2,2.64E6,1,1,1,,43540,thiamine biosynthesis protein ThiI
136,24069,ETNP14_68,28.77,2,2,,1,0,1,,53210,Adenosylhomocysteinase
136,24070,ETNP14_68,28.77,2,2,,1,0,1,,52905,Adenosylhomocysteinase
136,24074,ETNP14_68,28.77,2,2,,1,0,1,,54388,Adenosylhomocysteinase
136,24075,NP_100,28.77,2,2,,1,0,1,,52475,Adenosylhomocysteinase
136,25002,ABF65567.1,36.79,5,5,0E0,2,1,2,,50668,adenosylhomocysteinase [Ruegeria sp. TM1040]
136,25011,ETNP14_68,28.77,3,3,,1,0,1,,36550,Adenosylhomocysteinase
136,25012,ABQ69030.1,28.77,2,2,,1,0,1,,50530,adenosylhomocysteinase [Sphingomonas wittichii RW1]
136,25013,ACY16573.1,28.77,2,2,,1,0,1,,55372,adenosylhomocysteinase [Haliangium ochraceum DSM 14365]
136,25018,ETNP14_68,28.77,2,2,,1,0,1,,51015,Adenosylhomocysteinase
136,25020,NP_30,28.77,4,4,,1,0,1,,31082,Adenosylhomocysteinase
136,25021,ETNP14_68,28.77,3,3,,1,0,1,,37898,Adenosylhomocysteinase
136,25024,ABG30175.1,28.77,2,2,,1,0,1,,50485,adenosylhomocysteinase [Roseobacter denitrificans OCh 114]
136,25026,ETNP14_68,28.77,3,3,,1,0,1,,37492,Adenosylhomocysteinase
136,25027,ADH91646.1,28.77,2,2,,1,0,1,,51233,adenosylhomocysteinase [Starkeya novella DSM 506]
136,25031,ETNP14_68,28.77,2,2,,1,0,1,,53840,Adenosylhomocysteinase
136,25033,ETNP14_68,28.77,4,4,,1,0,1,,31958,Adenosylhomocysteinase
136,25034,ETNP14_68,28.77,2,2,,1,0,1,,51143,Adenosylhomocysteinase
136,25128,ETNP14_68,28.77,3,3,,1,0,1,,36982,Adenosylhomocysteinase
136,25129,ETNP14_68,28.77,3,3,,1,0,1,,37022,Adenosylhomocysteinase
136,25130,NP_85,28.77,3,3,,1,0,1,,48074,Adenosylhomocysteinase
136,25131,ETNP14_68,28.77,2,2,,1,0,1,,49360,Adenosylhomocysteinase
136,25132,ACB22752.1,28.77,2,2,,1,0,1,,50794,adenosylhomocysteinase [Methylobacterium radiotolerans JCM 2831]
136,25133,ACA15062.1,28.77,2,2,,1,0,1,,51085,adenosylhomocysteinase [Methylobacterium sp. 4-46]
136,25134,ABE38834.1,28.77,2,2,,1,0,1,,51754,adenosylhomocysteinase [Rhodopseudomonas palustris BisB5]
136,25137,ETNP14_68,28.77,2,2,,1,0,1,,52246,Adenosylhomocysteinase
136,25136,Verrucomicrobia_HGEPPPGB_03255,28.77,2,2,,1,0,1,,52594,Adenosylhomocysteinase
136,25135,ETNP14_68,28.77,2,2,,1,0,1,,52502,Adenosylhomocysteinase
136,25138,NP_300,28.77,2,2,,1,0,1,,52265,Adenosylhomocysteinase
136,25139,ActinobacteriaREDSEAS14_EEFFFEGA_01411,28.77,2,2,,1,0,1,,53430,Adenosylhomocysteinase
164,25141,ETNP14_68,28.71,6,6,0E0,1,1,1,Carbamidomethylation,15912,hypothetical protein
542,24187,WP_053951715,28.62,2,2,2.67E6,2,2,2,Oxidation (M),103764,excinuclease ABC subunit A Candidatus Thioglobus autotrophica
119,25043,WP_002654932,28.33,3,3,0E0,1,1,1,Carbamidomethylation,52839,signal recognition particle protein  Blastopirellula marina
392,24090,virus_CCADEAMM_14300,27.96,1,1,6.73E5,2,2,2,Oxidation (M),322694,hypothetical protein
31,19898,virus_ANPENILN_01636,27.80,1,1,2.9E6,1,1,3,,75049,hypothetical protein
2374,26884,ETNP_100,27.71,5,5,1.05E6,2,2,2,Mutation,27702,Macrolide export ATP-binding/permease protein MacB
336,24093,EJK45223,27.65,1,1,1.81E6,2,2,3,Oxidation (M),176371,hypothetical protein THAOC_36171  Thalassiosira oceanica
195,25062,ETNP14_68,27.59,2,2,5.35E5,1,1,1,,53593,Copper-exporting P-type ATPase A
126,24135,Fosmid_PROKKA_01908,27.52,2,2,0E0,1,1,1,,38468,Gram-negative bacterial tonB protein
241,25157,ETNP_120,27.47,5,5,3.34E6,1,1,1,,17820,hypothetical protein
241,25158,ETNP_140,27.47,4,4,3.34E6,1,1,1,,22374,DNA-binding transcriptional regulator BasR
138,25165,WP_041598650,27.34,6,6,2.55E4,1,1,2,,17188,flavin-nucleotide-binding protein Hahella chejuensis
45,25188,ETNP14_68,27.13,2,2,0E0,1,1,3,,45000,VWA domain containing CoxE-like protein
148,24077,ETNP_70,27.00,3,3,2.19E6,1,1,1,,27533,hypothetical protein
148,25197,ETNP_70,27.00,3,3,2.19E6,1,1,1,,28116,hypothetical protein
111,24068,NP_100,26.87,2,2,1.56E6,1,1,1,,58175,60 kDa chaperonin
102,24066,ETNP_70,26.83,1,1,2.93E6,1,1,1,,88655,Elongation factor G
125,24078,WP_015441607,26.81,1,1,6.89E5,1,1,1,,119236,carbamoyl-phosphate synthase large chain Ilumatobacter coccineus
899,25371,WP_014438162,26.76,4,4,6.67E5,2,1,2,,39439,Appr-1-p processing protein Phycisphaera mikurensis
231,28330,ETNP14_120,26.75,5,5,9.49E4,1,1,1,Mutation,22230,3 6-diketocamphane 1 6 monooxygenase
2369,17889,ETNP14_120,26.66,10,10,6.48E6,2,1,2,,9492,hypothetical protein
176,25993,ETNP14_68,26.60,3,3,0E0,1,1,1,Oxidation (M),47618,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
540,24139,XP_003061972,26.53,2,2,1.1E6,2,2,2,,93184,predicted protein partial  Micromonas pusilla CCMP1545
165,25152,ETNP14_68,25.93,10,10,3.23E5,1,1,1,,9361,ribonuclease P
165,25151,ETNP_90,25.93,10,10,3.23E5,1,1,1,,9361,Ribonuclease P protein component
165,25150,ETNP14_120,25.93,10,10,3.23E5,1,1,1,,9361,ribonuclease P
165,26669,ETNP14_120,25.93,10,10,3.23E5,1,1,1,,9273,ribonuclease P
166,17793,WP_013260946,25.59,2,2,0E0,1,1,1,,54786,transcription termination factor NusA gamma proteobacterium HdN1
244,26677,ETNP14_120,25.59,11,11,1.45E6,1,1,1,,8304,hypothetical protein
112,24098,ETNP_160,25.48,1,1,4.91E5,1,1,1,,80956,Bifunctional (p)ppGpp synthase/hydrolase relA
112,24097,ETNP_180,25.48,1,1,4.91E5,1,1,1,,80956,Bifunctional (p)ppGpp synthase/hydrolase relA
455,25238,ETNP_100,25.44,15,15,1.76E6,2,2,3,Carbamidomethylation; Oxidation (M),14308,Hypoxanthine-guanine phosphoribosyltransferase
304,24088,XP_002177351,25.43,3,3,1.68E6,2,1,2,,70962,protein heat shock protein Hsp70  Phaeodactylum tricornutum CCAP 1055
218,25231,ETNP_120,25.38,3,3,2.34E6,1,1,1,,42667,Long-chain-fatty-acid--CoA ligase
218,25261,ETNP_180,25.38,2,2,2.34E6,1,1,1,,51601,Long-chain-fatty-acid--CoA ligase
218,25307,ETNP_120,25.38,2,2,2.34E6,1,1,1,,62010,Long-chain-fatty-acid--CoA ligase
218,25306,ETNP_300,25.38,2,2,2.34E6,1,1,1,,62010,Long-chain-fatty-acid--CoA ligase
245,25166,ETNP_120,25.38,5,5,0E0,1,1,1,Oxidation (M),17757,Ultraviolet N-glycosylase/AP lyase
230,27226,EJK65219,25.28,2,2,3.23E4,1,1,1,Mutation,74888,hypothetical protein THAOC_13951  Thalassiosira oceanica
1571,25400,ETNP_90,25.21,5,5,4.39E6,2,1,2,,31839,hypothetical protein
246,26681,WP_031445922,25.12,1,1,3.91E4,1,1,1,,119411,ATP-dependent helicase  Arenibacter algicola
247,26688,ETNP_70,25.01,3,3,5.35E5,1,1,1,,25861,Ribosome biogenesis GTPase A
46,17931,ETNP_110,24.78,8,8,4.46E6,1,1,3,,11179,hypothetical protein
248,26689,ETNP_70,24.75,12,12,2.94E6,1,1,1,,7678,hypothetical protein
393,24118,MGII,24.70,1,1,8.19E5,2,2,2,,292689,hypothetical protein
395,24147,WP_052303619,24.64,1,1,1.27E6,2,1,2,,157477,hypothetical protein Pirellula staleyi
202,25172,ETNP14_120,24.44,3,3,1.64E6,1,1,1,Oxidation (M),32074,Adenylosuccinate lyase
160,26726,virus_CCADEAMM_65393,24.31,5,5,2.93E5,1,1,1,,13283,hypothetical protein
798,24649,ETNP_120,24.07,4,4,3.84E5,2,2,2,Mutation,49956,DNA-directed RNA polymerase subunit beta'
152,24326,EJK60062,24.04,1,1,3.26E5,1,1,1,,197521,hypothetical protein THAOC_19655  Thalassiosira oceanica
170,25203,WP_035334773.1,23.94,1,1,7.89E5,1,1,1,,65435,DUF885 domain-containing protein [Dokdonia sp. PRO95]
251,26707,ETNP_120,23.86,2,2,9.78E5,1,1,1,,50299,Arsenical pump membrane protein
204,25190,XP_003063456,23.85,1,1,5.7E5,1,1,1,,71344,predicted protein partial  Micromonas pusilla CCMP1545
95,24085,XP_003055625,23.78,0,0,1.66E6,1,1,2,Carbamidomethylation,245584,predicted protein  Micromonas pusilla CCMP1545
143,26713,ETNP14_68,23.72,3,3,3.9E5,1,1,1,,37847,All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
253,26718,ETNP_120,23.70,2,2,1.08E6,1,1,1,,41050,hypothetical protein
2391,27025,ETNP14_68,23.64,3,3,1.24E6,2,2,2,,34525,Glycosyltransferase family 17
161,24863,Flavovirus_FBAKDGPJ_04539,23.51,1,1,2.36E5,1,1,1,,87867,hypothetical protein
254,26723,ETNP_120,23.18,5,5,0E0,1,1,1,,19043,Inner membrane protein YgaZ
256,17799,ETNP_300,23.01,2,2,1.76E6,1,1,1,,40593,putative acetyl-CoA acyltransferase
255,26727,ETNP14_68,23.00,11,11,1.59E6,1,1,1,,10795,Isocitrate lyase
228,26763,ETNP_120,22.86,2,2,1.73E6,1,1,1,,32159,hypothetical protein
228,26785,ETNP_120,22.86,1,1,1.73E6,1,1,1,,73261,hypothetical protein
123,26734,EDP96958.1,22.86,2,2,0E0,1,1,1,,47807,hypothetical protein KAOT1_17383 [Kordia algicida OT-1]
257,26737,ETNP_140,22.85,3,3,2.8E6,1,1,1,Carbamidomethylation,28970,3-deoxy-D-manno-octulosonic acid kinase
257,26736,ETNP_120,22.85,3,3,2.8E6,1,1,1,Carbamidomethylation,28948,3-deoxy-D-manno-octulosonic acid kinase
257,26735,ETNP_180,22.85,3,3,2.8E6,1,1,1,Carbamidomethylation,28891,3-deoxy-D-manno-octulosonic acid kinase
129,24334,WP_014474916,22.79,2,2,1.25E6,1,1,1,,73219,chemotaxis protein Arcobacter sp L
103,24089,ETNP_90,22.79,1,1,0E0,1,1,1,,126871,Bacterial type II/III secretion system short domain protein
151,24323,ETNP_180,22.66,7,7,5.44E5,1,1,1,,16209,30S ribosomal protein S11
151,24325,CAI87845.1,22.66,9,9,5.44E5,1,1,1,,13694,30S ribosomal subunit protein S11 [Pseudoalteromonas haloplanktis TAC125]
151,24324,ETNP_90,22.66,9,9,5.44E5,1,1,1,,13664,30S ribosomal protein S11
151,25174,ETNP_150,22.66,17,17,5.44E5,1,1,1,,7171,30S ribosomal protein S11
151,25179,NP_85,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
151,25178,ETNP_120,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
151,25177,ETNP_110,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
151,25176,ETNP14_120,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
151,25175,NP_100,22.66,9,9,5.44E5,1,1,1,,13312,30S ribosomal protein S11
151,25181,ETNP_90,22.66,9,9,5.44E5,1,1,1,,13703,30S ribosomal protein S11
151,25180,WP_005370963.1,22.66,9,9,5.44E5,1,1,1,,13892,MULTISPECIES: 30S ribosomal protein S11 [Photobacterium]
151,25182,NP_30,22.66,8,8,5.44E5,1,1,1,,13911,30S ribosomal protein S11
151,25184,WP_013260478,22.66,8,8,5.44E5,1,1,1,,13853,30S ribosomal protein S11 gamma proteobacterium HdN1
151,25183,WP_011467464.1,22.66,8,8,5.44E5,1,1,1,,13907,30S ribosomal protein S11 [Saccharophagus degradans]
151,25185,WP_007233029,22.66,8,8,5.44E5,1,1,1,,13823,30S ribosomal protein S11 unclassified Porticoccaceae
151,25195,ETNP_300,22.66,8,8,5.44E5,1,1,1,,14080,30S ribosomal protein S11
151,25194,ETNP_120,22.66,8,8,5.44E5,1,1,1,,14080,30S ribosomal protein S11
151,25193,ETNP_180,22.66,8,8,5.44E5,1,1,1,,14080,30S ribosomal protein S11
151,25192,ETNP_160,22.66,8,8,5.44E5,1,1,1,,14080,30S ribosomal protein S11
151,25200,ACL73381.1,22.66,9,9,5.44E5,1,1,1,,13815,30S ribosomal protein S11 [Thioalkalivibrio sulfidiphilus HL-EbGr7]
151,26740,ETNP_120,22.66,9,9,5.44E5,1,1,1,,13712,30S ribosomal protein S11
151,26739,ABA58760.1,22.66,9,9,5.44E5,1,1,1,,13620,SSU ribosomal protein S11P [Nitrosococcus oceani ATCC 19707]
151,26738,ETNP_150,22.66,9,9,5.44E5,1,1,1,,13712,30S ribosomal protein S11
151,26743,WP_001040166,22.66,9,9,5.44E5,1,1,1,,13534,30S ribosomal protein S11 Bacteria
151,26742,ETNP_100,22.66,9,9,5.44E5,1,1,1,,13534,30S ribosomal protein S11
151,26741,ADI89342.1,22.66,9,9,5.44E5,1,1,1,,13534,30S ribosomal protein S11 [Acinetobacter oleivorans DR1]
151,26744,WP_011399897,22.66,9,9,5.44E5,1,1,1,,13650,30S ribosomal protein S11 Hahella chejuensis
151,26747,ETNP14_120,22.66,8,8,5.44E5,1,1,1,,13811,30S ribosomal protein S11
151,26746,WP_011310940,22.66,8,8,5.44E5,1,1,1,,13791,30S ribosomal protein S11 Thiobacillus
151,26745,WP_012519215,22.66,8,8,5.44E5,1,1,1,,13811,30S ribosomal protein S11 Alteromonas
52,26749,WP_053820183,22.66,3,3,8.2E6,1,1,3,,39085,ferrochelatase Candidatus Thioglobus singularis
226,26751,ETNP14_120,22.62,6,6,0E0,1,1,1,,17265,hypothetical protein
171,25205,ETNP_120,22.56,5,5,5.62E5,1,1,1,,19751,hypothetical protein
171,25204,ETNP_160,22.56,5,5,5.62E5,1,1,1,,19751,hypothetical protein
259,26753,KJS06462,22.53,4,4,0E0,1,1,1,,31669,dihydrodipicolinate synthase Flavobacteriales bacterium BRH_c54
131,24373,ETNP_90,22.50,2,2,1.04E6,1,1,1,,56814,Glucose-6-phosphate 1-dehydrogenase
99,24218,WP_019307756,22.49,1,1,3.75E6,1,1,1,,53652,hypothetical protein SAR324 cluster bacterium SCGC AAA240-J09
261,17926,ETNP_300,22.46,11,11,4.24E6,1,1,1,,7664,hypothetical protein
65,25217,SAR11,22.41,1,1,2.19E7,1,1,4,,97503,DNA topoisomerase 1
86,24100,ABA58799.1,22.32,2,2,1.99E5,1,1,1,,50460,Heat shock protein HslU [Nitrosococcus oceani ATCC 19707]
207,25206,ETNP14_120,22.29,3,3,1.39E5,1,1,1,,31155,hypothetical protein
207,26761,ETNP_300,22.29,4,4,1.39E5,1,1,1,,21233,hypothetical protein
207,26760,ETNP_140,22.29,4,4,1.39E5,1,1,1,,21233,hypothetical protein
79,25210,ETNP_180,22.22,2,2,1.16E7,1,1,3,Oxidation (M),44856,Formyl-coenzyme A transferase
262,26762,ACY13450.1,22.19,3,3,1.28E6,1,1,1,,38071,putative phage head morphogenesis protein [Haliangium ochraceum DSM 14365]
58,25212,ETNP_120,22.08,2,2,7.69E6,1,1,2,Carbamidomethylation,37775,Saccharopine dehydrogenase
266,26768,ETNP_180,22.07,3,3,1.41E5,1,1,1,,35512,putative protein kinase UbiB
264,26766,virus_CCADEAMM_57701,22.03,3,3,4.97E4,1,1,1,,30354,hypothetical protein
172,25207,WP_013560935,22.02,1,1,4.15E5,1,1,1,,65016,DNA polymerase X family protein Anaerolinea thermophila
172,26770,KKU20033,22.02,3,3,4.15E5,1,1,1,,34954,hypothetical protein UX30_C0005G0074 Candidatus Saccharibacteria bacterium GW2011_GWA2_46_10
63,24084,virus_CCADEAMM_21121,22.00,0,0,5.64E6,1,1,1,,593270,hypothetical protein
63,24091,virus_CCADEAMM_20964,22.00,0,0,5.64E6,1,1,1,,293389,hypothetical protein
265,26767,ETNP_70,21.93,2,2,1.04E6,1,1,1,,70389,hypothetical protein
209,25209,ETNP14_120,21.85,3,3,3.6E5,1,1,1,,27071,Putative aldehyde dehydrogenase AldA
268,26771,WP_011342066,21.83,2,2,2.99E6,1,1,1,,68212,lysophospholipid acyltransferase superfamily protein Pelobacter carbinolicus
105,24142,ETNP_70,21.82,1,1,8.21E5,1,1,1,,54681,ATP synthase subunit beta
105,24163,WP_015403956,21.82,1,1,8.21E5,1,1,1,,50534,ATP synthase F1 subcomplex subunit beta Desulfocapsa sulfexigens
105,26818,ETNP14_120,21.82,3,3,8.21E5,1,1,1,,20792,hypothetical protein
179,26774,WP_041394458.1,21.68,2,2,0E0,1,1,1,Oxidation (M),80942,hypothetical protein [Photobacterium profundum]
270,26777,WP_011928870,21.60,3,3,3.67E5,1,1,1,,30814,30S ribosomal protein S3 Dehalococcoides mccartyi
153,24374,ETNP_300,21.54,1,1,2.64E5,1,1,1,,112684,alpha-mannosidase
153,24384,NP_300,21.54,1,1,2.64E5,1,1,1,,128571,alpha-mannosidase
219,25232,ETNP_120,21.54,1,1,5.87E5,1,1,1,,94899,DNA topoisomerase 1
271,26780,ETNP_90,21.48,3,3,1.16E5,1,1,1,,35488,hypothetical protein
278,26797,ABF63978.1,21.48,3,3,9.3E5,1,1,1,,27423,FeS assembly ATPase SufC [Ruegeria sp. TM1040]
115,24160,ETNP_90,21.46,1,1,2.37E5,1,1,1,,156824,DNA-directed RNA polymerase subunit beta'
115,18294,ABA58788.1,21.46,1,1,2.37E5,1,1,1,,155582,DNA-directed RNA polymerase subunit beta' [Nitrosococcus oceani ATCC 19707]
115,24243,ABS64338.1,21.46,1,1,2.37E5,1,1,1,,154203,DNA-directed RNA polymerase  beta' subunit [Parvibaculum lavamentivorans DS-1]
223,25558,ETNP_180,21.40,1,1,1.03E6,1,1,1,,81192,Multicopper oxidase
180,26779,ETNP_180,21.38,3,3,4.24E5,1,1,1,,30860,High-affinity branched-chain amino acid transport system permease protein LivH
181,26783,WP_042849491,21.27,3,3,2.45E5,1,1,1,,37740,tRNA-dihydrouridine synthase A Prochlorococcus sp MIT 0604
141,25215,WP_014437006,21.26,1,1,1.52E5,1,1,1,,89933,putative glycoside hydrolase Phycisphaera mikurensis
274,26786,ETNP_160,21.24,2,2,1.67E5,1,1,1,,46001,UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
273,26784,ETNP_180,21.22,18,18,6.74E6,1,1,1,,5650,hypothetical protein
279,26798,ETNP_160,21.21,1,1,9.56E5,1,1,1,,73296,2 3-dimethylmalate dehydratase large subunit
280,26800,ETNP14_120,21.19,4,4,1.1E6,1,1,1,,22529,hypothetical protein
36,26858,ETNP_120,21.16,3,3,1.29E7,1,1,3,,24137,Prohead core protein protease
134,24449,virus_CCADEAMM_06933,21.03,2,2,9.45E4,1,1,1,,65597,DNA primase/helicase
134,24448,virus_CCADEAMM_07032,21.03,2,2,9.45E4,1,1,1,,65597,DNA primase/helicase
215,25223,ETNP_160,21.02,1,1,7.04E6,1,1,1,,63809,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
215,26792,ETNP_140,21.02,10,10,7.04E6,1,1,1,,9242,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
215,26795,ETNP_120,21.02,3,3,7.04E6,1,1,1,,29097,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
277,26796,ACL64411.1,20.98,4,4,9.22E5,1,1,1,,23775,molybdate ABC transporter  inner membrane subunit [Anaeromyxobacter dehalogenans 2CP-1]
276,26793,ETNP_160,20.96,2,2,1.44E5,1,1,1,,52431,ATP-dependent zinc metalloprotease FtsH
182,26794,ETNP_160,20.93,8,8,0E0,1,1,1,Oxidation (M),16367,C4-dicarboxylate transport transcriptional regulatory protein DctD
224,25663,WP_011376869.1,20.85,1,1,8.62E5,1,1,1,,72765,asparagine synthetase B [Prochlorococcus marinus]
38,24132,WP_011218315.1,20.82,1,1,2.16E6,1,1,4,,187607,nuclease [Photobacterium profundum]
214,25222,WP_041295720.1,20.76,1,1,9.63E5,1,1,1,,78352,hypothetical protein [Dokdonia sp. 4H-3-7-5]
214,26805,WP_035336894.1,20.76,1,1,9.63E5,1,1,1,,78481,hypothetical protein [Dokdonia sp. PRO95]
106,430,ETNP_300,20.68,1,1,,1,0,1,,98143,Chaperone protein ClpB 1
106,434,ETNP_140,20.68,1,1,,1,0,1,,100627,Chaperone protein ClpB 1
106,433,ETNP_160,20.68,1,1,,1,0,1,,100627,Chaperone protein ClpB 1
106,432,ETNP_180,20.68,1,1,,1,0,1,,100627,Chaperone protein ClpB 1
106,431,ETNP_120,20.68,1,1,,1,0,1,,100627,Chaperone protein ClpB 1
114,9985,WP_012034157,20.67,1,1,5.93E5,1,1,1,,91645,ATP-dependent Clp protease ATP-binding protein Dehalococcoides mccartyi
220,25246,ETNP_160,20.59,9,9,0E0,1,1,1,Carbamidomethylation,17651,Cyclic nucleotide-gated potassium channel
282,26802,ETNP14_68,20.50,4,4,1.15E7,1,1,1,,28523,UDP-2 3-diacylglucosamine hydrolase
174,25252,ETNP_300,20.49,1,1,1.66E6,1,1,1,,58187,hypothetical protein
283,26803,ETNP14_120,20.47,5,5,4.16E5,1,1,1,,19050,putative hydrolase
284,26804,virus_CCADEAMM_26027,20.46,2,2,2.28E5,1,1,1,,50505,hypothetical protein
213,25221,ETNP_120,20.41,2,2,0E0,1,1,1,,45864,Transposase DDE domain protein
145,26808,ETNP14_120,20.38,5,5,4.86E6,1,1,2,,16587,hypothetical protein
144,26806,ACI98833.1,20.37,3,3,4.48E3,1,1,1,,37753,HlyD family secretion protein [Rhodospirillum centenum SW]
68,24099,CAN94300.1,20.32,0,0,5.62E5,1,1,1,Carbamidomethylation,622443,polyketide synthase [Sorangium cellulosum So ce56]
100,27843,ETNP_160,20.30,2,2,1.24E6,1,1,1,,41804,Nitronate monooxygenase
97,18158,WP_048114522,20.30,1,1,3.3E6,1,1,1,,126267,DNA polymerase II Candidatus Nitrosopumilus sp NF5
97,18192,ETNP14_68,20.30,1,1,3.3E6,1,1,1,,126011,DNA polymerase II large subunit
97,20442,ETNP14_120,20.30,2,2,3.3E6,1,1,1,,55003,60 kDa chaperonin
97,22102,ETNP_90,20.30,2,2,3.3E6,1,1,1,,46853,60 kDa chaperonin
97,19075,ACB22362.1,20.30,3,3,3.3E6,1,1,1,,26221,transcriptional regulator  GntR family [Methylobacterium radiotolerans JCM 2831]
97,19275,NP_85,20.30,2,2,3.3E6,1,1,1,,57689,putative ABC transporter ATP-binding protein YjjK
97,19278,ETNP_180,20.30,1,1,3.3E6,1,1,1,,65966,putative ABC transporter ATP-binding protein YjjK
97,19277,ETNP14_68,20.30,1,1,3.3E6,1,1,1,,65966,putative ABC transporter ATP-binding protein YjjK
97,19276,ETNP14_120,20.30,1,1,3.3E6,1,1,1,,65966,putative ABC transporter ATP-binding protein YjjK
158,20381,ETNP14_68,20.14,2,2,0E0,1,1,1,,50693,ATP-dependent protease ATPase subunit HslU
288,26812,ETNP14_120,20.06,9,9,2.34E6,1,1,1,,9112,hypothetical protein
