Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 233_JA4_265m_0.3_SKQ17_P2,Area 233_JA4_265m_0.3_SKQ17_P2,#Peptides,#Unique,#Spec 233_JA4_265m_0.3_SKQ17_P2,PTM,Avg. Mass,Description
261,392919,ETNP14_120maa_PROKKA_113456,81.12,9,9,6.27E5,2,1,4,Carbamidomethylation,39216,Bacterial extracellular solute-binding protein
261,392920,ETNP14_68maa_PROKKA_82752,81.12,9,9,6.27E5,2,1,4,Carbamidomethylation,39216,Bacterial extracellular solute-binding protein
154,404256,ETNP_140m_PROKKA_94426,80.72,49,49,2.65E6,4,4,6,,12241,Phasin protein
154,404257,ETNP_120m_PROKKA_312294,80.72,49,49,2.65E6,4,4,6,,12241,Phasin protein
154,404258,ETNP_120m_particle_PROKKA_31947,80.72,49,49,2.65E6,4,4,6,,12241,Phasin protein
154,404259,NP_300m_PROKKA_06114,80.72,49,49,2.65E6,4,4,6,,12241,Phasin protein
154,404260,ETNP_150m_particle_PROKKA_55044,80.72,49,49,2.65E6,4,4,6,,12241,Phasin protein
141,392759,NP_300m_PROKKA_01039,78.12,45,45,4.08E5,6,2,6,,8031,hypothetical protein
141,392760,ETNP_300m_PROKKA_46898,78.12,45,45,4.08E5,6,2,6,,8031,hypothetical protein
141,392761,ETNP_120m_PROKKA_227310,78.12,45,45,4.08E5,6,2,6,,8031,hypothetical protein
141,392762,ETNP_140m_PROKKA_82664,78.12,45,45,4.08E5,6,2,6,,8031,hypothetical protein
141,392763,ETNP14_120maa_PROKKA_59212,78.12,45,45,4.08E5,6,2,6,,8031,hypothetical protein
141,392764,ETNP_120m_particle_PROKKA_36613,78.12,45,45,4.08E5,6,2,6,,8031,hypothetical protein
141,392765,ETNP_180m_PROKKA_27630,78.12,45,45,4.08E5,6,2,6,,8031,hypothetical protein
250,404756,ETNP_120m_particle_PROKKA_08488,76.66,6,6,1.74E6,2,1,3,,36254,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404757,ETNP_110m_PROKKA_05299,76.66,6,6,1.74E6,2,1,3,,37409,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404758,ETNP14_120maa_PROKKA_133328,76.66,6,6,1.74E6,2,1,3,,37427,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404759,NP_300m_PROKKA_32565,76.66,6,6,1.74E6,2,1,3,,41040,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404760,ETNP14_120maa_PROKKA_99994,76.66,5,5,1.74E6,2,1,3,,41974,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404761,ETNP_110m_PROKKA_51338,76.66,5,5,1.74E6,2,1,3,,41974,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404762,NP_300m_PROKKA_14696,76.66,5,5,1.74E6,2,1,3,,41974,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404763,SAR11cell_DLNKFFIG_05256,76.66,5,5,1.74E6,2,1,3,,41974,Monocarboxylate 2-oxoacid-binding periplasmic protein
250,404765,ETNP_100m_PROKKA_90867,76.66,6,6,1.74E6,2,1,3,,37425,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404766,ETNP_150m_particle_PROKKA_43016,76.66,6,6,1.74E6,2,1,3,,41061,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404767,NP_85m_PROKKA_14878,76.66,6,6,1.74E6,2,1,3,,41061,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404768,ETNP_110m_PROKKA_43032,76.66,6,6,1.74E6,2,1,3,,41061,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404769,NP_300m_PROKKA_12590,76.66,6,6,1.74E6,2,1,3,,41061,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404770,ETNP_100m_particle_PROKKA_92303,76.66,6,6,1.74E6,2,1,3,,41061,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404771,ETNP14_68maa_PROKKA_102569,76.66,6,6,1.74E6,2,1,3,,41047,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
250,404848,ETNP_120m_PROKKA_02903,76.66,6,6,1.74E6,2,1,3,,41359,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
124,392635,ETNP_100m_particle_PROKKA_53949,75.93,24,24,9.4E5,5,3,6,,22020,hypothetical protein
124,392636,ETNP_300m_PROKKA_171203,75.93,21,21,9.4E5,5,3,6,,25132,hypothetical protein
124,392637,ETNP_140m_PROKKA_73018,75.93,21,21,9.4E5,5,3,6,,25132,hypothetical protein
124,392638,ETNP_180m_PROKKA_227335,75.93,21,21,9.4E5,5,3,6,,25132,hypothetical protein
144,404418,ETSP_PROKKA_00349,75.92,59,59,1.69E5,3,2,3,,7623,Cold shock-like protein CspLA
144,404419,SAR11cell_DLNKFFIG_00190,75.92,59,59,1.69E5,3,2,3,,7633,Cold shock-like protein CspLA
144,404420,NP_100m_PROKKA_24579,75.92,59,59,1.69E5,3,2,3,,7623,Cold shock-like protein CspLA
144,404421,ETNP14_68mB_PROKKA_105011,75.92,59,59,1.69E5,3,2,3,,7623,Cold shock-like protein CspLA
267,404384,NP_300m_PROKKA_24143,75.91,39,39,5.27E5,2,2,2,,7893,hypothetical protein
267,404385,ETNP_120m_particle_PROKKA_198585,75.91,39,39,5.27E5,2,2,2,,7893,hypothetical protein
267,404386,ETNP_120m_PROKKA_83276,75.91,21,21,5.27E5,2,2,2,,14794,hypothetical protein
95,393915,ETNP_180m_PROKKA_122783,75.51,19,19,1.4E5,5,1,7,,35635,Alpha-keto acid-binding periplasmic protein TakP precursor
95,404409,ETNP_300m_PROKKA_118922,75.51,17,17,1.4E5,5,1,7,,38887,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
95,404410,ETNP_160m_PROKKA_222403,75.51,17,17,1.4E5,5,1,7,,38887,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
95,404411,ETNP14_120maa_PROKKA_86815,75.51,17,17,1.4E5,5,1,7,,39071,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
95,393916,ETNP_120m_PROKKA_192514,75.51,17,17,1.4E5,5,1,7,,38887,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
191,404283,NP_100m_PROKKA_02946,75.48,12,12,1.31E6,5,1,5,Oxidation (M); Deamidation (NQ),44655,Leucine-  isoleucine-  valine-  threonine-  and alanine-binding protein precursor
191,404284,NP_125m_PROKKA_07443,75.48,12,12,1.31E6,5,1,5,Oxidation (M); Deamidation (NQ),44625,Leucine-  isoleucine-  valine-  threonine-  and alanine-binding protein precursor
191,404285,ETNP_100m_particle_PROKKA_14269,75.48,12,12,1.31E6,5,1,5,Oxidation (M); Deamidation (NQ),44665,Leucine-  isoleucine-  valine-  threonine-  and alanine-binding protein precursor
130,404359,NP_300m_PROKKA_17954,74.38,23,23,1.83E6,4,2,7,,15241,Phasin protein
266,404357,ETNP_300m_PROKKA_135134,74.29,35,35,2.05E5,3,1,4,,9824,hypothetical protein
299,404738,ETNP_120m_PROKKA_166655,72.89,7,7,3.41E4,2,2,3,,60163,Periplasmic murein peptide-binding protein precursor
299,404739,ETNP_160m_PROKKA_93563,72.89,7,7,3.41E4,2,2,3,,60163,Periplasmic murein peptide-binding protein precursor
299,404740,ETNP_300m_PROKKA_179810,72.89,7,7,3.41E4,2,2,3,,60163,Periplasmic murein peptide-binding protein precursor
299,404741,NP_300m_PROKKA_01308,72.89,7,7,3.41E4,2,2,3,,60163,Periplasmic murein peptide-binding protein precursor
299,404742,ETNP_180m_PROKKA_29918,72.89,7,7,3.41E4,2,2,3,,60163,Periplasmic murein peptide-binding protein precursor
299,404743,ETNP_140m_PROKKA_47129,72.89,7,7,3.41E4,2,2,3,,60163,Periplasmic murein peptide-binding protein precursor
222,404454,ETNP_100m_particle_PROKKA_74628,72.74,14,14,2.4E5,4,1,4,,43383,Nitrate reductase
222,404455,ETNP_120m_PROKKA_249142,72.74,12,12,2.4E5,4,1,4,,49008,Nitrate reductase
237,404433,ETNP14_120mab_PROKKA_50153,72.69,37,37,1.2E6,3,2,3,,10199,DNA-binding protein HU 1
237,404434,NP_125m_PROKKA_12027,72.69,37,37,1.2E6,3,2,3,,10208,DNA-binding protein HU 1
237,404435,ETNP14_120mab_PROKKA_114940,72.69,37,37,1.2E6,3,2,3,,10226,DNA-binding protein HU 1
237,404436,ETNP14_120mab_PROKKA_120369,72.69,37,37,1.2E6,3,2,3,,10226,DNA-binding protein HU 1
133,405039,ETNP_120m_PROKKA_107658,71.95,20,20,3.82E5,5,5,5,,17148,PEP-CTERM motif protein
211,393537,ETNP_160m_PROKKA_10312,71.90,21,21,9.4E5,3,3,4,Carbamidomethylation,23585,Substrate binding domain of ABC-type glycine betaine transport system
211,393538,ETNP_120m_particle_PROKKA_107560,71.90,17,17,9.4E5,3,3,4,Carbamidomethylation,29408,glycine betaine transporter periplasmic subunit
211,393539,ETNP_120m_PROKKA_72050,71.90,15,15,9.4E5,3,3,4,Carbamidomethylation,32648,glycine betaine transporter periplasmic subunit
211,393540,ETNP_180m_PROKKA_17359,71.90,14,14,9.4E5,3,3,4,Carbamidomethylation,34636,glycine betaine transporter periplasmic subunit
302,405263,NP_300m_PROKKA_24568,71.61,10,10,1.09E6,2,2,3,,26626,hypothetical protein
257,404551,ETNP_120m_free_PROKKA_79643,70.89,9,9,1.14E6,4,4,4,,58218,Glutathione-binding protein GsiB precursor
257,404552,ETNP_300m_PROKKA_148110,70.89,9,9,1.14E6,4,4,4,,58218,Glutathione-binding protein GsiB precursor
297,404677,ETNP_110m_PROKKA_01334,70.41,7,7,3.3E5,2,1,2,,39985,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
297,404678,ETNP_100m_PROKKA_49560,70.41,7,7,3.3E5,2,1,2,,39985,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
214,362696,ABQ69253.1,68.84,6,6,4.32E6,2,1,3,Deamidation (NQ),29106,cold-shock DNA-binding protein family [Sphingomonas wittichii RW1]
344,404749,ETNP_300m_PROKKA_73002,68.67,9,9,3.24E5,2,2,2,,35279,Periplasmic dipeptide transport protein precursor
344,404750,ETNP_120m_PROKKA_164604,68.67,5,5,3.24E5,2,2,2,,57649,Periplasmic dipeptide transport protein precursor
344,404751,NP_300m_PROKKA_03566,68.67,5,5,3.24E5,2,2,2,,57649,Periplasmic dipeptide transport protein precursor
344,404752,ETNP_140m_PROKKA_128292,68.67,5,5,3.24E5,2,2,2,,57649,Periplasmic dipeptide transport protein precursor
344,404753,ETNP_180m_PROKKA_192696,68.67,5,5,3.24E5,2,2,2,,57649,Periplasmic dipeptide transport protein precursor
344,404754,ETNP_160m_PROKKA_63379,68.67,5,5,3.24E5,2,2,2,,57649,Periplasmic dipeptide transport protein precursor
344,404755,NP_100m_PROKKA_09173,68.67,5,5,3.24E5,2,2,2,,57649,Periplasmic dipeptide transport protein precursor
223,404565,ETNP14_120maa_PROKKA_100666,68.59,9,9,1.64E5,3,3,3,,39553,Leucine-  isoleucine-  valine-  threonine-  and alanine-binding protein precursor
161,404603,SAR11cell_DLNKFFIG_00233,67.83,69,69,1.5E6,4,3,4,,7523,Cold shock-like protein CspLA
161,404604,SAR11cell_DLNKFFIG_09538,67.83,69,69,1.5E6,4,3,4,,7523,Cold shock-like protein CspLA
254,404331,NP_300m_PROKKA_18276,67.65,15,15,2.24E6,4,2,4,Carbamidomethylation,40385,Receptor family ligand binding region
254,404332,ETNP_120m_particle_PROKKA_28238,67.65,15,15,2.24E6,4,2,4,Carbamidomethylation,40385,Receptor family ligand binding region
254,404333,ETNP_160m_PROKKA_104080,67.65,15,15,2.24E6,4,2,4,Carbamidomethylation,40385,Receptor family ligand binding region
242,404479,NP_85m_PROKKA_13943,67.22,38,38,3.08E6,4,4,4,,12454,Nitrogen regulatory protein P-II 2
242,404480,ETNP_150m_particle_PROKKA_12638,67.22,38,38,3.08E6,4,4,4,,12443,Nitrogen regulatory protein P-II 2
242,404481,NP_300m_PROKKA_18640,67.22,38,38,3.08E6,4,4,4,,12457,Nitrogen regulatory protein P-II 2
242,404482,ETNP_90m_PROKKA_10179,67.22,38,38,3.08E6,4,4,4,,12438,Nitrogen regulatory protein P-II 2
242,404483,ETNP_120m_particle_PROKKA_77929,67.22,38,38,3.08E6,4,4,4,,12457,Nitrogen regulatory protein P-II 2
242,404484,ETNP_120m_particle_PROKKA_238038,67.22,38,38,3.08E6,4,4,4,,12457,Nitrogen regulatory protein P-II 2
242,404485,ETNP_100m_PROKKA_88415,67.22,38,38,3.08E6,4,4,4,,12457,Nitrogen regulatory protein P-II 2
242,404486,ETNP14_120maa_PROKKA_67711,67.22,38,38,3.08E6,4,4,4,,12457,Nitrogen regulatory protein P-II 2
242,404487,ETNP_100m_PROKKA_15452,67.22,38,38,3.08E6,4,4,4,,12438,Nitrogen regulatory protein P-II 2
242,404488,ETNP14_120mab_PROKKA_68779,67.22,38,38,3.08E6,4,4,4,,12438,Nitrogen regulatory protein P-II 2
242,404489,NP_300m_PROKKA_12589,67.22,38,38,3.08E6,4,4,4,,12438,Nitrogen regulatory protein P-II 2
242,404490,ETNP_110m_PROKKA_49983,67.22,38,38,3.08E6,4,4,4,,12457,Nitrogen regulatory protein P-II 2
242,404491,ETSP_PROKKA_00384,67.22,38,38,3.08E6,4,4,4,,12438,Nitrogen regulatory protein P-II 2
242,404492,SAR11cell_DLNKFFIG_04998,67.22,37,37,3.08E6,4,4,4,,12789,Nitrogen regulatory protein P-II 2
271,392505,ETNP_150m_particle_PROKKA_09951,67.03,14,14,4.62E5,3,2,3,,15920,hypothetical protein
271,392509,SAR11cell_DLNKFFIG_09937,67.03,7,7,4.62E5,3,2,3,,35304,Leu/Ile/Val-binding protein
202,404532,ETNP14_68mB_PROKKA_116333,66.79,13,13,1.36E6,3,3,4,,27146,Taurine-binding periplasmic protein precursor
288,404636,ETNP_120m_particle_PROKKA_183957,65.93,7,7,1.24E4,2,2,2,,56508,Oligopeptide-binding protein AppA precursor
288,404637,ETNP_140m_PROKKA_80315,65.93,6,6,1.24E4,2,2,2,,60654,Oligopeptide-binding protein AppA precursor
288,404638,ETNP_120m_PROKKA_142640,65.93,6,6,1.24E4,2,2,2,,60640,Oligopeptide-binding protein AppA precursor
288,404639,NP_300m_PROKKA_10682,65.93,6,6,1.24E4,2,2,2,,60668,Oligopeptide-binding protein AppA precursor
288,404640,ETNP_160m_PROKKA_156752,65.93,6,6,1.24E4,2,2,2,,60673,Oligopeptide-binding protein AppA precursor
179,404328,ETNP_180m_PROKKA_190379,65.87,11,11,9.39E5,5,1,6,Oxidation (M); Deamidation (NQ),48837,Leucine-  isoleucine-  valine-  threonine-  and alanine-binding protein precursor
179,404329,NP_100m_PROKKA_04850,65.87,11,11,9.39E5,5,1,6,Oxidation (M); Deamidation (NQ),48850,Leucine-  isoleucine-  valine-  threonine-  and alanine-binding protein precursor
179,404330,NP_300m_PROKKA_03330,65.87,11,11,9.39E5,5,1,6,Oxidation (M); Deamidation (NQ),48837,Leucine-  isoleucine-  valine-  threonine-  and alanine-binding protein precursor
203,404557,ETNP_110m_PROKKA_27713,65.01,8,8,7.06E4,3,1,3,,42914,Elongation factor Tu
203,404558,NP_100m_PROKKA_11238,65.01,8,8,7.06E4,3,1,3,,43103,Elongation factor Tu
203,404559,ETNP14_120maa_PROKKA_12136,65.01,8,8,7.06E4,3,1,3,,43103,Elongation factor Tu
246,404641,ETNP_140m_PROKKA_125338,65.00,6,6,0E0,2,1,2,,43109,Elongation factor Tu
246,404642,ETNP_160m_PROKKA_154543,65.00,6,6,0E0,2,1,2,,40878,Elongation factor Tu
207,404955,ETNP14_68mB_PROKKA_143916,64.59,40,40,0E0,2,1,2,,5589,DNA-binding protein HU 1
207,404956,ETNP14_68mB_PROKKA_85231,64.59,34,34,0E0,2,1,2,,6547,DNA-binding protein HU 1
207,404957,ETNP14_68mB_PROKKA_78805,64.59,26,26,0E0,2,1,2,,8354,DNA-binding protein HU 1
207,404958,ETNP14_68mB_PROKKA_21164,64.59,22,22,0E0,2,1,2,,10019,DNA-binding protein HU 1
207,404959,ETNP14_68mB_PROKKA_176302,64.59,22,22,0E0,2,1,2,,10002,DNA-binding protein HU 1
207,404960,SAR11cell_DLNKFFIG_05502,64.59,22,22,0E0,2,1,2,,10082,DNA-binding protein HU-beta
207,404961,ETNP14_68mB_PROKKA_162002,64.59,22,22,0E0,2,1,2,,10093,DNA-binding protein HU 1
207,404962,ETNP14_68mB_PROKKA_115549,64.59,22,22,0E0,2,1,2,,10123,DNA-binding protein HU 1
207,404963,ETNP14_68mB_PROKKA_89787,64.59,22,22,0E0,2,1,2,,10019,DNA-binding protein HU 1
207,404964,SAR11cell_DLNKFFIG_03061,64.59,22,22,0E0,2,1,2,,10003,DNA-binding protein HU 1
207,404965,ETNP14_68mB_PROKKA_144621,64.59,22,22,0E0,2,1,2,,10019,DNA-binding protein HU 1
207,404966,ETNP14_68mB_PROKKA_13524,64.59,22,22,0E0,2,1,2,,9991,DNA-binding protein HU 1
207,404967,SAR11cell_DLNKFFIG_02409,64.59,22,22,0E0,2,1,2,,10019,DNA-binding protein HU 1
207,404968,ETNP14_68mB_PROKKA_15291,64.59,22,22,0E0,2,1,2,,9992,DNA-binding protein HU 1
207,404969,ETNP14_68mB_PROKKA_08591,64.59,22,22,0E0,2,1,2,,10019,DNA-binding protein HU 1
207,404970,ETNP14_68mB_PROKKA_91640,64.59,22,22,0E0,2,1,2,,10148,DNA-binding protein HU 1
207,404971,NP_100m_PROKKA_13086,64.59,22,22,0E0,2,1,2,,10197,DNA-binding protein HU 1
207,404972,NP_85m_PROKKA_25324,64.59,22,22,0E0,2,1,2,,10082,DNA-binding protein HU-beta
207,404973,SAR11cell_DLNKFFIG_00476,64.59,22,22,0E0,2,1,2,,10019,DNA-binding protein HU 1
207,404974,ETNP14_68mB_PROKKA_156856,64.59,22,22,0E0,2,1,2,,9962,DNA-binding protein HU 1
207,404975,ETNP14_68mB_PROKKA_85481,64.59,22,22,0E0,2,1,2,,9963,DNA-binding protein HU 1
207,404976,ETNP14_68mB_PROKKA_56904,64.59,22,22,0E0,2,1,2,,10019,DNA-binding protein HU 1
207,404977,NP_300m_PROKKA_28831,64.59,22,22,0E0,2,1,2,,10082,DNA-binding protein HU-beta
207,404978,ETNP14_68mB_PROKKA_164447,64.59,22,22,0E0,2,1,2,,9976,DNA-binding protein HU 1
207,404979,ETNP14_68mB_PROKKA_164227,64.59,22,22,0E0,2,1,2,,9999,DNA-binding protein HU 1
207,404980,ETNP14_68mB_PROKKA_135780,64.59,18,18,0E0,2,1,2,,12409,DNA-binding protein HU 1
207,404981,ETNP14_68mB_PROKKA_53734,64.59,18,18,0E0,2,1,2,,12444,DNA-binding protein HU-beta
207,404982,ETNP14_68mB_PROKKA_46160,64.59,16,16,0E0,2,1,2,,14312,DNA-binding protein HU-beta
285,404504,ETNP_120m_free_PROKKA_202750,63.79,4,4,8.59E5,3,3,3,,99807,Arsenite oxidase subunit AioA
230,404828,ETNP14_68maa_PROKKA_133404,63.04,4,4,1.31E6,2,2,3,,35359,hypothetical protein
230,404829,SAR11cell_DLNKFFIG_08390,63.04,4,4,1.31E6,2,2,3,,35403,hypothetical protein
258,395209,NP_125m_PROKKA_04580,62.94,7,7,2.69E5,2,2,2,,51884,Glutamine synthetase
258,395210,NP_100m_PROKKA_05985,62.94,7,7,2.69E5,2,2,2,,51870,Glutamine synthetase
258,395211,NP_85m_PROKKA_09540,62.94,7,7,2.69E5,2,2,2,,51870,Glutamine synthetase
258,395212,NP_300m_PROKKA_05116,62.94,7,7,2.69E5,2,2,2,,51944,Glutamine synthetase
321,404774,NP_300m_PROKKA_06115,62.53,8,8,4.86E5,2,2,2,,39813,Acetyl-CoA acetyltransferase
321,404775,ETNP_160m_PROKKA_60266,62.53,8,8,4.86E5,2,2,2,,39813,Acetyl-CoA acetyltransferase
321,404776,ETNP_120m_particle_PROKKA_31946,62.53,8,8,4.86E5,2,2,2,,39839,Acetyl-CoA acetyltransferase
193,404615,ETNP_300m_PROKKA_147167,62.35,5,5,5.84E5,2,1,3,,52788,Respiratory nitrate reductase 2 beta chain
193,404616,ETNP_180m_PROKKA_139246,62.35,5,5,5.84E5,2,1,3,,52814,Respiratory nitrate reductase 2 beta chain
212,404405,ETNP_300m_PROKKA_21475,61.52,14,14,8.33E5,4,4,4,,40792,Acetyl-CoA acetyltransferase
212,404406,ETNP_160m_PROKKA_64120,61.52,14,14,8.33E5,4,4,4,,40792,Acetyl-CoA acetyltransferase
212,404407,NP_300m_PROKKA_10409,61.52,14,14,8.33E5,4,4,4,,40792,Acetyl-CoA acetyltransferase
212,404408,ETNP_180m_PROKKA_141418,61.52,14,14,8.33E5,4,4,4,,40792,Acetyl-CoA acetyltransferase
276,404944,NP_300m_PROKKA_14839,61.30,13,13,1.09E6,2,2,2,,10843,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
276,404945,ETNP_150m_particle_PROKKA_33708,61.30,13,13,1.09E6,2,2,2,,10843,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
276,404946,ETNP_100m_PROKKA_00651,61.30,13,13,1.09E6,2,2,2,,10843,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
276,404947,ETNP_300m_PROKKA_40597,61.30,13,13,1.09E6,2,2,2,,10843,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
276,404948,ETNP_120m_particle_PROKKA_03441,61.30,13,13,1.09E6,2,2,2,,10843,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
276,404949,ETNP_120m_PROKKA_32239,61.30,13,13,1.09E6,2,2,2,,10843,RNA recognition motif. (a.k.a. RRM  RBD  or RNP domain)
274,393682,ETNP14_120mac_PROKKA_31841,61.05,27,27,1.66E6,3,3,4,,9203,hypothetical protein
229,393199,ETNP_120m_PROKKA_38162,60.80,13,13,8.69E4,3,1,4,,19434,hypothetical protein
150,404623,NP_300m_PROKKA_37106,60.73,22,22,4.72E5,3,2,3,Oxidation (M),17737,Alpha-keto acid-binding periplasmic protein TakP precursor
364,404891,ETNP_120m_free_PROKKA_115174,60.58,8,8,5.68E5,2,2,2,Carbamidomethylation,48092,Oligopeptide-binding protein AppA precursor
364,404892,ETNP_120m_PROKKA_142573,60.58,7,7,5.68E5,2,2,2,Carbamidomethylation,52952,Oligopeptide-binding protein AppA precursor
308,404897,NP_300m_PROKKA_13340,60.38,9,9,9.9E5,2,2,3,,29860,Glycine betaine-binding periplasmic protein precursor
308,404899,ETNP_110m_PROKKA_37205,60.38,7,7,9.9E5,2,2,3,,37329,Glycine betaine-binding periplasmic protein precursor
308,404900,NP_125m_PROKKA_04054,60.38,7,7,9.9E5,2,2,3,,37343,Glycine betaine-binding periplasmic protein precursor
308,404901,ETNP14_120maa_PROKKA_81899,60.38,7,7,9.9E5,2,2,3,,37329,Glycine betaine-binding periplasmic protein precursor
305,404517,NP_300m_PROKKA_02512,60.36,10,10,9.42E5,3,3,3,,40041,Bacterial extracellular solute-binding protein
305,404518,ETNP_180m_PROKKA_185546,60.36,10,10,9.42E5,3,3,3,,40041,Bacterial extracellular solute-binding protein
305,404519,ETNP_300m_PROKKA_97270,60.36,10,10,9.42E5,3,3,3,,40041,Bacterial extracellular solute-binding protein
305,404520,ETNP_160m_PROKKA_05108,60.36,10,10,9.42E5,3,3,3,,40041,Bacterial extracellular solute-binding protein
305,404521,ETNP_140m_PROKKA_93610,60.36,10,10,9.42E5,3,3,3,,40041,Bacterial extracellular solute-binding protein
320,358566,WP_011372264.1,60.29,2,2,1.28E5,2,1,2,,57169,molecular chaperone GroEL [Sulfurimonas denitrificans]
320,393866,ETNP14_68maa_PROKKA_96704,60.29,2,2,1.28E5,2,1,2,,57988,60 kDa chaperonin
137,404539,NP_300m_PROKKA_44350,60.24,12,12,1.86E6,3,2,3,Oxidation (M),25832,Alpha-keto acid-binding periplasmic protein TakP precursor
304,404472,ETNP_160m_PROKKA_38123,59.86,11,11,1.96E6,3,3,3,,41678,Spermidine/putrescine-binding periplasmic protein precursor
304,404473,ETNP_180m_PROKKA_17494,59.86,11,11,1.96E6,3,3,3,,41678,Spermidine/putrescine-binding periplasmic protein precursor
304,404474,ETNP_120m_PROKKA_101029,59.86,11,11,1.96E6,3,3,3,,41678,Spermidine/putrescine-binding periplasmic protein precursor
304,404475,ETNP_300m_PROKKA_30178,59.86,11,11,1.96E6,3,3,3,,41678,Spermidine/putrescine-binding periplasmic protein precursor
295,404573,NP_85m_PROKKA_06027,59.65,12,12,4.69E5,3,2,3,,25656,Acetoacetyl-CoA reductase
295,404574,NP_300m_PROKKA_29036,59.65,12,12,4.69E5,3,2,3,,25656,Acetoacetyl-CoA reductase
295,404575,NP_100m_PROKKA_03088,59.65,12,12,4.69E5,3,2,3,,25655,Acetoacetyl-CoA reductase
295,404576,SAR11cell_DLNKFFIG_06748,59.65,12,12,4.69E5,3,2,3,,25656,Acetoacetyl-CoA reductase
319,404790,ETNP_120m_free_PROKKA_79382,59.47,6,6,2.14E5,2,2,2,,61453,Quinohemoprotein alcohol dehydrogenase ADH IIB precursor
319,404791,ETNP_120m_PROKKA_274492,59.47,6,6,2.14E5,2,2,2,,61453,Quinohemoprotein alcohol dehydrogenase ADH IIB precursor
319,404792,ETNP_160m_PROKKA_167750,59.47,6,6,2.14E5,2,2,2,,61439,Quinohemoprotein alcohol dehydrogenase ADH IIB precursor
319,404793,ETNP_300m_PROKKA_163281,59.47,6,6,2.14E5,2,2,2,,61440,Quinohemoprotein alcohol dehydrogenase ADH IIB precursor
298,404709,ETNP_120m_free_PROKKA_115907,59.31,4,4,4.85E5,2,2,2,,54556,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
298,404710,ETNP_160m_PROKKA_87354,59.31,3,3,4.85E5,2,2,2,,63426,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
170,404625,ETNP_300m_PROKKA_117146,58.76,9,9,1.77E6,3,3,3,,39758,Copper-containing nitrite reductase precursor
327,404746,ETNP_180m_PROKKA_22004,58.51,12,12,1.43E4,2,2,2,,40579,Heme-binding protein A precursor
327,405052,ETNP_120m_free_PROKKA_154350,58.51,19,19,1.43E4,2,2,2,,24505,Nickel-binding periplasmic protein precursor
300,404865,ETNP_300m_PROKKA_48369,58.13,5,5,4.95E5,2,2,3,,62910,Glutathione-binding protein GsiB precursor
300,404866,ETNP_160m_PROKKA_195108,58.13,5,5,4.95E5,2,2,3,,62910,Glutathione-binding protein GsiB precursor
300,404867,ETNP_180m_PROKKA_165751,58.13,5,5,4.95E5,2,2,3,,62910,Glutathione-binding protein GsiB precursor
300,404868,ETNP_120m_PROKKA_09663,58.13,5,5,4.95E5,2,2,3,,62910,Glutathione-binding protein GsiB precursor
259,404711,ETNP_120m_free_PROKKA_72321,57.79,4,4,2.62E5,2,2,2,,65456,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
243,404544,NP_300m_PROKKA_29314,57.37,10,10,7.21E5,3,2,3,,32990,General L-amino acid-binding periplasmic protein AapJ precursor
362,404878,ETNP_150m_particle_PROKKA_03901,57.32,18,18,3.44E4,2,1,2,,12490,Acetoacetyl-CoA reductase
362,404881,ETNP14_120mab_PROKKA_94963,57.32,14,14,3.44E4,2,1,2,,15554,Acetoacetyl-CoA reductase
270,404464,ETNP_140m_PROKKA_28044,57.19,22,22,1.46E6,3,3,3,,19772,Acetoacetyl-CoA reductase
270,404465,ETNP_120m_PROKKA_216125,57.19,22,22,1.46E6,3,3,3,,19772,Acetoacetyl-CoA reductase
