Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 3: 336 2-9_94m_nw6_dry_BSA,Area Sample 3: 336 2-9_94m_nw6_dry_BSA,#Peptides,#Unique,#Spec Sample 3: 336 2-9_94m_nw6_dry_BSA,PTM,Avg. Mass,Description
217,8580,XP_002176492,20.78,2,2,7.58E5,1,1,1,,35205,predicted protein partial  Phaeodactylum tricornutum CCAP 1055
217,8582,XP_002180263,20.78,1,1,7.58E5,1,1,1,,63593,predicted protein  Phaeodactylum tricornutum CCAP 1055
57,8583,ETNP_160,20.77,1,1,2.15E7,1,1,2,,151768,DNA-directed RNA polymerase subunit beta
501,8679,WP_007232674,20.76,2,2,3.55E6,1,1,1,,51487,hypothetical protein gamma proteobacterium HTCC2207
224,8625,ETNP_120,20.68,2,2,2.91E6,1,1,1,,50346,Response regulator PleD
503,8682,ETNP14_68,20.66,1,1,3.07E4,1,1,1,,54077,Arylsulfatase
504,8683,WP_010205427.1,20.42,3,3,4.73E5,1,1,1,,34844,hypothetical protein [Salinibacterium sp. PAMC 21357]
322,8634,ETNP_180,20.37,3,3,1.93E4,1,1,1,,26219,putative enoyl-CoA hydratase echA8
163,8569,ETNP14_120,20.29,2,2,0E0,1,1,1,,72786,hypothetical protein
505,8685,ETNP_70,20.29,3,3,0E0,1,1,1,,32022,Exonuclease
323,8640,ETNP14_120,20.20,2,2,1.33E5,1,1,1,,49994,hypothetical protein
508,8693,ETNP_100,20.14,2,2,1.96E6,1,1,1,,37147,hypothetical protein
94,8690,ETNP14_68,20.13,3,3,9.16E5,1,1,2,,31708,Phosphoribosylaminoimidazole-succinocarboxamide synthase
325,8647,NP_85,20.06,1,1,6.64E5,1,1,1,,80514,Anthranilate synthase component 1
507,8689,ETNP_120,20.03,3,3,4.59E4,1,1,1,,48770,hypothetical protein
139,8573,WP_011375775.1,20.02,1,1,1.41E6,1,1,1,,104607,chaperone protein ClpB [Prochlorococcus marinus]
79,8692,AMC11964.1,20.01,7,7,0E0,1,1,2,,14794,biopolymer transporter ExbD [Lutibacter profundi]
