Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 11: 278 4-19_265m_top+P-A,Area Sample 11: 278 4-19_265m_top+P-A,#Peptides,#Unique,#Spec Sample 11: 278 4-19_265m_top+P-A,PTM,Avg. Mass,Description
107,134570,WP_013112285.1,26.45,0,0,0E0,1,1,1,Oxidation (M),287939,hypothetical protein [Planctopirus limnophila]
378,144478,ETNP_60,26.39,5,5,1.42E5,1,1,1,,19393,hypothetical protein
378,19998,ETNP14_68,26.39,5,5,1.42E5,1,1,1,,19193,hypothetical protein
378,19999,ETNP_70,26.39,5,5,1.42E5,1,1,1,,19456,hypothetical protein
33,144479,ETNP_160,26.25,3,3,1.63E7,1,1,3,,32699,Secreted effector protein pipB2
33,144480,ETNP_300,26.25,3,3,1.63E7,1,1,3,,32889,Secreted effector protein pipB2
33,144481,ETNP_180,26.25,2,2,1.63E7,1,1,3,,39964,Secreted effector protein pipB2
33,144482,ETNP_120,26.25,2,2,1.63E7,1,1,3,,45854,Secreted effector protein pipB2
33,144483,ETNP_140,26.25,2,2,1.63E7,1,1,3,,47773,Secreted effector protein pipB2
65,144350,ETNP_90,26.16,12,12,3.23E6,1,1,2,,8127,hypothetical protein
152,144112,EJK69390,26.11,2,2,2.46E5,1,1,1,,46336,hypothetical protein THAOC_09363  Thalassiosira oceanica
152,144353,BAJ30656.1,26.11,3,3,2.46E5,1,1,1,,32478,putative peptidase S33 family protein [Kitasatospora setae KM-6054]
152,144485,ETNP_60,26.11,5,5,2.46E5,1,1,1,,19430,hypothetical protein
152,144488,ACY12893.1,26.11,1,1,2.46E5,1,1,1,,138851,type IV pilus secretin PilQ [Haliangium ochraceum DSM 14365]
381,144490,WP_048500124,25.84,1,1,2.02E6,1,1,1,,109732,peptidase M16 Chryseobacterium koreense
244,144489,AAV95854.2,25.81,2,2,1.32E2,1,1,1,Oxidation (M),49519,aldehyde dehydrogenase  putative [Ruegeria pomeroyi DSS-3]
130,144110,ETNP_120,25.67,1,1,1.08E6,1,1,1,,72312,Threonine--tRNA ligase
245,144491,ETNP_120,25.43,8,8,1.1E5,1,1,1,,11471,hypothetical protein
245,144492,ETNP_160,25.43,8,8,1.1E5,1,1,1,,11471,hypothetical protein
245,144493,ETNP_100,25.43,5,5,1.1E5,1,1,1,,20429,hypothetical protein
245,144494,ETNP_150,25.43,5,5,1.1E5,1,1,1,,20429,hypothetical protein
245,144495,ETNP_120,25.43,5,5,1.1E5,1,1,1,,20429,hypothetical protein
382,144499,ETNP14_120,25.37,3,3,0E0,1,1,1,,25977,hypothetical protein
382,144500,ETNP_100,25.37,3,3,0E0,1,1,1,,28654,hypothetical protein
382,144501,ETNP14_120,25.37,3,3,0E0,1,1,1,,28953,hypothetical protein
382,144502,ETNP14_120,25.37,2,2,0E0,1,1,1,,39628,hypothetical protein
205,144497,ETNP_100,25.31,3,3,1.09E6,1,1,1,,51970,Trk system potassium uptake protein TrkA
205,144498,ETNP_120,25.31,3,3,1.09E6,1,1,1,,51940,Trk system potassium uptake protein TrkA
153,144113,ETNP14_120,25.22,2,2,3.59E5,1,1,1,,47112,VWA domain containing CoxE-like protein
55,144121,EDP94609.1,24.81,1,1,0E0,2,1,2,,364749,polyketide synthase of type I [Kordia algicida OT-1]
75,18406,XP_003064478,24.68,2,2,5.17E5,2,2,2,,134163,predicted protein  Micromonas pusilla CCMP1545
200,144390,ETNP_160,24.59,4,4,2.18E5,1,1,1,,29097,hypothetical protein
383,127802,ETNP14_68,24.53,1,1,9.8E4,1,1,1,,110382,hypothetical protein
132,144119,ETNP_120,24.47,1,1,0E0,1,1,1,,145505,hypothetical protein
127,144101,virus_CCADEAMM_24495,24.17,0,0,0E0,1,1,1,,270052,hypothetical protein
385,144544,ETNP14_120,24.09,3,3,1.29E6,1,1,1,,45167,Flavin-dependent L-tryptophan oxidase RebO precursor
240,144438,WP_020743101,23.87,3,3,7.11E4,1,1,1,,48517,MotATolQExbB proton channel Alteromonas mediterranea
386,144548,WP_014102771,23.85,1,1,3.97E5,1,1,1,Oxidation (M),112637,acriflavin resistance protein Micavibrio aeruginosavorus
76,144428,ETNP14_68,23.71,3,3,2.39E6,1,1,2,,35674,Lysine--tRNA ligase
241,144444,ETNP_160,23.58,2,2,2.71E6,1,1,1,,46321,D-glycero-alpha-D-manno-heptose-1 7-bisphosphate 7-phosphatase
128,144102,WP_011220056.1,23.55,2,2,1.77E5,1,1,1,,48461,glutathione-disulfide reductase [Photobacterium profundum]
257,144557,WP_018047985,23.40,2,2,1.46E6,1,1,1,,56608,hypothetical protein Nitrospina sp AB-629-B18
389,144566,ETNP14_68,23.34,2,2,3.25E6,1,1,1,,44569,hypothetical protein
390,144577,ETNP14_68,23.13,3,3,5.51E6,1,1,1,,38997,hypothetical protein
204,144435,ETNP_90,23.06,2,2,1.34E6,1,1,1,Oxidation (M),76161,UvrABC system protein B
392,26808,ETNP14_120,22.92,5,5,2.9E6,1,1,1,,16587,hypothetical protein
243,144447,ETNP_120,22.90,2,2,2E6,1,1,1,,39245,hypothetical protein
282,144603,ETNP14_68,22.83,2,2,5.2E6,1,1,1,,46714,heat shock protein HtpX
282,144604,ETNP_70,22.83,2,2,5.2E6,1,1,1,,47913,Protease HtpX
155,133008,Flavovirus_FBAKDGPJ_08897,22.77,2,2,1.37E6,1,1,1,,72737,hypothetical protein
285,144607,WP_013307006.1,22.55,7,7,2.27E6,1,1,1,,12803,hypothetical protein [Maribacter sp. HTCC2170]
285,144609,WP_010205508.1,22.55,6,6,2.27E6,1,1,1,,14997,hypothetical protein [Salinibacterium sp. PAMC 21357]
394,144611,ETNP_90,22.51,2,2,7.4E6,1,1,1,Carbamidomethylation,74605,HEAT repeat protein
397,144618,CAN96001.1,22.48,1,1,3.04E5,1,1,1,,201469,Protein kinase [Sorangium cellulosum So ce56]
396,144613,ETNP14_120,22.48,11,11,5.69E4,1,1,1,Oxidation (M),14596,Ribonuclease D
67,144625,ETNP14_68,22.39,5,5,1.74E7,1,1,2,,17344,lipoprotein NlpI
398,144624,NP_30,22.32,2,2,2.81E5,1,1,1,,42251,Aspartate aminotransferase
156,144128,EJK64460,21.77,1,1,1.1E5,1,1,1,,165010,hypothetical protein THAOC_14803  Thalassiosira oceanica
405,145181,ETNP14_68,21.64,9,9,1.18E6,1,1,1,,11244,hypothetical protein
335,145185,WP_011217132.1,21.62,4,4,2.61E5,1,1,1,,25575,30S ribosomal protein S3 [Photobacterium profundum]
251,144550,ACL66228.1,21.54,1,1,3.32E6,1,1,1,,147489,response regulator receiver [Anaeromyxobacter dehalogenans 2CP-1]
408,145218,ETNP14_68,21.30,2,2,4.24E6,1,1,1,,40085,Phosphoglucosamine mutase
410,145221,WP_011127271,21.18,3,3,8.61E4,1,1,1,Carbamidomethylation,48414,hypothetical protein Synechococcus sp WH 8102
246,144541,virus_CCADEAMM_03634,21.17,2,2,0E0,1,1,1,,53517,hypothetical protein
412,145227,AGH07455.1,21.06,1,1,0E0,1,1,1,,86638,tail sheath protein [Cyanophage S-SSM6a]
168,144221,ETNP14_68,21.02,1,1,2.64E5,1,1,1,,118249,Bifunctional protein PutA
143,144560,ETNP_120,20.96,1,1,0E0,1,1,1,Oxidation (M),89381,putative assembly protein
143,144561,ETNP_300,20.96,1,1,0E0,1,1,1,Oxidation (M),97247,putative assembly protein
336,145234,ETNP14_120,20.96,6,6,8.83E6,1,1,1,,15050,dTDP-4-oxo-6-deoxy-D-allose reductase
336,145236,ETNP14_68,20.96,4,4,8.83E6,1,1,1,,21341,tRNA-splicing endonuclease subunit alpha
336,145240,ETNP14_120,20.96,2,2,8.83E6,1,1,1,,49531,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
248,144545,ETNP_70,20.70,2,2,5.06E6,1,1,1,,35893,DNA-directed RNA polymerase subunit alpha
271,144590,ETNP14_120,20.61,1,1,1.37E6,1,1,1,,54518,ATP synthase subunit alpha
271,145260,ETNP_120,20.61,2,2,1.37E6,1,1,1,,45826,ATP synthase subunit alpha
249,10328,ETNP14_68,20.47,1,1,8.3E5,1,1,1,,100331,DNA polymerase II
338,145248,virus_CCADEAMM_20713,20.43,3,3,7.46E5,1,1,1,,34226,hypothetical protein
275,144594,ACA19452.1,20.36,2,2,5.92E5,1,1,1,,57814,flagellar M-ring protein FliF [Methylobacterium sp. 4-46]
250,144549,ETNP14_68,20.27,2,2,1.36E6,1,1,1,,42407,Modulator of FtsH protease HflK
268,144582,WP_041394478.1,20.26,2,2,2.89E6,1,1,1,,61305,bifunctional UDP-sugar hydrolase/5'-nucleotidase [Photobacterium profundum]
418,145251,NP_125,20.26,7,7,2.65E5,1,1,1,,18398,Cytochrome c6
190,144289,ETNP_110,20.22,2,2,8.23E4,1,1,1,,40588,Alanine--tRNA ligase
190,144583,ETNP_100,20.22,2,2,8.23E4,1,1,1,,43750,Alanine--tRNA ligase
190,144584,ETNP14_120,20.22,1,1,8.23E4,1,1,1,,100078,Alanine--tRNA ligase
419,145252,WP_021778579.1,20.20,1,1,1.76E6,1,1,1,,68350,30S ribosomal protein S1 [Dokdonia sp. MED134]
419,145253,WP_035334093.1,20.20,1,1,1.76E6,1,1,1,,68412,30S ribosomal protein S1 [Dokdonia sp. PRO95]
419,145254,WP_013749742.1,20.20,1,1,1.76E6,1,1,1,,68427,30S ribosomal protein S1 [Dokdonia sp. 4H-3-7-5]
422,145264,NP_300,20.17,2,2,6.19E5,1,1,1,,36950,hypothetical protein
420,145255,ETNP14_120,20.16,8,8,0E0,1,1,1,,20907,hypothetical protein
420,145256,ETNP_160,20.16,6,6,0E0,1,1,1,,28953,hypothetical protein
420,145257,ETNP_120,20.16,6,6,0E0,1,1,1,,28983,hypothetical protein
420,145258,ETNP_180,20.16,6,6,0E0,1,1,1,,28967,hypothetical protein
420,145259,ETNP_120,20.16,4,4,0E0,1,1,1,,38421,hypothetical protein
174,144241,EJK74685,20.12,1,1,9.52E5,1,1,1,,76812,hypothetical protein THAOC_03620  Thalassiosira oceanica
421,145262,WP_013110822.1,20.11,4,4,4.02E5,1,1,1,,32017,malonyl CoA-acyl carrier protein transacylase [Planctopirus limnophila]
269,144585,WP_025047128,20.10,1,1,1.9E6,1,1,1,,72224,2 4-dienoyl-CoA reductase Sulfitobacter mediterraneus
272,144591,XP_003061076,20.08,1,1,4.83E5,1,1,1,,96436,predicted protein  Micromonas pusilla CCMP1545
272,145265,ETNP_70,20.08,2,2,4.83E5,1,1,1,,35843,hypothetical protein
252,144551,ETNP14_68,20.05,5,5,0E0,1,1,1,,26505,hypothetical protein
423,145267,EJK76504,20.02,2,2,2.13E6,1,1,1,,37816,hypothetical protein THAOC_01730  Thalassiosira oceanica
