Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 12: 278 4-19_265m_top+P-A_90min,Area Sample 12: 278 4-19_265m_top+P-A_90min,#Peptides,#Unique,#Spec Sample 12: 278 4-19_265m_top+P-A_90min,PTM,Avg. Mass,Description
132,193667,WP_011589032.1,32.46,1,1,7.76E5,1,1,1,,101136,MULTISPECIES: DNA gyrase subunit A [Alcanivorax]
132,193676,CAI86496.1,32.46,1,1,7.76E5,1,1,1,,100014,DNA gyrase  subunit A  type II topoisomerase [Pseudoalteromonas haloplanktis TAC125]
132,193684,ETNP14_120,32.46,1,1,7.76E5,1,1,1,,92999,DNA gyrase subunit A
132,193687,ETNP14_120,32.46,1,1,7.76E5,1,1,1,,93752,DNA gyrase subunit A
132,193688,WP_011822806.1,32.46,1,1,7.76E5,1,1,1,,93439,topoisomerase IV [Prochlorococcus marinus]
132,128227,ETNP14_120,32.46,1,1,7.76E5,1,1,1,,94931,DNA gyrase subunit A
132,193690,ABS64656.1,32.46,1,1,7.76E5,1,1,1,,106817,DNA gyrase  A subunit [Parvibaculum lavamentivorans DS-1]
132,193691,ABA56704.1,32.46,1,1,7.76E5,1,1,1,,93722,DNA gyrase subunit A [Nitrosococcus oceani ATCC 19707]
132,193692,ADI89736.1,32.46,1,1,7.76E5,1,1,1,,99782,DNA gyrase  A subunit [Acinetobacter oleivorans DR1]
132,193702,WP_007232499,32.46,1,1,7.76E5,1,1,1,,98752,DNA gyrase subunit A gamma proteobacterium HTCC2207
132,193703,CAK22431.1,32.46,1,1,7.76E5,1,1,1,,89868,DNA gyrase/topoisomerase IV  subunit A [Synechococcus sp. WH 7803]
132,193704,WP_011468626.1,32.46,1,1,7.76E5,1,1,1,,97741,DNA gyrase subunit A [Saccharophagus degradans]
132,193706,ETNP14_120,32.46,1,1,7.76E5,1,1,1,,93501,DNA gyrase subunit A
132,193724,WP_038542415,40.65,2,2,1.05E7,2,2,2,,90143,topoisomerase IV Synechococcus sp KORDI-100
132,193725,WP_011375570.1,32.46,1,1,7.76E5,1,1,1,,93472,DNA gyrase subunit A [Prochlorococcus marinus]
132,193727,ACI98885.1,32.46,1,1,7.76E5,1,1,1,,84341,DNA topoisomerase IV  A subunit  putative [Rhodospirillum centenum SW]
132,193728,ACL72619.1,32.46,1,1,7.76E5,1,1,1,,95295,DNA gyrase  A subunit [Thioalkalivibrio sulfidiphilus HL-EbGr7]
132,193729,WP_011131643.1,32.46,1,1,7.76E5,1,1,1,,93039,DNA gyrase subunit A [Prochlorococcus marinus]
132,193739,ABQ66479.1,32.46,1,1,7.76E5,1,1,1,,82670,DNA topoisomerase IV subunit A [Sphingomonas wittichii RW1]
132,193785,ACA18660.1,32.46,1,1,7.76E5,1,1,1,,82606,DNA topoisomerase IV  A subunit [Methylobacterium sp. 4-46]
132,193786,WP_006172725,32.46,1,1,7.76E5,1,1,1,,89794,topoisomerase IV Synechococcus sp WH 5701
132,193787,ETNP14_68,32.46,1,1,7.76E5,1,1,1,,91676,DNA gyrase subunit A
132,193788,WP_011311460,32.46,1,1,7.76E5,1,1,1,,94416,DNA gyrase subunit A Thiobacillus denitrificans
181,144730,virus_CCADEAMM_49594,39.83,7,7,0E0,1,1,2,,12710,hypothetical protein
181,144731,virus_CCADEAMM_49746,39.83,7,7,0E0,1,1,2,,12710,hypothetical protein
114,250,XP_003055763,39.78,1,1,4.96E6,2,2,2,,278777,nucleobaseCation symporter-1 family  Micromonas pusilla CCMP1545
114,193798,AAV95026.1,31.50,1,1,3.02E6,1,1,1,,105026,sarcosine oxidase  alpha subunit family [Ruegeria pomeroyi DSS-3]
105,194520,XP_002186477,39.09,4,4,3.01E6,2,1,2,,26459,predicted protein  Phaeodactylum tricornutum CCAP 1055
104,193837,ETNP_70,38.83,5,5,2.7E5,2,1,2,,42645,2-amino-3-ketobutyrate coenzyme A ligase
60,193655,ETNP_180,38.74,2,2,5.06E6,2,2,4,,129446,hypothetical protein
185,193700,EAP85926.1,38.13,8,8,9.3E5,2,2,3,,30433,hypothetical protein CA2559_07836 [Croceibacter atlanticus HTCC2559]
185,193748,ETNP_70,30.19,3,3,8.63E5,1,1,1,,29952,Chromosome partition protein Smc
346,193699,ETNP_120,37.93,1,1,3.94E6,1,1,1,Carbamidomethylation,76315,Glycine--tRNA ligase beta subunit
516,144345,BAJ30814.1,37.88,3,3,1.12E7,4,4,5,,160324,hypothetical protein KSE_50360 [Kitasatospora setae KM-6054]
72,170693,CAN90568.1,37.63,2,2,1.2E5,2,1,2,,158827,DNA-directed RNA polymerase  beta' subunit [Sorangium cellulosum So ce56]
72,24160,ETNP_90,37.63,2,2,1.2E5,2,1,2,,156824,DNA-directed RNA polymerase subunit beta'
229,193770,WP_041385083,37.38,2,2,3.19E6,2,2,2,,77901,HD family phosphohydrolase Prochlorococcus marinus
74,144733,SAR11,37.17,4,4,1.07E6,2,2,3,Oxidation (M),52206,Glutamine synthetase
66,18049,virus_CCADEAMM_07125,37.15,1,1,8.09E5,3,2,4,,404568,hypothetical protein
192,143886,WP_011218445.1,36.83,6,6,7.6E5,3,3,3,,43599,glycine C-acetyltransferase [Photobacterium profundum]
98,143954,ETNP_300,36.64,6,6,6.86E4,2,1,2,,25319,Enolase
98,143889,ETNP_300,36.64,4,4,6.86E4,2,1,2,,36271,Enolase
98,143890,ETNP_120,36.64,3,3,6.86E4,2,1,2,,46092,Enolase
164,144111,WP_041394571.1,36.53,4,4,9.77E4,2,1,2,,60072,phosphoenolpyruvate carboxykinase (ATP) [Photobacterium profundum]
281,144077,NP_100,36.43,3,3,2.16E7,1,1,1,,32063,8-oxoguanine deaminase
281,144079,NP_300,36.43,3,3,2.16E7,1,1,1,,33965,8-oxoguanine deaminase
281,144031,ETNP_140,36.43,2,2,2.16E7,1,1,1,,48885,8-oxoguanine deaminase
281,144032,NP_85,36.43,2,2,2.16E7,1,1,1,,48867,8-oxoguanine deaminase
280,193665,ETNP_100,35.93,4,4,9.14E5,1,1,1,,22610,Chaperone protein DnaK
280,193668,ETNP14_68,35.93,5,5,9.14E5,1,1,1,,18301,Chaperone protein DnaK
280,193669,ETNP14_68,35.93,5,5,9.14E5,1,1,1,,18357,Chaperone protein DnaK
280,193670,ETNP_300,35.93,2,2,9.14E5,1,1,1,,34503,Glutamyl-tRNA(Gln) amidotransferase subunit A
280,97935,ETNP_160,35.93,2,2,9.14E5,1,1,1,,52363,Glutamyl-tRNA(Gln) amidotransferase subunit A
280,97938,ETNP_120,35.93,2,2,9.14E5,1,1,1,,52372,Glutamyl-tRNA(Gln) amidotransferase subunit A
67,2629,ACY16316.1,35.93,1,1,1.7E5,3,2,3,,442497,TPR repeat-containing protein [Haliangium ochraceum DSM 14365]
82,193751,ETNP14_68,35.80,5,5,4.66E6,2,2,2,,36468,Glyceraldehyde-3-phosphate dehydrogenase A
82,193758,WP_013306620.1,35.80,5,5,4.66E6,2,2,2,,35831,type I glyceraldehyde-3-phosphate dehydrogenase [Maribacter sp. HTCC2170]
96,143955,ETNP_70,35.79,4,4,1.88E6,2,1,2,,47270,Enolase
96,143956,XP_003074214,35.79,1,1,1.88E6,2,1,2,,134454,enolase ISS  Ostreococcus tauri
347,193749,ETNP_180,35.18,2,2,1.1E6,1,1,1,,49582,Acylamidase
347,193750,ETNP14_68,35.18,2,2,1.1E6,1,1,1,,49558,Acylamidase
271,195819,BAI72560.1,35.03,3,3,2.35E6,1,1,1,Mutation,51842,glutamine synthetase [Azospirillum sp. B510]
147,144431,WP_013261112,34.85,1,1,2.74E6,1,1,1,,60679,30S ribosomal protein S1 gamma proteobacterium HdN1
97,145317,ETNP14_120,34.36,5,5,,2,0,2,,36868,30S ribosomal protein S1
138,17445,ETNP_100,34.18,21,21,,2,0,2,,14624,Tubulin/FtsZ family  GTPase domain
182,193678,ETNP_180,34.01,2,2,0E0,1,1,1,,39338,Alanine dehydrogenase
182,193679,ETNP_160,34.01,2,2,0E0,1,1,1,,39338,Alanine dehydrogenase
182,193680,ETNP_140,34.01,2,2,0E0,1,1,1,,39338,Alanine dehydrogenase
182,193682,ETNP14_68,34.01,2,2,0E0,1,1,1,,38921,Alanine dehydrogenase
182,193714,WP_006232307.1,34.01,2,2,0E0,1,1,1,,38919,alanine dehydrogenase [Photobacterium profundum]
182,193715,ETNP_90,34.01,6,6,0E0,1,1,1,,16218,Alanine dehydrogenase
182,193716,ETNP14_68,34.01,2,2,0E0,1,1,1,,38752,Alanine dehydrogenase
182,193717,ETNP_120,34.01,4,4,0E0,1,1,1,,24703,Alanine dehydrogenase
182,193718,ETNP_160,34.01,3,3,0E0,1,1,1,,31353,Alanine dehydrogenase
182,193719,ETNP_90,34.01,2,2,0E0,1,1,1,,38479,Alanine dehydrogenase
182,193759,ActinobacteriaREDSEAS09_EJKBNLBD_01758,34.01,3,3,0E0,1,1,1,,31495,Alanine dehydrogenase
182,193760,ETNP_100,34.01,3,3,0E0,1,1,1,,31486,Alanine dehydrogenase
182,193761,WP_011217903.1,34.01,2,2,0E0,1,1,1,,39776,alanine dehydrogenase [Photobacterium profundum]
182,193762,ActinobacteriaREDSEAS14_EEFFFEGA_01600,34.01,2,2,0E0,1,1,1,,38602,Alanine dehydrogenase
182,193763,ETNP14_120,34.01,2,2,0E0,1,1,1,,38661,Alanine dehydrogenase
182,193764,ETNP14_120,34.01,2,2,0E0,1,1,1,,38682,Alanine dehydrogenase
182,193765,ETNP_180,34.01,2,2,0E0,1,1,1,,38661,Alanine dehydrogenase
182,193766,NP_300,34.01,2,2,0E0,1,1,1,,38635,Alanine dehydrogenase
137,193773,XP_003083127,33.84,2,2,1.2E7,2,2,2,,45607,actin-related protein 2 ISS  Ostreococcus tauri
137,194057,ETNP_70,33.84,2,2,1.2E7,2,2,2,,45542,Bacterial actin-related protein
136,144490,WP_048500124,33.74,2,2,2.6E6,2,2,2,Mutation,109732,peptidase M16 Chryseobacterium koreense
68,193908,WP_015346769,33.73,11,11,4.65E5,2,1,5,Oxidation (M),18424,biotinlipoic acid-binding domain-containing protein Myxococcus stipitatus
1112,17872,WP_013260480,33.66,7,7,3.91E6,3,3,3,,36930,DNA-directed RNA polymerase subunit alpha gamma proteobacterium HdN1
223,145229,ETNP14_120,33.66,2,2,2.32E5,1,1,1,,50783,Adenosylhomocysteinase
80,193940,ACI97900.1,33.50,2,2,9.09E5,2,2,2,Mutation,118066,tonB-dependent outer membrane receptor  putative [Rhodospirillum centenum SW]
348,193777,ABI76900.1,33.35,1,1,7.4E5,1,1,1,,110678,TonB-dependent receptor [Hyphomonas neptunium ATCC 15444]
116,143869,ActinobacteriaREDSEAS14_EEFFFEGA_00037,33.15,5,5,2.59E5,2,1,2,,50760,ATP synthase subunit beta
116,143880,ActinobacteriaREDSEAS09_EJKBNLBD_01244,33.15,5,5,2.59E5,2,1,2,,50964,ATP synthase subunit beta
213,194999,ETNP14_120,32.94,6,6,3.08E6,2,2,2,,38745,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
183,24062,ACY16045.1,32.80,1,1,1.47E6,1,1,1,,57474,serine/threonine protein kinase [Haliangium ochraceum DSM 14365]
349,193780,WP_011466979.1,32.66,2,2,5.45E5,1,1,1,,56139,2 3-bisphosphoglycerate-independent phosphoglycerate mutase [Saccharophagus degradans]
148,193663,NP_863745,32.50,0,0,3.56E5,1,1,1,,261825,lipoprotein receptor-related protein Rhodopirellula baltica SH 1
148,193784,ETNP_120,32.50,1,1,3.56E5,1,1,1,,59460,Glutamine-dependent NAD(+) synthetase
151,144275,Flavovirus_FBAKDGPJ_03410,32.48,1,1,1.48E6,2,1,2,Oxidation (M),309280,hypothetical protein
350,193781,ETNP14_120,32.31,4,4,3.4E5,1,1,1,,26831,hypothetical protein
350,193782,ETNP_120,32.31,4,4,3.4E5,1,1,1,,26859,hypothetical protein
350,193783,WP_011219921.1,32.31,2,2,3.4E5,1,1,1,,52961,aspartate ammonia-lyase [Photobacterium profundum]
342,196824,ETNP14_120,32.20,3,3,2.54E6,2,2,2,Mutation,32995,50S ribosomal protein L3
226,193734,cyanophage_EEBLHMBA_00593,31.82,2,2,3.02E6,1,1,1,,45408,hypothetical protein
101,198400,ETNP_120,31.78,5,5,5.11E6,1,1,2,Mutation,18838,tRNA dimethylallyltransferase
184,193689,ETNP14_120,31.75,4,4,7.38E5,1,1,1,Oxidation (M),23639,AAA-like domain protein
184,193735,ETNP14_120,31.75,3,3,7.38E5,1,1,1,Oxidation (M),26126,AAA-like domain protein
184,193736,ETNP14_68,31.75,2,2,7.38E5,1,1,1,Oxidation (M),56367,AAA-like domain protein
184,193791,ETNP14_68,31.75,8,8,7.38E5,1,1,1,Oxidation (M),10817,hypothetical protein
184,193792,ETNP14_120,31.75,8,8,7.38E5,1,1,1,Oxidation (M),10652,hypothetical protein
184,193793,ETNP14_68,31.75,7,7,7.38E5,1,1,1,Oxidation (M),12842,hypothetical protein
184,193794,ETNP_100,31.75,5,5,7.38E5,1,1,1,Oxidation (M),17221,AAA-like domain protein
184,193795,ETNP14_120,31.75,5,5,7.38E5,1,1,1,Oxidation (M),17582,AAA-like domain protein
184,193796,ETNP_60,31.75,4,4,7.38E5,1,1,1,Oxidation (M),24090,AAA-like domain protein
184,193797,ETNP14_120,31.75,4,4,7.38E5,1,1,1,Oxidation (M),24058,AAA-like domain protein
282,193731,ETNP_180,31.55,7,7,1.19E6,1,1,1,,14182,hypothetical protein
282,193732,ETNP_160,31.55,5,5,1.19E6,1,1,1,,18378,hypothetical protein
282,193733,ETNP_300,31.55,5,5,1.19E6,1,1,1,,18898,hypothetical protein
100,26720,NP_30,31.12,2,2,4.14E6,2,1,2,,39807,Glutamate-pyruvate aminotransferase AlaA
174,144200,BAJ31579.1,31.10,2,2,3.25E6,2,2,3,,63666,putative acyl-CoA oxidase [Kitasatospora setae KM-6054]
119,194079,XP_002185513,31.07,2,2,3.85E4,1,1,1,Mutation,87484,heat shock protein Hsp90  Phaeodactylum tricornutum CCAP 1055
119,194101,XP_003055958,31.07,2,2,3.85E4,1,1,1,Mutation,81433,predicted protein partial  Micromonas pusilla CCMP1545
106,145309,ETNP_160,30.99,7,7,1.09E7,2,1,2,,13044,Molybdopterin-guanine dinucleotide biosynthesis adapter protein
106,145312,ETNP_180,30.99,6,6,1.09E7,2,1,2,,14011,Molybdopterin-guanine dinucleotide biosynthesis adapter protein
106,145314,ETNP_300,30.99,4,4,1.09E7,2,1,2,,19696,Molybdopterin-guanine dinucleotide biosynthesis adapter protein
311,195001,ETNP14_68,30.95,10,10,1.49E6,2,2,2,,20342,hypothetical protein
283,193746,virus_CCADEAMM_26449,30.79,2,2,3.56E5,1,1,1,,57624,hypothetical protein
272,196126,ETNP_90,30.55,1,1,6.72E6,1,1,1,Mutation,104193,hypothetical protein
200,194093,ABF63496.1,30.42,3,3,7.44E5,2,2,2,,60356,beta-lactamase-like protein [Ruegeria sp. TM1040]
273,137392,ETNP14_68,30.40,1,1,9.94E6,1,1,1,Mutation,95170,Aconitate hydratase precursor
351,193802,ETNP_70,30.23,14,14,2.79E6,1,1,1,,9282,SNARE domain protein
113,193890,virus_ANPENILN_01198,29.97,0,0,2.3E6,2,2,2,,344844,hypothetical protein
246,194097,WP_015348741,29.75,1,1,6.51E5,2,2,2,,145239,hypothetical protein Myxococcus stipitatus
142,193852,EJK62284,29.74,2,2,1.11E6,2,2,2,Oxidation (M),126839,hypothetical protein THAOC_17110  Thalassiosira oceanica
142,195062,EJK59865,20.92,3,3,0E0,1,1,1,,49322,hypothetical protein THAOC_19861 partial  Thalassiosira oceanica
1566,144036,ETNP_160,29.37,13,13,7.1E5,2,1,2,,8970,50S ribosomal protein L28
130,8888,WP_005008876,29.30,1,1,1.22E7,2,2,2,,214905,hypothetical protein Nitrospina gracilis
167,140,CAN91477.1,29.10,2,2,4.69E7,1,1,1,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
219,28395,WP_052084273.1,29.04,1,1,4.7E5,1,1,1,,82933,hybrid sensor histidine kinase/response regulator [Dokdonia sp. MED134]
219,195808,WP_009781300.1,28.83,1,1,4.7E5,1,1,1,,83792,hybrid sensor histidine kinase/response regulator [Leeuwenhoekiella blandensis]
219,26805,WP_035336894.1,38.07,2,2,7.39E5,2,2,2,Mutation,78481,hypothetical protein [Dokdonia sp. PRO95]
219,25222,WP_041295720.1,29.04,1,1,4.7E5,1,1,1,,78352,hypothetical protein [Dokdonia sp. 4H-3-7-5]
219,25834,EAP85929.1,29.04,1,1,4.7E5,1,1,1,,82331,hybrid sensory kinase [Croceibacter atlanticus HTCC2559]
217,195075,WP_006233765.1,28.97,5,5,5.53E5,2,1,2,,17522,MULTISPECIES: 50S ribosomal protein L10 [Photobacterium]
570,193838,virus_CCADEAMM_07487,28.92,2,2,9.07E5,2,2,2,,103163,hypothetical protein
146,195008,ETNP14_68,28.92,11,11,6.76E6,2,2,3,,18508,PUA domain protein
1534,195128,ETNP_150,28.63,5,5,3.9E6,2,2,2,Oxidation (M),35889,50S ribosomal protein L3
227,193755,Verrucomicrobia_HGEPPPGB_02075,28.59,3,3,2.21E6,1,1,1,,37027,hypothetical protein
201,194121,ETNP_140,28.44,3,3,2.73E6,2,2,2,,56291,Terminase-like family protein
201,195011,NP_300,28.44,4,4,2.73E6,2,2,2,,47094,Terminase-like family protein
201,195028,ETNP14_68,20.91,2,2,1.92E5,1,1,1,,35256,Ribose-phosphate pyrophosphokinase
201,195031,ETNP_90,20.91,1,1,1.92E5,1,1,1,,66592,Ribose-phosphate pyrophosphokinase
201,195041,ETNP_100,20.91,1,1,1.92E5,1,1,1,,62732,Type II secretion system protein E
201,196548,EJK50189,20.91,7,7,1.92E5,1,1,1,,13120,hypothetical protein THAOC_30868 partial  Thalassiosira oceanica
201,196550,ETNP14_68,20.91,6,6,1.92E5,1,1,1,,14444,Molybdopterin-synthase adenylyltransferase
201,196553,ETNP_90,20.91,4,4,1.92E5,1,1,1,,22534,Terminase-like family protein
201,196555,ETNP_70,20.91,4,4,1.92E5,1,1,1,,24235,Terminase-like family protein
201,196557,EJK44509,20.91,3,3,1.92E5,1,1,1,,31058,hypothetical protein THAOC_36942  Thalassiosira oceanica
201,196558,ETNP_120,20.91,3,3,1.92E5,1,1,1,,36680,Terminase-like family protein
243,194086,ETNP14_68,28.44,5,5,1.42E6,2,2,2,,33984,DNA-directed RNA polymerase subunit A''
353,144115,ETNP_160,28.42,2,2,2.83E6,1,1,1,,47755,Cytosine permease
284,193886,ETNP_160,28.41,10,10,6.97E5,1,1,1,Carbamidomethylation,15418,hypothetical protein
284,193887,ETNP_120,28.41,9,9,6.97E5,1,1,1,Carbamidomethylation,16951,hypothetical protein
285,193893,ETNP_70,28.31,2,2,1.48E6,1,1,1,,43383,NPL4 family protein
216,195042,WP_011281868,28.30,4,4,0E0,2,2,2,Mutation,47085,molybdopterin biosynthesis protein MoeA Candidatus Pelagibacter ubique
228,193769,WP_015350326,28.15,1,1,3.45E6,1,1,1,,139475,polyketide synthase Myxococcus stipitatus
445,193823,EJK76014,28.03,1,1,1.89E7,2,2,2,,222726,hypothetical protein THAOC_02244 partial  Thalassiosira oceanica
170,24047,ETNP14_120,27.96,7,7,2.87E6,1,1,1,,15188,Tetratricopeptide repeat protein
170,24013,NP_300,27.96,1,1,2.87E6,1,1,1,,73853,Carbamoyl-phosphate synthase large chain
170,24012,ETNP14_68,37.51,3,3,6.66E6,2,2,2,,60152,hypothetical protein
170,24045,ETNP14_120,27.96,16,16,2.87E6,1,1,1,,6661,hypothetical protein
170,24046,ETNP_70,27.96,7,7,2.87E6,1,1,1,,14376,hypothetical protein
170,24034,ETNP_120,27.96,7,7,2.87E6,1,1,1,,15780,Carbamoyl-phosphate synthase large chain
170,24033,ETNP14_68,27.96,5,5,2.87E6,1,1,1,,20226,membrane-bound lytic murein transglycosylase D
170,24050,ETNP14_68,27.96,3,3,2.87E6,1,1,1,,36712,hypothetical protein
294,194063,ETNP14_120,27.72,1,1,1.86E6,1,1,1,,55942,ATP-dependent RNA helicase DbpA
232,193779,ETNP_300,27.71,1,1,3.69E5,1,1,1,,63608,30S ribosomal protein S2
50,193754,ETNP_160,27.67,2,2,8.45E5,1,1,5,,57428,L-aspartate oxidase
354,194506,WP_011397713,27.46,2,2,6.96E5,1,1,1,,48153,glutathione reductase Hahella chejuensis
176,194498,ETNP_120,27.44,12,12,0E0,1,1,2,Oxidation (M),8602,hypothetical protein
176,194501,ETNP14_120,27.44,4,4,0E0,1,1,2,Oxidation (M),21611,hypothetical protein
176,194505,ETNP_120,27.44,2,2,0E0,1,1,2,Oxidation (M),39525,hypothetical protein
155,193906,ETNP_300,27.41,4,4,0E0,1,1,1,,22862,hypothetical protein
155,193910,ETNP_140,27.41,2,2,0E0,1,1,1,,52397,L-2 4-diaminobutyrate decarboxylase
1052,195029,virus_CCADEAMM_21687,27.37,1,1,1.81E6,2,2,2,Oxidation (M),148618,hypothetical protein
168,193747,ETNP_90,27.35,2,2,2.15E6,1,1,2,,70931,Foldase protein PrsA precursor
355,194519,ETNP14_120,27.17,5,5,2.29E6,1,1,1,,20522,L-2-hydroxyglutarate oxidase LhgO
233,193789,EJK46506,26.89,3,3,3.56E5,1,1,1,,70206,hypothetical protein THAOC_34824  Thalassiosira oceanica
286,143897,WP_011219628.1,26.81,8,8,1.33E6,1,1,1,,13532,50S ribosomal protein L19 [Photobacterium profundum]
135,193745,virus_CCADEAMM_37671,26.74,0,0,6.45E5,1,1,1,,170321,hypothetical protein
190,193790,ETNP_120,26.65,11,11,4.52E6,1,1,1,,8934,hypothetical protein
149,134011,XP_003061884,26.60,0,0,1.02E6,1,1,1,,319849,predicted protein  Micromonas pusilla CCMP1545
287,19997,ETNP_90,26.48,5,5,1.61E5,1,1,1,,19193,hypothetical protein
287,19998,ETNP14_68,26.48,5,5,1.61E5,1,1,1,,19193,hypothetical protein
287,144478,ETNP_60,26.48,5,5,1.61E5,1,1,1,,19393,hypothetical protein
287,19999,ETNP_70,26.48,5,5,1.61E5,1,1,1,,19456,hypothetical protein
885,194257,ETNP_300,26.41,2,2,1.3E6,2,2,2,,77545,Polyribonucleotide nucleotidyltransferase
356,194572,ETNP_120,26.36,3,3,1.45E6,1,1,1,,25825,Methionine synthase
240,193956,EDP94755.1,26.29,2,2,1.45E6,1,1,1,,50706,two component  sigma54 specific  transcriptional regulator  Fis family protein [Kordia algicida OT-1]
361,194677,ETNP_120,26.28,1,1,1.22E7,1,1,1,,78461,Primosomal protein N'
293,194059,ETNP_120,26.22,7,7,8.13E5,1,1,1,,13384,putative glycosyl transferase
288,193950,ETNP_90,26.14,1,1,3.21E5,1,1,1,,63561,Bacteriophage head to tail connecting protein
239,193953,ETNP14_120,26.08,2,2,1.44E6,1,1,1,,68244,hypothetical protein
239,194588,ETNP_120,26.08,7,7,1.44E6,1,1,1,,15990,hypothetical protein
1569,195279,ETNP14_120,26.08,2,2,1.25E7,2,1,2,,41549,Multifunctional CCA protein
302,194589,ETNP14_68,26.08,3,3,0E0,1,1,1,,30898,Histidinol dehydrogenase
166,95703,XP_003062749,26.05,1,1,2.25E6,1,1,1,Carbamidomethylation,114221,p-type ATPase superfamily  Micromonas pusilla CCMP1545
166,143988,XP_003055417,26.05,1,1,2.25E6,1,1,1,Carbamidomethylation,107983,p-type ATPase superfamily  Micromonas pusilla CCMP1545
166,144505,XP_003074523,26.05,2,2,2.25E6,1,1,1,Carbamidomethylation,60546,type IIA calcium ATPase ISS partial  Ostreococcus tauri
358,194594,ETNP_120,26.00,4,4,9.12E5,1,1,1,,30778,Release factor glutamine methyltransferase
289,193965,ETNP_300,25.98,2,2,4.54E4,1,1,1,,50766,Phosphomannomutase/phosphoglucomutase
359,194603,ETNP_90,25.91,7,7,1.27E6,1,1,1,,11995,PhoH-like protein
290,193974,ETNP14_68,25.86,2,2,5.2E4,1,1,1,,54236,Penicillin-binding protein A
238,30303,XP_003059807,25.80,2,2,1.39E5,1,1,1,,47234,predicted protein  Micromonas pusilla CCMP1545
99,194613,EJK77590,25.73,5,5,6.44E6,1,1,2,,21155,hypothetical protein THAOC_00568  Thalassiosira oceanica
303,194614,virus_CCADEAMM_08422,25.73,1,1,1.01E6,1,1,1,,173466,hypothetical protein
360,194615,SAR202_JMBHMLPD,25.72,2,2,2.81E6,1,1,1,,61101,Acetyl-coenzyme A synthetase
187,193744,WP_015351214,25.69,1,1,2.07E5,1,1,1,,69158,hypothetical protein Myxococcus stipitatus
518,170757,ACL74372.1,25.69,4,4,,2,0,2,Carbamidomethylation,49777,F0F1 ATP synthase subunit beta [Thioalkalivibrio sulfidiphilus HL-EbGr7]
362,194688,ETNP_180,25.56,6,6,2.76E5,1,1,1,,13615,IS2 repressor TnpA
112,193740,EJK46389,25.54,0,0,7.2E5,1,1,1,,327232,hypothetical protein THAOC_34943 partial  Thalassiosira oceanica
124,193768,XP_002179592,25.46,1,1,8.96E6,1,1,4,,169926,predicted protein  Phaeodactylum tricornutum CCAP 1055
241,193966,WP_011310910,25.36,7,7,1.44E6,1,1,1,,12722,50S ribosomal protein L7L12 Thiobacillus denitrificans
241,193992,ETNP14_68,25.36,7,7,1.44E6,1,1,1,,13115,50S ribosomal protein L7/L12
241,194219,WP_013047253,25.36,7,7,1.44E6,1,1,1,,12738,50S ribosomal protein L7 L12 Candidatus Puniceispirillum marinum
295,194068,ETNP_90,25.20,4,4,7.34E5,1,1,1,,30822,putative cadmium-transporting ATPase
295,194069,ETNP14_68,25.20,2,2,7.34E5,1,1,1,,61494,Silver exporting P-type ATPase
295,19876,ETNP14_68,25.20,2,2,7.34E5,1,1,1,,70719,putative copper-exporting P-type ATPase V
292,194024,WP_052571473,25.16,4,4,8.78E6,1,1,1,,28513,hypothetical protein Geothrix fermentans
169,193752,XP_003062151,25.05,1,1,4.13E5,1,1,1,,137862,transcription elongation-nucleosome displacement protein Spt5  Micromonas pusilla CCMP1545
297,194095,ETNP14_120,25.02,8,8,4.09E5,1,1,1,,15019,Ferric uptake regulation protein
297,194096,ETNP14_68,25.02,8,8,4.09E5,1,1,1,,15044,Ferric uptake regulation protein
301,194320,BAJ27998.1,24.95,5,5,9.63E4,1,1,1,,38252,putative peptidase C40 family protein [Kitasatospora setae KM-6054]
472,194020,ETNP14_68,24.67,2,2,1.13E6,2,2,2,Oxidation (M),63879,Cyclic di-GMP phosphodiesterase response regulator RpfG
364,194981,ETNP_120,24.60,6,6,2.09E6,1,1,1,,13785,hypothetical protein
364,194982,ETNP_60,24.60,2,2,2.09E6,1,1,1,,57269,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
158,194339,WP_011397265,24.53,1,1,4.1E5,1,1,1,Mutation,165740,peptide synthetase Hahella chejuensis
365,194989,WP_011219933.1,24.47,7,7,4.68E5,1,1,1,,16058,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit [Photobacterium profundum]
366,194990,ABQ31445.1,24.46,5,5,4.3E6,1,1,1,,17640,LSU ribosomal protein L13P [Acidiphilium cryptum JF-5]
367,194995,ETNP14_120,24.28,3,3,4.39E5,1,1,1,,36541,Cysteine desulfurase
70,193811,virus_CCADEAMM_52476,24.27,2,2,2.29E6,1,1,4,,55539,hypothetical protein
370,195045,ETNP_100,24.14,1,1,1.33E6,1,1,1,,47205,Replicative DNA helicase
369,93892,XP_003063073,24.10,1,1,4.54E6,1,1,1,,85939,predicted protein  Micromonas pusilla CCMP1545
177,194880,ABQ71168.1,24.02,2,2,5.58E5,1,1,2,,52133,L-glutamine synthetase [Sphingomonas wittichii RW1]
